pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-dd49bb98ca6f80ea,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-b9dd59de527ab7e0,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-33a3521d3efc303a,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-6c2f7ac826ed8c4b,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-61d7506267dc6898,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-4b7918ea92146ff3,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-eead3c3f42c37d19,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-eb8d81db1a1356b1,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-53b5037f7b9bfb5f,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-4df442d843121167,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-d5c4a74f0f92ea66,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-cba3c32388b436ff,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-46ac08a32891e61b,prot-201314--71
fcfff492e00727b6,Stockholm,Helsingfors,i-cfc8521ec1d8dfa5,prot-201314--71
