pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-371d604ac9cc5dec,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-fb9b7d3f5f695dc3,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-e47d4906f72e64c7,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-d5603714a50c1726,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-587c01789ea4eed3,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-41829fb2bf1e94e1,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-d087b96367631549,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-a7b6373eaea2bf15,prot-201718--117
fcfff492e00727b6,Stockholm,Helsingfors,i-543c4cd8b0cf7487,prot-201718--117
