gender,name,other,specifier,size
man,,talmannen,,3202
,,talmannen,,1528
,förste vice,talmannen,,1088
,tredje vice,talmannen,,1080
,andre vice,talmannen,,977
man,hagberg,,luleå,761
,catharina elmsäter-svärd,statsrådet,,747
,hörnlund,,,707
man,johansson,statsrådet,,629
,sven-erik bucht,statsrådet,,598
,margö ingvardsson,,,590
,ugglas,,,506
man,palme,statsrådet,,502
man,holmqvist,statsrådet,,492
man,nordstrandh,,,465
man,kling,statsrådet,,445
man,edenman,statsrådet,,444
,odell,,,431
man,wiklund,,stockholm,407
woman,eriksson,,stockholm,381
man,skoglund,statsrådet,,378
man,hamilton,talmannen,,369
man,persson,statsrådet,,358
man,förste vice,talmannen,,350
,wallén,,,348
,anna-karin hatt,statsrådet,,345
man,nilsson,,tvärålund,333
man,strand,talmannen,,326
man,larsson,,umeå,324
man,persson,,heden,312
,sofia jonsson,,,311
man,wigforss,statsrådet,,309
man,larsson,,luttra,297
man,lundkvist,statsrådet,,296
man,källstad,,,292
man,larsson,,hedenäset,282
man,oskarson,,,272
man,hedlund,statsrådet,,266
man,andre vice,talmannen,,265
man,,talman,,265
man,andersson,,dunker,263
man,sköld,statsrådet,,259
man,,,,254
,maj-inger klingvall,statsrådet,,253
,bertil fiskesjö,talman,,249
man,olsson,,stockholm,245
man,nilsson,,agnäs,241
man,hamrin,,kalmar,241
,lars-erik lövdén,statsrådet,,231
,mona sahlin,statsrådet,,228
man,lindholm,statsrådet,,226
man,norup,statsrådet,,225
,roger richtoff,,,224
man,gustavsson,,alvesta,224
man,magnusson,talmannen,,222
,rigmor ahlstedt,,,220
man,larsson,,borrby,220
man,nilsson,,bästekille,219
man,einar persson,,,218
,maj-lis lööw,statsrådet,,216
,désirée pethrus engström,,,213
,lena hjelm-wallén,utrikesminister,,212
man,möller,statsrådet,,211
man,hzeggblom,,,203
man,hamrin,,jönköping,202
,sven-erik österberg,statsrådet,,201
,barbro johansson,,,194
,helena hillar rosen-qvist,,,193
man,isacson,,,187
,winberg,,,183
,andersson,,,183
,valds,,,178
man,hansson,statsministern,,177
man,skoglund,talmannen,,169
man,hamrin,statsrådet,,167
,margareta sandgren,,,165
man,hagård,,,163
man,persson,,skänninge,162
man,sträng,statsrådet,,161
man,petterson,,degerfors,161
man,nilsson,statsrådet,,160
man,nilsson,,svalöv,153
,ingegerd wär-nersson,statsrådet,,149
,ingegerd troedsson,talman,,149
woman,sundberg,,,148
,ström,,,148
man,jonsson,,skedsbygd,148
man,andersson,statsrådet,,145
man,schlyter,statsrådet,,143
man,ekman,statsministern,,140
man,nilsson,talmannen,,137
man,leo,statsrådet,,136
woman,nettelbrandt,talmannen,,133
man,beskow,statsrådet,,133
man,netzén,statsrådet,,130
man,stahl,,,127
man,johan johansson,,,126
,uusmann,,,125
man,hjalmar nilson,statsrådet,,125
,eva winther,,,123
man,bengtson,talmannen,,119
man,stockenström,statsrådet,,118
,olsson,,,118
man,engberg,statsrådet,,118
man,dahlgren,,,116
,lars eng-qvist,socialminister,,115
man,nilsson,,landeryd,113
man,andersson,,ronneby,113
man,regneéll,,,112
man,svenungsson,,,111
man,norrby,,åkersberga,110
man,höbinette,,,110
man,lindahl,,hamburgsund,104
man,hagberg,,,103
man,hagberg,,borlänge,102
,hadar cars,,,102
man,pettersson,statsrådet,,100
man,nilsson,,östersund,100
man,malmborg,talmannen,,100
woman,andersson,,,100
man,karl johanson,,,99
man,borell,statsrådet,,99
man,bissmark,statsrådet,,98
,,,,98
,per westerberg,talman,,96
man,johansson,,stockholm,95
man,ivar johansson,talmannen,,95
,inga lantz,,,95
man,wickman,statsrådet,,94
man,lindskog,statsrådet,,93
,charlotta l bjälke-bring,,,93
man,bengtsson,talmannen,,93
woman,svenson,,,92
man,larsson,,staffanstorp,92
man,ericsson,statsrådet,,92
man,andersson,,linköping,91
man,lyberg,statsrådet,,90
man,ossbahr,,,89
man,nilsson,,göingegården,89
,karl erik eriksson,talman,,89
,nykvist,,,88
man,jönsson,,ingemarsgården,88
man,heiiman,,,87
,sundström,,,86
man,ekeberg,statsrådet,,86
woman,löfqvist,,,84
,karin olsson,,,83
woman,johansson,,norrköping,82
,anf,talmannen,,82
man,libeck,statsrådet,,81
man,larsson,,stockholm,81
man,jacobsson,,igelsbo,81
man,sundström,,skövde,80
,kerstin heinemann,talman,,80
man,seth,,,79
,karl-göran bi-örsmark,,,79
man,ekman,statsrådet,,79
man,luterkort,,,77
man,gärde,statsrådet,,76
man,anderson,,norrköping,76
man,,statsrådet,,76
man,wohlin,statsrådet,,75
man,torsten nilsson,statsrådet,,75
man,stadener,statsrådet,,75
man,nilsson,,gävle,75
man,larsson,statsrådet,,75
man,carlström,talmannen,,75
,roger karlsson,,,74
man,möller,,göteborg,74
man,sten,,,73
man,hagberg,,stockholm,73
,görel thurdin,talman,,73
man,olsson,,kil,72
man,läbeck,,,72
,desirée pethrus eng-ström,,,72
man,cassel,talmannen,,72
man,almkvist,statsrådet,,72
man,werner,,,71
man,janson,,frändesta,71
,anders dahlgren,talman,,71
man,liibeck,statsrådet,,70
man,undén,statsrådet,,69
man,nilson,,spånstad,69
man,geijer,statsrådet,,69
man,johansson,,björnlunda,68
man,jeppsson,statsrådet,,68
man,pettersson,,lund,67
man,gustavsson,,nässjö,67
,erik arthur egervärn,,,67
,kerstin andersson,,,66
,isabella hökmark,,,66
,bengt,statsrådet,,66
woman,sj,,,65
man,meurling,statsrådet,,65
man,carlsson,,vikmanshyttan,65
man,wiklund,,härnösand,64
,helena höij,talman,,64
man,georg pettersson,,,64
man,pettersson,,norregård,63
,ingegerd troedsson,talmannen,,63
,britt-marie danestig-olofsson,,,63
man,andersson,,löbbo,63
man,kristenson,,,62
woman,eliasson,,,62
man,wahrendorff,,,60
woman,renström-ingenä,,,60
man,oscar karlsson,,,60
man,olsson,,golvvasta,60
man,andersson,,lycksele,60
woman,sjöström-bengts,,,59
man,malmberg,statsrådet,,59
,kjell,,,59
man,gustafsson,statsrådet,,59
man,mattsson,,lane-,58
man,lindman,statsministern,,58
,eva goe,,,58
,åsa domelj,,,56
man,pettersson,,västerås,56
man,kempe,,,56
,margareta persson,,,55
,liselott hagberg,talman,,55
,bertil hansson,,,55
man,jeppsson,talmannen,,54
man,bengtsson,,göteborg,54
man,olsson,,edane,53
man,olsson,,sundsvall,53
man,wiklund,,,52
man,nilson,,eskilstuna,52
man,persson,,växjö,51
man,olsson,,järvsö,51
man,persson,,stockholm,50
man,mattsson,,skee,50
man,eric carlsson,,,50
,yasmine posio nilsson,,,49
man,lundvik,statsrådet,,49
woman,elmeén,,,49
man,wachtmeister,,johannishus,48
man,wachtmeister,,staffanstorp,48
,karl erik eriksson,talmannen,,48
man,jönsson,,arlöv,48
man,severin,,,47
,görel bohlin,,,47
,berit andnor,,,47
man,gustavsson,,eskilstuna,46
man,gustaf anderson,,,46
,esabelle reshdouni,,,46
,david wirmark,,,46
,leif pag-rotsky,statsrådet,,45
,helena zakariasén,,,45
,björn körlopf,,,45
man,weiine,,,44
,nils,,,44
man,johan larsson,,,44
,gunnar oskarson,,,44
man,björk,,göteborg,44
man,malm,statsrådet,,43
man,vennerström,statsrådet,,42
man,norrby,,,42
,mats o karlsson,,,42
,krister skånberg,,,42
man,adolfsson,,,42
man,thyrén,statsrådet,,41
man,sandler,ministern,,41
woman,frzenkel,,,41
man,andersson,,södergård,41
,pär granstedt,statsrådet,,40
man,osear olsson,,,40
man,nilsson,,kalmar,40
,bengt sjönell,,,40
man,äkerman,,,39
man,tredje vice,talmannen,,39
woman,skantz,,,39
man,gustafsson,,skellefteå,39
woman,florén-winther,,,39
,esse petersson,,,39
,christer eirefelt,talman,,39
man,andersson,,södertälje,39
man,wikström,,,38
man,tiällgren,,,38
man,hermansson,statsrådet,,38
,hans majestät konungen,,,38
man,persson,,karlstad,37
man,dahl,statsrådet,,37
man,sj,,,36
woman,nilsson,,kristianstad,36
man,lundberg,,hälsingborg,36
woman,leweén-eliasson,,,36
man,erlander,statsministern,,36
,bo,,,36
man,virgin,talmannen,,35
woman,rydh munck,,,35
man,ericsson,,näs,35
,anders björck,talman,,35
man,österström,talmannen,,34
man,malmborg,,stockholm,34
man,gustafsson,kommunministern,,34
man,carl eric ericsson,,,34
man,winkler,,,33
man,uhlén,,,33
man,trygger,ministern,,33
man,murray,statsrådet,,33
man,lundberg,,uppsala,33
man,olsson,,rimforsa,32
man,lundquist,,rotebro,32
man,jönsson,,malmö,32
man,andersson,,nybro,32
,ulla orring,,,31
,torsten bengtson,talmannen,,31
man,sundqvist,,,31
,oswald söderqvist,statsrådet,,31
,margareta sandstedt,,,31
man,lindell,statsrådet,,31
man,larsson,,vänersborg,31
man,clason,statsrådet,,31
man,ström,,,30
man,gustavsson,,ängelholm,30
man,friesen,talmannen,,30
man,dahleén,,,30
man,andersson,,,30
man,som,,,29
man,norrby,,gunnarskog,29
man,lovén,,,29
man,larsson,,öskevik,29
man,eriesson,statsrådet,,29
man,block,,,29
man,lange,statsrådet,,28
man,håkansson,,trelleborg,28
man,dahlberg,statsrådet,,28
man,broberg,,,28
woman,andersson,,stockholm,28
man,rundqvist,statsrådet,,27
,rolf,,,27
woman,nilsson,,sunne,27
,maria leissner,statsrådet,,27
man,liäbeck,statsrådet,,27
man,heggblom,,,27
man,hansson,statsrådet,,27
man,elmroth,,,27
man,pettersson,,hällbacken,26
man,möller,,gävle,26
man,läbeck,statsrådet,,26
man,kristenson,,göteborg,26
man,eriesson,,sörsjön,26
man,svensson,,stenkyrka,25
man,ramel,ministern,,25
,pär granstedt,utrikesministern,,25
man,nilson,talmannen,,25
man,ingvar andersson,,,25
man,håkansson,,rönneberga,25
man,hansson,,skediga,25
man,frankenberg,,,25
man,svensson,statsrådet,,24
man,malmroth,statsrådet,,24
,kerstin nilsson,,,24
,kerstin kristiansson karl-stedt,,,24
man,eriksson,,ulfsbyn,24
man,elmquist,statsrådet,,24
,désirée pethrus eng-ström,,,24
man,carlsson,,huskvarna,24
,bengt westerberg,,,24
man,samuelson,,,23
man,pettersson,,visby,23
,nemann,,,23
man,ii,,,23
man,holmbäck,statsrådet,,23
,gunnar biörck,statsrådet,värmdö,23
man,eliasson,statsrådet,,23
man,carl ericsson,,,23
man,angström,,,23
woman,segerstedt-wibe,,,22
man,rosén,statsrådet,,22
,maj kempe,,,22
man,larsson,,,22
man,jonsson,,strömsund,22
woman,johansson,,skövde,22
,inga lantz,statsrådet,,22
man,holstenson,,,22
,hans göran,utrikesministern,,22
,britt bohlin olsson,,,22
,bertil måbrink,utrikesministern,,22
man,bergman,,göteborg,22
,anna bergkvist,,,22
,staffan werme,,,21
woman,pehrsson,,,21
,marianne andersson,,,21
man,liäbeck,,,21
man,lindahl,,lidingö,21
woman,hultell,,,21
man,halleén,,,21
woman,tredje vice,talmannen,,20
man,theodor johansson,,,20
man,ordet,,,20
man,nordkvist,,,20
,märtha gårdestig,,,20
man,johnsson,,skoglösa,20
man,johansson,,torp,20
man,hagman,,,20
,eric carlsson,,,20
woman,bernström,,,20
man,äqvist,,,19
man,stähl,,,19
man,skoglösa,,,19
man,löfgren,ministern,,19
man,lodenius,talmannen,,19
man,levinson,statsrådet,,19
man,karlsson,,stuvsta,19
man,johansson,,tväråselet,19
man,herman eriesson,,,19
man,eliasson,,,19
man,bergqvist,statsrådet,,19
woman,anderson,,lerum,19
man,wedeén,,,18
man,thunborg,,,18
man,ståähl,,,18
woman,renström-ingena,,,18
man,olsson,,mora,18
man,nilsson,,,18
man,jansson,,kalix,18
woman,hellström,,,18
woman,gustafson,,,18
,christina karlsson,,,18
man,björek,,,18
man,andersson,,göteborg,18
,ylva annerstedt,,,17
,ulf holm,talman,,17
,ragnhild pohanka,statsrådet,,17
,per gahrton,utrikesministern,,17
,karin ahrland,statsrådet,,17
man,johanson,,hallagården,17
,ingela mårtensson,utrikesministern,,17
man,franzeén,,motala,17
man,ferdinand nilsson,statsrådet,,17
,elisabeth fleetwood,statsrådet,,17
man,ang,,,17
man,andersson,,ryggestad,17
,alexander chrisopoulos,statsrådet,,17
man,wachtmeister,,,16
man,sundström,,vikmanshyttan,16
man,nordqvist,,karlskoga,16
man,nilsson,,växjö,16
man,lorentzon,,kramfors,16
woman,lindström,statsrådet,,16
man,heöuman,,,16
man,hellström,statsrådet,,16
man,hansson,,rubbestad,16
,hans göran,statsrådet,,16
,gunhild bolander,,,16
,berith eriksson,,,16
,axel kristiansson,,,16
,anna-caren sätherberg,statsrådet,,16
,anna steelekarlström,,,16
woman,wallerius-gunne,,,15
man,svar,talmannen,,15
,sten andersson,justitieministern,malmö,15
man,nilsson,,trobro,15
man,nilsson,,varuträsk,15
,margareta andrén,,,15
man,lundgren,,,15
man,lundberg,,,15
woman,lilly ohlsson,,,15
,isabella lövin,,,15
,ingrid sundberg,statsrådet,,15
man,hollertz,,,15
man,erieson,,boxholm,15
,desirée pethrus engström,,,15
man,brännström,,skellefteå,15
man,"östa,",,,14
man,zander,,,14
,ulla tillander,statsrådet,,14
man,trygger,statsministern,,14
man,tijällgren,,,14
man,sommelius,,,14
man,sehlyter,,,14
man,schött,,,14
