wiki_id,name,party,url,party_abbrev
Q108059200,Jakob Olofsgård,Liberalerna,http://www.wikidata.org/entity/Q108059200,L
Q108765984,Aphram Melki,Centerpartiet,http://www.wikidata.org/entity/Q108765984,C
Q108986522,Christina Nilsson,Sverigedemokraterna,http://www.wikidata.org/entity/Q108986522,SD
Q109352589,Kristoffer Lindberg,Socialdemokraterna,http://www.wikidata.org/entity/Q109352589,S
Q109500713,Per-Anders Johansson,Moderaterna,http://www.wikidata.org/entity/Q109500713,M
Q109500985,Siv Ramsell,Centerpartiet,http://www.wikidata.org/entity/Q109500985,C
Q109501708,Karin Nilsson,Vänsterpartiet,http://www.wikidata.org/entity/Q109501708,V
Q109747746,Ulf Lönnberg,Kristdemokraterna,http://www.wikidata.org/entity/Q109747746,KD
Q109830262,Ulrik Bergman,Moderaterna,http://www.wikidata.org/entity/Q109830262,M
Q109882267,Emmanuel Morfiadakis,Socialdemokraterna,http://www.wikidata.org/entity/Q109882267,S
Q109928721,Anders Frimert,Socialdemokraterna,http://www.wikidata.org/entity/Q109928721,S
Q109937599,Inga Sandberg,Liberalerna,http://www.wikidata.org/entity/Q109937599,L
Q109942678,Göran Dahlstrand,Socialdemokraterna,http://www.wikidata.org/entity/Q109942678,S
Q109943905,Peggy Lagerström,Moderaterna,http://www.wikidata.org/entity/Q109943905,M
Q5555674,Olof Andersson i Höör,Socialdemokraterna,http://www.wikidata.org/entity/Q5555674,S
Q5560482,Stellan Arvidson,Socialdemokraterna,http://www.wikidata.org/entity/Q5560482,S
Q5565912,Hernfrid Bark,Socialdemokraterna,http://www.wikidata.org/entity/Q5565912,S
Q5571192,Ernst Berg,Socialdemokraterna,http://www.wikidata.org/entity/Q5571192,S
Q5574702,Jacob Beskow,Moderaterna,http://www.wikidata.org/entity/Q5574702,M
Q5577840,Folke Björkman,Moderaterna,http://www.wikidata.org/entity/Q5577840,M
Q5580868,Gustav Boija,Liberalerna,http://www.wikidata.org/entity/Q5580868,L
Q5588966,Anton Bränholm,Liberalerna,http://www.wikidata.org/entity/Q5588966,L
Q5591673,Edvin Bäckström,Liberalerna,http://www.wikidata.org/entity/Q5591673,L
Q5603047,Carl Olof Carlsson,Centerpartiet,http://www.wikidata.org/entity/Q5603047,C
Q5723243,Georg Fahlman,Moderaterna,http://www.wikidata.org/entity/Q5723243,M
Q5736786,Martin Forsberg,Socialdemokraterna,http://www.wikidata.org/entity/Q5736786,S
Q5777410,Hjalmar Gustafson,Socialdemokraterna,http://www.wikidata.org/entity/Q5777410,S
Q5777728,Henning Gustafsson,Liberalerna,http://www.wikidata.org/entity/Q5777728,L
Q5784158,Arvid Hallberg,Socialdemokraterna,http://www.wikidata.org/entity/Q5784158,S
Q5784621,Carl Hallendorff,Moderaterna,http://www.wikidata.org/entity/Q5784621,M
Q5786787,Nestor Hammarlund,Centerpartiet,http://www.wikidata.org/entity/Q5786787,C
Q5796156,Samuel Hedlund,Moderaterna,http://www.wikidata.org/entity/Q5796156,M
Q5806065,Karl Hillgård,Moderaterna,http://www.wikidata.org/entity/Q5806065,M
Q53633,Ernst Trygger,Moderaterna,http://www.wikidata.org/entity/Q53633,M
Q53650,Felix Hamrin,Liberalerna,http://www.wikidata.org/entity/Q53650,L
Q538109,Ture Nerman,Socialdemokraterna,http://www.wikidata.org/entity/Q538109,S
Q3379728,Ingrid Segerstedt Wiberg,Liberalerna,http://www.wikidata.org/entity/Q3379728,L
Q4753719,Anders Aronsson,Centerpartiet,http://www.wikidata.org/entity/Q4753719,C
Q4753813,Anders Henriksson i Vinstorp,Centerpartiet,http://www.wikidata.org/entity/Q4753813,C
Q4941887,Ingeborg Carlqvist,Socialdemokraterna,http://www.wikidata.org/entity/Q4941887,S
Q4952454,Ruth Hamrin-Thorell,Liberalerna,http://www.wikidata.org/entity/Q4952454,L
Q4953847,Kerstin Hesselgren,Folkpartiet,http://www.wikidata.org/entity/Q4953847,L
Q5039896,Carl Berglund,Centerpartiet,http://www.wikidata.org/entity/Q5039896,C
Q5540748,Nils Aastrup,Liberalerna,http://www.wikidata.org/entity/Q5540748,L
Q5554421,Emil Andersson,Moderaterna,http://www.wikidata.org/entity/Q5554421,M
Q6020901,Bernhard Näsgård,Centerpartiet,http://www.wikidata.org/entity/Q6020901,C
Q6021073,Emil Näsström,Socialdemokraterna,http://www.wikidata.org/entity/Q6021073,S
Q6025668,Johan Olofsson,Liberalerna,http://www.wikidata.org/entity/Q6025668,L
Q6025765,Per Olofsson,Socialdemokraterna,http://www.wikidata.org/entity/Q6025765,S
Q6027453,Manne Olsson,Socialdemokraterna,http://www.wikidata.org/entity/Q6027453,S
Q6042858,Fritz Persson,Socialdemokraterna,http://www.wikidata.org/entity/Q6042858,S
Q6043423,Nils Persson,Socialdemokraterna,http://www.wikidata.org/entity/Q6043423,S
Q6043453,Nils Persson i Svensköp,Liberalerna,http://www.wikidata.org/entity/Q6043453,L
Q6054541,Nils Posse,Moderaterna,http://www.wikidata.org/entity/Q6054541,M
Q6078242,Adolf Roos,Moderaterna,http://www.wikidata.org/entity/Q6078242,M
Q6150099,Elof Ljunggren,Liberalerna,http://www.wikidata.org/entity/Q6150099,L
Q6193298,Gustaf Strömberg,Socialdemokraterna,http://www.wikidata.org/entity/Q6193298,S
Q6194302,Nils Ståhle,Socialdemokraterna,http://www.wikidata.org/entity/Q6194302,S
Q6195378,Axel Sundberg,Moderaterna,http://www.wikidata.org/entity/Q6195378,M
Q6195389,Carl Sundberg,Moderaterna,http://www.wikidata.org/entity/Q6195389,M
Q6078273,Axel Roos,Liberalerna,http://www.wikidata.org/entity/Q6078273,L
Q6092428,John Sandén,Socialdemokraterna,http://www.wikidata.org/entity/Q6092428,S
Q6093360,Pontus Sandström,Moderaterna,http://www.wikidata.org/entity/Q6093360,M
Q6182662,Gustaf Snygg,Socialdemokraterna,http://www.wikidata.org/entity/Q6182662,S
Q6188574,Hemming Sten,Socialdemokraterna,http://www.wikidata.org/entity/Q6188574,S
Q6193364,Otto Strömberg,Moderaterna,http://www.wikidata.org/entity/Q6193364,M
Q6196226,Sven Sundin,Centerpartiet,http://www.wikidata.org/entity/Q6196226,C
Q6198282,Axel E. Svensson,Socialdemokraterna,http://www.wikidata.org/entity/Q6198282,S
Q6202203,Martin Söderquist,Liberalerna,http://www.wikidata.org/entity/Q6202203,L
Q6206558,Erik Testrup,Moderaterna,http://www.wikidata.org/entity/Q6206558,M
Q6209752,Edvin Thun,Socialdemokraterna,http://www.wikidata.org/entity/Q6209752,S
Q6230970,Janne Walles,Socialdemokraterna,http://www.wikidata.org/entity/Q6230970,S
Q6240391,Gustaf Widner,Socialdemokraterna,http://www.wikidata.org/entity/Q6240391,S
Q6241097,Uno Wijkström,Moderaterna,http://www.wikidata.org/entity/Q6241097,M
Q6255057,Harald Åkerberg,Socialdemokraterna,http://www.wikidata.org/entity/Q6255057,S
Q6257757,Sven-Otto Österdahl,Liberalerna,http://www.wikidata.org/entity/Q6257757,L
Q18238280,Erik Dalberg,Socialdemokraterna,http://www.wikidata.org/entity/Q18238280,S
Q53294,Arvid Lindman,Moderaterna,http://www.wikidata.org/entity/Q53294,M
Q4939247,Blenda Björck,Socialdemokraterna,http://www.wikidata.org/entity/Q4939247,S
Q4946541,Brita Elmén,Liberalerna,http://www.wikidata.org/entity/Q4946541,L
Q4953880,Dagmar Heurlin,Moderaterna,http://www.wikidata.org/entity/Q4953880,M
Q4954629,Britta Holmström,Liberalerna,http://www.wikidata.org/entity/Q4954629,L
Q4971133,Gunnel Olsson,Socialdemokraterna,http://www.wikidata.org/entity/Q4971133,S
Q4984496,Signe Vessman,Socialdemokraterna,http://www.wikidata.org/entity/Q4984496,S
Q4984930,Disa Västberg,Socialdemokraterna,http://www.wikidata.org/entity/Q4984930,S
Q5340170,Edoff Andersson,Socialdemokraterna,http://www.wikidata.org/entity/Q5340170,S
Q5349634,Einar Gustafsson,Centerpartiet,http://www.wikidata.org/entity/Q5349634,C
Q5371288,Emil Hultman,Centerpartiet,http://www.wikidata.org/entity/Q5371288,C
Q5553863,Allan Andersson,Socialdemokraterna,http://www.wikidata.org/entity/Q5553863,S
Q5553942,Anders Andersson,Socialdemokraterna,http://www.wikidata.org/entity/Q5553942,S
Q5554025,Arvid Andersson,Socialdemokraterna,http://www.wikidata.org/entity/Q5554025,S
Q5554384,Einar Andersson,Socialdemokraterna,http://www.wikidata.org/entity/Q5554384,S
Q5556529,Olof Andreasson,Socialdemokraterna,http://www.wikidata.org/entity/Q5556529,S
Q5557460,Erik Anners,Moderaterna,http://www.wikidata.org/entity/Q5557460,M
Q5572503,Valdemar Berglund,Socialdemokraterna,http://www.wikidata.org/entity/Q5572503,S
Q5578035,Karl Björkänge,Centerpartiet,http://www.wikidata.org/entity/Q5578035,C
Q5578540,Eric Bladh,Socialdemokraterna,http://www.wikidata.org/entity/Q5578540,S
Q442028,Hilding Hagberg,Vänsterpartiet,http://www.wikidata.org/entity/Q442028,V
Q4573469,Ragnar Lassinantti,Socialdemokraterna,http://www.wikidata.org/entity/Q4573469,S
Q4691677,Agda Östlund,Socialdemokraterna,http://www.wikidata.org/entity/Q4691677,S
Q4802442,Arvid Olsson,Socialdemokraterna,http://www.wikidata.org/entity/Q4802442,S
Q4934282,Ruth Ager,Liberalerna,http://www.wikidata.org/entity/Q4934282,L
Q4946028,Christina Ekberg,Socialdemokraterna,http://www.wikidata.org/entity/Q4946028,S
Q4954500,Elvira Holmberg,Socialdemokraterna,http://www.wikidata.org/entity/Q4954500,S
Q4962663,Gerda Linderot,Vänsterpartiet,http://www.wikidata.org/entity/Q4962663,V
