wiki_id,name,party,district,chamber,end,start,url,party_abbrev
Q53747,Göran Persson,Socialdemokraterna,Malmö kommuns valkrets,Enkammarriksdagen,1998-10-05,1998-10-05,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Södermanlands läns valkrets,Enkammarriksdagen,1994-10-07,1994-10-03,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Södermanlands läns valkrets,Enkammarriksdagen,2007-04-30,2006-10-02,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Södermanlands läns valkrets,Enkammarriksdagen,1994-10-03,1991-10-05,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Södermanlands läns valkrets,Enkammarriksdagen,1985-01-18,1982-10-04,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Malmö kommuns valkrets,Enkammarriksdagen,2002-09-30,2002-09-30,http://www.wikidata.org/entity/Q53747,S
Q53747,Göran Persson,Socialdemokraterna,Södermanlands läns valkrets,Enkammarriksdagen,1982-10-04,1979-10-01,http://www.wikidata.org/entity/Q53747,S
Q253640,Maud Olofsson,Centerpartiet,Västerbottens läns valkrets,Enkammarriksdagen,2006-10-02,2002-09-30,http://www.wikidata.org/entity/Q253640,C
Q253640,Maud Olofsson,Centerpartiet,Västerbottens läns valkrets,Enkammarriksdagen,2011-09-30,2011-09-30,http://www.wikidata.org/entity/Q253640,C
Q253640,Maud Olofsson,Centerpartiet,Västerbottens läns valkrets,Enkammarriksdagen,2006-10-05,2006-10-02,http://www.wikidata.org/entity/Q253640,C
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1974-01-10,1971-01-11,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1982-10-04,1979-10-01,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1976-10-04,1974-01-10,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1976-10-10,1976-10-04,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1990-03-18,1988-10-03,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1988-10-03,1985-09-30,http://www.wikidata.org/entity/Q263366,M
Q263366,Gösta Bohman,Moderaterna,Stockholms kommuns valkrets,Enkammarriksdagen,1985-09-30,1982-10-04,http://www.wikidata.org/entity/Q263366,M
Q321595,Bosse Ringholm,Socialdemokraterna,Stockholms kommuns valkrets,Enkammarriksdagen,2002-09-30,2002-09-30,http://www.wikidata.org/entity/Q321595,S
Q321595,Bosse Ringholm,Socialdemokraterna,,Enkammarriksdagen,1976-06-04,1976-05-03,http://www.wikidata.org/entity/Q321595,S
Q321595,Bosse Ringholm,Socialdemokraterna,Stockholms kommuns valkrets,Enkammarriksdagen,2010-10-04,2006-10-07,http://www.wikidata.org/entity/Q321595,S
Q321595,Bosse Ringholm,Socialdemokraterna,,Enkammarriksdagen,1982-12-31,1982-10-11,http://www.wikidata.org/entity/Q321595,S
Q376484,Gunnar Helén,Liberalerna,Stockholms kommuns valkrets,Enkammarriksdagen,1976-10-04,1974-01-10,http://www.wikidata.org/entity/Q376484,L
Q376484,Gunnar Helén,Liberalerna,Stockholms kommuns valkrets,Enkammarriksdagen,1974-01-10,1971-01-11,http://www.wikidata.org/entity/Q376484,L
Q444747,Maria Wetterstrand,Miljöpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2011-09-15,2010-10-04,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2010-10-04,2008-01-01,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,Södermanlands läns valkrets,Enkammarriksdagen,2004-10-10,2002-09-30,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2007-02-18,2006-10-02,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,,Enkammarriksdagen,2002-09-30,2001-10-17,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2006-10-02,2005-04-18,http://www.wikidata.org/entity/Q444747,MP
Q444747,Maria Wetterstrand,Miljöpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2007-07-08,2007-03-19,http://www.wikidata.org/entity/Q444747,MP
Q450368,Lisbeth Grönfeldt Bergman,Moderaterna,Göteborgs kommuns valkrets,Enkammarriksdagen,2010-10-04,2006-10-02,http://www.wikidata.org/entity/Q450368,M
Q496604,Andreas Carlgren,Centerpartiet,Stockholms läns valkrets,Enkammarriksdagen,1998-10-05,1994-10-03,http://www.wikidata.org/entity/Q496604,C
Q496604,Andreas Carlgren,Centerpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,2011-09-30,2011-09-30,http://www.wikidata.org/entity/Q496604,C
Q514209,Gunnar Hedlund,Centerpartiet,Västernorrlands läns valkrets,Enkammarriksdagen,1974-01-10,1971-01-11,http://www.wikidata.org/entity/Q514209,C
Q514209,Gunnar Hedlund,Centerpartiet,Stockholms kommuns valkrets,Enkammarriksdagen,1976-10-04,1974-01-10,http://www.wikidata.org/entity/Q514209,C
Q514593,Inger Segelström,Socialdemokraterna,,Enkammarriksdagen,1995-07-31,1994-10-08,http://www.wikidata.org/entity/Q514593,S
Q514593,Inger Segelström,Socialdemokraterna,Stockholms kommuns valkrets,Enkammarriksdagen,2004-07-19,2002-09-30,http://www.wikidata.org/entity/Q514593,S
Q514593,Inger Segelström,Socialdemokraterna,,Enkammarriksdagen,1995-10-09,1995-08-01,http://www.wikidata.org/entity/Q514593,S
Q514593,Inger Segelström,Socialdemokraterna,,Enkammarriksdagen,1998-10-05,1995-10-10,http://www.wikidata.org/entity/Q514593,S
Q514593,Inger Segelström,Socialdemokraterna,Stockholms kommuns valkrets,Enkammarriksdagen,2002-09-30,1998-10-05,http://www.wikidata.org/entity/Q514593,S
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1991-09-30,1988-10-03,http://www.wikidata.org/entity/Q517762,M
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1994-10-03,1991-09-30,http://www.wikidata.org/entity/Q517762,M
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1985-09-30,1982-10-04,http://www.wikidata.org/entity/Q517762,M
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1976-10-04,1974-01-10,http://www.wikidata.org/entity/Q517762,M
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1982-10-04,1979-10-01,http://www.wikidata.org/entity/Q517762,M
Q517762,Ingegerd Troedsson,Moderaterna,Uppsala läns valkrets,Enkammarriksdagen,1988-10-03,1985-09-30,http://www.wikidata.org/entity/Q517762,M
