url	year	note
https://betalab.kb.se/prot-1941--ak--42#1-8	1941	
https://betalab.kb.se/prot-1941--ak--31#1-36	1941	
https://betalab.kb.se/prot-1941--fk--31#1-30	1941	
https://betalab.kb.se/prot-1941-höst-ak--50#1-11	1941	
https://betalab.kb.se/prot-1941-höst-ak--51#1-137	1941	
https://betalab.kb.se/prot-1942--ak--13#1-95	1942	
https://betalab.kb.se/prot-1942--ak--11#1-76	1942	
https://betalab.kb.se/prot-1942--ak--13#1-10	1942	
https://betalab.kb.se/prot-1942--ak--19#1-65	1942	
https://betalab.kb.se/prot-1942--fk--21#1-107	1942	
https://betalab.kb.se/prot-1943--ak--4#1-6	1943	
https://betalab.kb.se/prot-1943--ak--8#1-57	1943	
https://betalab.kb.se/prot-1943--ak--21#1-64	1943	
https://betalab.kb.se/prot-1943--fk--15#1-13	1943	
https://betalab.kb.se/prot-1943-höst-ak--35#1-119	1943	
https://betalab.kb.se/prot-1944--ak--16#1-52	1944	
https://betalab.kb.se/prot-1944--ak--17#1-93	1944	
https://betalab.kb.se/prot-1944--ak--11#1-31	1944	
https://betalab.kb.se/prot-1944--ak--18#1-33	1944	
https://betalab.kb.se/prot-1944--fk--7#1-21	1944	
https://betalab.kb.se/prot-1945--ak--30#1-90	1945	
https://betalab.kb.se/prot-1945--ak--9#1-1	1945	
https://betalab.kb.se/prot-1945--ak--2#1-12	1945	
https://betalab.kb.se/prot-1945--ak--27#1-45	1945	
https://betalab.kb.se/prot-1945-höst-fk--41#1-7	1945	
https://betalab.kb.se/prot-1946--ak--13#1-22	1946	
https://betalab.kb.se/prot-1946--ak--30#1-25	1946	
https://betalab.kb.se/prot-1946-höst-ak--39#1-75	1946	
https://betalab.kb.se/prot-1946--ak--31#1-29	1946	
https://betalab.kb.se/prot-1946--fk--1#1-21	1946	
https://betalab.kb.se/prot-1947--fk--34#1-38	1947	
https://betalab.kb.se/prot-1947--fk--24#1-59	1947	
https://betalab.kb.se/prot-1947--ak--23#1-89	1947	
https://betalab.kb.se/prot-1947--fk--35#1-148	1947	
https://betalab.kb.se/prot-1947--fk--26#1-15	1947	
https://betalab.kb.se/prot-1948-höst-fk--40#1-107	1948	
