protocol_id,elem_id,segmentation,comments,text,link
prot-1919--ak--9,i-11fD83BaQiqpb7X6Qepog,,,Nr 9;,https://betalab.kb.se/prot-1919--ak--9/prot_1919__ak__9-002.jp2/_view
prot-1919--ak--31,i-14JHsWegf7pnfZ6dy1uQ1,,,"nr 15, i anledning av Kungl. Maj:ts proposition med förslag till lag om fondkommissionsrörelse och fondbörsverksamhet samt till lag om ändring i lagen den 22 juni 1911 om bankrörelse ävensom en i ämnet väckt motion;",https://betalab.kb.se/prot-1919--ak--31/prot_1919__ak__31-048.jp2/_view
prot-1919--ak--46,i-14pMAE2zCLk7ia1rpw7ei,,,"da för skattefrihet, men jag tycker ingen har stridit så grundligt som kooperatörerna för skattefrihet. Själv är jag kooperatör, men så långt kan jag åtminstone icke gå, att jag strider för skattefrihet. Det säger jag rent ut.",https://betalab.kb.se/prot-1919--ak--46/prot_1919__ak__46-036.jp2/_view
