year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1867,6889.0,6889.0,6889.0,6889.0,6889.0
1868,4766.0,4766.0,4766.0,4766.0,4766.0
1869,5142.0,5142.0,5142.0,5142.0,5142.0
1870,4046.0,4046.0,4046.0,4046.0,4046.0
1871,4831.0,4831.0,4831.0,4831.0,4831.0
1872,3891.0,3891.0,3891.0,3891.0,3891.0
1873,4535.0,4535.0,4535.0,4535.0,4535.0
1874,4078.0,4078.0,4078.0,4078.0,4078.0
1875,3944.0,3944.0,3944.0,3944.0,3944.0
1876,3372.0,3372.0,3372.0,3372.0,3372.0
1877,3608.0,3608.0,3608.0,3608.0,3608.0
1878,3336.0,3336.0,3336.0,3336.0,3336.0
1879,3067.0,3067.0,3067.0,3067.0,3067.0
1880,3042.0,3042.0,3042.0,3042.0,3042.0
1881,2045.0,2045.0,2045.0,2045.0,2045.0
1882,2778.0,2778.0,2778.0,2778.0,2778.0
1883,2677.0,2677.0,2677.0,2677.0,2677.0
1884,2190.0,2190.0,2190.0,2190.0,2190.0
1885,2750.0,2750.0,2750.0,2750.0,2750.0
1886,2784.0,2784.0,2784.0,2784.0,2784.0
1887,2109.0,2109.0,2109.0,2109.0,2109.0
1888,2862.0,2862.0,2862.0,2862.0,2862.0
1889,2732.0,2732.0,2732.0,2732.0,2732.0
1890,2716.0,2716.0,2716.0,2716.0,2716.0
1891,2608.0,2608.0,2608.0,2608.0,2608.0
1892,3050.0,3050.0,3050.0,3050.0,3050.0
1893,2377.0,2377.0,2377.0,2377.0,2377.0
1894,2641.0,2641.0,2641.0,2641.0,2641.0
1895,2570.0,2570.0,2570.0,2570.0,2570.0
1896,2549.0,2549.0,2549.0,2549.0,2549.0
1897,2494.0,2494.0,2494.0,2494.0,2494.0
1898,2215.0,2215.0,2215.0,2215.0,2215.0
1899,1929.0,1929.0,1929.0,1929.0,1929.0
1900,2034.0,2034.0,2034.0,2034.0,2034.0
1901,1960.0,1960.0,1960.0,1960.0,1960.0
1902,2361.0,2361.0,2361.0,2361.0,2361.0
1903,2321.0,2321.0,2321.0,2321.0,2321.0
1904,2365.0,2365.0,2365.0,2365.0,2365.0
1905,2519.0,2519.0,2519.0,2519.0,2519.0
1906,2174.0,2174.0,2174.0,2174.0,2174.0
1907,2600.0,2600.0,2600.0,2600.0,2600.0
1908,3030.0,3030.0,3030.0,3030.0,3030.0
1909,2786.0,2786.0,2786.0,2786.0,2786.0
1910,3428.0,3428.0,3428.0,3428.0,3428.0
1911,3092.0,3092.0,3092.0,3092.0,3092.0
