wiki_id,name
Q152452,Gunnar Myrdal
Q321595,Bosse Ringholm
Q241035,Torsten Nilsson
Q2938797,Carin Jämtin
Q3218127,Lars-Erik Lövdén
Q3358782,Barbro Holmberg
Q4356302,Birgitta Dahl
Q4731015,Allan Vougt
Q4967115,Ulrica Messing
Q4984124,Ines Uusmann
Q5715273,John Ericsson
Q231413,Mona Sahlin
Q237522,Margot Wallström
Q460919,Lena Hjelm-Wallén
Q1346478,Sten Andersson
Q3055916,Ibrahim Baylan
Q3141607,Thomas Bodström
Q3297193,Thomas Östros
Q5854875,Lars Engqvist
Q5995142,Eije Mossberg
Q320842,Pär Nuder
Q6180686,Per Edvin Sköld
Q5388933,Erik Åsbrink
Q5616687,Gunnar Danielson
Q5887217,Morgan Johansson
Q549955,Jan Eliasson
Q879773,Björn von Sydow
Q3373681,Axel Gjöres
Q3430022,Margareta Winberg
Q4570928,Gustav Möller
Q5780291,Bengt Göransson
Q354112,Gunnar Sträng
Q5603378,Roine Carlsson
Q5777699,Hans Gustafsson
Q927466,Kjell-Olof Feldt
Q2408431,Thage G. Peterson
Q4964703,Maj-Lis Lööw
Q4982419,Ingela Thalén
Q6252055,Herman Zetterberg
Q5816531,Sven Hulterström
Q5885510,Bengt K.Å. Johansson
Q6239734,Sten Wickbom
Q291648,Laila Freivalds
Q298317,Östen Undén
Q459226,Anita Gradin
Q887398,Bo Holmberg
Q5713152,Odd Engström
Q6014287,Ivar Nordberg
Q53707,Tage Erlander
Q253640,Maud Olofsson
Q496604,Andreas Carlgren
Q952026,Tobias Krantz
Q966884,Stefan Attefall
Q447542,Maria Larsson
Q3504785,Sven Otto Littorin
Q4588714,Erik Ullenhag
Q241851,Nyamko Sabuni
Q520223,Maria Borelius
Q918261,Göran Hägglund
Q182050,Anders Borg
Q3562306,Anna-Karin Hatt
Q3209237,Peter Norman
Q4098206,Lennart Bodström
Q4978577,Gertrud Sigurdsen
Q4981393,Elisabeth Svantesson
Q5799722,Mats Hellström
Q5969868,Ulf Lönnqvist
Q297850,Beatrice Ask
Q5991125,Rune Molin
Q5554537,Georg Andersson
Q457877,Ewa Björling
Q571725,Mats Odell
Q911372,Jan Björklund
Q984112,Sten Tolgfors
Q3112958,Tobias Billström
Q3540867,Maria Arnholm
Q5967249,Svante Lundkvist
Q429001,Birgitta Ohlsson
Q439393,Annie Lööf
Q772089,Hillevi Engström
Q1796120,Anna-Greta Leijon
Q3058054,Eskil Erlandsson
Q297821,Lena Adelsohn Liljeroth
Q445997,Cristina Husmark Pehrsson
Q447653,Cecilia Stegö Chilò
Q458162,Gunilla Carlsson
Q2941786,Catharina Elmsäter-Svärd
Q234872,Cecilia Malmström
Q271235,Åsa Torstensson
Q535342,Lena Ek
Q946818,Lars Leijonborg
Q53747,Göran Persson
Q1780398,Ulf Kristersson
Q52922,Carl Bildt
Q53740,Ingvar Carlsson
Q3373674,Helene Petersson
Q3374562,Hans Hoff
Q3374627,Eva Sonidsson
Q3492112,Aron Modig
Q4563096,Jennie Nilsson
Q4609260,Siv Holma
Q4724776,Ali Esbati
Q4765508,Anita Brodén
Q4765556,Anita Johansson
Q4767056,Anna Grönlund Krantz
Q4822657,Mehmet Kaplan
Q4887773,Bengt-Anders Johansson
Q4891898,Berit Jóhannesson
Q4895693,Bertil Kjellberg
Q4898916,Betty Malmberg
Q4916299,Birgitta Sellén
Q4931171,Bo Siegbahn
Q4935892,Marianne Andersson
Q4936554,Marita Aronson
Q4938501,Mona Berglund Nilsson
Q4938662,Britta Bergström
Q4939220,Laila Bjurling
Q4939382,Elisabeth Björnsdotter Rahm
Q4939380,Maud Björnemalm
Q4942814,Annika Nordgren Christensen
Q4945406,Anne-Katrine Dunker
Q4946072,Maud Ekendahl
Q4946153,Kerstin Ekman
Q517762,Ingegerd Troedsson
Q3893038,Herman Lindqvist
Q5786143,Hugo Hamilton
Q5359581,Gustaf Sparre
Q5616733,Anders Danielsson
Q5747245,Fredrik Alexander Funck
Q5774246,Petrus Gränebo
Q6010330,Gustaf Nilsson
Q6011346,August Nilsson
Q6206899,Fridolf Thapper
Q6257544,Gustaf Fredrik Östberg
Q5803390,Carl Herslow
Q6027656,Olof Olsson
Q330757,Gottfrid Billing
Q1291317,Edvard Carleson
Q4830361,Axel Strand
Q5561113,Ferdinand Asker
Q5573639,John Bergvall
Q5604447,Edvard Casparsson
Q5822171,Carl Ifvarsson
Q5975041,Carl Axel Mannerskantz
Q6010694,Johan Nilsson
Q2940262,Ivar Afzelius
Q5932922,Herman Lamm
Q6011953,Sven Nilsson i Everöd
Q18246296,Patrik Svensson
Q1555429,Gustaf Lagerbjelke
Q1606431,Henry Allard
Q3424655,Erik Boheman
Q3054681,Henning Hamilton
Q4894168,Bernhard Eriksson
Q5581542,Carl Carlson Bonde
Q5601098,Theodor af Callerholm
Q6080191,Henrik Rosensvärd
Q6240063,Johan Widén
Q6042759,Daniel Persson
Q525663,Anton Niklas Sundberg
Q2944347,Gerhard Lagerstråle
Q3369220,Urban Ahlin
Q4755577,Andreas Norlén
Q6022267,Theodor Odelberg
Q6039716,Pehr Pehrson i Törneryd
