role,government,wiki_id,start,end
Sveriges socialminister,Regeringen Persson,Q237522,1996-03-22,1998-10-01
Sveriges bostadsminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16
Sveriges energiminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06
konsultativt statsråd,Regeringen Hansson IV,Q5715273,1945-07-31,1948-10-28
Sveriges kommunminister,Regeringen Persson,Q5854875,1998-10-07,1998-11-16
Sveriges justitieminister,Regeringen Carlsson I,Q2408431,1988-07-07,1988-09-30
Sveriges jämställdhetsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1989-01-29
Sveriges socialminister,Regeringen Carlsson I,Q4982419,1990-01-11,1991-10-04
Sveriges försvarsminister,Regeringen Hansson IV,Q4731015,1945-07-31,1951-10-01
Sveriges konsumentminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
Sveriges infrastrukturminister,Regeringen Persson,Q4967115,2002-10-16,2006-10-06
Sveriges demokratiminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21
Sveriges bostadsminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07
Sveriges kulturminister,Regeringen Carlsson I,Q5780291,1982-10-08,1991-10-04
Sveriges utrikesminister,Regeringen Hansson IV,Q298317,1945-07-31,1962-09-19
Sveriges bostadsminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06
Sveriges idrottsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
Sveriges justitieminister,Regeringen Carlsson I,Q6239734,1983-01-01,1987-10-19
Sveriges idrottsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
konsultativt statsråd,Regeringen Hansson IV,Q354112,1945-07-31,1947-04-11
konsultativt statsråd,Regeringen Hansson IV,Q5616687,1944-01-01,1952-01-01
Sveriges justitieminister,Regeringen Hansson IV,Q6252055,1945-07-31,1957-09-20
Sveriges invandrarminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10
Sveriges näringsminister,Regeringen Carlsson I,Q6014287,1988-10-04,1990-01-11
Sveriges skolminister,Regeringen Persson,Q3055916,2004-10-21,2006-10-06
Sveriges inrikesminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16
Sveriges folkhälsominister,Regeringen Persson,Q5887217,2002-10-21,2006-10-06
Sveriges socialminister,Regeringen Carlsson I,Q5816531,1989-01-29,1990-01-11
Sveriges utbildningsminister,Regeringen Carlsson I,Q5780291,1989-01-30,1991-10-04
Sveriges budgetminister,Regeringen Carlsson I,Q5713152,1988-10-04,1990-02-16
Sveriges jämställdhetsminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10
Sveriges skolminister,Regeringen Carlsson I,Q5780291,1982-10-08,1989-01-30
Sveriges handelsminister,Regeringen Hansson IV,Q152452,1945-07-31,1947-04-11
Sveriges finansminister,Regeringen Persson,Q320842,2004-10-31,2006-10-06
Sveriges finansminister,Regeringen Carlsson I,Q927466,1983-01-01,1990-02-16
Sveriges handelsminister,Regeringen Persson,Q879773,1996-03-22,1997-01-31
Sveriges justitieminister,Regeringen Persson,Q3141607,2000-10-11,2006-10-06
Sveriges utrikesminister,Regeringen Persson,Q2938797,2006-03-27,2006-04-24
Sveriges samordningsminister,Regeringen Persson,Q320842,2002-10-21,2004-10-21
Sveriges jämställdhetsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07
Sveriges civilminister,Regeringen Carlsson I,Q5885510,1988-01-01,1991-01-01
Sveriges samfundsminister,Regeringen Carlsson I,Q887398,1982-10-08,1988-10-04
Sveriges biträdande socialminister,Regeringen Hansson IV,Q5995142,1945-07-31,1947-07-01
Sveriges jordbruksminister,Regeringen Hansson IV,Q6180686,1945-07-31,1948-10-29
Sveriges jämställdhetsminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21
Sveriges finansminister,Regeringen Persson,Q5388933,1996-03-22,1999-04-12
Sveriges utrikesminister,Regeringen Persson,Q321595,2006-03-21,2006-03-27
Sveriges justitieminister,Regeringen Carlsson I,Q291648,1988-10-04,1991-10-04
Sveriges utrikeshandelsminister,Regeringen Carlsson I,Q459226,1986-10-10,1991-10-04
Sveriges ecklesiastikminister,Regeringen Hansson IV,Q53707,1945-07-31,1946-10-11
Sveriges bostadsminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21
Sveriges ungdomsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
Sveriges ungdomsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07
Sveriges finansminister,Regeringen Carlsson I,Q5713152,1990-02-16,1990-02-27
Sveriges integrationsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21
Sveriges socialminister,Regeringen Hansson IV,Q4570928,1939-12-13,1951-10-01
Sveriges integrationsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-06
Sveriges folkhushållningsminister,Regeringen Hansson IV,Q3373681,1941-03-07,1947-05-24
Sveriges försvarsminister,Regeringen Persson,Q879773,1997-02-01,2002-09-30
Sveriges försvarsminister,Regeringen Carlsson I,Q5603378,1985-10-14,1991-10-04
Sveriges invandrarminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04
Sveriges samordningsminister,Regeringen Persson,Q321595,2005-01-01,2006-10-06
Sveriges näringsminister,Regeringen Carlsson I,Q2408431,1982-10-08,1988-09-30
Sveriges idrottsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21
Sveriges skolminister,Regeringen Persson,Q3297193,2002-01-16,2004-10-21
Sveriges jämställdhetsminister,Regeringen Carlsson I,Q4964703,1989-01-29,1991-10-04
Sveriges konsumentminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04
Sveriges kommunikationsminister,Regeringen Hansson IV,Q241035,1945-07-31,1951-10-01
Sveriges EU-minister,Regeringen Persson,Q321595,2005-01-01,2006-10-06
Statsministerns ställföretädare,Regeringen Persson,Q5854875,2004-06-01,2004-10-01
Sveriges utrikesminister,Regeringen Persson,Q549955,2006-04-24,2006-10-06
Sveriges utrikesminister,Regeringen Carlsson I,Q1346478,1985-10-17,1991-10-04
Sveriges jordbruksminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21
Sveriges finansminister,Regeringen Persson,Q321595,1999-04-12,2004-10-21
Sveriges löneminister,Regeringen Carlsson I,Q5885510,1985-10-15,1988-10-04
Sveriges bostadsminister,Regeringen Carlsson I,Q5777699,1982-10-08,1988-10-04
Sveriges skatteminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07
Sveriges kulturminister,Regeringen Persson,Q320842,2004-09-13,2004-11-01
Sveriges inrikesminister,Regeringen Persson,Q3218127,1998-11-16,1998-12-31
Statsministerns ställföretädare,Regeringen Persson,Q3430022,2002-10-21,2003-10-30
Statsministerns ställföretädare,Regeringen Persson,Q321595,2004-11-01,2006-10-06
Sveriges kommunikationsminister,Regeringen Persson,Q4984124,1994-10-07,1998-10-07
Sveriges justitieminister,Regeringen Persson,Q460919,2000-09-21,2000-10-16
Sveriges utbildningsminister,Regeringen Persson,Q3297193,1998-10-06,2004-10-21
Sveriges migrationsminister,Regeringen Persson,Q3358782,2003-10-10,2006-10-06
Sveriges näringsminister,Regeringen Persson,Q3297193,2004-10-21,2006-10-06
Sveriges biståndsminister,Regeringen Persson,Q2938797,2003-10-10,2006-10-06
Sveriges arbetsmarknadsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1990-01-11
Sveriges energiminister,Regeringen Carlsson I,Q4356302,1982-10-08,1990-02-27
Sveriges utrikesminister,Regeringen Persson,Q460919,1994-10-07,1998-10-07
Statsministerns ställföretädare,Regeringen Carlsson I,Q927466,1986-10-10,1990-02-16
Sveriges kommunikationsminister,Regeringen Carlsson I,Q5816531,1985-10-18,1989-01-29
Statsministerns ställföretädare,Regeringen Persson,Q460919,1995-11-17,2002-10-21
Sveriges arbetsrättsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07
Sveriges arbetsmarknadsminister,Regeringen Persson,Q3430022,1996-03-22,1998-10-06
Sveriges kommunminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21
Sveriges invandrarminister,Regeringen Carlsson III,Q5579495,1994-10-07,1996-03-22
Sveriges energiminister,Regeringen Carl Bildt,Q1375199,1991-10-04,1994-10-07
Sveriges bostadsminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1991-12-31
Sveriges biståndsminister,Regeringen Carl Bildt,Q944795,1991-10-04,1994-10-07
Sveriges handelsminister,Regeringen Palme II,Q4098206,1982-10-08,1982-12-31
Sveriges socialförsäkringsminister,Regeringen Carlsson III,Q4953085,1994-10-07,1996-03-22
Sveriges utrikeshandelsminister,Regeringen Palme II,Q5799722,1983-01-01,1986-10-09
Sveriges socialminister,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07
konsultativt statsråd,Regeringen Hansson III,Q53707,1944-09-30,1945-07-31
Sveriges planminister,Regeringen Carl Bildt,Q4982742,1991-10-04,1994-06-16
Sveriges jämställdhetsminister,Regeringen Carl Bildt,Q4916267,1991-12-01,1993-01-01
Sveriges folkhushållningsminister,Regeringen Hansson III,Q5716548,1939-10-15,1941-03-07
Statsministerns ställföretädare,Regeringen Carlsson III,Q231413,1994-10-07,1995-11-16
Sveriges finansminister,Regeringen Carlsson III,Q53747,1994-10-07,1996-03-22
Sveriges biträdande justitieminister,Regeringen Carl Bildt,Q4961261,1991-10-04,1994-10-07
Sveriges minister för nordiskt samarbete,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
Sveriges kommunikationsminister,Regeringen Carl Bildt,Q571725,1991-10-04,1994-10-07
Sveriges finansminister,Regeringen Carl Bildt,Q273408,1991-10-04,1994-10-07
Sveriges EU-minister,Regeringen Carlsson III,Q5799722,1994-10-07,1996-03-22
Sveriges utbildningsminister,Regeringen Palme II,Q4098206,1985-10-17,1989-01-29
Sveriges jordbruksminister,Regeringen Carl Bildt,Q6027273,1991-10-04,1994-10-07
Sveriges samfundsminister,Regeringen Carlsson III,Q3115681,1994-10-07,2004-09-13
Sveriges civilminister,Regeringen Carl Bildt,Q4944305,1991-10-21,1994-10-07
Sveriges ecklesiastikminister,Regeringen Hansson III,Q5556673,1944-12-15,1945-07-31
Sveriges skolminister,Regeringen Carl Bildt,Q297850,1991-10-04,1994-10-07
Sveriges ungdomsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
Sveriges jordbruksminister,Regeringen Branting III,Q5955664,1924-10-18,1926-06-07
Sveriges miljöminister,Regeringen Carl Bildt,Q4982742,1994-06-16,1994-10-02
Sveriges kulturminister,Regeringen Carl Bildt,Q4916267,1991-10-04,1994-10-07
Sveriges jämställdhetsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
Sveriges justitieminister,Regeringen Carl Bildt,Q1780585,1991-10-04,1994-10-07
