role,government,wiki_id,start,end
Sveriges utbildningsminister,Regeringen Carlsson I,Q4098206,1985-10-17,1989-01-29
Sveriges ungdomsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04
Sveriges konsumentminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
Sveriges utbildningsminister,Regeringen Reinfeldt,Q946818,2006-10-06,2007-09-07
Sveriges ungdomsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
Sveriges kulturminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03
Statsministerns ställföretädare,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03
Sveriges socialförsäkringsminister,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05
Sveriges arbetsmarknadsminister,Regeringen Carlsson I,Q1796120,1982-10-08,1987-10-19
Sveriges biståndsminister,Regeringen Reinfeldt,Q458162,2006-10-06,2013-09-17
Sveriges minister för nordiskt samarbete,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05
Sveriges samfundsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
Sveriges idrottsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03
Sveriges jordbruksminister,Regeringen Carlsson I,Q5799722,1986-10-10,1991-10-04
Sveriges näringsminister,Regeringen Carlsson I,Q5991125,1990-01-12,1991-10-04
Sveriges socialförsäkringsminister,Regeringen Reinfeldt,Q1780398,2010-10-05,2014-10-03
Sveriges demokratiminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
Sveriges justitieminister,Regeringen Carlsson I,Q1796120,1987-10-19,1988-06-07
Sveriges handelsminister,Regeringen Reinfeldt,Q457877,2007-09-12,2014-10-03
Sveriges jordbruksminister,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-09
Sveriges bostadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
Sveriges kulturminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
Sveriges försvarsminister,Regeringen Reinfeldt,Q984112,2007-09-05,2012-03-29
Sveriges miljöminister,Regeringen Reinfeldt,Q535342,2011-09-29,2014-10-03
Sveriges biståndsminister,Regeringen Carlsson I,Q460919,1985-10-17,1991-10-04
Sveriges integrationsminister,Regeringen Reinfeldt,Q4588714,2010-10-05,2014-10-03
Sveriges idrottsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
Sveriges biträdande utbildningsminister,Regeringen Reinfeldt,Q241851,2010-10-05,2013-01-21
Sveriges infrastrukturminister,Regeringen Reinfeldt,Q271235,2006-10-06,2010-10-05
Sveriges minister för nordiskt samarbete,Regeringen Carlsson I,Q5799722,1982-10-08,1986-10-10
Sveriges samfundsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2010-10-05
Sveriges arbetsmarknadsminister,Regeringen Reinfeldt,Q772089,2010-10-05,2013-09-17
Sveriges skolminister,Regeringen Reinfeldt,Q911372,2006-10-06,2007-09-12
Sveriges bostadsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
Sveriges minister för nordiskt samarbete,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-10
Statsministerns ställföretädare,Regeringen Carlsson I,Q5967249,1986-03-13,1986-10-09
Sveriges arbetsmarknadsminister,Regeringen Reinfeldt,Q3504785,2006-10-06,2010-07-07
Sveriges konsumentminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03
Statsministerns ställföretädare,Regeringen Reinfeldt,Q253640,2006-10-06,2010-10-05
Sveriges energiminister,Regeringen Reinfeldt,Q3562306,2011-09-29,2014-10-03
Sveriges bostadsminister,Regeringen Carlsson I,Q5969868,1988-10-04,1991-10-04
Sveriges integrationsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
Sveriges högskoleminister,Regeringen Reinfeldt,Q946818,2007-09-12,2009-06-17
Sveriges biträdande utbildningsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
Sveriges justitieminister,Regeringen Reinfeldt,Q297850,2006-10-06,2014-10-03
Sveriges finansminister,Regeringen Reinfeldt,Q182050,2006-10-06,2014-10-03
Sveriges demokratiminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03
Sveriges folkhälsominister,Regeringen Reinfeldt,Q447542,2006-10-06,2010-10-05
Sveriges miljöminister,Regeringen Carlsson I,Q4356302,1986-03-12,1991-10-04
Sveriges finansmarknadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
Sveriges jordbruksminister,Regeringen Reinfeldt,Q3058054,2006-10-06,2010-10-05
Sveriges miljöminister,Regeringen Reinfeldt,Q496604,2006-10-06,2011-09-29
Sveriges samfundsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
Sveriges konsumentminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
Sveriges försvarsminister,Regeringen Reinfeldt,Q2941786,2012-03-29,2012-04-18
Sveriges energiminister,Regeringen Reinfeldt,Q253640,2006-10-06,2011-09-29
Sveriges kommunminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
Sveriges ungdomsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21
Sveriges socialminister,Regeringen Carlsson I,Q4978577,1985-10-16,1989-01-29
Sveriges skolminister,Regeringen Carlsson I,Q53747,1989-01-29,1991-10-04
Sveriges näringsminister,Regeringen Carlsson I,Q53740,1988-09-30,1988-10-04
Sveriges utbildningsminister,Regeringen Reinfeldt,Q911372,2007-09-12,2014-10-03
Sveriges digitaliseringsminister,Regeringen Reinfeldt,Q3562306,2010-10-05,2014-10-03
Sveriges jämställdhetsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21
Sveriges kulturminister,Regeringen Reinfeldt,Q946818,2006-10-16,2006-10-24
Sveriges minister för nordiskt samarbete,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04
Sveriges utrikesminister,Regeringen Reinfeldt,Q52922,2006-10-06,2014-10-03
Sveriges infrastrukturminister,Regeringen Reinfeldt,Q2941786,2010-10-05,2014-10-02
Sveriges kommunikationsminister,Regeringen Carlsson I,Q5554537,1989-01-29,1990-02-27
Sveriges högskoleminister,Regeringen Reinfeldt,Q952026,2009-06-17,2010-10-05
Sveriges samfundsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
Sveriges landsbygdsminister,Regeringen Reinfeldt,Q3058054,2010-10-05,2014-10-03
Sveriges näringsminister,Regeringen Reinfeldt,Q253640,2010-10-06,2011-09-29
Sveriges jämställdhetsminister,Regeringen Carlsson I,Q1796120,1986-10-10,1987-10-19
Sveriges ungdomsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
Sveriges EU-minister,Regeringen Reinfeldt,Q234872,2006-10-06,2010-01-22
Sveriges civilminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
Sveriges utrikeshandelsminister,Regeringen Carlsson I,Q5799722,1983-01-01,1986-10-09
Sveriges idrottsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1991-10-04
Sveriges minister för nordiskt samarbete,Regeringen Reinfeldt,Q457877,2010-10-05,2014-10-03
Sveriges socialminister,Regeringen Reinfeldt,Q918261,2006-10-06,2014-10-03
Sveriges EU-minister,Regeringen Reinfeldt,Q429001,2010-02-02,2014-10-03
Sveriges jämställdhetsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
Sveriges arbetsmarknadsminister,Regeringen Reinfeldt,Q4981393,2013-09-17,2014-10-03
Sveriges högskoleminister,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03
Sveriges finansmarknadsminister,Regeringen Reinfeldt,Q3209237,2010-10-05,2014-10-03
Sveriges arbetsmarknadsminister,Regeringen Carlsson I,Q231413,1990-01-11,1991-10-04
Sveriges migrationsminister,Regeringen Reinfeldt,Q3112958,2006-10-06,2014-09-29
Statsministerns ställföretädare,Regeringen Carlsson I,Q460919,1990-02-16,1990-02-27
Sveriges invandrarminister,Regeringen Carlsson I,Q5554537,1986-10-10,1989-01-29
Sveriges näringsminister,Regeringen Reinfeldt,Q439393,2011-09-23,2014-10-03
Sveriges handelsminister,Regeringen Reinfeldt,Q984112,2006-10-24,2007-09-12
Sveriges arbetsmarknadsminister,Regeringen Reinfeldt,Q3112958,2010-07-07,2010-10-05
Sveriges biståndsminister,Regeringen Reinfeldt,Q772089,2013-09-17,2014-10-03
Sveriges handelsminister,Regeringen Reinfeldt,Q520223,2006-10-06,2006-10-14
Sveriges arbetsmarknadsminister,Regeringen Fälldin II,Q5708784,1980-07-31,1982-10-08
Sveriges löneminister,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08
Sveriges bostadsminister,Regeringen Ullsten,Q4916267,1978-10-18,1982-10-08
Sveriges invandrarminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12
Sveriges utrikesminister,Regeringen Fälldin II,Q53733,1979-10-12,1982-10-08
Sveriges handelsminister,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08
Sveriges jordbruksminister,Regeringen Ullsten,Q5713444,1978-10-18,1979-10-12
Sveriges minister för nordiskt samarbete,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08
Sveriges samfundsminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08
Sveriges socialminister,Regeringen Palme II,Q1346478,1982-10-08,1985-10-16
Sveriges budgetminister,Regeringen Fälldin III,Q6244910,1980-08-01,1982-10-08
Sveriges jämställdhetsminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12
Sveriges utbildningsminister,Regeringen Fälldin III,Q6340136,1976-10-08,1982-10-08
Sveriges energiminister,Regeringen Palme II,Q4356302,1982-10-08,1990-02-27
Sveriges utrikesminister,Regeringen Ullsten,Q297275,1978-10-18,1979-10-12
Sveriges skolminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08
Sveriges miljöminister,Regeringen Palme II,Q53740,1985-10-07,1986-02-28
Sveriges justitieminister,Regeringen Ullsten,Q6077653,1976-10-08,1979-10-12
Sveriges samfundsminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08
Sveriges kommunikationsminister,Regeringen Palme II,Q5816531,1985-10-18,1989-01-29
Sveriges näringsminister,Regeringen Fälldin III,Q6255950,1979-10-12,1982-10-08
Statsministerns ställföretädare,Regeringen Palme II,Q53740,1982-10-08,1986-03-13
Sveriges socialminister,Regeringen Fälldin III,Q468538,1979-10-12,1982-10-08
Sveriges jordbruksminister,Regeringen Fälldin III,Q4352320,1982-10-04,1982-10-08
Sveriges invandrarminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08
Sveriges kommunminister,Regeringen Palme II,Q887398,1982-10-08,1982-12-31
Sveriges näringsminister,Regeringen Ullsten,Q5817889,1978-10-18,1979-10-12
Sveriges näringsminister,Regeringen Fälldin II,Q6255950,1979-10-12,1982-10-08
Sveriges jämställdhetsminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08
Statsministerns ställföretädare,Regeringen Ullsten,Q6077653,1978-10-18,1979-10-12
Sveriges kommunikationsminister,Regeringen Fälldin II,Q3431988,1979-10-12,1981-05-05
Sveriges kommunminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08
Sveriges minister för nordiskt samarbete,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22
Sveriges energiminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12
Sveriges samordningsminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12
Statsministerns ställföretädare,Regeringen Fälldin II,Q5996964,1979-10-12,1980-07-31
Sveriges arbetsmarknadsminister,Regeringen Palme II,Q1796120,1982-10-08,1987-10-19
Sveriges skolminister,Regeringen Ullsten,Q4975172,1978-10-18,1979-10-12
Sveriges kommunminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08
Sveriges energiminister,Regeringen Fälldin III,Q5708784,1981-05-22,1982-10-08
Sveriges budgetminister,Regeringen Fälldin II,Q5996964,1976-11-25,1980-07-31
Statsministerns ställföretädare,Regeringen Fälldin III,Q53733,1980-08-01,1982-10-08
Sveriges jordbruksminister,Regeringen Fälldin III,Q4753755,1979-10-12,1982-10-04
Sveriges justitieminister,Regeringen Palme II,Q6061623,1982-10-08,1983-11-10
Sveriges kommunikationsminister,Regeringen Fälldin II,Q2021126,1981-05-05,1981-05-22
Sveriges kulturminister,Regeringen Palme II,Q5780291,1982-10-08,1991-10-04
Sveriges socialminister,Regeringen Ullsten,Q724410,1978-10-18,1979-10-12
Sveriges justitieminister,Regeringen Palme II,Q1796120,1983-11-11,1983-11-15
Sveriges jordbruksminister,Regeringen Palme II,Q5967249,1982-10-08,1986-10-09
Sveriges justitieminister,Regeringen Fälldin III,Q3658738,1981-05-05,1982-10-08
Sveriges ekonomiminister,Regeringen Fälldin II,Q263366,1979-10-12,1981-05-05
Statsministerns ställföretädare,Regeringen Fälldin II,Q53733,1980-08-01,1982-10-08
Sveriges justitieminister,Regeringen Palme II,Q6239734,1983-01-01,1987-10-19
Sveriges minister för nordiskt samarbete,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
Sveriges handelsminister,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05
statssekreterare,Regeringen Ullsten,Q60971016,1976-01-01,1979-01-01
Sveriges jordbruksminister,Regeringen Fälldin II,Q4753755,1979-10-12,1982-10-04
Sveriges minister för nordiskt samarbete,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05
Sveriges invandrarminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10
Sveriges ungdomsminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08
Sveriges kommunikationsminister,Regeringen Fälldin III,Q4352320,1981-05-22,1982-10-08
Sveriges ekonomiminister,Regeringen Ullsten,Q5996964,1978-10-18,1979-10-12
konsultativt statsråd,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08
Sveriges jämställdhetsminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10
Sveriges skolminister,Regeringen Palme II,Q5780291,1982-10-08,1989-01-30
Sveriges löneminister,Regeringen Ullsten,Q4990079,1978-10-18,1979-10-12
Sveriges utbildningsminister,Regeringen Ullsten,Q6340136,1976-10-08,1982-10-08
Sveriges sjukvårdsminister,Regeringen Ullsten,Q4962326,1978-10-18,1979-10-12
Sveriges finansminister,Regeringen Palme II,Q927466,1983-01-01,1990-02-16
Sveriges minister för nordiskt samarbete,Regeringen Palme II,Q5967249,1982-10-08,1986-10-10
konsultativt statsråd,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08
Sveriges planminister,Regeringen Fälldin II,Q5616559,1979-10-12,1981-05-05
Sveriges ekonomiminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31
Sveriges biträdande industriminister,Regeringen Palme II,Q5603378,1982-10-08,1985-09-30
Sveriges handelsminister,Regeringen Ullsten,Q5604013,1978-10-18,1979-10-12
Sveriges arbetsmarknadsminister,Regeringen Ullsten,Q6244910,1978-03-07,1980-07-31
Sveriges sjukvårdsminister,Regeringen Fälldin II,Q4954452,1979-10-12,1981-05-05
Sveriges samfundsminister,Regeringen Palme II,Q887398,1982-10-08,1988-10-04
Sveriges budgetminister,Regeringen Ullsten,Q5996964,1976-11-25,1980-07-31
Sveriges sjukvårdsminister,Regeringen Fälldin III,Q4934607,1981-05-22,1982-10-08
Sveriges kommunikationsminister,Regeringen Palme II,Q5603378,1985-07-01,1985-10-17
Sveriges samfundsminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
Sveriges ekonomiminister,Regeringen Fälldin III,Q6244910,1981-05-05,1982-10-08
Sveriges försvarsminister,Regeringen Palme II,Q5603378,1985-10-14,1991-10-04
Sveriges näringsminister,Regeringen Palme II,Q2408431,1982-10-08,1988-09-30
Sveriges konsumentminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04
Sveriges budgetminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31
Sveriges arbetsmarknadsminister,Regeringen Fälldin III,Q5708784,1980-07-31,1982-10-08
Sveriges löneminister,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08
Sveriges utrikesminister,Regeringen Palme II,Q1346478,1985-10-17,1991-10-04
Sveriges utrikesminister,Regeringen Fälldin III,Q53733,1979-10-12,1982-10-08
Sveriges löneminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04
Sveriges bostadsminister,Regeringen Palme II,Q5777699,1982-10-08,1988-10-04
Sveriges kommunminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
Sveriges kommunikationsminister,Regeringen Ullsten,Q4987638,1978-10-18,1979-10-12
Sveriges socialminister,Regeringen Persson,Q5854875,1998-11-16,2004-10-01
Sveriges näringsminister,Regeringen Persson,Q231413,2002-10-15,2002-10-21
Sveriges integrationsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21
Sveriges idrottsminister,Regeringen Persson,Q321595,2004-11-01,2006-10-06
