alias,wiki_id
Åkerman i Strömstad,Q6255333
Öhman i Stockholm,Q6256712
Rydberg i Barkaby,Q18245538
Arvidsson i Storbrohyttan,Q18237396
Hagman i Domnarvet,Q19976568
Jonas Andersson i Skellefteå,Q59387749
Trygger i Stockholm,Q53633
Trygger i Uppsala,Q53633
Themptander i Stockholm,Q52958
Palme i Vällingby,Q53713
Hamrin i Jönköping,Q53650
Ekman i Eskilstuna,Q53642
Andreasson i Tollered,Q104918428
Pehrsson i Önnerud,Q105046955
Ohlin i Stockholm,Q179493
Lindhagen i Stockholm,Q369044
Sundberg i Karlstad,Q525663
Sundberg i Uppsala,Q525663
Blanche i Stockholm,Q764239
Andersson i Stockholm,Q1346478
Lundström i Stockholm,Q1037831
Meyer i Karlshamn,Q1358123
von Koch i Djursholm,Q1511698
von Koch i Stockholm,Q1511698
Hamilton i Hedenlunda,Q3054681
Nordström i Stockholm,Q4547462
Hult i Kolbäck,Q5816342
Vougt i Malmö,Q4731015
Humla i Munkfors,Q4955074
Torbrink i Kalmar,Q4983117
Ewerlöf i Stockholm,Q4947351
Andersson i Örebro,Q5556070
Lindley i Stockholm,Q5080263
Lindley i Äppelviken,Q5080263
Löfgren i Stockholm,Q5360742
Lager i Stockholm,Q5504808
Fredholm i Stockholm,Q5741552
Petersson i Leksand,Q6045461
Barnekow i Åraslöv,Q5566039
Andersson i Saleby,Q5554713
Berg i Stockholm,Q5571164
Andersson i Sollebrunn,Q5554635
Berggren i Östmark,Q5571894
Bodin i Grausne,Q5580347
Björk i Jämtön,Q5577470
Björnberg i Enköping,Q5578265
Borggren i Ängelholm,Q5582507
Bolander i Sala,Q5581074
Bonde i Fållnäs,Q5581563
Beckman i Djursholm,Q5568434
Beckman i Stockholm,Q5568434
Bruce i Stockholm,Q5588048
Andersson i Grude,Q5554975
Anderson i Hälla,Q5553568
Andersson i Jönvik,Q5554851
Baaz i Åby,Q5563376
Andersson i Plöninge,Q5556075
Andersson i Eskilstuna,Q5554616
Andersson i Billingsfors,Q5556063
Andersson i Fränninge,Q5555087
Andersson i Halmstad,Q5555267
Andersson i Nora,Q5555276
Björn i Stockholm,Q5578212
Darin i Malmö,Q5617211
Rune i Västervik,Q6083558
Elliot i Stockholm,Q5709446
Faxe i Malmö,Q5726518
Fröberg i Härnösand,Q5746318
Gethe i Kalmar,Q5757453
Herslow i Malmö,Q5803390
Hallin i Viskafors,Q5784915
Hedgren i Göteborg,Q5795804
Jonsson i Myre,Q5891561
Jonsson i Fors,Q5891546
Lagerbring i Stockholm,Q5930919
Lagerbring i Göteborg,Q5930919
Kockum i Bulltofta,Q5916859
Kvarnzelius i Falun,Q5927431
Kvarnzelius i Orsa,Q5927431
Kvarnzelius i Signelund,Q5927431
Liljeholm i Göteborg,Q5951720
Lindgren i Oskarshamn,Q5955866
Lovén i Stockholm,Q5964257
Petersson i Broaryd,Q6045471
Persson i Rinna,Q6042628
Persson i Borrby,Q6042832
Nordenfelt i Stockholm,Q6014635
Nilson i Lidköping,Q6009427
Persson i Vadensjö,Q6043460
Persson i Grytterud,Q6043440
Persson i Svensköp,Q6043453
Nordström i Stockholm,Q6016298
