alias,wiki_id
Sköld i Kämpinge o Toftaröd,Q6180686
Sköld i Oxie,Q6180686
Thorsson i Ystad,Q6209474
Örne i Stockholm,Q6257291
Wachtmeister af Johannishus i Vanås,Q6227918
Wachtmeister af Johannishus i Wambåsa,Q6228020
Wachtmeister af Johannishus i Karlskrona,Q6227924
Wachtmeister af Johannishus i Johannishus,Q6228008
Wallin i Midsommarkransen,Q10540434
Fornander i Växjö,Q30064227
Bildt i Stockholm,Q52960
Cederström i Högnalöv,Q96097384
Boman i Flatenberg,Q105044852
Broman i Stockholm,Q110651954
Johansson i Rönna,Q110654970
Bohman i Stockholm,Q263366
Björck i Nässjö,Q490785
Ekman i Finspång,Q1037569
Carleson i Stockholm,Q1291317
Holmberg i Stockholm,Q3374305
Boheman i Gränna,Q3424655
Ekman i Göteborg,Q5630514
Ekman i Göteborg,Q5630602
Ekman i Göteborg,Q5630690
Björk i Påarp,Q5577577
Boman i Flatenberg,Q4939940
Biesèrt i Lennartsfors,Q5575709
Wohlin i Stocksund,Q4990681
Ekman i Stockholm,Q5630550
Abelin i Kvillinge,Q5541257
Adelswärd i Stockholm,Q5542625
Adelswärd i Åtvidaberg,Q5542641
Berg i Nääs,Q5571405
Bergman i Luleå,Q5572792
Bergmanson i Sundsvall,Q5572843
Bergmark i Alingsås,Q5572872
Bergström i Bubbetorp,Q5573351
Bernström i Stockholm,Q5574112
Bexell i Torstorp,Q5575104
Bengtsson i Öxared,Q5570243
Bengtsson i Gullåkra,Q5570257
Bengtsson i Borås,Q5570343
Benjaminsson i Tämta,Q5570504
Berg i Karlshamn,Q5571158
Boman i Göteborg,Q5581369
Borell i Saltsjö-Storängen,Q5582292
Boman i Malmö,Q5581360
Boman i Kieryd,Q5581410
Berggren i Sundsvall,Q5571913
Cawallin i Timrå,Q5605319
Bodin i Trangärd,Q5580341
Bovin i Sala,Q5583930
Bovin i Hedemora,Q5583930
Berggren i Nora,Q5571910
Burman i Byske,Q5590421
Burman i Merlo,Q5590424
Burman i Erikssund o Gustavsberg,Q5590424
Biesèrt i Töcksfors,Q5575715
Billström i Lund,Q5576225
Björck i Falkenberg,Q5577366
Björck i Göteborg,Q5577408
Björck i Göteborg,Q5577465
De Geer af Finspång i Mariestad,Q5618647
Björck i Stockholm,Q5577394
Douglas i Linköping,Q5624121
Bildt i Stockholm,Q5575914
Björklund i Stora Perstorp,Q5577709
Björck i Kristianstad,Q5577378
Björck i Djursholm,Q5577444
Björck i Jönköping,Q5577444
Bergius i Jönköping,Q5572222
Bergman i Visby,Q5572576
Björlin i Visby,Q5578043
Bohnstedt i Rinkesta,Q5580824
Björck i Sundsvall,Q5577503
Bondesson i Svalöv,Q5581635
Boström i Simmartorp,Q5583260
von Braun i Rydaholm,Q5585390
Brummer i Fröllinge,Q5588185
Brun i Hudiksvall,Q5588217
Bruzelius i Gyllerup,Q5588689
af Burén i Boxholm,Q5590180
Bäckström i Uttersberg,Q5591660
Carlborg i Strömstad,Q5602525
Carlsson i Ullvi,Q5603032
Carlsson i Fittja,Q5603283
Casparsson i Brunna,Q5604447
Cassel i Stjärnsund,Q5604537
Cassel i Gunnerud,Q5604541
Cederberg i Umeå,Q5605428
Cederberg i Stockholm och i Saltsjöbaden,Q5605428
Cederström i Sanda,Q5605691
Cederström i Beatelund,Q5605687
Croneborg i Sjöberg,Q5613442
Croneborg i Älvsbacka,Q5613446
Cronstedt i Västerås,Q5613568
Edenman i Uppsala,Q5627064
Eriksson i Björka,Q5718128
Ernfors i Björka,Q5718128
Enhörning i Kubikenborg,Q5713371
Fagerlin i Luleå,Q5722712
Fant i Södertälje,Q5725116
Folin i Storvik,Q5735299
Huldt i Umeå,Q5816232
Kinander i Stockholm,Q5909615
Roman i Skanderåsen,Q6077520
Roman i Östersund,Q6077509
Rosensvärd i Long,Q6080191
Senell i Kristianstad,Q6172756
Öberg i Domsjö,Q6256173
Horn af Rantzien,Q5813816
Berlin i Stockholm,Q5573763
De Geer af Finnspång i Hanaskog,Q53626
Posse i Charlottenlund,Q52951
Blidberg i Söderköping,Q104841633
Magnus Arhusiander,Q5559022
Strindlund i Skedom,Q6192576
Cervin i Sunne,Q110765107
Arnoldson i Liljeholmen,Q192618
Hermansson i Stockholm,Q441891
Bengtsson i Varberg,Q707581
Andersson i Falun,Q1555406
Herlitz i Djursholm,Q1797996
Allard i Örebro,Q1606431
Afzelius i Uppsala,Q3087232
Andersson i Fiskebäckskil,Q5555123
Anderson i Landa,Q5555287
Petersson i Påboda,Q4723287
Johansson i Öckerö,Q5885974
Anér i Bromma,Q4936057
Andersson i Luleå,Q5795077
Berg i Eksjö,Q5571357
Bergström i Stockholm,Q5573548
Bergström i Skidsta,Q5573288
Bergström i Björsbyn,Q5573383
Beronius i Falun,Q5574217
Bexelius i Mångbyn,Q5575098
Billström i Röa,Q5576219
Bladh i Örsjö,Q5578534
Blomberg i Härnösand,Q5579445
Bokström i Visby,Q5581049
Danckwardt-Lilleström i Solberga,Q5616503
Bondeson i Blomstermåla,Q5581616
Dahlström i Knäppinge,Q5615773
Danström i Halmstad,Q5617030
Damström i Domnarvet,Q5616432
Borgström i Åsbo,Q5598486
De Geer af Leufsta i Frötuna,Q5618683
Cedercrantz i Kalmar,Q5605497
De Geer af Finnspång i Hanaskog,Q5618613
De la Gardie i Borrestad,Q5618783
De la Gardie i Maltesholm,Q5618788
Dickson i Kyleberg,Q5621587
Dickson i Jönköping,Q5621628
Dickson i Malmö,Q5621628
Dickson i Vikaryd,Q5621600
Andersson i Hamra,Q5554268
Andersson i Skeenda,Q5554264
"Andersson i Stockholm, Stocksund o Djursholm",Q5555123
Bergmark i Hedåker,Q5572863
Berlin i Lund,Q5573776
Dahm i Kalmar,Q5615862
Elfstedt i Arboga,Q5708322
Elfstedt i Stockholm,Q5708322
Anjou i Linköping,Q5557308
Andersson i Lund,Q5553920
Berlin i Umeå,Q5573763
Bergman i Stockholm,Q5572642
Berling i Helsingborg,Q5573792
Berndes i Stockholm,Q5573886
Björklund i Rörön,Q5577746
Björklund i Sund,Q5577746
Bexelius i Stockholm,Q5575089
Erickson i Bjärsby,Q5714494
Almqvist i Stockholm,Q5547641
Almqvist i Janslunda,Q5547561
Brolin i Istrum,Q5587193
Bergman i Bodträskfors,Q5572579
Bergman i Gällivare,Q5572579
Bergstedt i Skrukorp,Q5573088
Cervin i Sunne,Q5606084
Bergström i Västerby,Q5573430
Dufwa i Stockholm,Q5625211
von Ehrenheim i Grönsö,Q5628179
Fåhræus i Stockholm,Q5748259
Josefson i Arrie,Q5892602
Josefsson i Halmstad,Q5892646
af Klint i Linköping,Q5914280
Funck i Bolltorp,Q5747245
de Laval i Falun,Q5940973
De Maré i Ankarsrum,Q5976073
De Maré i Nygård,Q5976081
Mosesson i Lidingö,Q5994972
Johansson i Mysinge,Q5886385
Johanson i Valared,Q5885067
Poignant i Visby,Q6052397
Sandström i Gävle,Q6093202
Sandström i Överluleå,Q6093220
Sandström i Stockholm,Q6093290
Rydin i Visby,Q6085588
Ohlsson i Halmstad,Q6023517
Ohlsson i Bårstad,Q6023636
Olsson i Mosstakan,Q6027645
Näsgård i Äppelviken,Q6020901
Näsgård i Österfärnebo,Q6020901
Rappe i Jätsberg,Q6063614
Widell i Marstrand,Q6240013
Sundelin i Fellingsbro,Q6195774
Sylwan i Malmö,Q6200560
Westerdahl i Kusta,Q6237662
Åkerhielm af Margretelund i Margretelund,Q52964
Staaff i Stockholm,Q53292
Jeppsson i Mörrum,Q5882484
Jeppsson i Visby,Q5882484
Larsson i Ulriksdal,Q5938659
Stener i Falkenberg,Q110811413
Nilsson i Örebro,Q6009015
Bratt i Stockholm,Q1675523
Lindqvist i Stockholm,Q3893038
Carlström i Helgagård,Q5603515
Bengtsson i Norup,Q5570408
Strand i Stockholm,Q4830361
Odelberg i Enskede,Q6022267
von Friesen i Göteborg,Q4895712
Olsson i Hölö,Q4971112
Peterson i Linköping,Q6044981
von Heland i Arhammar,Q5388930
Wijk i Göteborg,Q6240991
Danielson i Dyestad,Q5616733
Bratt i Dalkarlsberg,Q5585253
Bratt i Göteborg,Q5585223
Bratt i Göteborg,Q5585291
Brock i Mariestad,Q5586932
Hagberg i Malmö,Q5781896
Nilsson i Gränebo,Q5774246
Heiding i Stora Tomteby,Q5797491
Eskilsson i Likenäs,Q5719184
Eurén i Edebo,Q5720571
Henriksson i Bromma,Q5801470
Ifvarsson i Värestorp,Q5822171
Franzén i Karlstad,Q5740906
Holmberg i Växjö,Q5810812
Jonsson i Freluga,Q5891534
Mannerskantz i Värnanäs,Q5975035
Mannerskantz i Värnanäs,Q5975041
Lodenius i Hammarby,Q5962251
Meurling i Kristdala,Q5985507
Lindblad i Göteborg,Q5954133
Lindblad i Närlunda,Q5954175
Lindblom i Falun,Q5954341
Persson i Tällberg,Q6042759
Nilson i Kristinehamn,Q6009356
Nilsson i Malmö,Q6011346
Nilsson i Kabbarp,Q6011346
Nilsson i Everöd,Q6011953
Pehrson i Törneryd,Q6039716
Magnusson i Kalmar,Q5972055
Magnusson i Skövde,Q5972050
Olsson i Göteborg,Q6027656
Olsson i Morastrand,Q6026474
Nilsson i Bonarp,Q6011618
Nilsson i Kulhult,Q6011628
Olsson i Sånnersta,Q6026789
Olsson i Kyrkebol,Q6026783
Olson i Göteborg,Q6026229
Ohlsson i Växjö,Q6023601
Olsson i Bågeholm,Q6026465
Petersson i Lidingö villastad,Q6045216
Petersson i Skurö,Q6045558
Malmborg i Skövde,Q6151901
Swartling i Norrköping,Q6199757
Stadener i Ystad,Q6186446
von Seth i Bratteberg,Q6173314
Skoglund i Doverstorp,Q6180020
Östberg i Brantshammar,Q6257544
Östberg i Stockholm o Tureberg,Q6257544
Åkerberg i Örebro,Q6255057
Österström i Härnösand,Q6257968
Nilsson i Äspö,Q6314748
Olsson i Leråkra,Q19976882
Olsson i Listerby,Q19976882
Lundeberg i Forsbacka,Q53286
Lundeberg i Stockholm,Q53286
