wiki_id,location
Q53707,Lund
Q152452,Ålsten
Q152452,Äppelviken
Q241035,Stockholm
Q4356302,Uppsala
Q4731015,Malmö
Q6014287,Trångsund
Q5715273,Kinna
Q6180686,Kämpinge
Q6180686,Toftaröd
Q6180686,Oxie
Q1346478,Stockholm
Q354112,Spånga
Q53660,Stockholm
Q6027656,Göteborg
Q53620,Stockholm
Q6168210,Stockholm
Q179493,Stockholm
Q5955664,Nevishög
Q6209474,Ystad
Q1555406,Rasjön
Q1555406,Falun
Q3893038,Stockholm
Q6255333,Strömstad
Q6011492,Tånga
Q263366,Stockholm
Q53747,Stjärnhov
Q53740,Tyresö
Q5556070,Örebro
Q707581,Varberg
Q4353489,Stockholm
Q4353489,Uppsala
Q152437,Stockholm
Q6192576,Skedom
Q4710223,Spånga
Q490785,Nässjö
Q5716747,Arvika
Q5782706,Enskede
Q5707657,Iggesund
Q5716662,Bäckmora
Q5887855,Skärstad
Q5887855,Lyckåsgård
Q4352320,Ronneby
Q5582047,By
Q4753755,Valdemarsvik
Q6009920,Kristianstad
Q6033276,Sollentuna
Q6045408,Röstånga
Q5561113,Gävle
Q5573639,Stockholm
Q4971112,Hölö
Q5556063,Billingsfors
Q4938512,Luleå
Q5626648,Simrishamn
Q5618990,Åtvidaberg
Q5577506,Skärholmen
Q5743823,Vällingby
Q5577484,Gävle
Q5573006,Västra Frölunda
Q5584928,Aspabruk
Q5553993,Ljung
Q5556026,Malmö
Q4936057,Bromma
Q5555156,Storfors
Q4982739,Ramsjö
Q6011953,Everöd
Q5786333,Ovesholm
Q5938123,Västannor
Q6180020,Doverstorp
Q1606431,Örebro
Q5581542,Ericsberg
Q5581542,Grimmersta
Q5601098,Hedemora
Q52964,Margretelund
Q6010694,Skottlandshus
Q5747245,Bolltorp
Q5971892,Tumhult
Q6080191,Long
Q6042759,Tällberg
Q5882484,Mörrum
Q5882484,Visby
Q6011618,Bonarp
Q6022267,Enskede
Q6039716,Törneryd
Q330757,Västerås
Q330757,Lund
Q4895712,Göteborg
Q5744409,Stockholm
Q5748259,Stockholm
Q53286,Forsbacka
Q53286,Stockholm
Q5822171,Värestorp
Q5388930,Arhammar
Q5359581,Almnäs
Q5359581,Stockholm
Q5359581,Mariedal
Q5975041,Värnanäs
Q5616733,Dyestad
Q5603515,Helgagård
Q52951,Charlottenlund
Q5774246,Gränebo
Q53292,Stockholm
Q3424655,Gränna
Q4830361,Stockholm
Q5886385,Mysinge
Q2944347,Stockholm
Q5972050,Skövde
Q6011346,Malmö
Q6011346,Kabbarp
Q5547641,Stockholm
Q5628179,Grönsö
Q1291317,Stockholm
Q6195774,Fellingsbro
Q6009015,Örebro
Q5604447,Brunna
Q3054681,Hedenlunda
Q6199757,Norrköping
Q5803390,Malmö
Q5962251,Hammarby
Q5932922,Stockholm
Q5570408,Norup
Q525663,Karlstad
Q525663,Uppsala
Q5711082,Laxarby
Q6237325,Ljusdal
Q5885967,Simrishamn
Q5789491,Skegrie
Q5892646,Halmstad
Q5901520,Bengtsfors
Q5937997,Lotorp
Q5972180,Borås
Q5887630,Norrköping
Q5963832,Örserumsbrunn
Q6043780,Appuna
Q6046890,Kvänum
Q5604541,Gunnerud
Q5563972,Stockholm
Q6151901,Skövde
Q6173314,Bratteberg
Q6257968,Härnösand
Q6026474,Mora
Q6026474,Morastrand
Q6072728,Åsandby
Q6178706,Helsingborg
Q6228020,Wambåsa
Q5570215,Landskrona
Q5609574,Helsingborg
Q5708826,Sundborn
Q5543002,Västerås
Q6085444,Malmö
Q1347731,Enskede
Q5360742,Stockholm
Q4723287,Påboda
