year,chamber,percentage
1920,Andra kammaren,1.0
1921,Andra kammaren,1.0
1922,Andra kammaren,1.0
1923,Andra kammaren,1.0
1924,Andra kammaren,0.9555555555555556
1925,Andra kammaren,1.0
1926,Andra kammaren,1.0
1927,Andra kammaren,1.0
1928,Andra kammaren,1.0
1929,Andra kammaren,1.0
1930,Andra kammaren,1.0
1931,Andra kammaren,1.0
1932,Andra kammaren,1.0
1933,Andra kammaren,1.0
1934,Andra kammaren,1.0
1935,Andra kammaren,1.0
1936,Andra kammaren,1.0
1937,Andra kammaren,1.0
1938,Andra kammaren,1.0
1939,Andra kammaren,1.0
1940,Andra kammaren,1.0
1941,Andra kammaren,1.0
1942,Andra kammaren,1.0
1943,Andra kammaren,1.0
1944,Andra kammaren,1.0
1945,Andra kammaren,1.0
1946,Andra kammaren,1.0
1947,Andra kammaren,1.0
1948,Andra kammaren,1.0
1949,Andra kammaren,1.0
1950,Andra kammaren,1.0
1951,Andra kammaren,1.0
1952,Andra kammaren,1.0
1953,Andra kammaren,1.0
1954,Andra kammaren,1.0
1955,Andra kammaren,1.0
1956,Andra kammaren,1.0
1957,Andra kammaren,1.0
1958,Andra kammaren,1.0
1959,Andra kammaren,1.0
1960,Andra kammaren,1.0
1961,Andra kammaren,1.0
1962,Andra kammaren,1.0
1963,Andra kammaren,1.0
1964,Andra kammaren,1.0
1965,Andra kammaren,1.0
1966,Andra kammaren,1.0
1967,Andra kammaren,1.0
1968,Andra kammaren,1.0
1969,Andra kammaren,1.0
1970,Andra kammaren,1.0
1971,Enkammarriksdagen,0.9802631578947368
1972,Enkammarriksdagen,0.9797297297297297
1973,Enkammarriksdagen,0.9813664596273292
1974,Enkammarriksdagen,0.9794520547945206
1975,Enkammarriksdagen,0.98
1976,Enkammarriksdagen,0.9846153846153847
1977,Enkammarriksdagen,0.9763779527559056
1978,Enkammarriksdagen,0.9886363636363636
1979,Enkammarriksdagen,0.9883720930232558
1980,Enkammarriksdagen,0.9770114942528736
1981,Enkammarriksdagen,0.9662921348314607
1982,Enkammarriksdagen,0.9461077844311377
1983,Enkammarriksdagen,0.9941176470588236
1984,Enkammarriksdagen,0.9881656804733728
1985,Enkammarriksdagen,0.9820359281437125
1986,Enkammarriksdagen,0.9856115107913669
1987,Enkammarriksdagen,0.9714285714285714
1988,Enkammarriksdagen,0.9774436090225563
1989,Enkammarriksdagen,1.0
1990,Enkammarriksdagen,1.0
1991,Enkammarriksdagen,0.984251968503937
1992,Enkammarriksdagen,1.0
1993,Enkammarriksdagen,1.0
1994,Enkammarriksdagen,1.0
1995,Enkammarriksdagen,1.0
1996,Enkammarriksdagen,1.0
1997,Enkammarriksdagen,1.0
1998,Enkammarriksdagen,1.0
1999,Enkammarriksdagen,1.0
2000,Enkammarriksdagen,1.0
2001,Enkammarriksdagen,1.0
2002,Enkammarriksdagen,1.0
2003,Enkammarriksdagen,1.0
2004,Enkammarriksdagen,1.0
2005,Enkammarriksdagen,1.0
2006,Enkammarriksdagen,1.0
2007,Enkammarriksdagen,1.0
2008,Enkammarriksdagen,1.0
2009,Enkammarriksdagen,1.0
2010,Enkammarriksdagen,1.0
2011,Enkammarriksdagen,1.0
2012,Enkammarriksdagen,1.0
2013,Enkammarriksdagen,1.0
2014,Enkammarriksdagen,1.0
2015,Enkammarriksdagen,1.0
2016,Enkammarriksdagen,1.0
2017,Enkammarriksdagen,1.0
2018,Enkammarriksdagen,1.0
2019,Enkammarriksdagen,1.0
2020,Enkammarriksdagen,1.0
2021,Enkammarriksdagen,0.8028169014084507
1920,Första kammaren,0.37142857142857144
1921,Första kammaren,0.3673469387755102
1922,Första kammaren,0.37209302325581395
1923,Första kammaren,0.26666666666666666
1924,Första kammaren,0.2619047619047619
1925,Första kammaren,0.2857142857142857
1926,Första kammaren,0.23255813953488372
1927,Första kammaren,0.19047619047619047
1928,Första kammaren,0.25
1929,Första kammaren,0.24324324324324326
1930,Första kammaren,0.2608695652173913
1931,Första kammaren,0.17777777777777778
1932,Första kammaren,0.29411764705882354
1933,Första kammaren,0.2653061224489796
1934,Första kammaren,0.2222222222222222
1935,Första kammaren,0.19047619047619047
1936,Första kammaren,0.2708333333333333
1937,Första kammaren,0.1590909090909091
1938,Första kammaren,0.09302325581395349
1939,Första kammaren,0.09859154929577464
1940,Första kammaren,0.11290322580645161
1941,Första kammaren,0.0784313725490196
1942,Första kammaren,0.3333333333333333
1943,Första kammaren,0.2777777777777778
1944,Första kammaren,0.17142857142857143
1945,Första kammaren,0.2682926829268293
1946,Första kammaren,0.13953488372093023
1947,Första kammaren,0.10810810810810811
1948,Första kammaren,0.175
1949,Första kammaren,0.1875
1950,Första kammaren,0.08823529411764706
1951,Första kammaren,0.20588235294117646
1952,Första kammaren,0.1875
1953,Första kammaren,0.125
1954,Första kammaren,0.21212121212121213
1955,Första kammaren,0.21875
1956,Första kammaren,0.24242424242424243
1957,Första kammaren,0.23333333333333334
1958,Första kammaren,0.03125
1959,Första kammaren,0.25
1960,Första kammaren,0.1724137931034483
1961,Första kammaren,0.05555555555555555
1962,Första kammaren,0.1111111111111111
1963,Första kammaren,0.1891891891891892
1964,Första kammaren,0.14285714285714285
1965,Första kammaren,0.16666666666666666
1966,Första kammaren,0.05128205128205128
1967,Första kammaren,0.2641509433962264
1968,Första kammaren,0.17777777777777778
1969,Första kammaren,0.23255813953488372
1970,Första kammaren,0.10869565217391304
