year,protocol,N
1867,corpus/protocols/1867/prot-1867--fk--0128.xml,29
1867,corpus/protocols/1867/prot-1867--fk--0129.xml,11
1867,corpus/protocols/1867/prot-1867--fk--0130.xml,37
1867,corpus/protocols/1867/prot-1867--fk--0131.xml,50
1867,corpus/protocols/1867/prot-1867--fk--0202.xml,4
1867,corpus/protocols/1867/prot-1867--fk--0204.xml,14
1867,corpus/protocols/1867/prot-1867--fk--0206.xml,24
1867,corpus/protocols/1867/prot-1867--fk--0209.xml,3
1867,corpus/protocols/1867/prot-1867--fk--0213.xml,9
1867,corpus/protocols/1867/prot-1867--fk--0216.xml,86
1867,corpus/protocols/1867/prot-1867--fk--0220.xml,40
1867,corpus/protocols/1867/prot-1867--fk--0223.xml,40
1867,corpus/protocols/1867/prot-1867--fk--0227.xml,37
1867,corpus/protocols/1867/prot-1867--fk--0228.xml,25
1867,corpus/protocols/1867/prot-1867--fk--0302.xml,36
1867,corpus/protocols/1867/prot-1867--fk--0306.xml,22
1867,corpus/protocols/1867/prot-1867--fk--0307.xml,1
1867,corpus/protocols/1867/prot-1867--fk--0309.xml,81
1867,corpus/protocols/1867/prot-1867--fk--0311.xml,2
1867,corpus/protocols/1867/prot-1867--fk--0313.xml,64
1867,corpus/protocols/1867/prot-1867--fk--0314.xml,0
1867,corpus/protocols/1867/prot-1867--fk--0316.xml,104
1867,corpus/protocols/1867/prot-1867--fk--0318.xml,54
1867,corpus/protocols/1867/prot-1867--fk--0320.xml,70
1867,corpus/protocols/1867/prot-1867--fk--0322.xml,13
1867,corpus/protocols/1867/prot-1867--fk--0323.xml,1
1867,corpus/protocols/1867/prot-1867--fk--0326.xml,79
1867,corpus/protocols/1867/prot-1867--fk--0327.xml,94
1867,corpus/protocols/1867/prot-1867--fk--0328.xml,80
1867,corpus/protocols/1867/prot-1867--fk--0329.xml,93
1867,corpus/protocols/1867/prot-1867--fk--0330.xml,103
1867,corpus/protocols/1867/prot-1867--fk--0401.xml,37
1867,corpus/protocols/1867/prot-1867--fk--0404.xml,56
1867,corpus/protocols/1867/prot-1867--fk--0406.xml,98
1867,corpus/protocols/1867/prot-1867--fk--0408.xml,31
1867,corpus/protocols/1867/prot-1867--fk--0409.xml,57
1867,corpus/protocols/1867/prot-1867--fk--0410.xml,38
1867,corpus/protocols/1867/prot-1867--fk--0411.xml,60
1867,corpus/protocols/1867/prot-1867--fk--0412.xml,94
1867,corpus/protocols/1867/prot-1867--fk--0413.xml,66
1867,corpus/protocols/1867/prot-1867--fk--0415.xml,3
1867,corpus/protocols/1867/prot-1867--fk--0416.xml,136
1867,corpus/protocols/1867/prot-1867--fk--0417.xml,72
1867,corpus/protocols/1867/prot-1867--fk--0418.xml,26
1867,corpus/protocols/1867/prot-1867--fk--0424.xml,56
1867,corpus/protocols/1867/prot-1867--fk--0425.xml,62
1867,corpus/protocols/1867/prot-1867--fk--0426.xml,72
1867,corpus/protocols/1867/prot-1867--fk--0427.xml,83
1867,corpus/protocols/1867/prot-1867--fk--0429.xml,5
1867,corpus/protocols/1867/prot-1867--fk--0430.xml,5
1867,corpus/protocols/1867/prot-1867--fk--0501.xml,21
1867,corpus/protocols/1867/prot-1867--fk--0502.xml,3
1867,corpus/protocols/1867/prot-1867--fk--0503.xml,7
1867,corpus/protocols/1867/prot-1867--fk--0504.xml,3
1867,corpus/protocols/1867/prot-1867--fk--0506.xml,78
1867,corpus/protocols/1867/prot-1867--fk--0507.xml,29
1867,corpus/protocols/1867/prot-1867--fk--0508.xml,34
1867,corpus/protocols/1867/prot-1867--fk--0509.xml,58
1867,corpus/protocols/1867/prot-1867--fk--0510.xml,24
1867,corpus/protocols/1867/prot-1867--fk--0511.xml,14
1867,corpus/protocols/1867/prot-1867--fk--0512.xml,46
1867,corpus/protocols/1867/prot-1867--fk--0513.xml,53
1867,corpus/protocols/1867/prot-1867--fk--0514.xml,26
1867,corpus/protocols/1867/prot-1867--fk--0515.xml,18
1867,corpus/protocols/1867/prot-1867--fk--0516.xml,5
1868,corpus/protocols/1868/prot-1868--ak--0116.xml,1
1868,corpus/protocols/1868/prot-1868--ak--0117.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0118.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0120.xml,0
1868,corpus/protocols/1868/prot-1868--ak--0121.xml,5
1868,corpus/protocols/1868/prot-1868--ak--0122.xml,24
1868,corpus/protocols/1868/prot-1868--ak--0123.xml,45
1868,corpus/protocols/1868/prot-1868--ak--0124.xml,6
1868,corpus/protocols/1868/prot-1868--ak--0125.xml,39
1868,corpus/protocols/1868/prot-1868--ak--0127.xml,15
1868,corpus/protocols/1868/prot-1868--ak--0128.xml,41
1868,corpus/protocols/1868/prot-1868--ak--0129.xml,1
1868,corpus/protocols/1868/prot-1868--ak--0201.xml,10
1868,corpus/protocols/1868/prot-1868--ak--0203.xml,3
1868,corpus/protocols/1868/prot-1868--ak--0205.xml,3
1868,corpus/protocols/1868/prot-1868--ak--0208.xml,7
1868,corpus/protocols/1868/prot-1868--ak--0212.xml,13
1868,corpus/protocols/1868/prot-1868--ak--0215.xml,9
1868,corpus/protocols/1868/prot-1868--ak--0219.xml,41
1868,corpus/protocols/1868/prot-1868--ak--0222.xml,25
1868,corpus/protocols/1868/prot-1868--ak--0226.xml,79
1868,corpus/protocols/1868/prot-1868--ak--0229.xml,80
1868,corpus/protocols/1868/prot-1868--ak--0302.xml,83
1868,corpus/protocols/1868/prot-1868--ak--0303.xml,15
1868,corpus/protocols/1868/prot-1868--ak--0304.xml,132
1868,corpus/protocols/1868/prot-1868--ak--0307.xml,145
1868,corpus/protocols/1868/prot-1868--ak--0309.xml,98
