year,known,unknown,accuracy_upper_bound
1920,12106,1708,0.8763573186622268
1921,13511,1624,0.8926990419557318
1922,10763,988,0.9159220491873032
1923,9265,586,0.9405136534361994
1924,8851,421,0.9545944779982743
1925,8185,626,0.9289524458063784
1926,9501,644,0.9365204534253326
1927,9634,459,0.9545229366887942
1928,10008,484,0.9538696149447198
1929,9734,847,0.9199508553066817
1930,11082,1077,0.9114236368122378
1931,9290,802,0.9205311137534681
1932,11810,1065,0.9172815533980583
1933,8841,886,0.9089133340187108
1934,8557,935,0.90149599662874
1935,6764,987,0.8726615920526384
1936,8577,1046,0.8913020887457134
1937,7277,536,0.9313963906309997
1938,6609,690,0.9054665022605837
1939,8254,949,0.8968814517005325
1940,6800,786,0.896388083311363
1941,6284,760,0.892106757524134
1942,7244,740,0.907314629258517
1943,7324,969,0.8831544676232967
1944,7077,931,0.8837412587412588
1945,9607,1181,0.8905265109380793
1946,9279,1153,0.8894746932515337
1947,7240,774,0.9034190167207387
1948,13261,1512,0.8976511202870101
1949,9887,1257,0.8872038765254846
1950,10884,1103,0.9079836489530324
1951,12554,1136,0.9170197224251279
1952,11491,1144,0.9094578551642264
1953,11068,1094,0.9100476895247492
1954,12213,1281,0.9050689195197865
1955,11915,1188,0.909333740364802
1956,12950,1424,0.9009322387644357
1957,11726,1193,0.9076553912841551
1958,12839,1387,0.9025024602839871
1959,13061,1395,0.9035002767017155
1960,13196,1908,0.8736758474576272
1961,12083,1714,0.8757700949481771
1962,13047,2072,0.8629538990673986
1963,13751,1807,0.8838539658053735
1964,15994,2433,0.8679654854289901
1965,16133,2217,0.879182561307902
1966,17042,2208,0.8852987012987013
1967,20770,3052,0.8718831332381832
1968,19038,2347,0.8902501753565584
1969,19969,2432,0.8914334181509754
1970,21098,3015,0.8749637125202173
1971,17354,2575,0.8707913091474735
1972,18916,2522,0.8823584289579252
1973,18263,2728,0.8700395407555619
1974,14948,2638,0.849994313658592
1975,15130,2559,0.8553338232800045
1976,10979,2235,0.8308612078098986
1977,12544,1583,0.8879450697246407
1978,17232,947,0.9479069255734639
1979,22719,1270,0.9470590687398391
1980,22985,1339,0.9449514882420654
1981,18983,1318,0.9350770897985321
1982,19445,1170,0.9432452097986903
1983,22126,1365,0.9418926397343663
1984,21984,1345,0.9423464357666423
1985,20654,1691,0.9243231147907809
1986,20262,1433,0.9339479142659599
1987,20894,1370,0.9384656845131153
1988,21447,1214,0.9464277834164423
1989,22711,1640,0.9326516364831013
1990,57241,3147,0.9478869974167053
1991,103292,6251,0.9429356508403093
1992,112185,9540,0.9216266173752311
1993,121622,9021,0.9309492280489579
1994,104787,7165,0.9359993568672288
1995,94422,3402,0.9652232580961727
1996,89204,3908,0.958029040295558
1997,96107,3426,0.9655792551214171
1998,92043,3378,0.9645989876442292
1999,98499,7413,0.9300079311126218
2000,105477,7936,0.9300256584342182
2001,109106,5246,0.9541241080173499
2002,104183,6678,0.9397624051740467
2003,97149,4880,0.9521704613394231
2004,81265,1398,0.9830879595465928
2005,83054,1594,0.9811690766468197
2006,75304,1289,0.9831707858420482
2007,92284,1622,0.9827274082593231
2008,99142,1405,0.9860264353983709
2009,86246,1345,0.9846445411058213
2010,75119,1108,0.9854644679706666
2011,74693,890,0.9882248653797812
2012,80785,795,0.9902549644520716
2013,88312,633,0.9928832424532014
2014,83373,860,0.9897902247337742
2015,89360,1602,0.9823882500384776
2016,85157,1395,0.9838825214899714
2017,83270,1627,0.9808356007868358
2018,65984,1551,0.9770341304508773
2019,71089,1110,0.9846258258424632
2020,71307,1071,0.98520268589903
2021,96050,1876,0.9808426771235422
2022,542,37,0.9360967184801382
