role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
utrikesminister,Regeringen Andersson,Q18243775,2019-09-10,,Ann Linde,kvinna,1961-12-04,,Socialdemokraterna,,ann_linde_utrikesminister_w
infrastrukturminister,Regeringen Löfven I,Q5711551,2017-07-27,,Tomas Eneroth,man,1966-12-04,,Socialdemokraterna,,tomas_eneroth_infrastrukturminister_w
finansminister,Regeringen Löfven II,Q4935873,2014-10-03,2021-11-30,Magdalena Andersson,kvinna,1967-01-23,,Socialdemokraterna,,magdalena_andersson_finansminister_w
justitieminister,Regeringen Andersson,Q5887217,2014-10-03,,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_justitieminister_w
Klimatminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_klimatminister_w
handelsminister,Regeringen Löfven II,Q67207189,2019-09-10,,Anna Hallberg,kvinna,1963-11-19,,Socialdemokraterna,,anna_hallberg_handelsminister_w
kulturminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21,Alice Bah Kuhnke,kvinna,1971-12-21,,Miljöpartiet,,alice_bah_kuhnke_kulturminister_w
socialminister,Regeringen Löfven III,Q3431836,2019-01-21,,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_socialminister_w
digitaliseringsminister,Regeringen Löfven III,Q3375050,2019-01-21,2021-11-30,Anders Ygeman,man,1970-06-17,,Socialdemokraterna,,anders_ygeman_digitaliseringsminister_w
finansmarknadsminister,Regeringen Löfven III,Q23916255,2021-02-05,2021-11-30,Åsa Lindhagen,kvinna,1980-05-15,,Miljöpartiet,,asa_lindhagen_finansmarknadsminister_w
biståndsminister,Regeringen Löfven II,Q470630,2019-01-21,2020-12-17,Peter Eriksson,man,1958-08-03,,Miljöpartiet,,peter_eriksson_bistandsminister_w
migrationsminister,Regeringen Löfven III,Q5887217,2019-01-21,2021-11-30,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_migrationsminister_w
landsbygdsminister,Regeringen Löfven I,Q4609816,2014-10-03,2019-01-21,Sven-Erik Bucht,man,1954-12-28,,Socialdemokraterna,,sven-erik_bucht_landsbygdsminister_w
biståndsminister,Regeringen Löfven III,Q19977122,2021-02-05,2021-11-30,Per Olsson Fridh,man,1981-06-27,,Miljöpartiet,,per_olsson_fridh_bistandsminister_w
socialminister,Regeringen Löfven II,Q3431836,2019-01-21,,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_socialminister_w
demokratiminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21,Alice Bah Kuhnke,kvinna,1971-12-21,,Miljöpartiet,,alice_bah_kuhnke_demokratiminister_w
digitaliseringsminister,Regeringen Löfven II,Q3375050,2019-01-21,2021-11-30,Anders Ygeman,man,1970-06-17,,Socialdemokraterna,,anders_ygeman_digitaliseringsminister_w
finansmarknadsminister,Regeringen Löfven II,Q23916255,2021-02-05,2021-11-30,Åsa Lindhagen,kvinna,1980-05-15,,Miljöpartiet,,asa_lindhagen_finansmarknadsminister_w
jämställdhetsminister,Regeringen Löfven II,Q23916255,2019-01-21,2021-02-05,Åsa Lindhagen,kvinna,1980-05-15,,Miljöpartiet,,asa_lindhagen_jamstalldhetsminister_w
socialminister,Regeringen Andersson,Q3431836,2019-01-21,,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_socialminister_w
migrationsminister,Regeringen Löfven II,Q5887217,2019-01-21,2021-11-30,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_migrationsminister_w
infrastrukturminister,Regeringen Löfven III,Q5711551,2017-07-27,,Tomas Eneroth,man,1966-12-04,,Socialdemokraterna,,tomas_eneroth_infrastrukturminister_w
kulturminister,Regeringen Andersson,Q109828321,2021-11-30,,Jeanette Gustafsdotter,kvinna,1965-12-24,,,,jeanette_gustafsdotter_kulturminister_w
