role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
arbetsmarknadsminister,Regeringen Fälldin II,Q5708784,1980-07-31,1982-10-08,Ingemar Eliasson,man,1939-03-30,,Liberalerna,,ingemar_eliasson_arbetsmarknadsminister_w
löneminister,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_loneminister_w
bostadsminister,Regeringen Ullsten,Q4916267,1978-10-18,1982-10-08,Birgit Friggebo,kvinna,1941-12-25,,Liberalerna,,birgit_friggebo_bostadsminister_w
invandrarminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12,Eva Winther,kvinna,1921-08-03,2014-05-26,Liberalerna,,eva_winther_invandrarminister_w
utrikesminister,Regeringen Fälldin II,Q53733,1979-10-12,1982-10-08,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_utrikesminister_w
handelsminister,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08,Björn Molin,man,1932-04-08,,Liberalerna,,bjorn_molin_handelsminister_w
jordbruksminister,Regeringen Ullsten,Q5713444,1978-10-18,1979-10-12,Eric Enlund,man,1918-04-09,2011-03-17,Liberalerna,,eric_enlund_jordbruksminister_w
minister för nordiskt samarbete,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08,Björn Molin,man,1932-04-08,,Liberalerna,,bjorn_molin_minister_for_nordiskt_samarbete_w
samfundsminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08,Karl Boo,man,1918-09-09,1996-02-22,Centerpartiet,Boo i By,karl_boo_samfundsminister_w
socialminister,Regeringen Palme II,Q1346478,1982-10-08,1985-10-16,Sten Andersson,man,1923-04-20,2006-09-16,Socialdemokraterna,Andersson i Stockholm,sten_andersson_socialminister_w
budgetminister,Regeringen Fälldin III,Q6244910,1980-08-01,1982-10-08,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_budgetminister_w
jämställdhetsminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12,Eva Winther,kvinna,1921-08-03,2014-05-26,Liberalerna,,eva_winther_jamstalldhetsminister_w
utbildningsminister,Regeringen Fälldin III,Q6340136,1976-10-08,1982-10-08,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_utbildningsminister_w
energiminister,Regeringen Palme II,Q4356302,1982-10-08,1990-02-27,Birgitta Dahl,kvinna,1937-09-20,,Socialdemokraterna,Dahl i Uppsala,birgitta_dahl_energiminister_w
utrikesminister,Regeringen Ullsten,Q297275,1978-10-18,1979-10-12,Hans Blix,man,1928-06-28,,Liberalerna,,hans_blix_utrikesminister_w
skolminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08,Ulla Tillander,kvinna,1931-03-10,1994-11-16,Centerpartiet,,ulla_tillander_skolminister_w
miljöminister,Regeringen Palme II,Q53740,1985-10-07,1986-02-28,Ingvar Carlsson,man,1934-11-09,,Socialdemokraterna,Carlsson i Tyresö,ingvar_carlsson_miljominister_w
justitieminister,Regeringen Ullsten,Q6077653,1976-10-08,1979-10-12,Sven Romanus,man,1906-01-19,2005-04-30,,,sven_romanus_justitieminister_w
samfundsminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08,Karl Boo,man,1918-09-09,1996-02-22,Centerpartiet,Boo i By,karl_boo_samfundsminister_w
kommunikationsminister,Regeringen Palme II,Q5816531,1985-10-18,1989-01-29,Sven Hulterström,man,1938-05-14,,Socialdemokraterna,,sven_hulterstrom_kommunikationsminister_w
näringsminister,Regeringen Fälldin III,Q6255950,1979-10-12,1982-10-08,Nils G. Åsling,man,1927-12-15,2017-08-12,Centerpartiet,,nils_g_asling_naringsminister_w
Statsministerns ställföretädare,Regeringen Palme II,Q53740,1982-10-08,1986-03-13,Ingvar Carlsson,man,1934-11-09,,Socialdemokraterna,Carlsson i Tyresö,ingvar_carlsson_statsministerns_stallforetadare_w
socialminister,Regeringen Fälldin III,Q468538,1979-10-12,1982-10-08,Karin Söder,kvinna,1928-11-30,2015-12-19,Centerpartiet,,karin_soder_socialminister_w
jordbruksminister,Regeringen Fälldin III,Q4352320,1982-10-04,1982-10-08,Claes Elmstedt,man,1928-03-31,2018-02-14,Centerpartiet,Elmstedt i Ronneby,claes_elmstedt_jordbruksminister_w
invandrarminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08,Karin Andersson,kvinna,1918-10-08,2012-07-20,Centerpartiet,,karin_andersson_invandrarminister_w
kommunminister,Regeringen Palme II,Q887398,1982-10-08,1982-12-31,Bo Holmberg,man,1942-11-17,2010-02-11,Socialdemokraterna,,bo_holmberg_kommunminister_w
näringsminister,Regeringen Ullsten,Q5817889,1978-10-18,1979-10-12,Erik Huss,man,1913-07-23,2010-03-02,Liberalerna,,erik_huss_naringsminister_w
näringsminister,Regeringen Fälldin II,Q6255950,1979-10-12,1982-10-08,Nils G. Åsling,man,1927-12-15,2017-08-12,Centerpartiet,,nils_g_asling_naringsminister_w
jämställdhetsminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08,Karin Andersson,kvinna,1918-10-08,2012-07-20,Centerpartiet,,karin_andersson_jamstalldhetsminister_w
Statsministerns ställföretädare,Regeringen Ullsten,Q6077653,1978-10-18,1979-10-12,Sven Romanus,man,1906-01-19,2005-04-30,,,sven_romanus_statsministerns_stallforetadare_w
kommunikationsminister,Regeringen Fälldin II,Q3431988,1979-10-12,1981-05-05,Ulf Adelsohn,man,1941-10-04,,Moderaterna,,ulf_adelsohn_kommunikationsminister_w
kommunminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08,Karl Boo,man,1918-09-09,1996-02-22,Centerpartiet,Boo i By,karl_boo_kommunminister_w
minister för nordiskt samarbete,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_minister_for_nordiskt_samarbete_w
energiminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12,Carl Tham,man,1939-07-05,,,,carl_tham_energiminister_w
samordningsminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12,Carl Tham,man,1939-07-05,,,,carl_tham_samordningsminister_w
Statsministerns ställföretädare,Regeringen Fälldin II,Q5996964,1979-10-12,1980-07-31,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_statsministerns_stallforetadare_w
arbetsmarknadsminister,Regeringen Palme II,Q1796120,1982-10-08,1987-10-19,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_arbetsmarknadsminister_w
skolminister,Regeringen Ullsten,Q4975172,1978-10-18,1979-10-12,Birgit Rodhe,kvinna,1915-08-18,1998-11-19,Folkpartiet,,birgit_rodhe_skolminister_w
kommunminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08,Karl Boo,man,1918-09-09,1996-02-22,Centerpartiet,Boo i By,karl_boo_kommunminister_w
energiminister,Regeringen Fälldin III,Q5708784,1981-05-22,1982-10-08,Ingemar Eliasson,man,1939-03-30,,Liberalerna,,ingemar_eliasson_energiminister_w
budgetminister,Regeringen Fälldin II,Q5996964,1976-11-25,1980-07-31,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_budgetminister_w
Statsministerns ställföretädare,Regeringen Fälldin III,Q53733,1980-08-01,1982-10-08,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_statsministerns_stallforetadare_w
jordbruksminister,Regeringen Fälldin III,Q4753755,1979-10-12,1982-10-04,Anders Dahlgren,man,1925-12-23,1986-03-24,Centerpartiet,Dahlgren i Valdemarsvik,anders_dahlgren_jordbruksminister_w
justitieminister,Regeringen Palme II,Q6061623,1982-10-08,1983-11-10,Ove Rainer,man,1925-09-14,1987-01-27,,,ove_rainer_justitieminister_w
kommunikationsminister,Regeringen Fälldin II,Q2021126,1981-05-05,1981-05-22,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_kommunikationsminister_w
kulturminister,Regeringen Palme II,Q5780291,1982-10-08,1991-10-04,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_kulturminister_w
socialminister,Regeringen Ullsten,Q724410,1978-10-18,1979-10-12,Gabriel Romanus,man,1939-01-25,,Folkpartiet,,gabriel_romanus_socialminister_w
justitieminister,Regeringen Palme II,Q1796120,1983-11-11,1983-11-15,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_justitieminister_w
jordbruksminister,Regeringen Palme II,Q5967249,1982-10-08,1986-10-09,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_jordbruksminister_w
justitieminister,Regeringen Fälldin III,Q3658738,1981-05-05,1982-10-08,Carl Axel Petri,man,1929-08-12,2017-12-03,,,carl_axel_petri_justitieminister_w
ekonomiminister,Regeringen Fälldin II,Q263366,1979-10-12,1981-05-05,Gösta Bohman,man,1911-01-15,1997-08-12,Moderaterna,Bohman i Stockholm,gosta_bohman_ekonomiminister_w
Statsministerns ställföretädare,Regeringen Fälldin II,Q53733,1980-08-01,1982-10-08,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_statsministerns_stallforetadare_w
justitieminister,Regeringen Palme II,Q6239734,1983-01-01,1987-10-19,Sten Wickbom,man,1931-03-14,2015-12-26,Socialdemokraterna,,sten_wickbom_justitieminister_w
minister för nordiskt samarbete,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12,Bertil Hansson,man,1918-03-14,2013-03-04,Folkpartiet,,bertil_hansson_minister_for_nordiskt_samarbete_w
handelsminister,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05,Staffan Burenstam Linder,man,1931-09-13,2000-07-22,Moderaterna,,staffan_burenstam_linder_handelsminister_w
statssekreterare,Regeringen Ullsten,Q60971016,1976-01-01,1979-01-01,Gerhard Larsson,man,1945-10-19,,,,gerhard_larsson_statssekreterare_w
jordbruksminister,Regeringen Fälldin II,Q4753755,1979-10-12,1982-10-04,Anders Dahlgren,man,1925-12-23,1986-03-24,Centerpartiet,Dahlgren i Valdemarsvik,anders_dahlgren_jordbruksminister_w
minister för nordiskt samarbete,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05,Staffan Burenstam Linder,man,1931-09-13,2000-07-22,Moderaterna,,staffan_burenstam_linder_minister_for_nordiskt_samarbete_w
invandrarminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_invandrarminister_w
ungdomsminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08,Ulla Tillander,kvinna,1931-03-10,1994-11-16,Centerpartiet,,ulla_tillander_ungdomsminister_w
kommunikationsminister,Regeringen Fälldin III,Q4352320,1981-05-22,1982-10-08,Claes Elmstedt,man,1928-03-31,2018-02-14,Centerpartiet,Elmstedt i Ronneby,claes_elmstedt_kommunikationsminister_w
ekonomiminister,Regeringen Ullsten,Q5996964,1978-10-18,1979-10-12,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_ekonomiminister_w
konsultativt statsråd,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_konsultativt_statsrad_w
jämställdhetsminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_jamstalldhetsminister_w
skolminister,Regeringen Palme II,Q5780291,1982-10-08,1989-01-30,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_skolminister_w
löneminister,Regeringen Ullsten,Q4990079,1978-10-18,1979-10-12,Marianne Wahlberg,kvinna,1917-09-26,2005-12-10,Folkpartiet,,marianne_wahlberg_loneminister_w
utbildningsminister,Regeringen Ullsten,Q6340136,1976-10-08,1982-10-08,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_utbildningsminister_w
sjukvårdsminister,Regeringen Ullsten,Q4962326,1978-10-18,1979-10-12,Hedda Lindahl,kvinna,1919-02-16,2007-01-12,Liberalerna,,hedda_lindahl_sjukvardsminister_w
finansminister,Regeringen Palme II,Q927466,1983-01-01,1990-02-16,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_finansminister_w
minister för nordiskt samarbete,Regeringen Palme II,Q5967249,1982-10-08,1986-10-10,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_minister_for_nordiskt_samarbete_w
konsultativt statsråd,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_konsultativt_statsrad_w
planminister,Regeringen Fälldin II,Q5616559,1979-10-12,1981-05-05,Georg Danell,man,1947-09-07,,Moderaterna,,georg_danell_planminister_w
ekonomiminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_ekonomiminister_w
biträdande industriminister,Regeringen Palme II,Q5603378,1982-10-08,1985-09-30,Roine Carlsson,man,1937-12-10,2020-08-01,Socialdemokraterna,,roine_carlsson_bitradande_industriminister_w
handelsminister,Regeringen Ullsten,Q5604013,1978-10-18,1979-10-12,Hadar Cars,man,1933-06-14,,Liberalerna,,hadar_cars_handelsminister_w
arbetsmarknadsminister,Regeringen Ullsten,Q6244910,1978-03-07,1980-07-31,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_arbetsmarknadsminister_w
sjukvårdsminister,Regeringen Fälldin II,Q4954452,1979-10-12,1981-05-05,Elisabet Holm,kvinna,1917-11-21,1997-06-26,,,elisabet_holm_sjukvardsminister_w
samfundsminister,Regeringen Palme II,Q887398,1982-10-08,1988-10-04,Bo Holmberg,man,1942-11-17,2010-02-11,Socialdemokraterna,,bo_holmberg_samfundsminister_w
budgetminister,Regeringen Ullsten,Q5996964,1976-11-25,1980-07-31,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_budgetminister_w
sjukvårdsminister,Regeringen Fälldin III,Q4934607,1981-05-22,1982-10-08,Karin Ahrland,kvinna,1931-07-20,2019-08-30,Liberalerna,,karin_ahrland_sjukvardsminister_w
kommunikationsminister,Regeringen Palme II,Q5603378,1985-07-01,1985-10-17,Roine Carlsson,man,1937-12-10,2020-08-01,Socialdemokraterna,,roine_carlsson_kommunikationsminister_w
samfundsminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12,Bertil Hansson,man,1918-03-14,2013-03-04,Folkpartiet,,bertil_hansson_samfundsminister_w
ekonomiminister,Regeringen Fälldin III,Q6244910,1981-05-05,1982-10-08,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_ekonomiminister_w
försvarsminister,Regeringen Palme II,Q5603378,1985-10-14,1991-10-04,Roine Carlsson,man,1937-12-10,2020-08-01,Socialdemokraterna,,roine_carlsson_forsvarsminister_w
näringsminister,Regeringen Palme II,Q2408431,1982-10-08,1988-09-30,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_naringsminister_w
konsumentminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_konsumentminister_w
budgetminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_budgetminister_w
arbetsmarknadsminister,Regeringen Fälldin III,Q5708784,1980-07-31,1982-10-08,Ingemar Eliasson,man,1939-03-30,,Liberalerna,,ingemar_eliasson_arbetsmarknadsminister_w
löneminister,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08,Olof Johansson,man,1937-07-31,,Centerpartiet,,olof_johansson_loneminister_w
utrikesminister,Regeringen Palme II,Q1346478,1985-10-17,1991-10-04,Sten Andersson,man,1923-04-20,2006-09-16,Socialdemokraterna,Andersson i Stockholm,sten_andersson_utrikesminister_w
utrikesminister,Regeringen Fälldin III,Q53733,1979-10-12,1982-10-08,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_utrikesminister_w
löneminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_loneminister_w
bostadsminister,Regeringen Palme II,Q5777699,1982-10-08,1988-10-04,Hans Gustafsson,man,1923-12-21,1998-08-25,Socialdemokraterna,,hans_gustafsson_bostadsminister_w
kommunminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12,Bertil Hansson,man,1918-03-14,2013-03-04,Folkpartiet,,bertil_hansson_kommunminister_w
kommunikationsminister,Regeringen Ullsten,Q4987638,1978-10-18,1979-10-12,Anitha Bondestam,kvinna,1941-10-28,,Folkpartiet,,anitha_bondestam_kommunikationsminister_w
socialminister,Regeringen Persson,Q5854875,1998-11-16,2004-10-01,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_socialminister_w
näringsminister,Regeringen Persson,Q231413,2002-10-15,2002-10-21,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_naringsminister_w
integrationsminister,Regeringen Persson,Q231413,2000-10-21,2004-10-21,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_integrationsminister_w
idrottsminister,Regeringen Persson,Q321595,2004-11-01,2006-10-06,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_idrottsminister_w
socialminister,Regeringen Persson,Q237522,1996-03-22,1998-10-01,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_socialminister_w
bostadsminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_bostadsminister_w
energiminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_energiminister_w
konsultativt statsråd,Regeringen Hansson IV,Q5715273,1945-07-31,1948-10-28,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Kinna,john_ericsson_konsultativt_statsrad_w
konsultativt statsråd,Regeringen Hansson IV,Q5715273,1945-07-31,1948-10-28,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Stockholm,john_ericsson_konsultativt_statsrad_w
kommunminister,Regeringen Persson,Q5854875,1998-10-07,1998-11-16,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_kommunminister_w
justitieminister,Regeringen Carlsson I,Q2408431,1988-07-07,1988-09-30,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_justitieminister_w
jämställdhetsminister,Regeringen Carlsson I,Q4982419,1987-10-19,1989-01-29,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_jamstalldhetsminister_w
socialminister,Regeringen Carlsson I,Q4982419,1990-01-11,1991-10-04,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_socialminister_w
försvarsminister,Regeringen Hansson IV,Q4731015,1945-07-31,1951-10-01,Allan Vougt,man,1895-04-28,1953-01-23,Socialdemokraterna,Vougt i Malmö,allan_vougt_forsvarsminister_w
konsumentminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_konsumentminister_w
infrastrukturminister,Regeringen Persson,Q4967115,2002-10-16,2006-10-06,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_infrastrukturminister_w
demokratiminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_demokratiminister_w
bostadsminister,Regeringen Persson,Q3297193,1996-03-22,1998-10-07,Thomas Östros,man,1965-01-26,,Socialdemokraterna,,thomas_ostros_bostadsminister_w
kulturminister,Regeringen Carlsson I,Q5780291,1982-10-08,1991-10-04,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_kulturminister_w
utrikesminister,Regeringen Hansson IV,Q298317,1945-07-31,1962-09-19,Östen Undén,man,1886-08-25,1974-01-14,Socialdemokraterna,,osten_unden_utrikesminister_w
bostadsminister,Regeringen Persson,Q231413,2004-10-21,2006-10-06,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_bostadsminister_w
idrottsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_idrottsminister_w
justitieminister,Regeringen Carlsson I,Q6239734,1983-01-01,1987-10-19,Sten Wickbom,man,1931-03-14,2015-12-26,Socialdemokraterna,,sten_wickbom_justitieminister_w
idrottsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_idrottsminister_w
konsultativt statsråd,Regeringen Hansson IV,Q354112,1945-07-31,1947-04-11,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_konsultativt_statsrad_w
konsultativt statsråd,Regeringen Hansson IV,Q5616687,1944-01-01,1952-01-01,Gunnar Danielson,man,1901-08-18,1958-09-18,,,gunnar_danielson_konsultativt_statsrad_w
justitieminister,Regeringen Hansson IV,Q6252055,1945-07-31,1957-09-20,Herman Zetterberg,man,1904-07-01,1963-03-18,Socialdemokraterna,,herman_zetterberg_justitieminister_w
invandrarminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_invandrarminister_w
näringsminister,Regeringen Carlsson I,Q6014287,1988-10-04,1990-01-11,Ivar Nordberg,man,1933-12-18,2014-06-17,Socialdemokraterna,Nordberg i Trångsund,ivar_nordberg_naringsminister_w
skolminister,Regeringen Persson,Q3055916,2004-10-21,2006-10-06,Ibrahim Baylan,man,1972-03-15,,Socialdemokraterna,,ibrahim_baylan_skolminister_w
inrikesminister,Regeringen Persson,Q5854875,1998-10-06,1998-11-16,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_inrikesminister_w
folkhälsominister,Regeringen Persson,Q5887217,2002-10-21,2006-10-06,Morgan Johansson,man,1970-05-14,,Socialdemokraterna,,morgan_johansson_folkhalsominister_w
socialminister,Regeringen Carlsson I,Q5816531,1989-01-29,1990-01-11,Sven Hulterström,man,1938-05-14,,Socialdemokraterna,,sven_hulterstrom_socialminister_w
utbildningsminister,Regeringen Carlsson I,Q5780291,1989-01-30,1991-10-04,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_utbildningsminister_w
budgetminister,Regeringen Carlsson I,Q5713152,1988-10-04,1990-02-16,Odd Engström,man,1941-09-20,1998-05-18,Socialdemokraterna,,odd_engstrom_budgetminister_w
jämställdhetsminister,Regeringen Carlsson I,Q459226,1982-10-08,1986-10-10,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_jamstalldhetsminister_w
skolminister,Regeringen Carlsson I,Q5780291,1982-10-08,1989-01-30,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_skolminister_w
handelsminister,Regeringen Hansson IV,Q152452,1945-07-31,1947-04-11,Gunnar Myrdal,man,1898-12-06,1987-05-17,Socialdemokraterna,Myrdal i Ålsten,gunnar_myrdal_handelsminister_w
finansminister,Regeringen Persson,Q320842,2004-10-31,2006-10-06,Pär Nuder,man,1963-02-27,,Socialdemokraterna,,par_nuder_finansminister_w
finansminister,Regeringen Carlsson I,Q927466,1983-01-01,1990-02-16,Kjell-Olof Feldt,man,1931-08-18,,Socialdemokraterna,,kjell-olof_feldt_finansminister_w
handelsminister,Regeringen Persson,Q879773,1996-03-22,1997-01-31,Björn von Sydow,man,1945-11-26,,Socialdemokraterna,,bjorn_von_sydow_handelsminister_w
justitieminister,Regeringen Persson,Q3141607,2000-10-11,2006-10-06,Thomas Bodström,man,1962-04-09,,Socialdemokraterna,,thomas_bodstrom_justitieminister_w
utrikesminister,Regeringen Persson,Q2938797,2006-03-27,2006-04-24,Carin Jämtin,kvinna,1964-08-03,,Socialdemokraterna,,carin_jamtin_utrikesminister_w
samordningsminister,Regeringen Persson,Q320842,2002-10-21,2004-10-21,Pär Nuder,man,1963-02-27,,Socialdemokraterna,,par_nuder_samordningsminister_w
jämställdhetsminister,Regeringen Persson,Q4967115,1996-03-22,1998-10-07,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_jamstalldhetsminister_w
civilminister,Regeringen Carlsson I,Q5885510,1988-01-01,1991-01-01,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_civilminister_w
samfundsminister,Regeringen Carlsson I,Q887398,1982-10-08,1988-10-04,Bo Holmberg,man,1942-11-17,2010-02-11,Socialdemokraterna,,bo_holmberg_samfundsminister_w
biträdande socialminister,Regeringen Hansson IV,Q5995142,1945-07-31,1947-07-01,Eije Mossberg,man,1908-01-21,1997-07-28,Socialdemokraterna,,eije_mossberg_bitradande_socialminister_w
jordbruksminister,Regeringen Hansson IV,Q6180686,1945-07-31,1948-10-29,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Kämpinge o Toftaröd,per_edvin_skold_jordbruksminister_w
jordbruksminister,Regeringen Hansson IV,Q6180686,1945-07-31,1948-10-29,Per Edvin Sköld,man,1891-05-25,1972-09-13,Socialdemokraterna,Sköld i Oxie,per_edvin_skold_jordbruksminister_w
jämställdhetsminister,Regeringen Persson,Q231413,2002-10-21,2004-10-21,Mona Sahlin,kvinna,1957-03-09,,Socialdemokraterna,,mona_sahlin_jamstalldhetsminister_w
finansminister,Regeringen Persson,Q5388933,1996-03-22,1999-04-12,Erik Åsbrink,man,1947-02-01,,Socialdemokraterna,,erik_asbrink_finansminister_w
utrikesminister,Regeringen Persson,Q321595,2006-03-21,2006-03-27,Bosse Ringholm,man,1942-08-18,,Socialdemokraterna,,bosse_ringholm_utrikesminister_w
justitieminister,Regeringen Carlsson I,Q291648,1988-10-04,1991-10-04,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_justitieminister_w
utrikeshandelsminister,Regeringen Carlsson I,Q459226,1986-10-10,1991-10-04,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_utrikeshandelsminister_w
ecklesiastikminister,Regeringen Hansson IV,Q53707,1945-07-31,1946-10-11,Tage Erlander,man,1901-06-13,1985-06-21,Socialdemokraterna,Erlander i Lund,tage_erlander_ecklesiastikminister_w
bostadsminister,Regeringen Persson,Q3218127,1998-11-16,2004-10-21,Lars-Erik Lövdén,man,1950-01-11,,Socialdemokraterna,,lars-erik_lovden_bostadsminister_w
ungdomsminister,Regeringen Persson,Q4967115,1998-10-07,2000-10-21,Ulrica Messing,kvinna,1968-01-31,,Socialdemokraterna,,ulrica_messing_ungdomsminister_w
ungdomsminister,Regeringen Persson,Q5854875,1998-03-25,1998-10-07,Lars Engqvist,man,1945-08-13,,Socialdemokraterna,,lars_engqvist_ungdomsminister_w
