name,replacer,party,district,start,end,note,chamber,id
Hans Göran Franck,Thage G. Peterson,Socialdemokraterna,Stockholms län,1982-10-08,1985,government change,Enkammarriksdagen,hans_goran_franck_53902a
Anna Lindh,Birgitta Dahl,Socialdemokraterna,Uppsala län,1982-10-08,1985,government change,Enkammarriksdagen,anna_lindh_b018e7
Lars Andersson,Svante Lundkvist,Socialdemokraterna,Södermanlands län,1982-10-08,1985,government change,Enkammarriksdagen,lars_andersson_a0ab50
Christer Skoog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1982-10-08,1985,government change,Enkammarriksdagen,christer_skoog_c60b3d
Margareta Hemmingsson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1982-10-08,1985,government change,Enkammarriksdagen,margareta_hemmingsson_af8b1b
Bengt-Ola Ryttar,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1982-10-08,1985,government change,Enkammarriksdagen,bengt-ola_ryttar_5ba435
Bruno Poromaa,Curt Boström,Socialdemokraterna,Norrbottens län,1982-10-08,1985,government change,Enkammarriksdagen,bruno_poromaa_ed2a7b
Ulla-Britt Åbark,Ingemund Bengtsson,Socialdemokraterna,Hallands län,1985,1988,,Enkammarriksdagen,ulla-britt_abark_43bc62
Barbro Evermo,Olof Palme,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,barbro_evermo_54cdf0
Åke Wictorsson,Ingvar Carlsson,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,ake_wictorsson_c86538
Reynoldh Furustrand,Svante Lundkvist,Socialdemokraterna,Södermanlands län,1985,1988,,Enkammarriksdagen,reynoldh_furustrand_f19808
Bengt-Ola Ryttar,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1985,1988,,Enkammarriksdagen,bengt-ola_ryttar_679411
Stig Gustafsson,Gertrud Sigurdsen,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,stig_gustafsson_2c8390
Christer Skoog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1985,1988,,Enkammarriksdagen,christer_skoog_6a387a
Hans-Eric Andersson,Anna-Greta Leijon,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,hans-eric_andersson_30f458
Yngve Wernersson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1985,1988,,Enkammarriksdagen,yngve_wernersson_a385a8
Eva Johansson,Thage G. Peterson,Socialdemokraterna,Stockholms län,1985,1988,,Enkammarriksdagen,eva_johansson_e679c5
Margareta Persson,Sten Andersson,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,margareta_persson_cb2d91
Torgny Larsson,Bengt Göransson,Socialdemokraterna,Göteborgs kommun,1985,1988,,Enkammarriksdagen,torgny_larsson_e14d63
Bengt Lindqvist,Anita Gradin,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,bengt_lindqvist_fc9b2e
Mats O. Karlsson,Birgitta Dahl,Socialdemokraterna,Uppsala län,1985,1988,,Enkammarriksdagen,mats_o_karlsson_5b999f
Jarl Lander,Roine Carlsson,Socialdemokraterna,Värmlands län,1985,1988,,Enkammarriksdagen,jarl_lander_6905c2
Barbro Nilsson,Bo Holmberg,Socialdemokraterna,Västernorrlands län,1985,1988,,Enkammarriksdagen,barbro_nilsson_fa468c
Gerd Engman,Mats Hellström,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,gerd_engman_d16a14
Lars Gustafsson,Ingvar Carlsson,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,lars_gustafsson_5cf37e
Leo Persson,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1988,1991,,Enkammarriksdagen,leo_persson_f59abe
Barbro Evermo Palmerlund,Gertrud Sigurdsen,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,barbro_evermo_palmerlund_88af25
Ethel Duvskog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1988,1991,,Enkammarriksdagen,ethel_duvskog_e4aa37
Yngve Wernersson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1988,1991,,Enkammarriksdagen,yngve_wernersson_acd524
