wiki_id,party
Q263366,Moderaterna
Q450368,Moderaterna
Q517762,Moderaterna
Q253640,Centerpartiet
Q496604,Centerpartiet
Q514209,Centerpartiet
Q966884,Kristdemokraterna
Q2021126,Centerpartiet
Q376484,Folkpartiet
Q444747,Miljöpartiet
Q952026,Liberalerna
Q321595,Socialdemokraterna
Q514593,Socialdemokraterna
Q2938797,Socialdemokraterna
Q3218127,Socialdemokraterna
Q3363827,Socialdemokraterna
Q3370162,Socialdemokraterna
Q3373142,Socialdemokraterna
Q3373674,Socialdemokraterna
Q53747,Socialdemokraterna
Q241208,Miljöpartiet
Q271230,Miljöpartiet
Q5581337,Miljöpartiet
Q298317,Socialdemokraterna
Q2740012,Socialdemokraterna
Q4935873,Socialdemokraterna
Q52922,Moderaterna
Q52920,Moderaterna
Q53294,Moderaterna
Q53305,Moderaterna
Q53633,Moderaterna
Q52950,partilös
Q52956,partilös
Q52972,partilös
Q53300,partilös
Q53628,partilös
Q53701,Centerpartiet
Q53721,Centerpartiet
Q53733,Folkpartiet
Q52964,Första kammarens protektionistiska parti
Q52968,Första kammarens protektionistiska parti
Q52969,Första kammarens protektionistiska parti
Q53286,Första kammarens protektionistiska parti
Q53294,Första kammarens protektionistiska parti
Q53650,Frisinnade landsföreningen
Q52951,Lantmannapartiet
Q52968,Lantmannapartiet
Q53292,Liberala samlingspartiet
Q53310,Liberala samlingspartiet
Q53642,Liberala samlingspartiet
Q53305,Första kammarens nationella parti
Q53633,Första kammarens nationella parti
Q53650,Liberalerna
Q53620,Socialdemokraterna
Q53637,Socialdemokraterna
Q53660,Socialdemokraterna
Q53707,Socialdemokraterna
Q53713,Socialdemokraterna
Q53740,Socialdemokraterna
Q53650,Frisinnade folkpartiet
Q3492112,Kristdemokraterna
Q4887773,Moderaterna
Q4895693,Moderaterna
Q4898916,Moderaterna
Q4931171,Moderaterna
Q4939382,Moderaterna
Q4945406,Moderaterna
Q4946072,Moderaterna
Q4916299,Centerpartiet
Q4935892,Centerpartiet
Q4822657,Miljöpartiet
Q4942814,Miljöpartiet
Q4588714,Liberalerna
Q4765508,Liberalerna
Q4767056,Liberalerna
Q4936554,Liberalerna
Q4938662,Liberalerna
Q3374562,Socialdemokraterna
Q3374627,Socialdemokraterna
Q4563096,Socialdemokraterna
Q4609260,Vänsterpartiet
Q4724776,Vänsterpartiet
Q4765556,Socialdemokraterna
Q4891898,Vänsterpartiet
Q4931171,Socialdemokraterna
Q4938501,Socialdemokraterna
Q4939220,Socialdemokraterna
Q4939380,Socialdemokraterna
Q6072812,Moderaterna
Q5992996,Ny demokrati
Q6052911,Centerpartiet
Q6062372,Sverigedemokraterna
Q5930707,Miljöpartiet
Q5956750,Miljöpartiet
Q6004883,Liberalerna
Q6045358,Liberalerna
Q6045408,Liberalerna
Q6079130,Liberalerna
Q5957403,Socialdemokraterna
Q5978433,Socialdemokraterna
Q6000480,Socialdemokraterna
Q6007973,Socialdemokraterna
Q6009920,Socialdemokraterna
Q6019483,Socialdemokraterna
Q6027267,Socialdemokraterna
Q6033276,Socialdemokraterna
Q6033286,Socialdemokraterna
Q6039297,Vänsterpartiet
Q6043314,Socialdemokraterna
Q6043337,Socialdemokraterna
Q6053983,Socialdemokraterna
