wiki_id,party
Q6080471,Socialdemokraterna
Q206619,Moderaterna
Q490785,Moderaterna
Q520223,Moderaterna
Q316519,Kristdemokraterna
Q897282,Moderaterna
Q432059,Centerpartiet
Q918261,Kristdemokraterna
Q1593545,Moderaterna
Q1780585,Moderaterna
Q1976379,Moderaterna
Q1976379,Kristdemokraterna
Q724410,Folkpartiet
Q241851,Liberalerna
Q231413,Socialdemokraterna
Q237522,Socialdemokraterna
Q438397,Socialdemokraterna
Q460919,Socialdemokraterna
Q714508,Socialdemokraterna
Q2990882,Socialdemokraterna
Q3055916,Socialdemokraterna
Q182050,Moderaterna
Q297821,Moderaterna
Q297850,Moderaterna
Q445997,Moderaterna
Q447653,Moderaterna
Q457877,Moderaterna
Q458162,Moderaterna
Q447542,Kristdemokraterna
Q772089,Moderaterna
Q571725,Kristdemokraterna
Q271235,Centerpartiet
Q439393,Centerpartiet
Q984112,Moderaterna
Q535342,Centerpartiet
Q1780398,Moderaterna
Q2941786,Moderaterna
Q3112958,Moderaterna
Q3209237,Moderaterna
Q3504785,Moderaterna
Q3058054,Centerpartiet
Q3562306,Centerpartiet
Q4981393,Moderaterna
Q234872,Liberalerna
Q429001,Liberalerna
Q911372,Liberalerna
Q946818,Liberalerna
Q3540867,Liberalerna
Q1796120,Socialdemokraterna
Q4098206,Socialdemokraterna
Q4356302,Socialdemokraterna
Q4978577,Socialdemokraterna
Q5554537,Socialdemokraterna
Q5799722,Socialdemokraterna
Q5967249,Socialdemokraterna
Q5969868,Socialdemokraterna
Q4970743,Moderaterna
Q4972634,Moderaterna
Q4975858,Kristdemokraterna
Q5388484,Moderaterna
Q4969533,Centerpartiet
Q4971112,Centerpartiet
Q4979095,Centerpartiet
Q4990157,Centerpartiet
Q5388596,Centerpartiet
Q4973156,Miljöpartiet
Q4975999,Miljöpartiet
Q4976716,Miljöpartiet
Q4976788,Liberalerna
Q4983135,Liberalerna
Q5109205,Liberalerna
Q4966432,Socialdemokraterna
Q4970068,Vänsterpartiet
Q4970890,Socialdemokraterna
Q4971402,Socialdemokraterna
Q4976340,Socialdemokraterna
Q4976504,Socialdemokraterna
Q4981268,Socialdemokraterna
Q4984603,Vänsterpartiet
Q4990351,Socialdemokraterna
Q4990382,Socialdemokraterna
Q5554920,Socialdemokraterna
Q5624774,Moderaterna
Q5737622,Moderaterna
Q5796375,Moderaterna
Q5809040,Moderaterna
Q5814651,Moderaterna
Q5907951,Moderaterna
Q5716662,Centerpartiet
Q5777943,Centerpartiet
Q5886752,Centerpartiet
Q5887855,Centerpartiet
Q5891144,Centerpartiet
Q5901848,Sverigedemokraterna
Q5743490,Miljöpartiet
Q5708858,Liberalerna
Q5713444,Liberalerna
Q5716747,Liberalerna
Q5723045,Liberalerna
Q5778140,Liberalerna
Q5819783,Liberalerna
Q5888467,Liberalerna
Q5898640,Liberalerna
Q5650744,Socialdemokraterna
Q5707657,Socialdemokraterna
Q5714566,Socialdemokraterna
Q5740956,Socialdemokraterna
Q5770090,Socialdemokraterna
Q5778281,Socialdemokraterna
Q5782706,Socialdemokraterna
Q5820937,Socialdemokraterna
Q5896499,Socialdemokraterna
Q152452,Socialdemokraterna
Q241035,Socialdemokraterna
Q291648,Socialdemokraterna
Q320842,Socialdemokraterna
Q354112,Socialdemokraterna
Q459226,Socialdemokraterna
Q549955,Socialdemokraterna
Q879773,Socialdemokraterna
Q887398,Socialdemokraterna
Q927466,Socialdemokraterna
Q1346478,Socialdemokraterna
Q2408431,Socialdemokraterna
Q3141607,Socialdemokraterna
Q3297193,Socialdemokraterna
Q3358782,Socialdemokraterna
Q3373681,Socialdemokraterna
Q3430022,Socialdemokraterna
Q4570928,Socialdemokraterna
Q4731015,Socialdemokraterna
Q4964703,Socialdemokraterna
Q4967115,Socialdemokraterna
Q4982419,Socialdemokraterna
Q4984124,Socialdemokraterna
Q5388933,Socialdemokraterna
Q5603378,Socialdemokraterna
Q5713152,Socialdemokraterna
Q5715273,Socialdemokraterna
Q5777699,Socialdemokraterna
Q5780291,Socialdemokraterna
Q5816531,Socialdemokraterna
Q5854875,Socialdemokraterna
Q5885510,Socialdemokraterna
Q5887217,Socialdemokraterna
Q5995142,Socialdemokraterna
Q6014287,Socialdemokraterna
Q6180686,Socialdemokraterna
Q6239734,Socialdemokraterna
Q6252055,Socialdemokraterna
Q455820,Moderaterna
Q944795,Kristdemokraterna
Q1375199,Moderaterna
Q1830351,Moderaterna
Q1777531,partilös
Q2448370,Moderaterna
Q4353489,Centerpartiet
Q4944305,Kristdemokraterna
Q4982742,Centerpartiet
Q5005171,Centerpartiet
Q5556673,Moderaterna
Q5563972,Moderaterna
Q6027273,Centerpartiet
Q817241,Folkpartiet
Q5572966,Folkpartiet
Q6206776,Folkpartiet
Q273408,Liberalerna
Q4916267,Liberalerna
Q4931118,Liberalerna
Q208591,Socialdemokraterna
Q3115681,Socialdemokraterna
Q3369258,Socialdemokraterna
Q3369258,Vänsterpartiet
Q3386964,Socialdemokraterna
Q4126210,Socialdemokraterna
Q4953085,Socialdemokraterna
Q5555093,Socialdemokraterna
Q5579495,Socialdemokraterna
Q5583208,Socialdemokraterna
Q5716548,Socialdemokraterna
Q5955664,Socialdemokraterna
Q6018174,Socialdemokraterna
Q6019543,Socialdemokraterna
Q6027656,Socialdemokraterna
Q6196549,Socialdemokraterna
Q6206776,Socialdemokraterna
Q6209474,Socialdemokraterna
Q16649624,Socialdemokraterna
Q468538,Centerpartiet
Q1727737,Centerpartiet
Q3431988,Moderaterna
Q4352320,Centerpartiet
Q4753755,Centerpartiet
Q4982841,Centerpartiet
Q5590197,Moderaterna
Q5616559,Moderaterna
Q5582047,Centerpartiet
Q6255950,Centerpartiet
Q4975172,Folkpartiet
Q4987638,Folkpartiet
Q4990079,Folkpartiet
Q5788984,Folkpartiet
Q297275,Liberalerna
Q4934607,Liberalerna
Q4962326,Liberalerna
Q4990642,Liberalerna
Q5604013,Liberalerna
Q5708784,Liberalerna
Q5817889,Liberalerna
Q5991041,Liberalerna
Q5996964,Liberalerna
Q6244910,Liberalerna
Q6340136,Liberalerna
Q6085404,Moderaterna
Q6091847,Moderaterna
Q6212236,Moderaterna
Q6241709,Moderaterna
Q6245387,Moderaterna
Q6220743,Kristdemokraterna
Q6209165,Centerpartiet
Q6210672,Centerpartiet
Q10575345,Kristdemokraterna
Q16633048,Centerpartiet
Q18169826,Moderaterna
Q18238286,Kristdemokraterna
Q6255280,Sverigedemokraterna
Q6328008,Sverigedemokraterna
Q16633235,Sverigedemokraterna
Q18238607,Sverigedemokraterna
Q6220743,Liberalerna
Q6237325,Liberalerna
Q6196053,Socialdemokraterna
Q6199002,Socialdemokraterna
Q6203734,Socialdemokraterna
Q6248237,Socialdemokraterna
Q6255280,Socialdemokraterna
Q6333187,Socialdemokraterna
Q16595953,Liberalerna
Q17265833,Liberalerna
Q18202338,Socialdemokraterna
Q18202414,Socialdemokraterna
Q18202415,Socialdemokraterna
Q67207189,Socialdemokraterna
Q5561846,Moderaterna
Q5556973,Kristdemokraterna
Q470630,Miljöpartiet
Q4725739,Miljöpartiet
Q19977122,Miljöpartiet
Q3372917,Socialdemokraterna
Q3373058,Socialdemokraterna
Q3375050,Socialdemokraterna
Q3431836,Socialdemokraterna
Q4609816,Socialdemokraterna
Q4787806,Socialdemokraterna
Q4946204,Socialdemokraterna
Q4953463,Socialdemokraterna
Q4967237,Socialdemokraterna
Q4970111,Socialdemokraterna
Q4980750,Socialdemokraterna
Q23916255,Miljöpartiet
Q24018140,Miljöpartiet
Q5555345,Socialdemokraterna
Q5556063,Socialdemokraterna
Q5615474,Socialdemokraterna
Q5711551,Socialdemokraterna
Q6241556,Socialdemokraterna
Q18176335,Socialdemokraterna
Q18177071,Socialdemokraterna
Q18243775,Socialdemokraterna
Q64524335,Miljöpartiet
Q5756351,Moderaterna
Q5768911,Moderaterna
Q5774706,Moderaterna
Q5807932,Moderaterna
Q5816436,Moderaterna
Q5777864,Kristdemokraterna
Q5779628,Kristdemokraterna
Q5881540,Ny demokrati
Q5789491,Centerpartiet
Q5890277,Centerpartiet
Q5785982,Liberalerna
Q5747727,Socialdemokraterna
Q5768681,Socialdemokraterna
Q5782782,Socialdemokraterna
Q5786495,Vänsterpartiet
Q5786657,Socialdemokraterna
Q5817672,Vänsterpartiet
Q5863281,Socialdemokraterna
Q5885967,Socialdemokraterna
Q5886301,Socialdemokraterna
Q5889525,Socialdemokraterna
Q20760558,Socialdemokraterna
Q5579360,Moderaterna
Q5605672,Moderaterna
Q5731042,Moderaterna
Q5743823,Moderaterna
Q5577484,Centerpartiet
Q5740872,Centerpartiet
Q5616258,Miljöpartiet
Q5596953,Liberalerna
Q5615362,Liberalerna
Q5618990,Liberalerna
Q5627199,Liberalerna
Q5742656,Liberalerna
Q3358804,Socialdemokraterna
Q3359406,Socialdemokraterna
Q5562416,Socialdemokraterna
Q5577506,Socialdemokraterna
Q5608191,Vänsterpartiet
Q5619091,Socialdemokraterna
Q5626648,Socialdemokraterna
Q5717777,Socialdemokraterna
Q5737254,Socialdemokraterna
Q5741003,Vänsterpartiet
Q4948781,Ny demokrati
Q5623378,Moderaterna
Q179493,Folkpartiet
Q1555406,Liberalerna
Q4946153,Liberalerna
Q537342,Socialdemokraterna
Q547580,Socialdemokraterna
Q1232072,Socialdemokraterna
Q1807154,Socialdemokraterna
Q3296958,Socialdemokraterna
Q3370194,Socialdemokraterna
Q3374466,Socialdemokraterna
Q3893038,Socialdemokraterna
Q4891887,Socialdemokraterna
Q4894168,Socialdemokraterna
Q4946778,Socialdemokraterna
Q4959140,Socialdemokraterna
Q4961658,Socialdemokraterna
Q4990768,Socialdemokraterna
Q4991027,Socialdemokraterna
Q4991027,Vänsterpartiet
Q5619080,Socialdemokraterna
Q5937929,Socialdemokraterna
Q6011492,Socialdemokraterna
Q6029071,Socialdemokraterna
Q6168210,Socialdemokraterna
Q6255333,Socialdemokraterna
Q4949486,Moderaterna
Q4953330,Moderaterna
Q4953552,Moderaterna
Q4958729,Moderaterna
Q4973713,Moderaterna
Q4952005,Kristdemokraterna
Q4972645,Kristdemokraterna
Q4975896,Kristdemokraterna
Q4957716,Centerpartiet
Q4961181,Centerpartiet
Q4962331,Centerpartiet
Q4969559,Centerpartiet
Q4969654,Centerpartiet
Q4959972,Sverigedemokraterna
Q4957539,Miljöpartiet
Q4951500,Liberalerna
Q4953078,Liberalerna
Q4953319,Liberalerna
Q4958448,Liberalerna
Q4964220,Liberalerna
Q4952607,Socialdemokraterna
Q4954609,Socialdemokraterna
Q4956996,Socialdemokraterna
Q4964571,Socialdemokraterna
Q4968944,Socialdemokraterna
Q4970289,Socialdemokraterna
Q4972535,Socialdemokraterna
Q5958748,Moderaterna
Q5969402,Moderaterna
Q6011783,Moderaterna
Q6079361,Moderaterna
Q6093311,Moderaterna
Q5955199,Kristdemokraterna
Q5908653,Ny demokrati
Q6032157,Kristdemokraterna
Q6043789,Kristdemokraterna
Q6091566,Kristdemokraterna
Q5938913,Centerpartiet
Q5954984,Centerpartiet
Q5910434,Sverigedemokraterna
Q6000869,Liberalerna
Q6017415,Liberalerna
Q6067751,Liberalerna
Q6089393,Liberalerna
Q5927536,Vänsterpartiet
Q5945618,Socialdemokraterna
Q5953825,Socialdemokraterna
Q5965908,Socialdemokraterna
Q5966830,Socialdemokraterna
Q5967964,Vänsterpartiet
Q5969761,Socialdemokraterna
Q5976015,Socialdemokraterna
Q5995156,Socialdemokraterna
Q6009605,Socialdemokraterna
Q6010314,Socialdemokraterna
Q6046795,Socialdemokraterna
Q6146893,Socialdemokraterna
Q6161344,Socialdemokraterna
Q6043789,Partipolitiskt obundna i Svenska kyrkan
Q3544279,Moderaterna
Q4559562,Moderaterna
Q4118653,Centerpartiet
Q4767227,Moderaterna
Q4767224,Moderaterna
Q4768600,Moderaterna
Q4919750,Moderaterna
Q4895688,Centerpartiet
Q5388930,Centerpartiet
Q6257544,Moderaterna
Q5774246,Centerpartiet
Q6257544,Första kammarens protektionistiska parti
Q3373032,Socialdemokraterna
Q3373324,Socialdemokraterna
Q3373340,Socialdemokraterna
Q3373659,Socialdemokraterna
Q3374576,Socialdemokraterna
Q3374751,Socialdemokraterna
Q4607561,Socialdemokraterna
Q4730772,Socialdemokraterna
Q4769497,Socialdemokraterna
Q4935739,Socialdemokraterna
Q4935815,Socialdemokraterna
Q6010330,Socialdemokraterna
Q6206899,Socialdemokraterna
Q3742570,Centerpartiet
Q4967758,Moderaterna
Q6216923,Moderaterna
Q6243875,Moderaterna
Q5778433,Centerpartiet
Q4723287,Lantmannapartiet
Q5799445,Sveriges liberala parti
Q6009015,Sveriges liberala parti
Q4723287,Liberala samlingspartiet
Q1347731,Liberalerna
Q5811763,Liberala samlingspartiet
Q6009015,Liberala samlingspartiet
Q18242990,Sverigedemokraterna
Q18244376,Sverigedemokraterna
Q18246207,Sverigedemokraterna
Q5360742,Liberalerna
Q18244660,Miljöpartiet
Q4959336,Socialdemokraterna
Q6085444,Socialdemokraterna
Q1267,partilös
Q1555429,Junkerpartiet
Q3054681,Junkerpartiet
Q4755577,Moderaterna
Q5971892,Moderaterna
Q6240063,partilös
Q5886385,Centerpartiet
Q5962251,Centerpartiet
Q5786333,Första kammarens protektionistiska parti
Q5938123,Första kammarens protektionistiska parti
Q6022267,Första kammarens protektionistiska parti
Q5882484,Frisinnade landsföreningen
Q6255176,Första kammarens protektionistiska parti
Q6240063,Lantmannapartiet
Q2940262,Första kammarens moderata parti
Q5786143,Liberala samlingspartiet
Q5786143,Första kammarens nationella parti
Q6240063,Liberala samlingspartiet
Q6010694,Första kammarens nationella parti
Q6022267,Första kammarens nationella parti
Q6223681,Första kammarens nationella parti
Q5786143,Första kammarens moderata parti
Q3424655,Liberalerna
Q5573639,Liberalerna
Q6195774,Liberalerna
Q707581,Socialdemokraterna
Q1606431,Socialdemokraterna
Q3369220,Socialdemokraterna
Q4830361,Socialdemokraterna
Q6201372,Socialdemokraterna
Q6255057,Socialdemokraterna
Q5561113,Ministeriella partiet
Q18246296,Socialdemokraterna
Q4990984,Moderaterna
Q4989817,Kristdemokraterna
Q4990303,Kristdemokraterna
Q4980077,Centerpartiet
Q4982713,Centerpartiet
Q5562548,Moderaterna
Q5563661,Moderaterna
Q5602918,Moderaterna
Q5605493,Moderaterna
Q5125017,Centerpartiet
Q5553885,Kristdemokraterna
Q5555243,Ny demokrati
Q5388443,Centerpartiet
Q5616216,Ny demokrati
Q5588228,Centerpartiet
Q4976383,Miljöpartiet
Q4979996,Miljöpartiet
Q5578317,Miljöpartiet
Q4988501,Liberalerna
Q4990161,Liberalerna
Q5544145,Liberalerna
Q5556070,Liberalerna
Q4970788,Socialdemokraterna
Q4976132,Vänsterpartiet
Q4981243,Socialdemokraterna
Q4990084,Vänsterpartiet
Q4990215,Socialdemokraterna
Q5555011,Vänsterpartiet
Q5559631,Vänsterpartiet
Q6169540,Moderaterna
Q6178849,Moderaterna
Q6187608,Moderaterna
Q6190700,Moderaterna
Q6198732,Moderaterna
Q6255984,Moderaterna
Q6186253,Kristdemokraterna
Q6197506,Kristdemokraterna
Q6198076,Kristdemokraterna
Q6178341,Ny demokrati
Q6196274,Centerpartiet
Q6255521,Centerpartiet
Q16596188,Centerpartiet
Q18202365,Moderaterna
Q18237283,Moderaterna
Q18238692,Miljöpartiet
Q18242665,Miljöpartiet
Q6204688,Liberalerna
Q6210385,Liberalerna
Q6212168,Liberalerna
Q10578332,Liberalerna
Q6171719,Socialdemokraterna
Q6175674,Socialdemokraterna
Q6179083,Vänsterpartiet
Q6193321,Socialdemokraterna
Q6209093,Socialdemokraterna
Q6213461,Socialdemokraterna
Q6229070,Socialdemokraterna
Q6234203,Socialdemokraterna
Q6244944,Vänsterpartiet
Q6256695,Socialdemokraterna
Q18202405,Socialdemokraterna
Q18202412,Socialdemokraterna
Q18243244,Vänsterpartiet
Q18245374,Vänsterpartiet
Q99419541,Socialdemokraterna
Q107485113,Socialdemokraterna
Q19724763,Moderaterna
Q21567755,Moderaterna
Q21567830,Moderaterna
Q21733204,Kristdemokraterna
Q29784015,Kristdemokraterna
Q18246550,Sverigedemokraterna
Q18274557,Sverigedemokraterna
Q18246818,Miljöpartiet
Q18692956,Miljöpartiet
Q57168719,Moderaterna
Q18452054,Socialdemokraterna
Q26305112,Liberalerna
Q21531339,Socialdemokraterna
Q21561352,Socialdemokraterna
Q21578741,Socialdemokraterna
Q21614462,Socialdemokraterna
Q21759275,Socialdemokraterna
Q62287348,Kristdemokraterna
Q65130310,Moderaterna
Q28125366,Vänsterpartiet
Q30035676,Socialdemokraterna
Q71055616,Sverigedemokraterna
Q71137014,Sverigedemokraterna
Q71143822,Sverigedemokraterna
Q71453214,Sverigedemokraterna
Q96323475,Moderaterna
Q57168740,Vänsterpartiet
Q57168752,Vänsterpartiet
Q57168756,Vänsterpartiet
Q57168837,Socialdemokraterna
Q97012521,Moderaterna
Q96775409,Centerpartiet
Q96982951,Centerpartiet
Q97029523,Centerpartiet
Q97772216,Moderaterna
Q64404514,Liberalerna
Q98538739,Moderaterna
Q98555891,Moderaterna
Q98271395,Centerpartiet
Q98271535,Centerpartiet
Q98271639,Centerpartiet
Q98538756,Centerpartiet
Q98668735,Centerpartiet
Q98937885,Centerpartiet
Q99527006,Moderaterna
Q107419934,Centerpartiet
Q72922068,Socialdemokraterna
Q74566289,Socialdemokraterna
Q96323621,Sverigedemokraterna
Q96323985,Socialdemokraterna
Q96324202,Socialdemokraterna
Q96980120,Vänsterpartiet
Q96980907,Vänsterpartiet
Q96983571,Socialdemokraterna
Q97461191,Socialdemokraterna
Q97850978,Vänsterpartiet
Q97971237,Vänsterpartiet
Q98539283,Vänsterpartiet
Q98556529,Socialdemokraterna
Q98937482,Socialdemokraterna
Q16165766,Centerpartiet
Q18244900,Kristdemokraterna
Q18649282,Centerpartiet
Q21572129,Moderaterna
Q21578772,Moderaterna
Q21614175,Moderaterna
Q21731075,Q4650881
Q21578744,Kristdemokraterna
Q21567861,Centerpartiet
Q21733239,Centerpartiet
Q15963975,Sverigedemokraterna
Q16596143,Miljöpartiet
Q16633513,Miljöpartiet
Q18238922,Sverigedemokraterna
Q18243197,Sverigedemokraterna
Q18243514,Sverigedemokraterna
Q18244644,Sverigedemokraterna
Q18243853,Miljöpartiet
Q6254499,Liberalerna
Q21497027,Sverigedemokraterna
Q21567759,Miljöpartiet
Q21570585,Miljöpartiet
Q21731075,Miljöpartiet
Q9393603,Socialdemokraterna
Q50353136,Moderaterna
Q50353175,Moderaterna
Q18237073,Liberalerna
Q18747077,Liberalerna
Q16633140,Socialdemokraterna
Q23915305,Liberalerna
Q18202336,Socialdemokraterna
Q18202340,Socialdemokraterna
Q18245444,Socialdemokraterna
Q18275164,Socialdemokraterna
Q18448419,Socialdemokraterna
Q18448703,Socialdemokraterna
Q57168715,Centerpartiet
Q21558214,Socialdemokraterna
Q21558216,Socialdemokraterna
Q21567758,Socialdemokraterna
Q21572124,Socialdemokraterna
Q21614364,Socialdemokraterna
Q56923131,Socialdemokraterna
Q6192576,Centerpartiet
Q4979119,Miljöpartiet
Q152437,Socialdemokraterna
Q953952,Socialdemokraterna
Q2130664,Socialdemokraterna
Q2345137,Socialdemokraterna
Q3376192,Socialdemokraterna
Q4710223,Socialdemokraterna
Q4935938,Vänsterpartiet
Q4949040,Socialdemokraterna
Q4956893,Socialdemokraterna
Q4970543,Socialdemokraterna
Q5561426,Socialdemokraterna
Q5777713,Socialdemokraterna
Q5783838,Socialdemokraterna
Q5887636,Socialdemokraterna
Q5950208,Socialdemokraterna
Q5959211,Socialdemokraterna
Q5969341,Socialdemokraterna
Q5989925,Socialdemokraterna
Q6017016,Socialdemokraterna
Q6250583,Socialdemokraterna
Q4940303,Moderaterna
Q4952231,Moderaterna
Q4958997,Moderaterna
Q4963441,Moderaterna
Q4941925,partilös
Q4935945,Kristdemokraterna
Q4945656,Kristdemokraterna
Q4946795,Kristdemokraterna
Q4955842,Centerpartiet
Q4944988,Miljöpartiet
Q4959099,Miljöpartiet
Q4936035,Liberalerna
Q4941925,Liberalerna
Q4944235,Liberalerna
Q4945706,Liberalerna
Q4948778,Liberalerna
Q4949761,Liberalerna
Q4952392,Liberalerna
Q4955040,Liberalerna
Q4961647,Liberalerna
Q4942986,Vänsterpartiet
Q4946821,Vänsterpartiet
Q4947061,Socialdemokraterna
Q4947360,Socialdemokraterna
Q4955459,Vänsterpartiet
Q4956659,Socialdemokraterna
Q4956970,Socialdemokraterna
Q4957065,Vänsterpartiet
Q4958102,Socialdemokraterna
Q4959099,Socialdemokraterna
Q4962466,Socialdemokraterna
Q3041165,Moderaterna
Q3374305,Moderaterna
Q3742553,Moderaterna
Q1910868,Miljöpartiet
Q2029325,Miljöpartiet
Q2846537,Liberalerna
Q3675520,Liberalerna
Q1581082,Vänsterpartiet
Q2476427,Socialdemokraterna
Q3055894,Socialdemokraterna
Q3363839,Socialdemokraterna
Q3370127,Socialdemokraterna
Q3372906,Socialdemokraterna
Q3372970,Socialdemokraterna
Q3374704,Socialdemokraterna
Q3375074,Socialdemokraterna
Q99363899,Vänsterpartiet
Q99373629,Vänsterpartiet
Q308217,Moderaterna
Q378195,Moderaterna
Q99909932,Socialdemokraterna
Q352831,Ny demokrati
Q513301,Centerpartiet
Q1663473,Kristdemokraterna
Q2156636,Moderaterna
Q3357513,partilös
Q104215872,Socialdemokraterna
Q491206,Miljöpartiet
Q3357513,Sverigedemokraterna
Q517921,Vänsterpartiet
Q3358771,Socialdemokraterna
Q3363842,Socialdemokraterna
Q3373040,Socialdemokraterna
Q3374622,Socialdemokraterna
Q99541757,Centerpartiet
Q104214592,Moderaterna
Q104215746,Centerpartiet
Q105371172,Moderaterna
Q105604453,Sverigedemokraterna
Q98556536,Socialdemokraterna
Q98668723,Vänsterpartiet
Q4354054,Kristdemokraterna
Q4895710,Moderaterna
Q4938434,Moderaterna
Q4941068,Moderaterna
Q4943175,Moderaterna
Q4768959,Kristdemokraterna
Q4692974,Centerpartiet
Q4946369,Centerpartiet
Q4919772,Sverigedemokraterna
Q4936001,Miljöpartiet
Q4938708,Miljöpartiet
Q4942281,Miljöpartiet
Q4946932,Miljöpartiet
Q4859755,Liberalerna
Q4937530,Liberalerna
Q4938815,Liberalerna
Q4944024,Liberalerna
Q4949338,Liberalerna
Q4765559,Socialdemokraterna
Q4794608,Socialdemokraterna
Q4935905,Socialdemokraterna
Q4935919,Socialdemokraterna
Q4936668,Socialdemokraterna
Q4939232,Vänsterpartiet
Q4940228,Socialdemokraterna
Q4951217,Socialdemokraterna
Q99373635,Socialdemokraterna
Q77555,Moderaterna
Q460597,Moderaterna
Q99836915,Socialdemokraterna
Q517960,Miljöpartiet
Q520956,Miljöpartiet
Q460539,Liberalerna
Q271468,Vänsterpartiet
Q369024,Vänsterpartiet
Q271468,Feministiskt initiativ
Q97155940,Moderaterna
Q97046134,Centerpartiet
Q97156005,Centerpartiet
Q98271408,Moderaterna
Q97971226,Centerpartiet
Q98281504,Centerpartiet
Q98556497,Centerpartiet
Q98937434,Centerpartiet
Q104215586,Moderaterna
Q97772191,Sverigedemokraterna
Q97777868,Miljöpartiet
Q98271096,Miljöpartiet
Q98281504,Miljöpartiet
Q99363797,Liberalerna
Q97040428,Vänsterpartiet
Q97097194,Socialdemokraterna
Q97097221,Vänsterpartiet
Q97154361,Socialdemokraterna
Q97258376,Socialdemokraterna
Q97461195,Socialdemokraterna
Q97823701,Socialdemokraterna
Q97838827,Socialdemokraterna
Q97971246,Socialdemokraterna
Q98415201,Socialdemokraterna
Q18202362,Moderaterna
Q21558210,Moderaterna
Q21558212,Moderaterna
Q21578743,Centerpartiet
Q21733290,Centerpartiet
Q27750419,Kristdemokraterna
Q30035679,Moderaterna
Q30035703,Kristdemokraterna
Q18238731,Sverigedemokraterna
Q18238847,Sverigedemokraterna
Q18243181,Sverigedemokraterna
Q18243330,Sverigedemokraterna
Q18245020,Sverigedemokraterna
Q18454922,Miljöpartiet
Q21745498,Miljöpartiet
Q18335061,Liberalerna
Q19977344,Liberalerna
Q57168695,Moderaterna
Q18202339,Socialdemokraterna
Q18202407,Socialdemokraterna
Q59269310,Moderaterna
Q21529003,Socialdemokraterna
Q60732958,Moderaterna
Q21567800,Socialdemokraterna
Q21614203,Socialdemokraterna
Q24701062,Socialdemokraterna
Q30000444,Socialdemokraterna
Q30000498,Socialdemokraterna
Q30035704,Socialdemokraterna
Q70407251,Moderaterna
Q57168710,Miljöpartiet
