role,government,wiki_id,start,end
utbildningsminister,Regeringen Carlsson I,Q4098206,1985-10-17,1989-01-29
ungdomsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04
konsumentminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
utbildningsminister,Regeringen Reinfeldt,Q946818,2006-10-06,2007-09-07
ungdomsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
kulturminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03
Statsministerns ställföretädare,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03
socialförsäkringsminister,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05
arbetsmarknadsminister,Regeringen Carlsson I,Q1796120,1982-10-08,1987-10-19
biståndsminister,Regeringen Reinfeldt,Q458162,2006-10-06,2013-09-17
minister för nordiskt samarbete,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05
samfundsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04
idrottsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03
jordbruksminister,Regeringen Carlsson I,Q5799722,1986-10-10,1991-10-04
näringsminister,Regeringen Carlsson I,Q5991125,1990-01-12,1991-10-04
socialförsäkringsminister,Regeringen Reinfeldt,Q1780398,2010-10-05,2014-10-03
demokratiminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
justitieminister,Regeringen Carlsson I,Q1796120,1987-10-19,1988-06-07
handelsminister,Regeringen Reinfeldt,Q457877,2007-09-12,2014-10-03
jordbruksminister,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-09
bostadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05
kulturminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
försvarsminister,Regeringen Reinfeldt,Q984112,2007-09-05,2012-03-29
miljöminister,Regeringen Reinfeldt,Q535342,2011-09-29,2014-10-03
biståndsminister,Regeringen Carlsson I,Q460919,1985-10-17,1991-10-04
integrationsminister,Regeringen Reinfeldt,Q4588714,2010-10-05,2014-10-03
idrottsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16
biträdande utbildningsminister,Regeringen Reinfeldt,Q241851,2010-10-05,2013-01-21
infrastrukturminister,Regeringen Reinfeldt,Q271235,2006-10-06,2010-10-05
minister för nordiskt samarbete,Regeringen Carlsson I,Q5799722,1982-10-08,1986-10-10
samfundsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2010-10-05
arbetsmarknadsminister,Regeringen Reinfeldt,Q772089,2010-10-05,2013-09-17
skolminister,Regeringen Reinfeldt,Q911372,2006-10-06,2007-09-12
bostadsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03
minister för nordiskt samarbete,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-10
Statsministerns ställföretädare,Regeringen Carlsson I,Q5967249,1986-03-13,1986-10-09
arbetsmarknadsminister,Regeringen Reinfeldt,Q3504785,2006-10-06,2010-07-07
konsumentminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03
Statsministerns ställföretädare,Regeringen Reinfeldt,Q253640,2006-10-06,2010-10-05
energiminister,Regeringen Reinfeldt,Q3562306,2011-09-29,2014-10-03
bostadsminister,Regeringen Carlsson I,Q5969868,1988-10-04,1991-10-04
integrationsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05
högskoleminister,Regeringen Reinfeldt,Q946818,2007-09-12,2009-06-17
biträdande utbildningsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03
justitieminister,Regeringen Reinfeldt,Q297850,2006-10-06,2014-10-03
finansminister,Regeringen Reinfeldt,Q182050,2006-10-06,2014-10-03
