name,title,start,end
Per Albin Hansson,Statsminister,1945-07-31,1946-10-06
Herman Zetterberg,Justitieminister,1945-07-31,1946-10-06
Östen Undén,Utrikesminister,1945-07-31,1946-10-06
Allan Vougt,Försvarsminister,1945-07-31,1946-10-06
Gustav Möller,Socialminister,1945-07-31,1946-10-06
Torsten Nilsson,Kommunikationsminister,1945-07-31,1946-10-06
Ernst Wigforss,Finansminister,1945-07-31,1946-10-06
Tage Erlander,Ecklesiastikminister,1945-07-31,1946-10-06
Per Edvin Sköld,Jordbruksminister,1945-07-31,1946-10-06
Gunnar Myrdal,Handelsminister,1945-07-31,1946-10-06
Axel Gjöres,Folkhushållningsminister,1945-07-31,1946-10-06
Gunnar Danielson,Juristkonsult,1945-07-31,1946-10-06
Nils Quensel,Juristkonsult,1945-07-31,1946-10-06
Eije Mossberg,Bitr socialminister,1945-07-31,1946-10-06
Gunnar Sträng,Bitr jordbruksminister,1945-07-31,1946-10-06
John Ericsson i Kinna,Bränsleminister,1945-07-31,1946-10-06
Stefan Löfven,Statsminister,2021-07-09,
Hans Dahlgren,EU-minister,2021-07-09,
Morgan Johansson,Justitie- och migrationsminister,2021-07-09,
Mikael Damberg,Inrikesminister,2021-07-09,
Ann Linde,Utrikesminister,2021-07-09,
Per Olsson Fridh,Minister för internationellt utvecklingssamarbete,2021-07-09,
Anna Hallberg,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2021-07-09,
Peter Hultqvist,Försvarsminister,2021-07-09,
Lena Hallengren,Socialminister,2021-07-09,
Ardalan Shekarabi,Socialförsäkringsminister,2021-07-09,
Magdalena Andersson,Finansminister,2021-07-09,
Lena Micko,Civilminister,2021-07-09,
Åsa Lindhagen,Finansmarknadsminister och biträdande finansminister,2021-07-09,
Anna Ekström,Utbildningsminister,2021-07-09,
Matilda Ernkrans,Minister för högre utbildning och forskning,2021-07-09,
Per Bolund,Miljö- och klimatminister samt vice statsminister,2021-07-09,
Ibrahim Baylan,Näringsminister,2021-07-09,
Amanda Lind,Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,2021-07-09,
Eva Nordmark,Arbetsmarknadsminister,2021-07-09,
Märta Stenevi,Jämställdhets- och bostadsminister med ansvar för stadsutveckling ocharbetet mot segregation och diskriminering,2021-07-09,
Tomas Eneroth,Infrastrukturminister,2021-07-09,
Anders Ygeman,Energi- och digitaliseringsminister,2021-07-09,
Thorbjörn Fälldin,Statsminister,1976-10-08,1978-10-18
Sven Romanus,Justitieminister,1976-10-08,1978-10-18
Karin Söder,Utrikesminister,1976-10-08,1978-10-18
Ola Ullsten,Biståndsminister,1976-10-08,1978-10-18
Ola Ullsten,Invandrarminister,1977-01-11,1978-03-07
Ola Ullsten,Vice statsminister,1978-03-07,1978-10-18
Eric Krönmark,Försvarsminister,1976-10-08,1978-10-18
Rune Gustavsson,Socialminister,1976-10-08,1978-10-18
Ingegerd Troedsson,Sjukvårdsminister,1976-10-08,1978-10-18
Bo Turesson,Kommunikationsminister,1976-10-08,1978-10-18
Gösta Bohman,Finansminister,1976-10-08,1976-11-25
Ingemar Mundebo,Biträdande finansminister,1976-10-08,1976-11-25
Gösta Bohman,Ekonomiminister,1976-11-25,1978-10-18
Ingemar Mundebo,Budgetminister,1976-11-25,1978-10-18
Jan-Erik Wikström,Utbildningsminister,1976-10-08,1978-10-18
Britt Mogård,Skolminister,1976-10-08,1978-10-18
Anders Dahlgren,Jordbruksminister,1976-10-08,1978-10-18
Staffan Burenstam Linder,Handelsminister,1976-10-08,1978-10-18
Per Ahlmark,Arbetsmarknads- och jämställdhetsminister  samt vice statsminister,1976-10-08,1978-03-07
Rolf Wirtén,Arbetsmarknads- jämställdhets- och invandrarminister,1978-03-07,1978-10-18
Per Ahlmark,Invandrarminister,1976-10-08,1977-08-24
Elvy Olsson,Bostadsminister,1976-10-08,1978-10-18
Birgit Friggebo,Biträdande bostadsminister,1976-10-08,1978-10-18
Nils G Åsling,Industriminister,1976-10-08,1978-10-18
Olof Johansson,Energiminister,1976-10-08,1978-10-18
Johannes Antonsson,Kommun- och kyrkominister samt minister för nordiskt samarbete,1976-10-08,1978-10-18
Per-Albin Hansson,Statsminister,1939-12-13,1945-07-31
Karl Gustaf Westman,Justitieminister,1939-12-13,1943-08-30
Thorwald Bergquist,Justitieminister,1943-08-30,1945-07-31
Christian Günther,Utrikesminister,1939-12-13,1945-07-31
Per Edvin Sköld,Försvarsminister,1939-12-13,1945-07-31
Gustav Möller,Socialminister,1939-12-13,1945-07-31
Gustaf Andersson i Rasjön,Kommunikationsminister,1939-12-13,1944-09-30
Fritiof Domö,Kommunikationsminister,1944-09-30,1945-07-31
Ernst Wigforss,Finansminister,1939-12-13,1945-07-31
Gösta Bagge,Ecklesiastikminister,1939-12-13,1944-12-15
Georg Andrén,Ecklesiastikminister,1944-12-15,1945-07-31
Axel Pehrsson-Bramstorp,Jordbruksminister,1939-12-13,1945-07-31
Fritiof Domö,Handelsminister,1939-12-13,1941-03-07
Herman Eriksson,Handelsminister,1941-03-07,1944-09-30
Bertil Ohlin,Handelsminister,1944-09-30,1945-07-31
Herman Eriksson,Folkhushållningsminister,1939-12-13,1941-03-07
Axel Gjöres,Folkhushållningsminister,1941-03-07,1945-07-31
Nils Quensel,Juristkonsult,1939-12-13,1940-10-11
Edgar Rosander,Juristkonsult,1940-10-11,1944-09-30
Gunnar Danielson,Juristkonsult,1944-09-30,1945-07-31
Thorwald Bergquist,Juristkonsult,1939-12-13,1943-08-30
Nils Quensel,Juristkonsult,1943-08-30,1945-07-31
Fritiof Domö,Bränsleminister,1941-03-07,1944-09-30
Axel Rubbestad,Bränsleminister,1944-09-30,1945-07-31
Knut G Ewerlöf,Frågor inom finans- och försvarsdep,1941-03-07,1945-07-31
Axel Rubbestad,Civilförsvarsminister,1943-08-30,1944-09-30
Tage Erlander,Civilförsvars- och bitr socialminister,1944-09-30,1945-07-31
Thorbjörn Fälldin,Statsminister,1979-10-12,1981-05-22
Håkan Winberg,Justitieminister,1979-10-12,1981-05-05
Carl Axel Petri,Justitieminister,1981-05-05,1981-05-22
Carl Axel Petri,Energi- och straffrättsminister,1979-11-06,1981-05-22
Ola Ullsten,Utrikes- och biståndsminister,1979-10-12,1981-05-22
Ola Ullsten,Vice statsminister,1980-08-01,1981-05-22
Eric Krönmark,Försvarsminister,1979-10-12,1981-05-05
Anders Dahlgren,Försvarsminister,1981-05-05,1981-05-22
Karin Söder,Socialminister,1979-10-12,1981-05-22
Elisabet Holm,Sjukvårdsminister,1979-10-12,1981-05-05
Ulf Adelsohn,Kommunikationsminister,1979-10-12,1981-05-05
Olof Johansson,Kommunikationsminister,1981-05-05,1981-05-22
Gösta Bohman,Ekonomiminister,1979-10-12,1981-05-05
Rolf Wirtén,Ekonomiminister,1981-05-05,1981-05-22
Ingemar Mundebo,Budgetminister,1979-10-12,1980-07-31
Rolf Wirtén,Budgetminister,1980-08-01,1981-05-22
Olof Johansson,Personal- och löneminister,1979-10-12,1981-05-22
Jan-Erik Wikström,Utbildningsminister,1979-10-12,1981-05-22
Britt Mogård,Skolminister,1979-10-12,1981-05-05
Anders Dahlgren,Jordbruksminister,1979-10-12,1981-05-22
Staffan Burenstam Linder,Handelsminister och  minister för nordiskt samarbete,1979-10-12,1981-05-05
Jan-Erik Wikström,Handelsminister och  minister för nordiskt samarbete,1981-05-05,1981-05-22
Rolf Wirtén,Arbetsmarknadsminister,1979-10-12,1980-07-31
Ingemar Eliasson,Arbetsmarknadsminister,1980-07-31,1981-05-22
Karin Andersson,Invandrar- och jämställdhetsminister,1979-10-12,1981-05-22
Birgit Friggebo,Bostadsminister,1979-10-12,1981-05-22
Georg Danell,Planminister,1979-10-12,1981-05-05
Nils G Åsling,Industriminister,1979-10-12,1981-05-22
Karl Boo,Kommun- och kyrkominister,1979-10-12,1981-05-22
Arvid Lindman,Statsminister,1928-10-02,1930-06-07
Georg Bissmark,Justitieminister,1928-10-02,1930-06-07
Ernst Trygger,Utrikesminister,1928-10-02,1930-06-07
Harald Malmberg,Försvarsminister,1928-10-02,1930-06-07
Sven Lübeck,Socialminister,1928-10-02,1930-06-07
Theodor Borell,Kommunikationsminister,1928-10-02,1930-06-07
Nils Wohlin,Finansminister,1928-10-02,1929-06-10
Adolf Dahl,Finansminister,1929-06-10,1930-06-07
Claes Lindskog,Ecklesiastikminister,1928-10-02,1930-06-07
Johan Bernhard Johansson,Jordbruksminister,1928-10-02,1930-06-07
Vilhelm Lundvik,Handelsminister,1928-10-02,1930-06-07
August Beskow,Konsultativt statsråd,1928-10-02,1930-06-07
Nils Vult von Steyern,Konsultativt statsråd,1928-10-02,1930-06-07
Ingvar Carlsson,Statsminister,1994-10-07,1996-03-22
Mona Sahlin,Vice statsminister,1994-10-07,1995-11-16
Jan Nygren,Samordningsminister,1994-10-07,1996-03-22
Laila Freivalds,Justitieminister,1994-10-07,1996-03-22
Lena Hjelm-Wallén,Utrikesminister,1994-10-07,1996-03-22
Pierre Schori,Biståndsminister,1994-10-07,1996-03-22
Mats Hellström,Europa- och utrikeshandelsministersamt minister för nordiskt samarbete,1994-10-07,1996-03-22
Thage G Peterson,Försvarsminister,1994-10-07,1996-03-22
Ingela Thalén,Socialminister,1994-10-07,1996-03-22
Anna Hedborg,Sjukförsäkringsminister,1994-10-07,1996-03-22
Göran Persson,Finansminister,1994-10-07,1996-03-22
Carl Tham,Utbildningsminister,1994-10-07,1996-03-22
Ylva Johansson,Skolminister,1994-10-07,1996-03-22
Margareta Winberg,Jordbruksminister,1994-10-07,1996-03-22
Anna Lindh,Miljöminister,1994-10-07,1996-03-22
Sten Heckscher,Näringsminister,1994-10-07,1996-02-05
Jörgen Andersson,Näringsminister,1996-02-05,1996-03-22
Jörgen Andersson,Bostads- och energiminister,1994-10-07,1996-03-22
Margot Wallström,Kulturminister,1994-10-07,1996-03-22
Anders Sundström,Arbetsmarknadsminister,1994-10-07,1996-03-22
Leif Blomberg,Invandrar- och arbetsrättsminister,1994-10-07,1996-03-22
Ines Uusmann,Kommunikationsminister,1994-10-07,1996-03-22
