name,title,start,end
Rune B Johansson,Inrikesminister,1957-10-31,1969-01-25
Eric Holmqvist,Inrikesminister,1969-01-25,1969-10-14
Sigurd Lindholm,Civilminister,1957-10-31,1965-09-16
Hans Gustafsson,Civilminister,1965-09-16,1969-07-01
Svante Lundkvist,Civilminister,1969-07-01,1969-10-14
Krister Wickman,Industriminister,1969-01-01,1969-10-14
Herman Kling,Juristkonsult,1957-10-31,1959-12-01
Carl Henrik Nordlander,Juristkonsult,1959-12-01,1960-10-25
Rune Hermansson,Juristkonsult,1960-10-25,1966-12-09
Lennart Geijer,Juristkonsult,1966-12-09,1969-10-14
Björn Kjellin,Juristkonsult,1957-10-31,1958-08-29
Sven af Geijerstam,Juristkonsult och kyrko- och ungdomsminister,1958-08-29,1963-04-19
Olof Palme,Ungdomsminister,1963-04-19,1965-11-25
Sven-Eric Nilsson,Juristkonsult,1964-04-29,1969-10-14
Ulla Lindström,Konsument- och biståndsminister,1957-10-31,1966-12-28
Svante Lundkvist,Kommun- och landstingsminister,1965-11-25,1967-09-29
Alva Myrdal,Nedrustningsminister,1966-12-28,1969-10-14
Camilla Odhnoff,Familje- och invandrarminister,1967-01-09,1969-10-14
Krister Wickman,Bitr finansminister,1967-02-28,1968-12-31
Sven Moberg,Undervisningsminister,1967-09-29,1969-10-14
Bertil Löfberg,Löneminister,1969-01-25,1969-10-14
Rickard Sandler,Statsminister,1925-01-24,1926-06-07
Östen Undén,Utrikesminister,1925-01-24,1926-06-07
Torsten Nothin,Justitieminister,1925-01-24,1926-06-07
Per Albin Hansson,Försvarsminister,1925-01-24,1926-06-07
Gustav Möller,Socialminister,1925-01-24,1926-06-07
Viktor Larsson,Kommunikationsminister,1925-01-24,1926-06-07
Fredrik Vilhelm Thorsson,Finansminister,1925-01-24,1925-05-05
Ernst Wigforss,Finansminister,1925-05-08,1926-06-07
Olof Olsson,Ecklesiastikminister,1925-01-24,1926-06-07
Sven Linders,Jordbruksminister,1925-01-24,1926-06-07
Rickard Sandler,Handelsminister,1925-01-24,1925-02-27
Carl Svensson,Handelsminister,1925-02-27,1926-06-07
Karl Levinson,Konsultativt statsråd,1925-01-24,1926-06-07
Ernst Wigforss,Konsultativt statsråd,1925-01-24,1925-05-08
Karl Schlyter,Konsultativt statsråd,1925-05-08,1926-06-07
Ingvar Carlsson,Statsminister,1990-02-27,1991-10-04
Odd Engström,Vice statsminister,1990-02-27,1991-10-04
Laila Freivalds,Justitieminister,1990-02-27,1991-10-04
Sten Andersson,Utrikesminister,1990-02-27,1991-10-04
Lena Hjelm-Wallén,Biståndsminister,1990-02-27,1991-10-04
Anita Gradin,Utrikeshandelsminister,1990-02-27,1991-10-04
Roine Carlsson,Försvarsminister,1990-02-27,1991-10-04
Ingela Thalén,Socialminister,1990-02-27,1991-10-04
Bengt Lindqvist,Familje- och handikappminister,1990-02-27,1991-10-04
Allan Larsson,Finansminister,1990-02-27,1991-10-04
Erik Åsbrink,Budgetminister,1990-02-27,1991-10-04
Bengt Göransson,Kultur- och utbildningsminister,1990-02-27,1991-10-04
Göran Persson,Skolminister,1990-02-27,1991-10-04
Mats Hellström,Jordbruksminister och minister för nordiskt samarbete,1990-02-27,1991-10-04
Birgitta Dahl,Miljöminister,1990-02-27,1991-10-04
Rune Molin,Industriminister,1990-10-27,1991-10-04
Rune Molin,Energiminister,1990-02-27,1991-10-04
Ulf Lönnqvist,Bostads- och idrottsminister,1990-02-27,1991-10-04
Mona Sahlin,Arbetsmarknadsminister,1990-02-27,1991-10-04
Maj-Lis Lööw,Invandrar- och jämställdhetsminister,1990-02-27,1991-10-04
Georg Andersson,Kommunikationsminister,1990-02-27,1991-10-04
Bengt K Å Johansson,Civilminister,1990-02-27,1991-10-04
Margot Wallström,Konsument- kyrko- och ungdomsminister,1990-02-27,1991-10-04
Per Albin Hansson,Statsminister,1932-09-24,1936-06-19
Ernst Wigforss,Finansminister,1932-09-24,1936-06-19
Rickard Sandler,Utrikesminister,1932-09-24,1936-06-19
Karl Schlyter,Justitieminister,1932-09-24,1936-06-19
Ivar Vennerström,Försvarsminister,1932-09-24,1936-06-19
Gustav Möller,Socialminister,1932-09-24,1936-06-19
Henning Leo,Kommunikationsminister,1932-09-24,1936-06-19
Arthur Engberg,Ecklesiastikminister,1932-09-24,1936-06-19
Per Edvin Sköld,Jordbruksminister,1932-09-24,1936-06-19
Fritjof Ekman,Handelsminister,1932-09-24,1936-06-19
Östen Undén,Konsultativt statsråd,1932-09-24,1936-06-19
Torsten Nothin,Konsultativt statsråd,1932-09-24,1933-09-16
Karl Levinson,Konsultativt statsråd,1933-09-16,1936-06-19
Hjalmar Branting,Statsminister,1920-03-10,1920-10-27
Östen Undén,Justitieminister,1920-03-10,1920-06-30
Assar Åkerman,Justitieminister,1920-06-30,1920-10-27
Erik Palmstierna,Utrikesminister,1920-03-10,1920-10-27
Per Albin Hansson,Krigsminister,1920-03-10,1920-07-01
Bernhard Eriksson,Sjöminister,1920-03-10,1920-07-01
Per Albin Hansson,Försvarsminister,1920-07-01,1920-10-27
Bernhard Eriksson,Socialminister,1920-07-01,1920-10-27
Carl Svensson,Kommunikationsminister,1920-07-01,1920-10-27
Fredrik Vilhelm Thorsson,Finansminister,1918-01-05,1920-06-30
Rickard Sandler,Finansminister,1920-06-30,1920-10-27
Olof Olsson,Ecklesiastikminister,1919-11-28,1920-10-27
Olof Nilsson,Jordbruksminister,1920-03-10,1920-10-27
Fredrik Vilhelm Thorsson,Handelsminister,1920-06-30,1920-10-27
Carl Svensson,Civilminister,1920-03-10,1920-07-01
Rickard Sandler,Konsultativa statsråd,1920-03-10,1920-06-30
William Linder,Konsultativa statsråd,1920-06-30,1920-10-27
Torsten Nothin,Konsultativa statsråd,1920-03-10,1920-10-27
Ernst Trygger,Statsminister,1923-04-19,1924-10-18
Birger Ekeberg,Justitieminister,1923-04-19,1924-10-18
Carl Hederstierna,Utrikesminister,1923-04-19,1923-11-11
Erik Marks von Würtemberg,Utrikesminister,1923-11-11,1924-10-18
Carl Malmroth,Försvarsminister,1923-04-19,1924-10-18
Gösta Malm,Socialminister,1923-04-19,1924-10-18
Sven Lübeck,Kommunikationsminister,1923-04-19,1924-10-18
Jacob Beskow,Finansminister,1923-04-19,1924-10-18
Sam Clason,Ecklesiastikminister,1923-04-19,1924-10-18
David Pettersson,Jordbruksminister,1923-04-19,1924-10-18
Nils Wohlin,Handelsminister,1923-04-19,1924-10-18
Bror Hasselrot,Konsultativt statsråd,1923-04-19,1924-10-18
Erik Stridsberg,Konsultativt statsråd,1923-04-19,1924-10-18
Tage Erlander,Statsminister,1951-10-01,1957-10-31
Östen Undén,Utrikesminister,1951-10-01,1957-10-31
Herman Zetterberg,Justitieminister,1951-10-01,1957-09-20
Ingvar Lindell,Justitieminister,1957-09-20,1957-10-31
Per Edvin Sköld,Finansminister,1951-10-01,1955-09-12
Gunnar Sträng,Finansminister,1955-09-12,1957-10-31
Torsten Nilsson,Försvarsminister,1951-10-01,1957-03-22
Sven Andersson,Försvarsminister,1957-03-22,1957-10-31
Gunnar Sträng,Socialminister,1951-10-01,1955-09-12
John Ericsson i Kinna,Socialminister,1955-09-12,1957-03-22
Torsten Nilsson,Socialminister,1957-03-22,1957-10-31
Sven Andersson,Kommunikationsminister,1951-10-01,1957-03-22
Sture Henriksson,Kommunikationsminister,1957-03-22,1957-04-22
Gösta Skoglund,Kommunikationsminister,1957-04-26,1957-10-31
Ivar Persson i Skabersjö,Ecklesiastikminister,1951-10-01,1957-10-31
Sam Norup,Jordbruksminister,1951-10-01,1957-02-01
Bernhard Näsgård,Jordbruksminister,1957-02-01,1957-07-08
Nils G Hansson,Jordbruksminister,1957-07-29,1957-10-31
John Ericsson i Kinna,Handelsminister,1951-10-01,1955-09-12
Gunnar Lange,Handelsminister,1955-09-12,1957-10-31
Gunnar Hedlund,Inrikesminister,1951-10-01,1957-10-31
John Lingman,Civilminister,1951-10-01,1954-11-29
Gunnar Lange,Civilminister,1954-11-29,1955-09-12
Sigurd Lindholm,Civilminister,1955-09-12,1957-10-31
Nils Quensel,Juristkonsult,1951-10-01,1951-10-31
Ingvar Lindell,Juristkonsult,1951-11-01,1957-09-20
Ragnar Edenman,Juristkonsult,1957-10-01,1957-10-31
Gunnar Danielson,Juristkonsult,1951-10-01,1952-03-31
Allan Nordenstam,Juristkonsult,1952-04-01,1957-02-01
Herman Kling,Juristkonsult,1957-02-01,1957-10-31
Dag Hammarskjöld,Utrikeshandelsminister,1951-10-01,1953-04-08
Ulla Lindström,Konsument- och biståndsminister,1954-06-04,1957-10-31
Hjalmar Nilson,Vägminister,1951-10-01,1957-02-01
Lars Eliasson,Vägminister,1957-02-01,1957-10-31
Hjalmar Branting,Statsminister,1924-10-14,1925-01-24
Östen Undén,Utrikesminister,1924-10-14,1925-01-24
Torsten Nothin,Justitieminister,1924-10-14,1925-01-24
Per Albin Hansson,Försvarsminister,1924-10-14,1925-01-24
Gustav Möller,Socialminister,1924-10-14,1925-01-24
Viktor Larsson,Kommunikationsminister,1924-10-14,1925-01-24
Fredrik Vilhelm Thorsson,Finansminister,1924-10-14,1925-01-24
Olof Olsson,Ecklesiastikminister,1924-10-14,1925-01-24
Sven Linders,Jordbruksminister,1924-10-14,1925-01-24
Rickard Sandler,Handelsminister,1924-10-14,1925-01-24
Ernst Wigforss,Konsultativt statsråd,1924-10-14,1925-01-24
Karl Levinson,Konsultativt statsråd,1924-10-14,1925-01-24
Nils Edén,Statsminister,1917-10-19,1920-03-10
Eliel Löfgren,Justitieminister,1917-10-19,1920-03-10
Johannes Hellner,Utrikesminister,1917-10-19,1920-03-10
Erik Nilson,Krigsminister,1917-10-19,1920-03-10
Erik Palmstierna,Sjöminister,1917-10-19,1920-03-10
Hjalmar Branting,Finansminister,1917-10-19,1918-01-05
Fredrik Vilhelm Thorsson,Finansminister,1918-01-05,1920-06-30
Värner Rydén,Ecklesiastikminister,1917-10-19,1919-11-28
Olof Olsson,Ecklesiastikminister,1919-11-28,1920-10-27
Alfred Petersson,Jordbruksminister,1917-10-19,1920-03-10
Axel Schotte,Civilminister,1917-10-19,1919-11-28
Fredrik Holmquist,Civilminister,1919-11-28,1920-03-10
Bror Petrén,Konsultativa statsråd,1917-10-19,1920-03-10
Östen Undén,Konsultativa statsråd,1917-10-19,1920-03-10
Olof Palme,Statsminister,1982-01-01,1986-01-01
Ingvar Carlsson,Vice statsminister,1982-01-01,1986-01-01
Ingvar Carlsson,Miljöminister,1985-01-01,1986-01-01
Ove Rainer,Justitieminister,1982-01-01,1983-01-01
Sten Wickbom,Justitieminister,1983-01-01,1986-01-01
Lennart Bodström,Utrikesminister,1982-01-01,1985-01-01
Sten Andersson,Utrikesminister,1985-01-01,1986-01-01
Lennart Bodström,Biståndsminister,1982-01-01,1985-01-01
Lena Hjelm-Wallén,Biståndsminister,1985-01-01,1986-01-01
Mats Hellström,Utrikeshandelsminister,1983-01-01,1986-01-01
Börje Andersson,Försvarsminister,1982-01-01,1982-01-01
Curt Boström,Försvarsminister,1982-01-01,1983-01-01
Anders Thunborg,Försvarsminister,1983-01-01,1985-01-01
Roine Carlsson,Försvarsminister,1985-01-01,1986-01-01
Sten Andersson,Socialminister,1982-01-01,1985-01-01
Gertrud Sigurdsen,Socialminister,1985-01-01,1986-01-01
Gertrud Sigurdsen,Hälsovårdsminister,1982-01-01,1985-01-01
Bengt Lindqvist,Familje- och handikappminister,1985-01-01,1986-01-01
Kjell-Olof Feldt,Ekonomi- och budgetminister,1982-01-01,1982-01-01
Kjell-Olof Feldt,Finansminister,1983-01-01,1986-01-01
Bengt KÅ Johansson,Löne- och konsumentminister,1985-01-01,1986-01-01
Lena Hjelm-Wallén,Utbildningsminister,1982-01-01,1985-01-01
Lennart Bodström,Utbildningsminister,1985-01-01,1986-01-01
Bengt Göransson,Skol- och kulturminister,1982-01-01,1986-01-01
Svante Lundkvist,Jordbruksminister och  minister för nordiskt samarbete,1982-01-01,1986-01-01
Thage G Peterson,Industriminister,1982-01-01,1986-01-01
Roine Carlsson,Biträdande industriminister,1982-01-01,1985-01-01
Birgitta Dahl,Energiminister,1982-01-01,1986-01-01
Hans Gustafsson,Bostadsminister,1982-01-01,1986-01-01
Anna-Greta Leijon,Arbetsmarknadsminister,1982-01-01,1986-01-01
Anita Gradin,Invandrar- och jämställdhetsminister,1982-01-01,1986-01-01
Curt Boström,Kommunikationsminister,1982-01-01,1985-01-01
Sven Hulterström,Kommunikationsminister,1985-01-01,1986-01-01
Bo Holmberg,Kommun- och kyrkominister,1982-01-01,1982-01-01
Bo Holmberg,Civil- och kyrkominister,1983-01-01,1986-01-01
Lennart Bodström,Handelsminister,1982-01-01,1982-01-01
Felix Hamrin,Statsminister,1932-08-06,1932-09-24
Fredrik Ramel,Utrikesminister,1932-08-06,1932-09-24
Natanael Gärde,Justitieminister,1932-08-06,1932-09-24
Anton Rundqvist,Försvarsminister,1932-08-06,1932-09-24
Sam Larsson,Socialminister,1932-08-06,1932-09-24
Ola Jeppsson,Kommunikationsminister,1932-08-06,1932-09-24
Felix Hamrin,Finansminister,1932-08-06,1932-09-24
Sam Stadener,Ecklesiastikminister,1932-08-06,1932-09-24
Bo von Stockenström,Jordbruksminister,1932-08-06,1932-09-24
David Hansén,Handelsminister,1932-08-06,1932-09-24
Ragnar Gyllenswärd,Konsultativt statsråd,1932-08-06,1932-09-24
Åke Holmbäck,Konsultativt statsråd,1932-08-06,1932-09-24
Torsten Petersson,Konsultativt statsråd,1932-08-06,1932-09-24
Axel Pehrsson-Bramstorp,Statsminister,1936-06-19,1936-09-28
Karl Gustaf Westman,Utrikesminister,1936-06-19,1936-09-28
Thorwald Bergquist,Justitieminister,1936-06-19,1936-09-28
Janne Nilsson,Försvarsminister,1936-06-19,1936-09-28
Gerhard Strindlund,Socialminister,1936-06-19,1936-09-28
Arthur Heiding,Kommunikationsminister,1936-06-19,1936-09-28
Vilmar Ljungdahl,Finansminister,1936-06-19,1936-09-28
Tor Andræ,Ecklesiastikminister,1936-06-19,1936-09-28
Axel Pehrsson-Bramstorp,Jordbruksminister,1936-06-19,1936-09-28
Elof Ericsson,Handelsminister,1936-06-19,1936-09-28
Nils Quensel,Konsultativt statsråd,1936-06-19,1936-09-28
Sture Centerwall,Konsultativt statsråd,1936-06-19,1936-09-28
Tage Gynnerstedt,Konsultativt statsråd,1936-06-19,1936-09-28
Per Albin Hansson,Statsminister,1936-09-28,1939-12-13
Ernst Wigforss,Finansminister,1936-09-28,1939-12-13
Rickard Sandler,Utrikesminister,1936-09-28,1939-12-13
Karl Gustaf Westman,Justitieminister,1936-09-28,1939-12-13
Janne Nilsson,Försvarsminister,1936-09-28,1938-12-09
Per Edvin Sköld,Försvarsminister,1938-12-16,1939-12-13
Gustav Möller,Socialminister,1936-09-28,1938-12-16
Albert Forslund,Socialminister,1938-12-16,1939-12-13
Albert Forslund,Kommunikationsminister,1936-09-28,1938-12-16
Gerhard Strindlund,Kommunikationsminister,1938-12-16,1939-12-13
Arthur Engberg,Ecklesiastikminister,1936-09-28,1939-12-13
Axel Pehrsson-Bramstorp,Jordbruksminister,1936-09-28,1939-12-13
Per Edvin Sköld,Handelsminister,1936-09-28,1938-12-16
Gustav Möller,Handelsminister,1938-12-16,1939-12-13
Herman Eriksson,Folkhushållningsminister,1939-10-15,1939-12-13
Nils Quensel,Juristkonsult,1936-09-28,1939-12-13
Karl Levinson,Juristkonsult,1936-09-28,1938-08-31
Herman Eriksson,Juristkonsult,1938-08-31,1939-10-14
Gunnar Hägglöf,Juristkonsult,1939-10-14,1939-12-13
Thorbjörn Fälldin,Statsminister,1981-05-22,1982-10-08
Carl Axel Petri,Justitieminister,1981-05-22,1982-10-08
Ola Ullsten,Utrikes- och biståndsminister samt vice statsminister,1981-05-22,1982-10-08
Torsten Gustafsson,Försvarsminister,1981-05-22,1982-10-08
Karin Söder,Socialminister,1981-05-22,1982-10-08
Karin Ahrland,Sjukvårdsminister,1981-05-22,1982-10-08
Claes Elmstedt,Kommunikationsminister,1981-05-22,1982-10-08
Rolf Wirtén,Budgetminister,1981-05-22,1982-10-08
Olof Johansson,Personal- och löneminister,1981-05-22,1982-10-08
Rolf Wirtén,Ekonomiminister,1981-05-22,1982-10-08
Jan-Erik Wikström,Utbildningsminister,1981-05-22,1982-10-08
Ulla Tillander,Skol- och ungdomsminister,1981-05-22,1982-10-08
Anders Dahlgren,Jordbruksminister,1981-05-22,1982-10-04
Claes Elmstedt,Jordbruksminister,1982-10-04,1982-10-08
Björn Molin,Handelsminister och  minister för nordiskt samarbete,1981-05-22,1982-10-08
Ingemar Eliasson,Arbetsmarknads- och energiminister,1981-05-22,1982-10-08
Karin Andersson,Invandrar- och jämställdhetsminister,1981-05-22,1982-10-08
Birgit Friggebo,Bostadsminister,1981-05-22,1982-10-08
Nils G Åsling,Industriminister,1981-05-22,1982-10-08
Karl Boo,Kommun- och kyrkominister,1981-05-22,1982-10-08
Fredrik Reinfeldt,Statsminister,2006-10-06,2014-10-03
Cecilia Malmström,EU-minister,2006-10-06,2010-01-22
Birgitta Ohlsson,EU-minister,2010-02-02,2014-10-03
Birgitta Ohlsson,Demokrati- och konsumentminister,2010-10-05,2014-10-03
Beatrice Ask,Justitieminister,2006-10-06,2014-10-03
Tobias Billström,Migrationsminister,2006-10-06,2014-09-28
Carl Bildt,Utrikesminister,2006-10-06,2014-10-03
Gunilla Carlsson,Biståndsminister,2006-10-06,2013-09-17
Hillevi Engström,Biståndsminister,2013-09-17,2014-10-03
Maria Borelius,Handelsminister,2006-10-06,2006-10-14
Sten Tolgfors,Handelsminister,2006-10-24,2007-09-05
Ewa Björling,Handelsminister,2007-09-12,2014-10-03
Ewa Björling,Minister för nordiskt samarbete,2010-10-05,2014-10-03
Mikael Odenberg,Försvarsminister,2006-10-06,2007-09-05
Sten Tolgfors,Försvarsminister,2007-09-05,2012-03-29
Karin Enström,Försvarsminister,2012-04-18,2014-10-03
Göran Hägglund,Socialminister,2006-10-06,2014-10-03
Maria Larsson,Äldre- och folkhälsominister,2006-10-06,2010-10-05
Maria Larsson,Barn- och äldreminister,2010-10-05,2014-10-03
Stefan Attefall,Civil- samfunds-  och bostadsminister,2010-10-05,2014-10-03
Cristina Husmark Pehrsson,Socialförsäkringsminister och minister för nordiskt samarbete,2006-10-06,2010-10-05
Ulf Kristersson,Socialförsäkringsminister,2010-10-05,2014-10-03
Anders Borg,Finansminister,2006-10-06,2014-10-03
Mats Odell,Kommun- bostads-  och finansmarknadsminister,2006-10-06,2010-10-05
Peter Norman,Finansmarknadsminister,2010-10-05,2014-10-03
Lars Leijonborg,Utbildningsminister,2006-10-06,2007-09-12
Jan Björklund,Utbildningsminister,2007-09-12,2014-10-03
Jan Björklund,Skolminister,2006-10-06,2007-09-12
Lars Leijonborg,Högskole- och forskningsminister,2007-09-12,2009-06-17
Tobias Krantz,Högskole- och forskningsminister,2009-06-17,2010-10-05
Jan Björklund,Högskole- och forskningsminister samt vice statsminister,2010-10-05,2014-10-03
Nyamko Sabuni,Jämställdhets- och ungdomsministersamt biträdande utbildningsminister n ,2010-10-05,2013-01-21
Maria Arnholm,Jämställdhets- och ungdomsministersamt biträdande utbildningsminister n ,2013-01-21,2014-10-03
Eskil Erlandsson,Jordbruksministern ,2006-10-06,2010-10-05
Eskil Erlandsson,Landsbygdsministern ,2010-10-05,2014-10-03
Andreas Carlgren,Miljöminister,2006-10-06,2011-09-29
Lena Ek,Miljöminister,2011-09-29,2014-10-03
Maud Olofsson,Näringsminister,2006-10-06,2011-09-29
Annie Lööf,Näringsminister,2011-09-29,2014-10-03
Maud Olofsson,Energiminister,2006-10-06,2011-09-29
Anna-Karin Hatt,Energiminister,2011-09-29,2014-10-03
Åsa Torstensson,Infrastrukturminister,2006-10-06,2010-10-05
Catharina Elmsäter-Svärd,Infrastrukturminister,2010-10-05,2014-10-03
Anna-Karin Hatt,IT-minister,2010-10-05,2014-10-03
Anna-Karin Hatt,Regionminister,2010-10-05,2011-09-29
Annie Lööf,Regionminister,2011-09-29,2014-10-03
Maud Olofsson,Vice statsminister,2006-10-06,2010-10-05
Nyamko Sabuni,Integrations- jämställdhets- demokrati- ungdoms- och konsumentminister,2006-10-06,2010-10-05
Cecilia Stegö Chilò,Kultur- och idrottsminister,2006-10-06,2006-10-16
Lena Adelsohn Liljeroth,Kultur- och idrottsminister,2006-10-24,2014-10-03
Cecilia Stegö Chilò,Samfundsminister,2006-10-06,2006-10-16
Lena Adelsohn Liljeroth,Samfundsminister,2006-10-24,2010-10-05
Sven Otto Littorin,Arbetsmarknadsminister,2006-10-06,2010-07-07
Tobias Billström,Arbetsmarknadsminister,2010-07-07,2010-10-05
Hillevi Engström,Arbetsmarknadsminister,2010-10-05,2013-09-17
Elisabeth Svantesson,Arbetsmarknadsminister,2013-09-17,2014-10-03
Erik Ullenhag,Integrationsminister,2010-10-05,2014-10-03
Tage Erlander,Statsminister,1946-10-11,1951-10-01
Östen Undén,Utrikesminister,1946-10-11,1951-10-01
Herman Zetterberg,Justitieminister,1946-10-11,1951-10-01
Allan Vougt,Försvarsminister,1946-10-11,1951-10-01
Gustav Möller,Socialminister,1946-10-11,1951-10-01
Torsten Nilsson,Kommunikationsminister,1946-10-11,1951-10-01
Ernst Wigforss,Finansminister,1946-10-11,1949-06-30
David Hall,Finansminister,1949-07-01,1949-10-17
Per Edvin Sköld,Finansminister,1949-10-21,1951-10-01
Josef Weijne,Ecklesiastikminister,1946-10-11,1951-03-08
Hildur Nygren,Ecklesiastikminister,1951-03-17,1951-10-01
Per Edvin Sköld,Jordbruksminister,1946-10-11,1948-10-29
Gunnar Sträng,Jordbruksminister,1948-10-29,1951-10-01
Gunnar Myrdal,Handelsminister,1946-10-11,1947-04-11
Axel Gjöres,Handelsminister,1947-04-11,1948-09-24
John Ericsson i Kinna,Handelsminister,1948-09-24,1951-10-01
Axel Gjöres,Folkhushållningsminister,1946-10-11,1947-04-11
Gunnar Sträng,Folkhushållningsminister,1947-04-11,1948-10-29
Karin Kock-Lindberg,Folkhushållningsminister,1948-10-29,1949-12-31
John Ericsson i Kinna,Folkhushållningsminister,1950-01-01,1950-06-30
Eije Mossberg,Inrikesminister,1947-07-01,1951-10-01
John Lingman,Civilminister,1950-07-01,1951-10-01
Gunnar Danielson,Juristkonsult,1946-10-11,1951-10-01
Nils Quensel,Juristkonsult och kyrkominister,1946-10-11,1951-10-01
John Ericsson i Kinna,Bränsleminister,1946-10-11,1948-10-28
Eije Mossberg,Bitr socialminister,1946-10-11,1947-07-01
Gunnar Sträng,Bitr jordbruksminister,1946-10-11,1947-04-11
Karin Kock-Lindberg,Ekonomiska frågor,1947-04-11,1948-10-28
Sven Andersson,Ekonomiska frågor,1948-10-28,1951-10-01
Per Edvin Sköld,Ekonomisk samordningsminister,1948-10-28,1949-10-21
John Lingman,Löneminister,1950-01-04,1950-07-01
Dag Hammarskjöld,Utrikeshandelsminister,1951-02-06,1951-10-01
Olof Palme,Statsminister,1969-10-14,1976-10-08
Carl Lidbom,Samordningsminister,1975-01-01,1975-11-01
Thage G Peterson,Samordningsminister,1975-11-01,1976-10-08
Lennart Geijer,Justitieminister,1969-10-14,1976-10-08
Torsten Nilsson,Utrikesminister,1969-10-14,1971-06-30
Krister Wickman,Utrikesminister,1971-06-30,1973-11-03
Sven Andersson,Utrikesminister,1973-11-03,1976-10-08
Gertrud Sigurdsen,Biståndsminister,1973-11-03,1976-10-08
Alva Myrdal,Nedrustnings- och kyrkominister,1969-10-14,1973-11-03
Sven Andersson,Försvarsminister,1969-10-14,1973-11-03
Eric Holmqvist,Försvarsminister,1973-11-03,1976-10-08
Sven Aspling,Socialminister,1969-10-14,1976-10-08
Camilla Odhnoff,Familje- ungdoms- och invandrarminister,1969-10-14,1973-11-03
Bengt Norling,Kommunikationsminister,1969-10-14,1976-10-08
Gunnar Sträng,Finansminister,1969-10-14,1976-10-08
Bertil Löfberg,Löneminister,1969-10-14,1975-11-01
Kjell-Olof Feldt,Löneminister och minister för nordiskt samarbete,1975-11-01,1976-10-08
Ingvar Carlsson,Utbildningsminister,1969-10-14,1973-11-03
Bertil Zachrisson,Utbildningsminister,1973-11-03,1976-10-08
Sven Moberg,Undervisningsminister,1969-10-14,1973-11-03
Lena Hjelm-Wallén,Skolminister,1974-01-04,1976-10-08
Ingemund Bengtsson,Jordbruksminister,1969-10-14,1973-11-03
Svante Lundkvist,Jordbruksminister,1973-11-03,1976-10-08
Gunnar Lange,Handelsminister,1969-10-14,1970-10-09
Kjell-Olof Feldt,Handelsminister,1970-10-03,1975-11-01
Carl Lidbom,Handelsminister,1975-11-01,1976-10-08
Kjell-Olof Feldt,Minister för nordiskt samarbete,1970-10-03,1975-11-01
Eric Holmqvist,Inrikesminister,1969-10-14,1973-11-03
Ingemund Bengtsson,Inrikesminister,1973-11-03,1973-12-31
Ingemund Bengtsson,Arbetsmarknadsminister,1974-01-01,1976-10-08
Anna-Greta Leijon,Invandrar- och jämställdhetsminister,1973-11-03,1976-10-08
Ingvar Carlsson,Bostadsminister,1973-11-03,1976-10-08
Svante Lundkvist,Civilminister,1969-10-14,1973-11-03
Hans Gustafsson,Civilminister,1973-11-03,1973-12-31
Hans Gustafsson,Kommunminister,1974-01-01,1976-10-08
Hans Gustafsson,Kyrkominister,1973-11-03,1976-10-08
Krister Wickman,Industriminister,1969-10-14,1971-06-30
Rune B Johansson,Industriminister,1971-06-30,1976-10-08
Sven-Eric Nilsson,Juristkonsult,1969-10-14,1973-06-30
Carl Lidbom,Juristkonsult,1969-10-14,1974-12-31
Stefan Löfven,Statsminister,2014-10-03,2019-01-21
Kristina Persson,Minister för strategi och framtidsfrågor samt nordiskt samarbete,2014-10-03,2016-05-25
Ibrahim Baylan,Samordnings- och energiminister,2016-05-25,2019-01-21
Morgan Johansson,Justitie- och migrationsminister,2014-10-03,2017-07-27
Morgan Johansson,Justitie- och inrikesminister,2017-07-27,2019-01-21
Heléne Fritzon,Migrationsminister och biträdande justitieminister,2017-07-27,2019-01-21
Anders Ygeman,Inrikesminister,2014-10-03,2017-07-27
Margot Wallström,Utrikesminister,2014-10-03,2019-01-21
Isabella Lövin,Biståndsminister,2014-10-03,2016-05-25
Isabella Lövin,Minister för internationellt utvecklingssamarbete  och klimat samt vice statsminister,2016-05-25,2019-01-21
Ann Linde,EU- och handelsminister,2016-05-25,2019-01-21
Peter Hultqvist,Försvarsminister,2014-10-03,2019-01-21
Annika Strandhäll,Socialförsäkringsminister,2014-10-03,2017-07-27
Annika Strandhäll,Socialminister,2017-07-27,2019-01-21
Gabriel Wikström,Folkhälso- sjukvårds- och idrottsminister,2014-10-03,2017-07-27
Åsa Regnér,Barn- äldre- och jämställdhetsminister,2014-10-03,2018-03-08
Lena Hallengren,Barn- äldre- och jämställdhetsminister,2018-03-08,2019-01-21
Magdalena Andersson,Finansminister,2014-10-03,2019-01-21
Per Bolund,Finansmarknads- och konsumentminister,2014-10-03,2019-01-21
Ardalan Shekarabi,Civilminister,2014-10-03,2019-01-21
Gustav Fridolin,Utbildningsminister,2014-10-03,2019-01-21
Aida Hadzialic,Gymnasie- ungdoms- och kunskapslyftsminister,2014-10-03,2016-08-15
Helene Hellmark Knutsson,Gymnasie- ungdoms- och kunskapslyftsminister,2016-08-15,2016-09-13
Anna Ekström,Gymnasie- ungdoms- och kunskapslyftsminister,2016-09-13,2019-01-21
Helene Hellmark Knutsson,Minister för högre utbildning och forskning,2014-10-03,2019-01-21
Åsa Romson,Klimat- och miljöminister samt vice statsminister,2014-10-03,2016-05-25
Karolina Skog,Miljöminister,2016-05-25,2019-01-21
Ibrahim Baylan,Energiminister,2014-10-03,2016-05-25
