titel,name,party,start,end,chamber,id,loc
3_vice_talman,Karl Erik Eriksson,l,1976,1979,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1979,1982,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Thorsten Larsson,c,1979,1982,Enkammarriksdagen,thorsten_larsson_2_vice_talman,
3_vice_talman,Karl Erik Eriksson,l,1979,1982,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1982,1985,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Anders Dahlgren,c,1982,1985,Enkammarriksdagen,anders_dahlgren_2_vice_talman,
3_vice_talman,Karl Erik Eriksson,l,1982,1985,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1985,1988,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Karl Erik Eriksson,l,1985,1988,Enkammarriksdagen,karl_erik_eriksson_2_vice_talman,
2_vice_talman,Christer Eirefelt,l,1988,1988,Enkammarriksdagen,christer_eirefelt_2_vice_talman,
3_vice_talman,Anders Dahlgren,c,1985,1986,Enkammarriksdagen,anders_dahlgren_3_vice_talman,
2_vice_talman,Bertil Fiskesjö,c,1986,1988,Enkammarriksdagen,bertil_fiskesjo_2_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1988,1991,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Christer Eirefelt,l,1988,1991,Enkammarriksdagen,christer_eirefelt_2_vice_talman,
3_vice_talman,Bertil Fiskesjö,c,1988,1991,Enkammarriksdagen,bertil_fiskesjo_3_vice_talman,
1_vice_talman,Stig Alemyr,s,1991,1994,Enkammarriksdagen,stig_alemyr_1_vice_talman,
2_vice_talman,Christer Eirefelt,l,1991,1994,Enkammarriksdagen,christer_eirefelt_2_vice_talman,
3_vice_talman,Bertil Fiskesjö,c,1991,1994,Enkammarriksdagen,bertil_fiskesjo_3_vice_talman,
1_vice_talman,Anders Björck,m,1994-03-10,1998,Enkammarriksdagen,anders_bjorck_1_vice_talman,
2_vice_talman,Görel Thurdin,c,1994,1998,Enkammarriksdagen,gorel_thurdin_2_vice_talman,
3_vice_talman,Christer Eirefelt,l,1994,1998,Enkammarriksdagen,christer_eirefelt_3_vice_talman,
1_vice_talman,Anders Björck,m,1998,2002-31-12,Enkammarriksdagen,anders_bjorck_1_vice_talman,
2_vice_talman,Eva Zetterberg,v,1998,2002,Enkammarriksdagen,eva_zetterberg_2_vice_talman,
3_vice_talman,Rose-Marie Frebran,kd,1998,2002,Enkammarriksdagen,rose-marie_frebran_3_vice_talman,
1_vice_talman,Anders Björck,m,2002,2002,Enkammarriksdagen,anders_bjorck_1_vice_talman,
1_vice_talman,Per Westerberg,m,2003,2006,Enkammarriksdagen,per_westerberg_1_vice_talman,
2_vice_talman,Kerstin Heinemann,l,2002,2006,Enkammarriksdagen,kerstin_heinemann_2_vice_talman,
3_vice_talman,Helena Höij,kd,2002,2006,Enkammarriksdagen,helena_hoij_3_vice_talman,
1_vice_talman,Jan Björkman,s,2006,2010,Enkammarriksdagen,jan_bjorkman_1_vice_talman,
2_vice_talman,Birgitta Sellén,c,2006-02-10,2010-04-10,Enkammarriksdagen,birgitta_sellen_2_vice_talman,
3_vice_talman,Liselott Hagberg,l,2006-05-11,2010,Enkammarriksdagen,liselott_hagberg_3_vice_talman,
1_vice_talman,Susanne Eberstein,s,2010,2014,Enkammarriksdagen,susanne_eberstein_1_vice_talman,
2_vice_talman,Ulf Holm,mp,2010-04-10,2014-29-09,Enkammarriksdagen,ulf_holm_2_vice_talman,
3_vice_talman,Liselott Hagberg,l,2010,2012-30-09,Enkammarriksdagen,liselott_hagberg_3_vice_talman,
3_vice_talman,Jan Ertsborn,l,2012-01-11,2014-29-09,Enkammarriksdagen,jan_ertsborn_3_vice_talman,
1_vice_talman,Tobias Billström,m,2014-29-09,2017-11-10,Enkammarriksdagen,tobias_billstrom_1_vice_talman,
1_vice_talman,Ewa Thalén Finné,m,2017-11-10,2018-24-09,Enkammarriksdagen,ewa_thalen_finne_1_vice_talman,
2_vice_talman,Björn Söder,sd,2014-29-09,2018-24-09,Enkammarriksdagen,bjorn_soder_2_vice_talman,
3_vice_talman,Esabelle Dingizian,mp,2014-09-09,2018-24-09,Enkammarriksdagen,esabelle_dingizian_3_vice_talman,
1_vice_talman,Åsa Lindestam,s,2018-24-09,,Enkammarriksdagen,asa_lindestam_1_vice_talman,
2_vice_talman,Lotta Johnsson Fornarve,v,2018-24-09,,Enkammarriksdagen,lotta_johnsson_fornarve_2_vice_talman,
3_vice_talman,Kerstin Lundgren,c,2018-24-09,,Enkammarriksdagen,kerstin_lundgren_3_vice_talman,
talman,Hugo Hamilton,partilös,1916,1928,Första kammaren,hugo_hamilton_talman,
talman,Axel Vennersten,m,1928,1936,Första kammaren,axel_vennersten_talman,
talman,Johan Nilsson,m,1937,1955,Första kammaren,johan_nilsson_talman,
talman,John Bergvall,l,1956,1959,Första kammaren,john_bergvall_talman,
talman,Gustaf Valfrid Sundelin,l,1959,1964,Första kammaren,gustaf_valfrid_sundelin_talman,
talman,Erik Boheman,l,1965,1970,Första kammaren,erik_boheman_talman,
talman,Herman Lindqvist,s,1918,1921,Andra kammaren,herman_lindqvist_talman,
talman,Viktor Larsson,s,1922,1923,Andra kammaren,viktor_larsson_talman,
talman,Herman Lindqvist,s,1924,1927,Andra kammaren,herman_lindqvist_talman,
talman,Bernhard Eriksson,s,1928,1932,Andra kammaren,bernard_eriksson_talman,
talman,August Sävström,s,1933,1952,Andra kammaren,august_sävström_talman,
talman,Gustaf Nilsson,s,1953,1957,Andra kammaren,gustaf_nilsson_talman,
talman,Patrik Svensson,s,1958-18-06,1960-17-07,Andra kammaren,patrik_svensson_talman,
talman,Fridolf Thapper,s,1960,1968,Andra kammaren,fridolf_thapper_talman,
talman,Henry Allard,s,1969,1970,Andra kammaren,henry_allard_talman,
talman,Henry Allard,s,1971-15-01,1979-01-10,Enkammarriksdagen,henry_allard_talman,
talman,Ingemund Bengtsson,s,1979-01-10,1988-03-10,Enkammarriksdagen,ingemund_bengtsson_talman,
talman,Thage G. Peterson,s,1988-03-10,1991-30-09,Enkammarriksdagen,thage_g_peterson_talman,
talman,Ingegerd Troedsson,m,1991-30-09,1994-03-10,Enkammarriksdagen,ingegerd_troedsson_talman,
talman,Birgitta Dahl,s,1994-03-10,2002-30-09,Enkammarriksdagen,birgitta_dahl_talman,
talman,Björn von Sydow,s,2002-30-09,2006-02-10,Enkammarriksdagen,bjorn_von_sydow_talman,
talman,Per Westerberg,m,2006-02-10,2014-29-09,Enkammarriksdagen,per_westerberg_talman,
talman,Urban Ahlin,s,2014-29-09,2018-24-09,Enkammarriksdagen,urban_ahlin_talman,
talman,Andreas Norlén,m,2018-24-09,,Enkammarriksdagen,andreas_norlen_talman,
