role,wiki_id,start,end,name,gender,born,dead,party,alias,id
andra kammarens talman,Q6010330,1953-01-01,1957-01-01,Gustaf Nilsson,man,1900-09-23,1977-12-18,Socialdemokraterna,,ak_talman_gustaf_nilsson_w
första kammarens vice talman,Q5748259,1868-01-01,1872-01-01,Olof Fåhræus,man,1796-03-23,1884-05-28,,Fåhræus i Stockholm,fk_vice_talman_olof_fahrus_w
andra kammarens talman,Q5581542,1913-01-15,1913-11-16,Carl Carlson Bonde,man,1850-06-11,1913-11-16,,Bonde i Ericsberg,ak_talman_carl_carlson_bonde_w
andra kammarens talman,Q5581542,1913-01-15,1913-11-16,Carl Carlson Bonde,man,1850-06-11,1913-11-16,,Bonde i Grimmersta,ak_talman_carl_carlson_bonde_w
andra kammarens vice talman,Q6011953,1887-01-01,1888-01-01,Sven Nilsson i Everöd,man,1831-11-04,1891-11-04,,Nilsson i Everöd,ak_vice_talman_sven_nilsson_i_everod_w
andra kammarens vice talman,Q6042759,1913-01-01,1917-01-01,Daniel Persson,man,1850-03-10,1918-05-24,,Persson i Tällberg,ak_vice_talman_daniel_persson_w
andra kammarens vice talman,Q5786333,1918-01-01,1921-01-01,Raoul Hamilton,man,1855-10-17,1931-01-10,,Hamilton i Ovesholm,ak_vice_talman_raoul_hamilton_w
andra kammarens vice talman,Q5581542,1912-01-01,1912-01-01,Carl Carlson Bonde,man,1850-06-11,1913-11-16,,Bonde i Ericsberg,ak_vice_talman_carl_carlson_bonde_w
andra kammarens vice talman,Q5581542,1912-01-01,1912-01-01,Carl Carlson Bonde,man,1850-06-11,1913-11-16,,Bonde i Grimmersta,ak_vice_talman_carl_carlson_bonde_w
andra kammarens talman,Q6240063,1914-01-01,1917-01-01,Johan Widén,man,1856-02-16,1933-01-22,,,ak_talman_johan_widen_w
första kammarens talman,Q525663,1878-01-01,1880-01-01,Anton Niklas Sundberg,man,1818-05-27,1900-02-01,,Sundberg i Karlstad,fk_talman_anton_niklas_sundberg_w
första kammarens talman,Q525663,1878-01-01,1880-01-01,Anton Niklas Sundberg,man,1818-05-27,1900-02-01,,Sundberg i Uppsala,fk_talman_anton_niklas_sundberg_w
Sveriges riksdags talman,Q707581,1979-10-01,1988-10-03,Ingemund Bengtsson,man,1919-01-30,2000-04-12,Socialdemokraterna,Bengtsson i Varberg,talman_ingemund_bengtsson_w
första kammarens vice talman,Q5604447,1896-01-01,1899-01-01,Edvard Casparsson,man,1827-07-21,1899-02-01,,Casparsson i Brunna,fk_vice_talman_edvard_casparsson_w
första kammarens vice talman,Q5628179,1879-01-01,1891-01-01,Pehr von Ehrenheim,man,1823-08-04,1918-03-20,,von Ehrenheim i Grönsö,fk_vice_talman_pehr_von_ehrenheim_w
andra kammarens vice talman,Q6240991,1875-01-01,1880-01-01,Olof Wijk den yngre,man,1833-07-21,1901-09-17,,Wijk i Göteborg,ak_vice_talman_olof_wijk_den_yngre_w
andra kammarens talman,Q52951,1876-01-01,1880-01-01,Arvid Posse,man,1820-02-17,1901-04-24,,Posse i Charlottenlund,ak_talman_arvid_posse_w
första kammarens talman,Q53286,1909-01-01,1911-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Forsbacka,fk_talman_christian_lundeberg_w
första kammarens talman,Q53286,1909-01-01,1911-01-01,Christian Lundeberg,man,1842-07-14,1911-11-10,,Lundeberg i Stockholm,fk_talman_christian_lundeberg_w
första kammarens talman,Q5359581,1896-01-01,1908-01-01,Gustaf Sparre,man,1834-05-31,1914-09-04,,Sparre af Söfdeborg i Almenäs,fk_talman_gustaf_sparre_w
första kammarens talman,Q5359581,1896-01-01,1908-01-01,Gustaf Sparre,man,1834-05-31,1914-09-04,,Sparre af Söfdeborg i Stockholm o Mariedal,fk_talman_gustaf_sparre_w
