decade,name,born,municipality,district,chamber,year,id
ea_2077_62800_1_1920,Ernst Wilhelm Svensson,1880,,,,1920,svensson_ernst_wilhelm_e9a859
ea_2077_62800_1_1920,Knut Abel Tengdahl,1867,,,,1920,tengdahl_knut_abel_f3ad1e
ea_2077_62800_1_1920,Karl Mauritz Bernhard Hellberg,1859,,,,1920,hellberg_karl_mauritz_bernhard_a5b13c
ea_2077_62800_1_1920,Gustaf Alfred Strömberg,1880,,,,1920,stromberg_gustaf_alfred_6324ec
ea_2077_62800_1_1920,Karl August Nilson,1864,,,,1920,nilson_karl_august_bca879
ea_2077_62800_1_1920,Johan Carlsson,1864,,,,1920,carlsson_johan_45d0a6
ea_2077_62800_1_1920,Åke Ingeström,1867,,,,1920,ingestrom_ake_61925f
ea_2077_62800_1_1920,Carl Immanuel Asplund,1872,,Örebro län,,1920,asplund_carl_immanuel_4f3f30
ea_2077_62800_1_1920,Oscar Ulrik Bernhardin Olsson,1877,,,,1920,olsson_oscar_ulrik_bernhardin_42ddfb
ea_2077_62800_1_1920,Richert Gerard Halfred Koch,1872,,,,1920,koch_richert_gerard_halfred_84bf7c
ea_2077_62800_1_1920,Adolf Hjalmar Sydow,1862,,,,1920,sydow_adolf_hjalmar_7852f9
ea_2077_62800_1_1920,Anders Örne,1881,,,,1920,orne_anders_db279b
ea_2077_62800_1_1920,Axel Vindahl,1866,,,,1920,vindahl_axel_939b12
ea_2077_62800_1_1920,Ivar Jonas Pettersson,1876,,,,1920,pettersson_ivar_jonas_981ae4
ea_2077_62800_1_1920,Johan Peter Johansson,1874,,,,1920,johansson_johan_peter_d1f52d
ea_2077_62800_1_1920,Östersund Hornsberg,1853,,,,1920,hornsberg_ostersund_e05ca9
ea_2077_62800_1_1920,Carl Adolf Grewesmiihl,1877,,,,1920,grewesmiihl_carl_adolf_09d292
ea_2077_62800_1_1920,Tillberga Lycksta,1860,,,,1920,lycksta_tillberga_9ceea8
ea_2077_62800_1_1920,Axel Herman Georg Rogberg,1865,,Kopparbergs län,,1920,rogberg_axel_herman_georg_27721c
ea_2077_62800_1_1920,Carl Fredrik Holmquist,1857,,,,1920,holmquist_carl_fredrik_89b591
ea_2077_62800_1_1920,Nils Johan Fredrik Amkvist,1867,,,,1920,amkvist_nils_johan_fredrik_ba1e0a
ea_2077_62800_1_1920,Åhlmans Olof Olsson,1866,,,,1920,olsson_ahlmans_olof_9ba76e
ea_2077_62800_1_1920,Anders Pers,1860,,,,1920,pers_anders_c6a97d
ea_2077_62800_1_1920,Carl Winberg,1867,,,,1920,winberg_carl_107a38
ea_2077_62800_1_1920,Erik Dalberg,1869,,,,1920,dalberg_erik_ef4dad
ea_2077_62800_1_1920,Olof Bergqvist,1862,,Gävleborgs län,,1920,bergqvist_olof_62b52b
ea_2077_62800_1_1920,Paul Hellström,1866,,,,1920,hellstrom_paul_0a164a
ea_2077_62800_1_1920,Carl Gustaf Teodor Wickman,1856,,,,1920,wickman_carl_gustaf_teodor_39eb31
ea_2077_62800_1_1920,Jonas Otto Ödlund,1874,,,,1920,odlund_jonas_otto_26f37d
ea_2077_62800_1_1920,Per Norin,1863,,,,1920,norin_per_f58949
ea_2077_62800_1_1920,Karl Hjalmar Branting,1860,,,,1920,branting_karl_hjalmar_ef3aeb
ea_2077_62800_1_1920,Landsorganisationens Möbelsnickare,1863,,Västernorrlands län,,1920,mobelsnickare_landsorganisationens_93c64a
ea_2077_62800_1_1920,Salomon Arvid Achates Lindman,1862,,,,1920,lindman_salomon_arvid_achates_c54524
