name,party,district,chamber,start,end,occupation,gender,id,party_abbrev,twittername
Olivia Nordgren,Socialdemokraterna,Malmöhus län,Andra kammaren,1941,1944,,woman,olivia_nordgren_d30267,S,
Olof Andersson,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1941,1944,,man,olof_andersson_7c92d7,S,
Olof Gavelin,Socialdemokraterna,Norrbottens län,Andra kammaren,1941,1944,,man,olof_gavelin_d6efe0,S,
Olof Nilsson,Socialdemokraterna,Göteborgs stad,Andra kammaren,1941,1944,,man,olof_nilsson_f41d4c,S,
Oscar Carlström,Folkpartiet Liberalerna,Jönköpings län,Andra kammaren,1941,1944,,man,oscar_carlstrom_22c742,L,
Oscar Dahlbäck,Folkpartiet Liberalerna,Jönköpings län,Andra kammaren,1941,1944,,man,oscar_dahlback_ba42b1,L,
Oscar Lövgren,Socialdemokraterna,Norrbottens län,Andra kammaren,1941,1944,,man,oscar_lovgren_d3117d,S,
Oscar Malmborg,Folkpartiet Liberalerna,Skaraborgs län,Andra kammaren,1941,1944,,man,oscar_malmborg_50c187,L,
Oscar Nolin,Högerpartiet,Kronobergs län,Andra kammaren,1941,1944,,man,oscar_nolin_6a9b38,M,
Oscar Werner,Bondeförbundet,Värmlands län,Andra kammaren,1941,1944,,man,oscar_werner_842889,C,
Otto Holmdahl,Högerpartiet,Stockholms stad,Andra kammaren,1941,1944,,man,otto_holmdahl_ce0e7e,M,
Otto Wallén,Bondeförbundet,Stockholms län,Andra kammaren,1941,1944,,man,otto_wallen_196d0b,C,
Patrik Svensson,Socialdemokraterna,Norra valkretsen,Andra kammaren,1941,1944,,man,patrik_svensson_b1ab6f,S,
Per Albin Hansson,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,man,per_albin_hansson_01f402,S,
Per Edvin Sköld,Socialdemokraterna,Malmöhus län,Andra kammaren,1941,1944,,man,per_edvin_skold_aa71dc,S,
Per Johnsson,Folkpartiet Liberalerna,Blekinge län,Andra kammaren,1941,1944,,man,per_johnsson_db17e3,L,
Per Persson,Bondeförbundet,Gävleborgs län,Andra kammaren,1941,1944,,man,per_persson_c42ff3,C,
Per Persson,Socialdemokraterna,Gävleborgs län,Andra kammaren,1941,1944,,man,per_persson_9653d5,S,
Ragnar Barnekow,Folkpartiet Liberalerna,Kristianstads län,Andra kammaren,1941,1944,,man,ragnar_barnekow_b46a9f,L,
Rikard Westerdahl,Högerpartiet,Västmanlands län,Andra kammaren,1941,1944,,man,rikard_westerdahl_8830ab,M,
Rolf Edberg,Socialdemokraterna,Östergötlands län,Andra kammaren,1941,1944,,man,rolf_edberg_40393e,S,
Ruth Gustafson,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,woman,ruth_gustafson_962d17,S,
Sam Norup,Bondeförbundet,Kristianstads län,Andra kammaren,1941,1944,,man,sam_norup_ed839d,C,
Samuel Hedlund,Högerpartiet,Jämtlands län,Andra kammaren,1941,1944,,man,samuel_hedlund_20db5f,M,
Set Persson,Unknown k,Stockholms stad,Andra kammaren,1941,1944,,man,set_persson_91e3bb,,
Seth Molander,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,man,seth_molander_3a1d2d,S,
Sigfrid Jonsson,Socialdemokraterna,Jämtlands län,Andra kammaren,1941,1944,,man,sigfrid_jonsson_2c5193,S,
Signe Linderoth-Andersson,Socialdemokraterna,Skaraborgs län,Andra kammaren,1941,1944,,woman,signe_linderoth-andersson_b9188e,S,
Sigrid Ekendahl,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,woman,sigrid_ekendahl_5d603f,S,
Sigurd Lindholm,Socialdemokraterna,Gävleborgs län,Andra kammaren,1941,1944,,man,sigurd_lindholm_2e1228,S,
Sigvard Cruse,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,man,sigvard_cruse_04f6a9,S,
Sigvard Ohlsson,Socialdemokraterna,Kalmar län,Andra kammaren,1941,1944,,man,sigvard_ohlsson_6c2115,S,
Stig Janson,Högerpartiet,Södermanlands län,Andra kammaren,1941,1944,,man,stig_janson_5e9574,M,
Sven Andersson,Socialdemokraterna,Göteborgs stad,Andra kammaren,1941,1944,,man,sven_andersson_cdc740,S,
Sven Andersson,Bondeförbundet,Västmanlands län,Andra kammaren,1941,1944,,man,sven_andersson_d78059,C,
Sven Hedqvist,Unknown s k,Stockholms län,Andra kammaren,1941,1944,,man,sven_hedqvist_5e26b0,,
Sven Lundberg,Högerpartiet,Fyrstadskretsen,Andra kammaren,1941,1944,,man,sven_lundberg_7ad9bc,M,
Sven Lundgren,Socialdemokraterna,Göteborgs stad,Andra kammaren,1941,1944,,man,sven_lundgren_e7433a,S,
Tage Erlander,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1941,1944,,man,tage_erlander_1f7298,S,
Theodor Gardell,Bondeförbundet,Gotlands län,Andra kammaren,1941,1944,,man,theodor_gardell_0ac2e6,C,
Thorvald Ekdahl,Socialdemokraterna,Kristianstads län,Andra kammaren,1941,1944,,man,thorvald_ekdahl_6057ba,S,
Thorwald Bergquist,Folkpartiet Liberalerna,Stockholms stad,Andra kammaren,1941,1944,,man,thorwald_bergquist_05360b,L,
Torgil von Seth,Högerpartiet,Jönköpings län,Andra kammaren,1941,1944,,man,torgil_von_seth_a12e2e,M,
Torsten Henriksson,Högerpartiet,Stockholms stad,Andra kammaren,1941,1944,,man,torsten_henriksson_2afd65,M,
Torsten Nilsson,Socialdemokraterna,Stockholms stad,Andra kammaren,1941,1944,,man,torsten_nilsson_abc5a8,S,
Torsten Waldemar Lundell,Högerpartiet,Kalmar län,Andra kammaren,1941,1944,,man,torsten_waldemar_lundell_69ec8d,M,
Uddo Jacobson,Socialdemokraterna,Västerbottens län,Andra kammaren,1941,1944,,man,uddo_jacobson_371ca5,S,
Verner Hedlund,Socialdemokraterna,Jämtlands län,Andra kammaren,1941,1944,,man,verner_hedlund_9b7cc3,S,
Verner Karlsson,Socialdemokraterna,Kopparbergs län,Andra kammaren,1941,1944,,man,verner_karlsson_b59cac,S,
Victor Mattsson,Bondeförbundet,Kronobergs län,Andra kammaren,1941,1944,,man,victor_mattsson_e94f86,C,
Vilhelm Lundstedt,Socialdemokraterna,Uppsala län,Andra kammaren,1941,1944,,man,vilhelm_lundstedt_ec65a4,S,
Waldemar Svensson,Folkpartiet Liberalerna,Bohuslän,Andra kammaren,1941,1944,,man,waldemar_svensson_673d66,L,
Walter Sundström,Socialdemokraterna,Skaraborgs län,Andra kammaren,1941,1944,,man,walter_sundstrom_bb6017,S,
Wiktor Mårtensson,Socialdemokraterna,Bohuslän,Andra kammaren,1941,1944,,man,wiktor_martensson_1a1cce,S,
Hanna Rydh (1943–1944),ersatt av: Hanna Rydh,Stockholms stad,Andra kammaren,1941,1944,,,_hanna_rydh_19431944_694d91,,
Åke Wiberg,Högerpartiet,Fyrstadskretsen,Andra kammaren,1941,1944,,man,ake_wiberg_ea09d0,M,
Abel Andersson,Socialdemokraterna,Jönköpings län,Andra kammaren,1945,1948,,man,abel_andersson_0b28f0,S,
Abel Sundberg,Socialdemokraterna,Göteborgs stad,Andra kammaren,1945,1948,,man,abel_sundberg_8c7a96,S,
Adolv Olsson,Socialdemokraterna,Gävleborgs län,Andra kammaren,1945,1948,,man,adolv_olsson_f09889,S,
Alarik Hagård,Högerpartiet,Älvsborgs läns södra,Andra kammaren,1945,1948,,man,alarik_hagard_d899ee,M,
Albert Hermansson,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,man,albert_hermansson_be393d,S,
Albert Larsson,Högerpartiet,Värmlands län,Andra kammaren,1945,1948,,man,albert_larsson_6941cf,M,
Alfred Andersson,Socialdemokraterna,Kristianstads län,Andra kammaren,1945,1948,,man,alfred_andersson_049884,S,
Algot Törnkvist,Socialdemokraterna,Blekinge län,Andra kammaren,1945,1948,,man,algot_tornkvist_7e4035,S,
Allan Andersson,Socialdemokraterna,Stockholms län,Andra kammaren,1945,1948,,man,allan_andersson_79f4d1,S,
Allan Vougt,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1945,1948,,man,allan_vougt_9dd505,S,
Anders Paulsen,Socialdemokraterna,Malmöhus län,Andra kammaren,1945,1948,,man,anders_paulsen_7536b4,S,
Anders Pettersson,Bondeförbundet,Hallands län,Andra kammaren,1945,1948,,man,anders_pettersson_d2cf8d,C,
Anders Stjärne,Folkpartiet Liberalerna,Östergötlands län,Andra kammaren,1945,1948,,man,anders_stjarne_f84fc4,L,
Andreas Andersson,Högerpartiet,Jämtlands län,Andra kammaren,1945,1948,,man,andreas_andersson_5506e2,M,
Annie Wallentheim,Socialdemokraterna,Stockholms län,Andra kammaren,1945,1948,,woman,annie_wallentheim_4d57bb,S,
Anton Björklund,Socialdemokraterna,Kristianstads län,Andra kammaren,1945,1948,,man,anton_bjorklund_ae19e7,S,
Anton Bränholm,Folkpartiet Liberalerna,Värmlands län,Andra kammaren,1945,1948,,man,anton_branholm_b6289d,L,
Aron Gustafsson,Bondeförbundet,Skaraborgs län,Andra kammaren,1945,1948,,man,aron_gustafsson_002299,C,
Arthur Sköldin,Socialdemokraterna,Stockholms län,Andra kammaren,1945,1948,,man,arthur_skoldin_cf13e2,S,
Artur Lundqvist,Socialdemokraterna,Älvsborgs läns norra,Andra kammaren,1945,1948,,man,artur_lundqvist_15b811,S,
Arvid Hallberg,Socialdemokraterna,Kopparbergs län,Andra kammaren,1945,1948,,man,arvid_hallberg_ae1d9a,S,
Arvid Jonsson,Bondeförbundet,Kalmar län,Andra kammaren,1945,1948,,man,arvid_jonsson_993238,C,
Arvid Karlsson,Högerpartiet,Kristianstads län,Andra kammaren,1945,1948,,man,arvid_karlsson_742498,M,
August Danielsson,Folkpartiet Liberalerna,Älvsborgs läns norra,Andra kammaren,1945,1948,,man,august_danielsson_b47087,L,
August Spångberg,Socialdemokraterna,Värmlands län,Andra kammaren,1945,1948,,man,august_spangberg_5d07a4,S,
August Sävström,Socialdemokraterna,Gävleborgs län,Andra kammaren,1945,1948,,man,august_savstrom_92bb14,S,
Axel Landgren,Socialdemokraterna,Malmöhus län,Andra kammaren,1945,1948,,man,axel_landgren_bd63cb,S,
Axel Lindqvist,Socialdemokraterna,Hallands län,Andra kammaren,1945,1948,,man,axel_lindqvist_5866c9,S,
Axel Nordström,Unknown k,Västernorrlands län,Andra kammaren,1945,1948,,man,axel_nordstrom_d25647,,
Axel Pehrsson-Bramstorp,Bondeförbundet,Malmöhus län,Andra kammaren,1945,1948,,man,axel_pehrsson-bramstorp_564b2c,C,
Axel Rubbestad,Bondeförbundet,Älvsborgs läns norra,Andra kammaren,1945,1948,,man,axel_rubbestad_10eaa5,C,
Bertil Andersson,Socialdemokraterna,Västmanlands län,Andra kammaren,1945,1948,,man,bertil_andersson_9da05f,S,
Bertil Ohlin,Folkpartiet Liberalerna,Stockholms stad,Andra kammaren,1945,1948,,man,bertil_ohlin_2d3e4b,L,
Bertil von Friesen,Folkpartiet Liberalerna,Göteborgs stad,Andra kammaren,1945,1948,,man,bertil_von_friesen_09a66b,L,
Birger Gezelius,Högerpartiet,Kopparbergs län,Andra kammaren,1945,1948,,man,birger_gezelius_733b44,M,
Birger Utbult,Folkpartiet Liberalerna,Göteborgs och Bohus län,Andra kammaren,1945,1948,,man,birger_utbult_e3769a,L,
Blenda Björck,Socialdemokraterna,Kristianstads län,Andra kammaren,1945,1948,,woman,blenda_bjorck_75122d,S,
Brynolf Stattin,Högerpartiet,Västernorrlands län,Andra kammaren,1945,1948,,man,brynolf_stattin_56e59a,M,
Carl Björling,Folkpartiet Liberalerna,Värmlands län,Andra kammaren,1945,1948,,man,carl_bjorling_31084c,L,
Carl Hoppe,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,man,carl_hoppe_45a87a,S,
Carl Lindberg,Socialdemokraterna,Stockholms stad,Andra kammaren,1945,1948,,man,carl_lindberg_c01730,S,
Carl Lindmark,Högerpartiet,Västerbottens län,Andra kammaren,1945,1948,,man,carl_lindmark_c1a5e4,M,
Carl Olof Carlsson,Bondeförbundet,Göteborgs och Bohus län,Andra kammaren,1945,1948,,man,carl_olof_carlsson_d8a063,C,
Carl Petrus Olsson,Socialdemokraterna,Älvsborgs läns norra,Andra kammaren,1945,1948,,man,carl_petrus_olsson_40ada9,S,
David Boman,Bondeförbundet,Stockholms län,Andra kammaren,1945,1948,,man,david_boman_85aabd,C,
David Hall,Socialdemokraterna,Västmanlands län,Andra kammaren,1945,1948,,man,david_hall_faa3ea,S,
Disa Västberg,Socialdemokraterna,Stockholms stad,Andra kammaren,1945,1948,,woman,disa_vastberg_76a9b2,S,
Ebon Andersson,Högerpartiet,Stockholms stad,Andra kammaren,1945,1948,,woman,ebon_andersson_cc57c0,M,
Edvard Thorell,Högerpartiet,Stockholms län,Andra kammaren,1945,1948,,man,edvard_thorell_8dc1be,M,
Edvin Gustafsson,Socialdemokraterna,Jönköpings län,Andra kammaren,1945,1948,,man,edvin_gustafsson_c2e4e3,S,
Edvin Jacobsson,Folkpartiet Liberalerna,Uppsala län,Andra kammaren,1945,1948,,man,edvin_jacobsson_af01fb,L,
Einar Andersson,Socialdemokraterna,Älvsborgs läns södra,Andra kammaren,1945,1948,,man,einar_andersson_da0a7c,S,
Einar Haeggblom,Högerpartiet,Kalmar län,Andra kammaren,1945,1948,,man,einar_haeggblom_e72619,M,
Einar Johansson,Socialdemokraterna,Kalmar län,Andra kammaren,1945,1948,,man,einar_johansson_432ed7,S,
Einar Jonsson,Socialdemokraterna,Uppsala län,Andra kammaren,1945,1948,,man,einar_jonsson_a89ae7,S,
Einar Osterman,Folkpartiet Liberalerna,Västernorrlands län,Andra kammaren,1945,1948,,man,einar_osterman_d5779c,L,
Elin Eriksson,Socialdemokraterna,Västmanlands län,Andra kammaren,1945,1948,,woman,elin_eriksson_fed662,S,
Elis Håstad,Högerpartiet,Stockholms stad,Andra kammaren,1945,1948,,man,elis_hastad_bd294b,M,
Ellen Svedberg,Socialdemokraterna,Södermanlands län,Andra kammaren,1945,1948,,woman,ellen_svedberg_96ed00,S,
Elof Hällgren,Socialdemokraterna,Blekinge län,Andra kammaren,1945,1948,,man,elof_hallgren_821052,S,
Elsa Johansson,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,woman,elsa_johansson_0fcef7,S,
Emanuel Birke,Högerpartiet,Stockholms län,Andra kammaren,1945,1948,,man,emanuel_birke_5bc988,M,
Emil Gustafson,Bondeförbundet,Kalmar län,Andra kammaren,1945,1948,,man,emil_gustafson_e96b6f,C,
Emil Malmborg,Socialdemokraterna,Stockholms stad,Andra kammaren,1945,1948,,man,emil_malmborg_beeb43,S,
Emil Olovson,Socialdemokraterna,Västmanlands län,Andra kammaren,1945,1948,,man,emil_olovson_20c3d5,S,
Eric Bladh,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1945,1948,,man,eric_bladh_6dc830,S,
Erik Brandt,Socialdemokraterna,Örebro län,Andra kammaren,1945,1948,,man,erik_brandt_9da00c,S,
Erik Fast,Socialdemokraterna,Jönköpings län,Andra kammaren,1945,1948,,man,erik_fast_7422cf,S,
Erik Hagberg,Högerpartiet,Fyrstadskretsen,Andra kammaren,1945,1948,,man,erik_hagberg_299519,M,
Erik Jansson,Unknown k,Örebro län,Andra kammaren,1945,1948,,man,erik_jansson_37c737,,
Erik Johansson,Socialdemokraterna,Göteborgs och Bohus län,Andra kammaren,1945,1948,,man,erik_johansson_467148,S,
Erik Karlsson,Unknown k,Stockholms län,Andra kammaren,1945,1948,,man,erik_karlsson_739fbc,,
Erik Lundbom,Socialdemokraterna,Södermanlands län,Andra kammaren,1945,1948,,man,erik_lundbom_6849ba,S,
Erik Norén,Socialdemokraterna,Västernorrlands län,Andra kammaren,1945,1948,,man,erik_noren_941bd1,S,
Erik Olson,Högerpartiet,Göteborgs stad,Andra kammaren,1945,1948,,man,erik_olson_47ab83,M,
Erik Pettersson,Bondeförbundet,Kopparbergs län,Andra kammaren,1945,1948,,man,erik_pettersson_8bc244,C,
Erik Severin,Socialdemokraterna,Gävleborgs län,Andra kammaren,1945,1948,,man,erik_severin_9f0333,S,
Ernst Berg,Socialdemokraterna,Västernorrlands län,Andra kammaren,1945,1948,,man,ernst_berg_752cc6,S,
Ernst Eriksson,Socialdemokraterna,Stockholms stad,Andra kammaren,1945,1948,,man,ernst_eriksson_3ba053,S,
Ernst Staxäng (före 1939 Olsson),Högerpartiet,Göteborgs och Bohus län,Andra kammaren,1945,1948,,man,ernst_staxang_fore_1939_olsson_87fe7d,M,
Ernst Wigforss,Socialdemokraterna,Göteborgs stad,Andra kammaren,1945,1948,,man,ernst_wigforss_164f7a,S,
Eskil Eriksson,Socialdemokraterna,Stockholms län,Andra kammaren,1945,1948,,man,eskil_eriksson_e52563,S,
Evald Ericsson,Socialdemokraterna,Kopparbergs län,Andra kammaren,1945,1948,,man,evald_ericsson_7a30f8,S,
Evert Sandberg,Folkpartiet Liberalerna,Västerbottens län,Andra kammaren,1945,1948,,man,evert_sandberg_6a9387,L,
Filip Kristensson,Folkpartiet Liberalerna,Kristianstads län,Andra kammaren,1945,1948,,man,filip_kristensson_35eabf,L,
Folke Jönsson,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1945,1948,,man,folke_jonsson_6634b0,S,
Folke Kyling,Högerpartiet,Skaraborgs län,Andra kammaren,1945,1948,,man,folke_kyling_673c7f,M,
Frans Severin,Socialdemokraterna,Stockholms stad,Andra kammaren,1945,1948,,man,frans_severin_5189a0,S,
Fredrik Sundström,Socialdemokraterna,Kopparbergs län,Andra kammaren,1945,1948,,man,fredrik_sundstrom_a78e7a,S,
Fridolf Thapper,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,man,fridolf_thapper_d79730,S,
Fritz Persson,Socialdemokraterna,Kronobergs län,Andra kammaren,1945,1948,,man,fritz_persson_85e47e,S,
Georg Fahlman,Högerpartiet,Fyrstadskretsen,Andra kammaren,1945,1948,,man,georg_fahlman_7a3dfd,M,
Gerda Linderot,Unknown k,Stockholms stad,Andra kammaren,1945,1948,,woman,gerda_linderot_489876,,
Gottfrid Fröderberg,Folkpartiet Liberalerna,Gävleborgs län,Andra kammaren,1945,1948,,man,gottfrid_froderberg_1dbbaa,L,
Greta Möller,Högerpartiet,Södermanlands län,Andra kammaren,1945,1948,,woman,greta_moller_347135,M,
Gunnar Adolfsson,Unknown k,Fyrstadskretsen,Andra kammaren,1945,1948,,man,gunnar_adolfsson_8d9f3e,,
Gunnar Dahlgren,Unknown k,Göteborgs stad,Andra kammaren,1945,1948,,man,gunnar_dahlgren_b4bb9d,,
Gunnar Falla (tidigare Persson),Högerpartiet,Örebro län,Andra kammaren,1945,1948,,man,gunnar_falla_tidigare_persson_37ae9d,M,
Gunnar Hedlund,Bondeförbundet,Västernorrlands län,Andra kammaren,1945,1948,,man,gunnar_hedlund_a3f6df,C,
Gunnar Larsson,Bondeförbundet,Skaraborgs län,Andra kammaren,1945,1948,,man,gunnar_larsson_ade3f5,C,
Gunnar Ljungqvist,Högerpartiet,Stockholms stad,Andra kammaren,1945,1948,,man,gunnar_ljungqvist_cec163,M,
Gunnel Olsson,Socialdemokraterna,Stockholms län,Andra kammaren,1945,1948,,woman,gunnel_olsson_5ffda3,S,
Gustaf Andersson,Socialdemokraterna,Södermanlands län,Andra kammaren,1945,1948,,man,gustaf_andersson_4caba8,S,
Gustaf Andersson,Folkpartiet Liberalerna,Kopparbergs län,Andra kammaren,1945,1948,,man,gustaf_andersson_21d3d3,L,
Gustaf Larsson,Socialdemokraterna,Södermanlands län,Andra kammaren,1945,1948,,man,gustaf_larsson_ec3dab,S,
Gustaf Nilsson,Högerpartiet,Hallands län,Andra kammaren,1945,1948,,man,gustaf_nilsson_2b5692,M,
Gustaf Nilsson,Socialdemokraterna,Värmlands län,Andra kammaren,1945,1948,,man,gustaf_nilsson_db377d,S,
Gustaf Pettersson (från 1945 Hellbacken),Socialdemokraterna,Kopparbergs län,Andra kammaren,1945,1948,,man,gustaf_pettersson_fran_1945_hellbacken_0d464e,S,
Gustaf Svedman,Högerpartiet,Gotlands län,Andra kammaren,1945,1948,,man,gustaf_svedman_fc68c7,M,
Gustaf Svensson,Bondeförbundet,Jönköpings län,Andra kammaren,1945,1948,,man,gustaf_svensson_6362ff,C,
Gustav Holm,Socialdemokraterna,Kalmar län,Andra kammaren,1945,1948,,man,gustav_holm_7551cc,S,
Gustav Johansson,Unknown k,Stockholms stad,Andra kammaren,1945,1948,,man,gustav_johansson_2df6e4,,
Gustav Mosesson,Folkpartiet Liberalerna,Stockholms län,Andra kammaren,1945,1948,,man,gustav_mosesson_f7cce6,L,
Göran Pettersson,Socialdemokraterna,Örebro län,Andra kammaren,1945,1948,,man,goran_pettersson_4b5118,S,
Gösta Andersson,Socialdemokraterna,Göteborgs och Bohus län,Andra kammaren,1945,1948,,man,gosta_andersson_fbd7db,S,
Gösta Bagge,Högerpartiet,Stockholms stad,Andra kammaren,1945,1948,,man,gosta_bagge_b07bdd,M,
Gösta Kempe,Unknown k,Värmlands län,Andra kammaren,1945,1948,,man,gosta_kempe_526cac,,
Gösta Liedberg,Högerpartiet,Malmöhus län,Andra kammaren,1945,1948,,man,gosta_liedberg_8fbab2,M,
Gösta Skoglund,Socialdemokraterna,Västerbottens län,Andra kammaren,1945,1948,,man,gosta_skoglund_7aae70,S,
Harald Andersson,Bondeförbundet,Södermanlands län,Andra kammaren,1945,1948,,man,harald_andersson_ba4b20,C,
Harald Hallén,Socialdemokraterna,Värmlands län,Andra kammaren,1945,1948,,man,harald_hallen_e4a7d9,S,
Harald Johansson,Unknown k,Östergötlands län,Andra kammaren,1945,1948,,man,harald_johansson_4247c4,,
Harald Johnsson,Bondeförbundet,Kristianstads län,Andra kammaren,1945,1948,,man,harald_johnsson_8df04f,C,
Helmer Holmberg,Unknown k,Norrbottens län,Andra kammaren,1945,1948,,man,helmer_holmberg_e06180,,
Helmer Johansson,Bondeförbundet,Västerbottens län,Andra kammaren,1945,1948,,man,helmer_johansson_f57a16,C,
Henry Allard,Socialdemokraterna,Örebro län,Andra kammaren,1945,1948,,man,henry_allard_e21741,S,
Herman Engström,Socialdemokraterna,Gotlands län,Andra kammaren,1945,1948,,man,herman_engstrom_0c08b5,S,
Herman Nordström,Socialdemokraterna,Värmlands län,Andra kammaren,1945,1948,,man,herman_nordstrom_8d4e36,S,
Hilding Hagberg,Unknown k,Norrbottens län,Andra kammaren,1945,1948,,man,hilding_hagberg_a6b9a0,,
Hildur Alvén,Socialdemokraterna,Kopparbergs län,Andra kammaren,1945,1948,,woman,hildur_alven_6eeef6,S,
Hildur Humla,Socialdemokraterna,Värmlands län,Andra kammaren,1945,1948,,woman,hildur_humla_d116d2,S,
Hildur Nygren,Socialdemokraterna,Gävleborgs län,Andra kammaren,1945,1948,,woman,hildur_nygren_50b028,S,
Hjalmar Gustafson,Socialdemokraterna,Kronobergs län,Andra kammaren,1945,1948,,man,hjalmar_gustafson_990191,S,
Hjalmar Nilson,Bondeförbundet,Hallands län,Andra kammaren,1945,1948,,man,hjalmar_nilson_a26cfb,C,
Hjalmar Svensson,Bondeförbundet,Kronobergs län,Andra kammaren,1945,1948,,man,hjalmar_svensson_97ee53,C,
Hugo Witzell,Socialdemokraterna,Blekinge län,Andra kammaren,1945,1948,,man,hugo_witzell_077ad6,S,
Ivar Jansson,Socialdemokraterna,Norrbottens län,Andra kammaren,1945,1948,,man,ivar_jansson_23c4f6,S,
Ivar Johansson,Bondeförbundet,Östergötlands län,Andra kammaren,1945,1948,,man,ivar_johansson_16c743,C,
Ivar Pettersson,Bondeförbundet,Örebro län,Andra kammaren,1945,1948,,man,ivar_pettersson_2d68aa,C,
Ivar Sefve,Högerpartiet,Göteborgs stad,Andra kammaren,1945,1948,,man,ivar_sefve_baed8e,M,
James Dickson,Högerpartiet,Älvsborgs läns norra,Andra kammaren,1945,1948,,man,james_dickson_589af6,M,
Johan Johnsson,Folkpartiet Liberalerna,Stockholms stad,Andra kammaren,1945,1948,,man,johan_johnsson_8f8a03,L,
Johan Nilson,Folkpartiet Liberalerna,Södermanlands län,Andra kammaren,1945,1948,,man,johan_nilson_66c6dc,L,
Johan Persson,Socialdemokraterna,Skaraborgs län,Andra kammaren,1945,1948,,man,johan_persson_40bcd3,S,
Johan-Olof Gavelin,Socialdemokraterna,Norrbottens län,Andra kammaren,1945,1948,,man,johan-olof_gavelin_1f83d8,S,
Johannes Onsjö (tidigare Johansson),Bondeförbundet,Skaraborgs län,Andra kammaren,1945,1948,,man,johannes_onsjo_tidigare_johansson_4a85b2,C,
John Andersson,Socialdemokraterna,Västernorrlands län,Andra kammaren,1945,1948,,man,john_andersson_6a78e6,S,
John Bergvall,Folkpartiet Liberalerna,Stockholms stad,Andra kammaren,1945,1948,,man,john_bergvall_9fa0b0,L,
John Ericsson,Socialdemokraterna,Älvsborgs läns södra,Andra kammaren,1945,1948,,man,john_ericsson_20b4cc,S,
John Lundberg,Socialdemokraterna,Uppsala län,Andra kammaren,1945,1948,,man,john_lundberg_667119,S,
John Pettersson,Bondeförbundet,Jönköpings län,Andra kammaren,1945,1948,,man,john_pettersson_b14c62,C,
Karl Artur Ryberg,Bondeförbundet,Älvsborgs läns södra,Andra kammaren,1945,1948,,man,karl_artur_ryberg_7c68b8,C,
Karl Bergström,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1945,1948,,man,karl_bergstrom_fc01ef,S,
Karl Emil Hansson,Bondeförbundet,Uppsala län,Andra kammaren,1945,1948,,man,karl_emil_hansson_db9ad9,C,
Karl Falk,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,man,karl_falk_3e83dc,S,
Karl Magnusson,Högerpartiet,Skaraborgs län,Andra kammaren,1945,1948,,man,karl_magnusson_5941f4,M,
Karl Mäler,Socialdemokraterna,Västernorrlands län,Andra kammaren,1945,1948,,man,karl_maler_fa8f60,S,
Karl Nilsson,Socialdemokraterna,Fyrstadskretsen,Andra kammaren,1945,1948,,man,karl_nilsson_83f3b2,S,
Karl Viklund,Socialdemokraterna,Norrbottens län,Andra kammaren,1945,1948,,man,karl_viklund_1ef36d,S,
Karl Ward,Socialdemokraterna,Östergötlands län,Andra kammaren,1945,1948,,man,karl_ward_e93042,S,
Knut Senander,Unknown k,Göteborgs stad,Andra kammaren,1945,1948,,man,knut_senander_748c72,,
Lars Andersson,Bondeförbundet,Norrbottens län,Andra kammaren,1945,1948,,man,lars_andersson_ffefa0,C,
Lars Jonsson,Socialdemokraterna,Västernorrlands län,Andra kammaren,1945,1948,,man,lars_jonsson_acd9fe,S,
Lars Lindahl,Socialdemokraterna,Örebro län,Andra kammaren,1945,1948,,man,lars_lindahl_7e3de0,S,
Lars-Olof Skantze,Högerpartiet,Blekinge län,Andra kammaren,1945,1948,,man,lars-olof_skantze_7aa6d7,M,
Magnus Nilsson,Socialdemokraterna,Västerbottens län,Andra kammaren,1945,1948,,man,magnus_nilsson_fbc309,S,
Manne Ståhl,Folkpartiet Liberalerna,Värmlands län,Andra kammaren,1945,1948,,man,manne_stahl_e9a158,L,
Martin Forsberg,Socialdemokraterna,Jönköpings län,Andra kammaren,1945,1948,,man,martin_forsberg_f5ba25,S,
Martin Ljungberg,Högerpartiet,Östergötlands län,Andra kammaren,1945,1948,,man,martin_ljungberg_35d0bd,M,
Martin Skoglund,Högerpartiet,Östergötlands län,Andra kammaren,1945,1948,,man,martin_skoglund_a58f6d,M,
Märta Boman,Högerpartiet,Norrbottens län,Andra kammaren,1945,1948,,woman,marta_boman_168f01,M,
Märta Öberg,Socialdemokraterna,Göteborgs stad,Andra kammaren,1945,1948,,woman,marta_oberg_ca567c,S,
