name,party,district,chamber,start,end,occupation,gender,id,party_abbrev,twittername
Axel Hansson Wachtmeister,Högerpartiet,Blekinge län,Första kammaren,1918,1924,,man,axel_hansson_wachtmeister_6df6e9,M,
Axel Herman Georg Rogberg,Högerpartiet,Västerbottens län,Första kammaren,1918,1924,,man,axel_herman_georg_rogberg_532784,M,
Axel Modig,Unknown f,Södermanlands län,Första kammaren,1918,1924,,man,axel_modig_33cca4,,
Axel Olof Rune,Unknown f,"Kalmar län, norra delen",Första kammaren,1918,1924,,man,axel_olof_rune_bf3f0a,,
Axel Theodor Adelswärd,Unknown f,Östergötlands län,Första kammaren,1918,1924,,man,axel_theodor_adelsward_622428,,
Axel Träff,Socialdemokraterna,Östergötlands län,Första kammaren,1918,1924,,man,axel_traff_560911,S,
Axel Vindahl,Unknown f,Örebro län,Första kammaren,1918,1924,,man,axel_vindahl_6c3c86,,
Axel von Sneidern,Högerpartiet,Älvsborgs län,Första kammaren,1918,1924,,man,axel_von_sneidern_bd0cb9,M,
Carl Albert Lindhagen,,Västernorrlands län,Första kammaren,1918,1924,,man,carl_albert_lindhagen_0e607a,,
Carl Boberg,Högerpartiet,"Kalmar län, södra delen",Första kammaren,1918,1924,,man,carl_boberg_ae3be6,M,
Carl Grewesmühl,Bondeförbundet,Västmanlands län,Första kammaren,1918,1924,,man,carl_grewesmuhl_321342,C,
Carl Gustaf Ekman,Unknown f,Gävleborgs län,Första kammaren,1918,1924,,man,carl_gustaf_ekman_bacece,,
Carl Gustaf Wickman,Socialdemokraterna,Gävleborgs län,Första kammaren,1918,1924,,man,carl_gustaf_wickman_c9febf,S,
Carl Johan Gustaf Swartz,Högerpartiet,Norrköpings stad,Första kammaren,1918,1924,,man,carl_johan_gustaf_swartz_bce66e,M,
Carl Johansson,Socialdemokraterna,Malmöhus län,Första kammaren,1918,1924,,man,carl_johansson_3bc0e7,S,
Carl Romanus,,Stockholms stad,Första kammaren,1918,1924,,man,carl_romanus_29e877,,
Carl Svensson,Socialdemokraterna,Södermanlands län,Första kammaren,1918,1924,,man,carl_svensson_df6019,S,
Carl Winberg,Unknown v-s,Norrbottens län,Första kammaren,1918,1924,,man,carl_winberg_388fd6,,
Carl-Axel Reuterskiöld,Bondeförbundet,Uppsala län,Första kammaren,1918,1924,,man,carl-axel_reuterskiold_f42dbb,C,
Charles Lindley,Socialdemokraterna,Stockholms stad,Första kammaren,1918,1924,,man,charles_lindley_5ff5f6,S,
Edvard Björnsson,,Älvsborgs län,Första kammaren,1918,1924,,man,edvard_bjornsson_36c9aa,,
Edvard Hagfält,,Uppsala län,Första kammaren,1918,1924,,man,edvard_hagfalt_2a9251,,
Edvard Otto Vilhelm Wavrinsky,,Västmanlands län,Första kammaren,1918,1924,,man,edvard_otto_vilhelm_wavrinsky_a189b5,,
Edward Larson,Unknown f,Skaraborgs län,Första kammaren,1918,1924,,man,edward_larson_28c21e,,
Einar Thulin,Socialdemokraterna,Östergötlands län,Första kammaren,1918,1924,,man,einar_thulin_a6daef,S,
En vakant plats,Högerpartiet,Kronobergs län,Första kammaren,1918,1924,,,en_vakant_plats_bc039f,M,
Eric Hallin,Högerpartiet,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,eric_hallin_1a4ef9,M,
Erik August Enhörning,,Västernorrlands län,Första kammaren,1918,1924,,man,erik_august_enhorning_35660f,,
Erik Dalberg,Socialdemokraterna,Kopparbergs län,Första kammaren,1918,1924,,man,erik_dalberg_e81174,S,
Erland von Hofsten,Högerpartiet,Skaraborgs län,Första kammaren,1918,1924,,man,erland_von_hofsten_3517ec,M,
Ernst B. Jönson,Unknown j,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,ernst_b_jonson_21ed65,,
Ernst Klefbeck,,Stockholms stad,Första kammaren,1918,1924,,man,ernst_klefbeck_091e9d,,
Ernst Lyberg,Unknown f,Kopparbergs län,Första kammaren,1918,1924,,man,ernst_lyberg_ecea72,,
Ernst Svensson,Bondeförbundet,Skaraborgs län,Första kammaren,1918,1924,,man,ernst_svensson_1ec788,C,
Ernst Trygger,Ernst Trygger,Stockholms stad,Första kammaren,1918,1924,,man,ernst_trygger_8439e6,,
Ernst Wigforss,Socialdemokraterna,Göteborgs stad,Första kammaren,1918,1924,,man,ernst_wigforss_d6c2c2,S,
Fredrik Ström,Unknown v-s,Norrbottens län,Första kammaren,1918,1924,,man,fredrik_strom_eae04f,,
Fritiof Lindskog,Socialdemokraterna,Malmöhus län,Första kammaren,1918,1924,,man,fritiof_lindskog_90f95e,S,
Frits Leander Lindqvist,,Västernorrlands län,Första kammaren,1918,1924,,man,frits_leander_lindqvist_773da4,,
G.O. Erikson,Socialdemokraterna,Stockholms stad,Första kammaren,1918,1924,,,go_erikson_32c173,S,
Gerhard Halfred von Koch,Unknown f,Örebro län,Första kammaren,1918,1924,,man,gerhard_halfred_von_koch_a03fff,,
Gunnar Andersson,Unknown f,Helsingborgs stad,Första kammaren,1918,1924,,man,gunnar_andersson_61bc8d,,
Gustaf Anton Larsén,Socialdemokraterna,Hallands län,Första kammaren,1918,1924,,man,gustaf_anton_larsen_56ec49,S,
Gustaf Barthelson,Högerpartiet,Skaraborgs län,Första kammaren,1918,1924,,man,gustaf_barthelson_77ef18,M,
Gustaf Boman,,Göteborgs stad,Första kammaren,1918,1924,,man,gustaf_boman_76373f,,
Gustaf Lagerbjelke,Högerpartiet,Stockholms län,Första kammaren,1918,1924,,man,gustaf_lagerbjelke_56b0ff,M,
Gustaf Malmberg,Socialdemokraterna,"Kalmar län, södra delen",Första kammaren,1918,1924,,man,gustaf_malmberg_0261cc,S,
Gustaf Nilsson,Socialdemokraterna,Kristianstads län,Första kammaren,1918,1924,,man,gustaf_nilsson_e44a10,S,
Gustaf Sederholm,Högerpartiet,Södermanlands län,Första kammaren,1918,1924,,man,gustaf_sederholm_05a3bb,M,
Gustaf Strömberg,Socialdemokraterna,Värmlands län,Första kammaren,1918,1924,,man,gustaf_stromberg_0118f2,S,
Gustav Möller,Socialdemokraterna,Stockholms län,Första kammaren,1918,1924,,man,gustav_moller_a4cca1,S,
Gustav Rosén,Unknown f,Västerbottens län,Första kammaren,1918,1924,,man,gustav_rosen_fa4c42,,
H.G. Andersson,Unknown j,Östergötlands län,Första kammaren,1918,1924,,,hg_andersson_bc85ff,,
Helge Bäckström,Socialdemokraterna,Stockholms län,Första kammaren,1918,1924,,man,helge_backstrom_689d25,S,
Henrik Öhngren,,Västernorrlands län,Första kammaren,1918,1924,,man,henrik_ohngren_470e4a,,
Herman Kvarnzelius,Unknown f,Västernorrlands län,Första kammaren,1918,1924,,man,herman_kvarnzelius_6822e9,,
Herman Lamm,,Stockholms stad,Första kammaren,1918,1924,,man,herman_lamm_2c5d9b,,
Hjalmar Wijk,Unknown f,Göteborgs stad,Första kammaren,1918,1924,,man,hjalmar_wijk_d2b939,,
Hjalmar von Sydow,Högerpartiet,Örebro län,Första kammaren,1918,1924,,man,hjalmar_von_sydow_667385,M,
Hugo Erik Gustaf Hamilton,Hugo Erik Gustaf Hamilton,Älvsborgs län,Första kammaren,1918,1924,,man,hugo_erik_gustaf_hamilton_348a81,,
I. Pettersson,Bondeförbundet,Örebro län,Första kammaren,1918,1924,,,i_pettersson_cd25b0,C,
Isak Svensson,Unknown f,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,isak_svensson_4b3e20,,
J. Johansson,Bondeförbundet,Gävleborgs län,Första kammaren,1918,1924,,,j_johansson_495a61,C,
J. Johansson,Unknown j,Norrbottens län,Första kammaren,1918,1924,,,j_johansson_5a95cc,,
Jacob Larsson,,Malmöhus län,Första kammaren,1918,1924,,man,jacob_larsson_e14767,,
Jacob Spens,Högerpartiet,Jönköpings län,Första kammaren,1918,1924,,man,jacob_spens_c6bbb6,M,
Jan Berglund,Socialdemokraterna,Stockholms stad,Första kammaren,1918,1924,,man,jan_berglund_3decd4,S,
Janne Walles,Socialdemokraterna,Västernorrlands län,Första kammaren,1918,1924,,man,janne_walles_15aff3,S,
Johan Bernhard Johansson,Högerpartiet,Hallands län,Första kammaren,1918,1924,,man,johan_bernhard_johansson_08a576,M,
Johan Carlsson,Högerpartiet,Värmlands län,Första kammaren,1918,1924,,man,johan_carlsson_da127e,M,
Johan Fredrik Kjellén,Bondeförbundet,Jönköpings län,Första kammaren,1918,1924,,man,johan_fredrik_kjellen_e86830,C,
Johan Gustaf Carlsson,Socialdemokraterna,Blekinge län,Första kammaren,1918,1924,,man,johan_gustaf_carlsson_ad311a,S,
Johan Ingmansson,Unknown f,Blekinge län,Första kammaren,1918,1924,,man,johan_ingmansson_b81ec9,,
Johan Johansson,,Älvsborgs län,Första kammaren,1918,1924,,man,johan_johansson_e6b703,,
Johan Johansson,Unknown f,Jämtlands län,Första kammaren,1918,1924,,man,johan_johansson_9535ae,,
Johan Nilsson,Socialdemokraterna,Malmö stad,Första kammaren,1918,1924,,man,johan_nilsson_0fd7ca,S,
Johan Nilsson,Högerpartiet,Kristianstads län,Första kammaren,1918,1924,,man,johan_nilsson_2907a5,M,
Johan Olofsson,Unknown f,Jämtlands län,Första kammaren,1918,1924,,man,johan_olofsson_b0d7a9,,
Johan Östberg,Johan Östberg,Stockholms stad,Första kammaren,1918,1924,,man,johan_ostberg_428a12,,
John Almkvist,Unknown f,Västerbottens län,Första kammaren,1918,1924,,man,john_almkvist_f775f3,,
John Jeansson,Högerpartiet,"Kalmar län, södra delen",Första kammaren,1918,1924,,man,john_jeansson_e26055,M,
Jöns Jesperson,,Malmöhus län,Första kammaren,1918,1924,,man,jons_jesperson_b2664c,,
Jöns Pålsson,Unknown f,Malmöhus län,Första kammaren,1918,1924,,man,jons_palsson_2c4c34,,
K.G. Westman,Unknown j,Östergötlands län,Första kammaren,1918,1924,,,kg_westman_cd5b43,,
Karl Andersson,Unknown f,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,karl_andersson_2ac376,,
Karl August Nilson,Unknown f,Värmlands län,Första kammaren,1918,1924,,man,karl_august_nilson_9409dd,,
Karl Ekman,Högerpartiet,Jönköpings län,Första kammaren,1918,1924,,man,karl_ekman_703b44,M,
Karl Johan Alfred Gustafsson,Högerpartiet,Jönköpings län,Första kammaren,1918,1924,,man,karl_johan_alfred_gustafsson_576574,M,
Karl Johansson,Unknown j,Blekinge län,Första kammaren,1918,1924,,man,karl_johansson_dcad1b,,
Karl Rosling,,Jönköpings län,Första kammaren,1918,1924,,man,karl_rosling_167231,,
Karl Sandegård,,Älvsborgs län,Första kammaren,1918,1924,,man,karl_sandegard_c1f9c8,,
Knut Heyman,Högerpartiet,Älvsborgs län,Första kammaren,1918,1924,,man,knut_heyman_956319,M,
Knut Tengdahl,Socialdemokraterna,Värmlands län,Första kammaren,1918,1924,,man,knut_tengdahl_d2c8af,S,
Knut von Geijer,,Malmöhus län,Första kammaren,1918,1924,,man,knut_von_geijer_9f7497,,
Lars Gunnar Bodin,,Gotlands län,Första kammaren,1918,1924,,man,lars_gunnar_bodin_3bc738,,
Leonard Tjällgren,,Västernorrlands län,Första kammaren,1918,1924,,man,leonard_tjallgren_9c8c98,,
Ludvig Widell,Högerpartiet,Göteborgs och Bohus län,Första kammaren,1918,1924,,man,ludvig_widell_258815,M,
