wiki_id,twitter
Q5581337,bolund
Q241208,IsabellaLovin
Q271230,asaromson
Q2740012,SwedishPM
Q4935873,AnderssonMagda
Q52922,carlbildt
Q321595,RingholmBo
Q444747,M_Wetterstrand
Q966884,SAttefall
Q2938797,SidaCarin
Q3363827,carinagohlsson
Q3373142,marienorden
Q4563096,JennieNilsson
Q4588714,erikullenhag
Q4724776,aliesbati
Q4765508,BrodenAnita
Q4822657,MehmetKaplan
Q4898916,BettyMalmberg
Q4939382,RahmElisabeth
Q4946778,barbroengman
Q4959972,JuliaKronlid
Q4962331,FrkLindahl
Q4968944,lailanaraghi
Q4972645,Desireekd
Q5910434,Martin_Kinnunen
Q5954984,GranLindell
Q5966830,lundhsammeli
Q6093311,MikaelSandstrom
Q4981396,GunillaSvantorp
Q4990177,CamillaWalterss
Q4990503,Ceciliawigstrom
Q4991094,eliza_se
Q5571416,UlfBerg1
Q5575977,perbill
Q6169540,fredrikschulte
Q6187608,lstaxang
Q6209093,Olle_Thorell
Q6255521,andersaakesson
Q10578332,MathiasSundin
Q18202365,idadrougge
Q18202405,EmilssonLena
Q18202412,joharald
Q18238692,almericson
Q18242665,emma_hult
Q18243244,karlsson_maj
Q18245374,danielriazat
Q3358782,HolmbergBarbro
Q231413,MSahlin
Q237522,margotwallstrom
Q3055916,IbrahimBaylan_
Q3141607,bsamhallet
Q3297193,OstrosThomas
Q5388933,AsbrinkErik
Q5887217,johanssonmorgan
Q549955,JanKEliasson
Q918261,goranhagglund
Q3562306,annakarin_hatt
Q4981393,ElisabethSvan
Q297850,BeatriceAsk2
Q447542,marialarsson56
Q457877,EwaBjorling
Q911372,bjorklundjan
Q984112,tolgfors_sten
Q3112958,TobiasBillstrom
Q3540867,MariaArnholm
Q429001,birgittaohlsson
Q439393,annieloof
Q772089,EngstrmHillevi
Q3058054,ErlandssonEskil
Q234872,MalmstromEU
Q458162,CarlssonSwe
Q535342,lenaek
Q946818,larsleijonborg
Q1780398,UlfKristersson
Q5887280,ola_johansson
Q5928457,emilkallstrom
Q5952656,Linander
Q5969317,hjalmarbranting
Q5998644,ValterMutt
Q946708,holmjens
Q1357206,ghokmark
Q2029704,jsjostedt
Q3358494,Mejern
Q3370093,pianilssons
Q3373667,fredrikolovsson
Q3375804,landshovdingy
Q378195,hansrothenberg
Q470630,MinisterPeterE
Q513301,federley
Q513301,federley_eng
Q3372917,mikaeldamberg
Q3374622,evalenajansson
Q3375050,Ygeman
Q104215746,kristinoretorp
Q3373340,jakobsson_leif
