start,file,manual
1920-01-07,corpus/1920/prot-1920--fk--1.xml,0
1920-01-10,corpus/1920/prot-1920--ak--1.xml,0
1921-01-10,corpus/1921/prot-1921--ak--1.xml,0
1921-01-08,corpus/1921/prot-1921--fk--1.xml,0
1922-01-09,corpus/1922/prot-1922--fk--1.xml,0
1922-01-10,corpus/1922/prot-1922--ak--1.xml,0
1923-01-10,corpus/1923/prot-1923--ak--1.xml,0
1923-01-10,corpus/1923/prot-1923--fk--1.xml,0
1924-01-10,corpus/1924/prot-1924--ak--1.xml,0
1924-01-07,corpus/1924/prot-1924--fk--1.xml,0
1925-01-03,corpus/1925/prot-1925--fk--1.xml,0
1925-01-10,corpus/1925/prot-1925--ak--1.xml,0
1926-01-11,corpus/1926/prot-1926--ak--1.xml,0
1926-01-09,corpus/1926/prot-1926--fk--1.xml,0
1927-01-07,corpus/1927/prot-1927--fk--1.xml,0
1927-01-10,corpus/1927/prot-1927--ak--1.xml,0
1928-01-02,corpus/1928/prot-1928--fk--1.xml,0
1928-01-10,corpus/1928/prot-1928--ak--1.xml,0
1929-01-10,corpus/1929/prot-1929--ak--1.xml,0
1929-01-08,corpus/1929/prot-1929--fk--1.xml,0
1930-01-10,corpus/1930/prot-1930--ak--1.xml,0
1930-01-06,corpus/1930/prot-1930--fk--1.xml,0
1931-01-02,corpus/1931/prot-1931--fk--1.xml,0
1931-01-10,corpus/1931/prot-1931--ak--1.xml,0
1932-01-11,corpus/1932/prot-1932--ak--1.xml,0
1932-01-05,corpus/1932/prot-1932--fk--1.xml,0
1933-01-06,corpus/1933/prot-1933--fk--1.xml,0
1933-01-10,corpus/1933/prot-1933--ak--1.xml,0
1934-01-07,corpus/1934/prot-1934--fk--1.xml,0
1934-01-10,corpus/1934/prot-1934--ak--1.xml,0
1935-01-09,corpus/1935/prot-1935--ak--1.xml,0
1935-01-05,corpus/1935/prot-1935--fk--1.xml,0
1936-01-06,corpus/1936/prot-1936--fk--1.xml,0
1936-01-07,corpus/1936/prot-1936--ak--1.xml,0
1937-01-05,corpus/1937/prot-1937--ak--1.xml,0
1937-01-02,corpus/1937/prot-1937--fk--1.xml,0
1938-01-10,corpus/1938/prot-1938--ak--1.xml,0
1938-01-03,corpus/1938/prot-1938--fk--1.xml,0
1939-01-04,corpus/1939/prot-1939--fk--1.xml,0
1939-09-08,corpus/1939/prot-1939-urtima-ak--1.xml,0
1939-01-10,corpus/1939/prot-1939--ak--1.xml,0
1939-09-02,corpus/1939/prot-1939-urtima-fk--1.xml,0
1940-07-27,corpus/1940/prot-1940-urtima-fk--1.xml,0
1940-01-02,corpus/1940/prot-1940--fk--1.xml,0
1940-07-29,corpus/1940/prot-1940-urtima-ak--1.xml,0
1940-01-02,corpus/1940/prot-1940--ak--1.xml,0
1941-01-07,corpus/1941/prot-1941--ak--1.xml,0
1941-01-06,corpus/1941/prot-1941--fk--1.xml,0
1942-01-07,corpus/1942/prot-1942--fk--1.xml,0
1942-01-08,corpus/1942/prot-1942--ak--1.xml,0
