pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-a3722eef501ca6e0,prot-200001--63
fcfff492e00727b6,Stockholm,Helsingfors,i-3fd24732c690cd6f,prot-200001--63
fcfff492e00727b6,Stockholm,Helsingfors,i-ca5c24aa852e2188,prot-200001--63
fcfff492e00727b6,Stockholm,Helsingfors,i-20db213f99ce5dab,prot-200001--63
fcfff492e00727b6,Stockholm,Helsingfors,i-d369385dd9293119,prot-200001--63
7090e83bd0c0a3da,     , ,i-1f27c3bf7fa1c804,prot-200001--63
7090e83bd0c0a3da,    , ,i-ab2099dccc37a35c,prot-200001--63
7090e83bd0c0a3da,     , ,i-3020f0ed13e086fb,prot-200001--63
7090e83bd0c0a3da,    , ,i-0a57ca5bb8f48a0b,prot-200001--63
7090e83bd0c0a3da,       , ,i-501092ad06ea65e4,prot-200001--63
7090e83bd0c0a3da,    , ,i-0e73842724fe66ec,prot-200001--63
7090e83bd0c0a3da,     , ,i-9515af012ed6dbf6,prot-200001--63
7090e83bd0c0a3da,    , ,i-8c6dcf884adcfe9d,prot-200001--63
7090e83bd0c0a3da,     , ,i-626dc66446c64bba,prot-200001--63
7090e83bd0c0a3da,    , ,i-b9a941e89fd9e49c,prot-200001--63
7090e83bd0c0a3da,     , ,i-c52375369ed1abe8,prot-200001--63
7090e83bd0c0a3da,    , ,i-ee808d2ff9f9a48e,prot-200001--63
7090e83bd0c0a3da,     , ,i-fec1f1aaad3c747d,prot-200001--63
7090e83bd0c0a3da,    , ,i-871d5a56566949b1,prot-200001--63
7090e83bd0c0a3da,     , ,i-6ca0dc5dcbf2ca98,prot-200001--63
7090e83bd0c0a3da,    , ,i-36563687df2e7b72,prot-200001--63
7090e83bd0c0a3da,     , ,i-9b2752f568266c2d,prot-200001--63
7090e83bd0c0a3da,    , ,i-7ea495f089138543,prot-200001--63
7090e83bd0c0a3da,    , ,i-bd8c7a75ae5c486c,prot-200001--63
7090e83bd0c0a3da,    , ,i-e795cc169e797227,prot-200001--63
7090e83bd0c0a3da,    , ,i-86ffc1749f7f2c33,prot-200001--63
7090e83bd0c0a3da,    , ,i-04d151c7fe281d41,prot-200001--63
7090e83bd0c0a3da,    , ,i-874e8fc8e9a0f68e,prot-200001--63
7090e83bd0c0a3da,    , ,i-30d8786e42016a27,prot-200001--63
7090e83bd0c0a3da,    , ,i-da1b369b108c5756,prot-200001--63
7090e83bd0c0a3da,    , ,i-c80f858afbce3484,prot-200001--63
