wiki_id,alias,name
Q109828321,Eva Jeanette Gustafsdotter,Jeanette Gustafsdotter
Q109828321,Eva Jeanette Olsson,Jeanette Gustafsdotter
Q109830262,,Ulrik Bergman
Q109882267,,Emmanuel Morfiadakis
Q109928721,,Anders Frimert
Q109937599,,Inga Sandberg
Q109942678,,Göran Dahlstrand
Q109943335,Axel Herman Eurén,Axel Eurén
Q109943335,Eurén i Jönköping,Axel Eurén
Q109943905,,Peggy Lagerström
Q109969433,,Inga Davidsson
Q109971639,,Lars Andersson
Q109971901,,Staffan Vallin
Q110034198,,John Johansson
Q110056640,,Carl-Olof Bengtsson
Q110057464,Lennart Nilsson i Vännäs,Lennart Nilsson
Q110070382,,Cecilia Jensfelt
Q110070765,,Bibi Rosengren
Q110089098,,Lennart Bengtsson
Q110129747,,Gunnar Oskarsson
Q110278693,Billqvist i Skövde,Johan Billqvist
Q110278693,Johan Wilhelm Billqvist,Johan Billqvist
Q110278693,Johan Wilhelm Billqvist (S),Johan Billqvist
Q110278976,Block i Stockholm,Fredrik Ernst August Block
Q110278976,Fredrik Block,Fredrik Ernst August Block
Q110279970,K.G.W. Kant,Walter Kant
Q110279970,Kant i Uppsala,Walter Kant
Q110279970,Walter Karl Gustaf Kant,Walter Kant
Q110321926,Andersson i Malmö,Ebon Andersson
Q110321926,Ebon Olivia Bernhardina Andersson,Ebon Andersson
Q110321926,Ebon Olivia Bernhardina Hallgren,Ebon Andersson
Q110401403,Gansmoe i Hägersten,Ove Gansmoe
Q110401403,Hans Gustav Ove Gansmoe,Ove Gansmoe
Q110426890,Fred Artur Henning Henningson,Fred Henningson
Q110426890,Henningson i Visby,Fred Henningson
Q110436560,Hedström i Västra Skymnäs,Johannes Hedström
Q110436946,August Månsson i Backa,August Månsson
Q110436946,Månsson  i Backa,August Månsson
Q110436946,Per August Månsson,August Månsson
Q110436946,Per August Månsson (Bf),August Månsson
Q110439181,Johan Bernhard Lantto,Johan Lantto
Q110439181,Lantto i Stocksund,Johan Lantto
Q110440831,Permansson i Erikslund,Johan Permansson
Q110440981,Holm i Jonsgård,Ulrik Holm
Q110440981,Jöns Ulrik Holm,Ulrik Holm
Q110442451,Andersson i Kolstad,Gösta Andersson i Kolstad
Q110442451,Gösta Andersson,Gösta Andersson i Kolstad
Q110442451,H. G. Andersson,Gösta Andersson i Kolstad
Q110442451,Henning Gösta Andersson,Gösta Andersson i Kolstad
Q110467944,Fredrik Edvard Julin,Fredrik Julin
Q110467944,Julin i Åmberg,Fredrik Julin
Q110528102,Nilsson i Kungsberget,Patrick Nilsson
Q110528102,Patrick Isidor Nilsson,Patrick Nilsson
Q110530109,Erik Hjalmar Hulting,Hjalmar Hulting
Q110530109,Hulting i Herrljunga,Hjalmar Hulting
Q110540198,,Martin Marmgren
Q110541107,Ekelund i Lund,Thure Ekelund
Q110541107,Nils Thure Ekelund,Thure Ekelund
Q110544246,Anna Thyra Gunhild Rosvall,Anna Rosvall
Q110544246,Anna Tyra Gunhild Lindberg,Anna Rosvall
Q110544246,Anna Tyra Gunhild Rosvall,Anna Rosvall
Q110544246,Rosvall i Dösjebro,Anna Rosvall
Q110607272,Carl Felix Sjöberg,Carl Sjöberg
Q110607272,Sjöberg i Sävsjö,Carl Sjöberg
Q110611538,Anders Victor Isaksson,Anders Isaksson
Q110611538,Isaksson i Västervik,Anders Isaksson
Q110617192,Carl Oscar Lundquist,Oscar Lundquist
Q110617192,Lundquist i Baggarbo,Oscar Lundquist
Q110617328,Andersson i Katrineholm,Karl Andersson
Q110617328,Karl Teodor Andersson,Karl Andersson
Q110620158,Carl Knutsson,Carl Knutsson
Q110620158,Carl Konstantin Knutsson,Carl Knutsson
Q110620158,Knutsson i Linköping,Carl Knutsson
Q110621758,Holmström i Södra Vram,Martin Holmström
Q110621758,Martin Wilhelm Holmström,Martin Holmström
Q110635584,,Sofie Eriksson
Q110651954,Broman i Stockholm,Wilhelm Broman
Q110651954,Johan Wilhelm Broman,Wilhelm Broman
Q110654970,Johansson i Rönna,Carl-Eric Johansson
Q110765107,Anderson i Storegården,Carl Arvid Anderson i Storegården
Q110765107,Carl Arvid Anderson,Carl Arvid Anderson i Storegården
Q110765107,Carl Arvid Andersson,Carl Arvid Anderson i Storegården
Q110776549,,Alexander Ojanne
Q110811413,Johan Widar Stener,Widar Stener
Q110811413,Stener i Falkenberg,Widar Stener
Q110872788,Svanberg i Norra Solberga,Sven Petter Svanberg
Q110877099,Andersson i Värtan,Ernst Andersson
Q110877099,Ernst Andersson i Värtan,Ernst Andersson
Q110877099,Ernst Valfrid Andersson,Ernst Andersson
Q110877303,Andersson i Bjertorp,Ernst Andersson
Q110877303,Ernst Andersson,Ernst Andersson
Q110877467,Algot Emanuel Jungnell,Algot Jungnell
Q110877467,Algot Emmanuel Jungnell,Algot Jungnell
Q110877467,Jungnell i Katrineholm,Algot Jungnell
Q110909540,Andersson i Knäppinge,Pehr August Andersson
Q110964594,Carl Wennberg,Carl August Wennberg
Q110964594,Wennberg i Jönköping,Carl August Wennberg
Q110986185,Johansson i Bro,Anders Johan Johansson
Q110987813,Johan Viktor Öhman,Viktor Öhman
Q110987813,Johan Viktor Öhman Jönsson,Viktor Öhman
Q110987813,Öhman i Åkarp,Viktor Öhman
Q110987813,Öhman i Örebro,Viktor Öhman
Q111043917,Alfred Pettersson,Alfred Pettersson i Vråtsered
Q111043917,Pettersson i Vråtsered,Alfred Pettersson i Vråtsered
Q111133690,Gustaf Emil Törnblom,Emil Törnblom
Q111133690,Törnblom i Finspång,Emil Törnblom
Q111135069,Jonsson i Risinge,Oscar Jonsson
Q111135069,Oscar Magnus Jonsson,Oscar Jonsson
Q111142109,Eriksson i Lundby,Karl Olof Eriksson
Q111311453,Erikson i Uppsala,Henry Erikson
Q111311453,Johan Henry Erikson,Henry Erikson
Q111341522,Carlsson i Ystad,Hjalmar Carlsson
Q111342604,,Jasmin Farid
Q111353500,Steinholtz i Västervik,Uno Steinholtz
Q111353500,Uno Bernhard Steinholtz,Uno Steinholtz
Q111353557,Johansson i Sölvedal,Karl Johansson
Q111353557,Karl Johansson i Sölvedal,Karl Johansson
Q111356417,Harry Walfrid August Weibull,Harry Weibull
Q111356417,Weibull i Weibullsholm,Harry Weibull
Q111369618,Axel Rosenqwist,Axel Reinhold Rosenqwist
Q111369618,Rosenqwist i Sandsjö,Axel Reinhold Rosenqwist
Q111371044,Per Fredrik Westin,Per Westin
Q111371044,Westin i Tunabäck,Per Westin
Q111371219,Johan August Schmidt,Janne Schmidt
Q111371219,Schmidt i  Björna,Janne Schmidt
Q111372255,Larsson i Edsten,Gustaf Larsson
Q111378200,Johan Fredrik Johanson,Fredrik Johanson
Q111378200,Johanson i Vetlanda,Fredrik Johanson
Q111380003,Norman i Yttersfors,Uno Norman
Q111438695,Anderson i Linköping,Otto Anderson
Q111440067,Almryd i Hemmestavik,Hans Almryd
