person_id,name,primary_name
Q263366,Bohman,False
Q263366,Bohman,True
Q264452,Maria Lundqvist-Brömster,True
Q26710616,Serkan Köse,True
Q269859,Westlund,False
Q269859,Åsa Westlund,True
Q27107494,Anna Vikström,True
Q271230,Åsa Elisabeth Romson,False
Q271230,Åsa Romson,True
Q271235,Åsa Torstensson,True
Q271235,Åsa-Britt Maria Torstensson,False
Q271468,Gudrun Schyman,True
Q271468,Schyman,False
Q27299991,Pål Jonson,True
Q273408,Anne Marie Wibble,False
Q273408,Anne Wibble,True
Q2740012,Stefan Löfven,True
Q2740012,Stefan Löfvén,False
Q2744062,Gerda Höjer,True
Q2744062,Höjer,False
Q27750419,Christian Carlsson,True
Q28125320,Per Sundgren,True
Q28125320,Per Vilhelm Sundgren,False
Q28125366,Jenny Bengtsson,True
Q2846537,Andres Küng,True
Q29059095,Sultan Kayhan,True
Q29059638,Marie Olsson,False
Q29059638,Marie Olsson,True
Q29059703,Camilla Mårtensen,True
Q291648,Laila Freivalds,True
Q291648,Leila Freivalds,False
Q2934817,Camilla Lindberg,True
Q2938797,Carin Jämtin,True
Q2940262,Ivar Afzelius,True
Q2940262,J F Ivar Afzelius,False
Q2941786,Catharina Elmsäter-Svärd,True
Q2941786,Catharina Sabine Maria Laurine Elmsäter-Svärd,False
