start,end,government,government_id
1809-06-06,1818-02-05,Karl XIII:s statsråd,Q18710304
1818-02-05,1840-05-16,Karl XIV Johans statsråd (till 1840),Q18710315
1840-03-28,1840-09-05,Regeringen Mauritz Posse I,Q93942830
1840-09-05,1843-01-05,Regeringen Törnebladh,Q92198821
1843-01-05,1844-12-28,Regeringen Gyllenhaal,Q18332146
1844-12-28,1846-03-09,Regeringen Nordenfalk,Q87743869
1846-03-23,1848-04-10,Regeringen Mauritz Posse II,Q10650446
1848-04-10,1856-09-25,Regeringen Sparre,Q10650463
1856-09-25,1858-04-07,Regeringen Günther,Q10650430
1858-04-07,1870-06-03,Regeringen De Geer d.ä. I,Q10650418
1870-06-03,1874-04-08,Regeringen Adlercreutz,Q10650401
1874-05-04,1875-05-11,Regeringen Carleson,Q10650414
1875-05-11,1876-03-20,Regeringen De Geer d.ä. II,Q10650419
1876-03-20,1880-04-19,Regeringen De Geer d.ä. III,Q18455029
1880-04-19,1883-06-13,Regeringen Posse,Q10650455
1883-06-13,1884-05-16,Regeringen Thyselius,Q10650473
1884-05-16,1888-02-06,Regeringen Themptander,Q10650472
1888-02-06,1889-10-12,Regeringen Gillis Bildt,Q10650428
1889-10-12,1891-07-10,Regeringen Åkerhielm,Q10650478
1891-07-10,1900-09-12,Regeringen Boström I,Q10650410
1900-09-12,1902-07-05,Regeringen von Otter,Q10650477
1902-07-05,1905-04-13,Regeringen Boström II,Q10650411
1905-04-14,1905-08-02,Regeringen Ramstedt,Q10650457
1905-08-02,1905-11-07,Regeringen Lundeberg,Q10650444
1905-11-07,1906-05-29,Regeringen Staaff I,Q10650466
1906-05-29,1911-10-07,Regeringen Lindman I,Q10650443
1911-10-07,1914-02-17,Regeringen Staaff II,Q10650467
1914-02-17,1917-03-30,Regeringen Hammarskjöld,Q10650433
1917-03-30,1917-10-19,Regeringen Swartz,Q10650471
1917-10-19,1920-03-10,Regeringen Edén,Q10650420
1920-03-10,1920-10-27,Regeringen Branting I,Q4570354
1920-10-27,1921-02-23,Regeringen De Geer d.y.,Q10650417
1921-02-23,1921-10-13,Regeringen von Sydow,Q10650479
1921-10-13,1923-04-19,Regeringen Branting II,Q4570378
1923-04-19,1924-10-18,Regeringen Trygger,Q10650474
1924-10-14,1925-01-24,Regeringen Branting III,Q4957676
1925-01-24,1926-06-07,Regeringen Sandler,Q10650459
1926-06-07,1928-10-02,Regeringen Ekman I,Q10650421
1928-10-02,1930-06-07,Regeringen Lindman II,Q10650445
1930-06-07,1932-08-06,Regeringen Ekman II,Q10650422
1932-08-06,1932-09-24,Regeringen Hamrin,Q10650434
1932-09-24,1936-06-19,Regeringen Hansson I,Q10650436
1936-06-19,1936-09-28,Regeringen Pehrsson-Bramstorp,Q10650454
1936-09-28,1939-12-13,Regeringen Hansson II,Q10650438
1939-12-13,1945-07-31,Regeringen Hansson III,Q4570967
1945-07-31,1946-10-06,Regeringen Hansson IV,Q4570314
1946-10-11,1951-10-01,Regeringen Erlander I,Q10650424
1951-10-01,1957-10-31,Regeringen Erlander II,Q10650425
1957-10-31,1969-10-14,Regeringen Erlander III,Q10650426
1969-10-14,1976-10-08,Regeringen Palme I,Q10650456
1976-10-08,1978-10-18,Regeringen Fälldin I,Q5306200
1978-10-18,1979-10-12,Regeringen Ullsten,Q5306179
1979-10-12,1981-05-22,Regeringen Fälldin II,Q5306190
1981-05-22,1982-10-08,Regeringen Fälldin III,Q5306186
1982-10-08,1986-03-12,Regeringen Palme II,Q5217837
1986-03-12,1990-02-27,Regeringen Carlsson I,Q4570153
1990-02-27,1991-10-04,Regeringen Carlsson II,Q10650416
1991-10-04,1994-10-07,Regeringen Carl Bildt,Q4907653
1994-10-07,1996-03-22,Regeringen Carlsson III,Q4907240
1996-03-22,2006-10-06,Regeringen Persson,Q4570330
2006-10-06,2014-10-03,Regeringen Reinfeldt,Q3046743
2014-10-03,2019-01-19,Regeringen Löfven I,Q18176361
2019-01-21,2021-07-09,Regeringen Löfven II,Q60736270
2021-07-09,2021-11-30,Regeringen Löfven III,Q107443672
2021-11-30,2022-10-18,Regeringen Andersson,Q109705067
2022-10-18,,Regeringen Kristersson,Q114671310
