swerik_id,portrait
i-122QwSSpyGJQiTJjmrUJCM,http://commons.wikimedia.org/wiki/Special:FilePath/Segunda%20reuni%C3%B3n%20del%20Comite%20Ejecutivo%20de%20la%20UIP%20%288578917740%29.jpg
i-12Uee2egshc6uyv5Q4pcUM,http://commons.wikimedia.org/wiki/Special:FilePath/Ernst%20Nisser%20SPA.jpg
i-13PgYkuYe6x5jwCDMxQFhz,http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%A4rta%20Boman%201902%20SPA%20%28cropped%29.jpg
i-14itFAMq9exF2LvnaCtHAn,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20Portrait%20of%20Helge%20B%C3%A4ckstr%C3%B6m%20Thielska%20296b.tif
i-16Me1SDJCZ61jNn9EpVkzN,http://commons.wikimedia.org/wiki/Special:FilePath/Jochum%20Akerman%20f1868.jpg
i-16Witbg68Ektoj84BnCehX,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Grewesm%C3%BChl%20SPA2%20%28cropped%29.jpg
i-16dpFQGNcr7HGwnHCoAdKk,http://commons.wikimedia.org/wiki/Special:FilePath/Ernst%20Olsson%201909%20SPA%20%28cropped%29.jpg
i-17NC28Tx5CZ5mzwYAUHKqv,http://commons.wikimedia.org/wiki/Special:FilePath/Monica%20Green%2C%20Bokm%C3%A4ssan%202013%201%20%28crop%29.jpg
i-17q5suLEPiC6SEzqci5C4s,http://commons.wikimedia.org/wiki/Special:FilePath/Janne%20Nilsson%20-%20Sveriges%20styresm%C3%A4n.jpg
i-17wP8w7go36vS3sLZVkrL5,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%B6ns%20Olsson%201836%20SPA%20%28cropped%29.jpg
i-1WP7QkRyMb2CD9Uv6e3wC,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Palm%20SPA%205%20%28cropped%29.jpg
i-1XsEfF3SYqxVzdDjxQSya,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Johansson%20SPA%202.jpg
i-1gnfNeDH6dj6iVaqD8XRH,http://commons.wikimedia.org/wiki/Special:FilePath/Jonas%20Jonasson%201817%20SPA%20%28cropped%29.jpg
i-1vkisNNG3HdqJbKySSxUp,http://commons.wikimedia.org/wiki/Special:FilePath/Bror%20Persson%201891%20SPA%20%28cropped%29.jpg
i-1xpn4vGAnPTUV3FuyR27z,http://commons.wikimedia.org/wiki/Special:FilePath/Anders%20Johansson%201863%20SPA%20%28cropped%29.jpg
i-21sS3832F96xjNFhsY9x2i,http://commons.wikimedia.org/wiki/Special:FilePath/Herman%20Falk%201936.JPG
i-22EGSH6WucdXDkn19Wz7Mu,http://commons.wikimedia.org/wiki/Special:FilePath/Painting%20of%20Henrik%20Gyllenram.jpg
i-23K7oBZqgsShoLKvyFSg9W,http://commons.wikimedia.org/wiki/Special:FilePath/Bengt%20Olofsson.jpg
i-243rknWDEdgBEAge7sukzd,http://commons.wikimedia.org/wiki/Special:FilePath/Gustaf%20Svensson%20SPA%201840%20%28cropped%29.jpg
i-24CbHNwsRznss4Yas6HseU,http://commons.wikimedia.org/wiki/Special:FilePath/Anita%20Broden%2C%20parlamentariker%20fran%20Sverige%2C%20talar%20vid%20BSPC%2020%20i%20Helsingfor.jpg
i-24GU6a9CVTa4mzxPwJujea,http://commons.wikimedia.org/wiki/Special:FilePath/Ehrensv%C3%A4rd%2C%20Albert%20%28Adelskalendern%201913%29.jpg
i-25CfCVSbvBbZNT4MaSfQuo,http://commons.wikimedia.org/wiki/Special:FilePath/Magnus%20Hallenborg%201828%20SPA%20%28cropped%29.jpg
i-25EEgWidbVVQMzbXZMgAXZ,http://commons.wikimedia.org/wiki/Special:FilePath/Anders%20Lind%201828%20SPA%20%28cropped%29.jpg
i-25WANiY9YMaqEdj4ufyeqi,http://commons.wikimedia.org/wiki/Special:FilePath/Knut%20Heyman%201870%20SPA%20%28cropped%29.jpg
i-266bJc5RtSGNFxNkBXfTw6,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Isak%20Bengtsson%201832%20SPA%20%28cropped%29.jpg
i-26JwMpJPh7ufEnA9hhtP9j,http://commons.wikimedia.org/wiki/Special:FilePath/Niklas%20wykman.jpg
i-27GnXLYmnvWWQ74zqN8XG1,http://commons.wikimedia.org/wiki/Special:FilePath/Elof%20Bergl%C3%B6f%201828%20SPA2%20%28cropped%29.jpg
i-28QtNdtNvYW5KVgFHRDL4R,http://commons.wikimedia.org/wiki/Special:FilePath/Lage%20Svedberg%20SPA%20%28cropped%29.jpg
i-29DwTeTswrc6CZ69NFKoDy,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Englander%20SPA%20%28cropped%29.jpg
i-2ASB6DoU1XW9sV8ZGbcxey,http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20M%C3%A5nsson%20i%20Tr%C3%A4%C3%A4%20h%C3%A5gkomst.JPG
i-2B9CQsorTkxsV4aDV5kmNj,http://commons.wikimedia.org/wiki/Special:FilePath/Muharrem%20Demirok%20%28cropped%29.jpg
i-2Bind9dyirGQ1UMwS9XjsT,http://commons.wikimedia.org/wiki/Special:FilePath/Lennart%20Axelsson.jpg
i-2BqYDfJGsEe55GwNK7mUNB,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Farup%201824%20SPA%20%28cropped%29.jpg
i-2D6mwMLvYjVnxu8WpPCAeL,http://commons.wikimedia.org/wiki/Special:FilePath/Lorentz%20Tovatt.jpeg
i-2DoVBtekXdY2ysRmE7Ujm9,http://commons.wikimedia.org/wiki/Special:FilePath/Tina%20Ghasemi.jpg
i-2DwRqPaUX1EqrTDhVYFKdv,http://commons.wikimedia.org/wiki/Special:FilePath/Ernst%20%C3%85qvist%201875%20SPA%20%28cropped%29.jpg
i-2E2N5MpZ8PjBpuMWc4jqhz,http://commons.wikimedia.org/wiki/Special:FilePath/Rune%20Johansson%20SPA.jpg
i-2EZPhWWR7yHztg3zN2aNvh,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20R%C3%A5dberg%20portr%C3%A4tt%20%282008%29.jpg
i-2EsjZToCZr14goS1NGyN4G,http://commons.wikimedia.org/wiki/Special:FilePath/Erik%20Jonsson%201860%20SPA%20%28cropped%29.jpg
i-2FMdJQN5sEzW3N7zpocbuh,http://commons.wikimedia.org/wiki/Special:FilePath/Leonard%20Hagstr%C3%B6m%201881%20SPA%20%28cropped%29.jpg
i-2FNaYK7iohKDXNcVkZh5pS,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Nilsson%201887%20SPA%20%28cropped%29.jpg
i-2FVUSVT1SC2fewMNdrmgeb,http://commons.wikimedia.org/wiki/Special:FilePath/Olle%20Schmidt%20March%2019%202013.jpg
i-2G8XQvkqyYrG9q5CFVbCTE,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Mauritz%20Ekstr%C3%B6m%201848%20SPA%20%28cropped%29.jpg
i-2GE534P2Foy3WpqKPVNeW8,http://commons.wikimedia.org/wiki/Special:FilePath/Mats%20Pertoft%20portr%C3%A4tt%20%282008%29.jpg
i-2HyRdnwNjJfPPeCiQ2cg17,http://commons.wikimedia.org/wiki/Special:FilePath/Oscar%20Malmborg%201892%20SPA2%20%28cropped%29.jpg
i-2JVaywB5mzNwVBk8D4UMn2,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Andersson.jpg
i-2JdXPhk44YiYbhvGr8jwcF,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Engman%20SPA%20%28cropped%29.jpg
i-2Jx7WEDYHWuMCtxq8yapD7,http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20Anton%20Bj%C3%B6rklund%201881%20SPA%20%28cropped%29.jpg
