swerik_id,link,place
i-12Uee2egshc6uyv5Q4pcUM,http://www.wikidata.org/entity/Q1754,Stockholm
i-13PgYkuYe6x5jwCDMxQFhz,http://www.wikidata.org/entity/Q10658731,Råneå församling
i-13QQP8owbbh9DWwyjxnTSS,http://www.wikidata.org/entity/Q10542102,Jönköpings Kristina församling
i-14itFAMq9exF2LvnaCtHAn,http://www.wikidata.org/entity/Q10466522,Danderyds församling
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q10484135,Engelbrekts församling
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q10656556,Romfartuna församling
i-16dpFQGNcr7HGwnHCoAdKk,http://www.wikidata.org/entity/Q10567477,Listerby församling
i-17q5suLEPiC6SEzqci5C4s,http://www.wikidata.org/entity/Q43549106,Storkyrkoförsamlingen
i-17wP8w7go36vS3sLZVkrL5,http://www.wikidata.org/entity/Q10713508,Veberöds församling
i-184mh7uhT7D8tGsavsHbSJ,http://www.wikidata.org/entity/Q1814865,Molkom
i-1WP7QkRyMb2CD9Uv6e3wC,http://www.wikidata.org/entity/Q3438210,Maria Magdalena församling
i-1XsEfF3SYqxVzdDjxQSya,http://www.wikidata.org/entity/Q10726334,Åkers församling
i-1gnfNeDH6dj6iVaqD8XRH,http://www.wikidata.org/entity/Q10510630,Gullabo församling
i-1vkisNNG3HdqJbKySSxUp,http://www.wikidata.org/entity/Q10659418,S:t Nikolai församling
i-1xpn4vGAnPTUV3FuyR27z,http://www.wikidata.org/entity/Q10666790,Sevalla församling
i-22EGSH6WucdXDkn19Wz7Mu,http://www.wikidata.org/entity/Q10519255,Hedvig Eleonora församling
i-23K7oBZqgsShoLKvyFSg9W,http://www.wikidata.org/entity/Q10726780,Ås församling
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q10658200,Rydaholms församling
i-24GU6a9CVTa4mzxPwJujea,http://www.wikidata.org/entity/Q10570835,Lunds domkyrkoförsamling
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q1754,Stockholm
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q1754,Stockholm
i-25WANiY9YMaqEdj4ufyeqi,http://www.wikidata.org/entity/Q10667449,Siene församling
i-266bJc5RtSGNFxNkBXfTw6,http://www.wikidata.org/entity/Q10428333,Berga församling
i-26oFBmKgnHnJoK4Ecs2YVP,http://www.wikidata.org/entity/Q21168,Varberg
