year,chamber,protocol_spec,n_mps,source
1946,fk,höst,,
1947,ak,,,
1947,fk,,,
1948,ak,,,
1948,fk,,,
1948,ak,höst,,
1948,fk,höst,,
1949,ak,,230,stjernquist1996:123
1949,fk,,150,stjernquist1996:123
1949,ak,höst,,
1949,fk,höst,,
1950,ak,,,
1950,fk,,,
1950,ak,höst,,
1950,fk,höst,,
1951,ak,,,
1951,fk,,,
1951,ak,extrahöst,,
1951,fk,extrahöst,,
1952,ak,,,
1952,fk,,,
1952,ak,höst,,
1952,fk,höst,,
1953,ak,,230,stjernquist1996:123
1953,fk,,150,stjernquist1996:123
1953,ak,höst,,
1953,fk,höst,,
1954,ak,,,
1954,fk,,,
1954,ak,höst,,
1954,fk,höst,,
1955,ak,,,
1955,fk,,,
1955,ak,höst,,
1955,fk,höst,,
1956,ak,,,
1956,fk,,,
1956,ak,höst,,
1956,fk,höst,,
1957,ak,,231,stjernquist1996:123
1957,fk,,150,stjernquist1996:123
1957,ak,höst,,
1957,fk,höst,,
1958,ak,a,,
1958,fk,a,,
1958,ak,b,231,stjernquist1996:123
1958,fk,b,151,stjernquist1996:123
1959,ak,,,
1959,fk,,,
1959,ak,höst,,
1959,fk,höst,,
1960,ak,,,
1960,fk,,,
1960,ak,höst,,
1960,fk,höst,,
1961,ak,,232,stjernquist1996:123
1961,fk,,151,stjernquist1996:123
1961,ak,höst,,
1961,fk,höst,,
1962,ak,,,
1962,fk,,,
1962,ak,höst,,
1962,fk,höst,,
1963,ak,,,
1963,fk,,,
1963,ak,höst,,
1963,fk,höst,,
1964,ak,,,
1964,fk,,,
1964,ak,höst,,
1964,fk,höst,,
1965,ak,,233,stjernquist1996:123
1965,fk,,151,stjernquist1996:123
1965,ak,höst,,
1965,fk,höst,,
1966,ak,,,
1966,fk,,,
1966,ak,höst,,
1966,fk,höst,,
1967,ak,,,
1967,fk,,,
1967,ak,höst,,
1967,fk,höst,,
1968,ak,,,
1968,fk,,,
1968,ak,höst,,
1968,fk,höst,,
1969,ak,,233,stjernquist1996:123
1969,fk,,151,stjernquist1996:123
1969,ak,höst,,
1969,fk,höst,,
1970,ak,,,
1970,fk,,,
1970,ak,höst,,
1970,fk,höst,,
1971,ek,,350,stjernquist1992:276
1972,ek,,350,stjernquist1992:276
1973,ek,,350,stjernquist1992:276
1974,ek,,350,stjernquist1992:276
1975,ek,,350,stjernquist1992:276
197576,ek,,350,stjernquist1992:276
197677,ek,,349,stjernquist1992:277
197778,ek,,349,stjernquist1992:277
197879,ek,,349,stjernquist1992:277
197980,ek,,349,stjernquist1992:277
1980,ek,urtima,349,stjernquist1992:277
198081,ek,,349,stjernquist1992:277
198182,ek,,349,stjernquist1992:277
198283,ek,,349,stjernquist1992:277
198384,ek,,349,stjernquist1992:277
198485,ek,,349,stjernquist1992:277
198586,ek,,349,stjernquist1992:277
198687,ek,,349,stjernquist1992:277
198788,ek,,349,stjernquist1992:277
198889,ek,,349,stjernquist1992:277
198990,ek,,349,stjernquist1992:277
199091,ek,,349,stjernquist1992:277
199192,ek,,349,stjernquist1992:277
199293,ek,,349,stjernquist1992:277
199394,ek,,349,stjernquist1992:277
199495,ek,,349,stjernquist1992:277
199596,ek,,349,stjernquist1992:277
199697,ek,,349,stjernquist1992:277
199798,ek,,349,stjernquist1992:277
199899,ek,,349,stjernquist1992:277
19992000,ek,,349,stjernquist1992:277
200001,ek,,349,stjernquist1992:277
200102,ek,,349,stjernquist1992:277
200203,ek,,349,stjernquist1992:277
200304,ek,,349,stjernquist1992:277
200405,ek,,349,stjernquist1992:277
200506,ek,,349,stjernquist1992:277
200607,ek,,349,stjernquist1992:277
200708,ek,,349,stjernquist1992:277
200809,ek,,349,stjernquist1992:277
200910,ek,,349,stjernquist1992:277
201011,ek,,349,stjernquist1992:277
201112,ek,,349,stjernquist1992:277
201213,ek,,349,stjernquist1992:277
201314,ek,,349,stjernquist1992:277
201415,ek,,349,stjernquist1992:277
201516,ek,,349,stjernquist1992:277
201617,ek,,349,stjernquist1992:277
201718,ek,,349,stjernquist1992:277
201819,ek,,349,stjernquist1992:277
201920,ek,,349,stjernquist1992:277
202021,ek,,349,stjernquist1992:277
202122,ek,,349,stjernquist1992:277
