swerik_id,authority,identifier
i-DAzwuDmrMCAk4CXBrm86y5,WiDaID,Q100309603
i-DAzwuDmrMCAk4CXBrm86y5,RiPeID,0514669448526
i-DAzwuDmrMCAk4CXBrm86y5,SwePaPeGUID,7deadf3b-519f-4d81-a43d-1b071c88ca27
i-AcrNjdftfgEDKtVYDbE4tQ,WiDaID,Q101093736
i-AcrNjdftfgEDKtVYDbE4tQ,RiPeID,0961483563503
i-AcrNjdftfgEDKtVYDbE4tQ,SwePaPeGUID,66a97750-1ac5-4f8d-be57-ac4c1c733ee9
i-4zNK5NQ9pgveDzKxdfvZEg,WiDaID,Q1037569
i-4zNK5NQ9pgveDzKxdfvZEg,DiSweNaBiID,15852
i-4zNK5NQ9pgveDzKxdfvZEg,SwePoArID,TR3yO_GV8eAAAAAAAABcdA
i-4zNK5NQ9pgveDzKxdfvZEg,SwePoArID,sj9PGLAlnmUAAAAAABganA
i-EzhmCmNyKREE4AaqdncvAo,WiDaID,Q1037831
i-EzhmCmNyKREE4AaqdncvAo,DiSweNaBiID,9899
i-EzhmCmNyKREE4AaqdncvAo,SwePoArID,rkIpfGqHXrAAAAAAAACjwg
i-EzhmCmNyKREE4AaqdncvAo,UpUnAlID,alvin-person:3523
i-EzhmCmNyKREE4AaqdncvAo,SwePoArID,sj9PGLAlnmUAAAAAABfNWg
i-LCciWZcLX7JDVXPmTcHLUk,WiDaID,Q103821442
i-LCciWZcLX7JDVXPmTcHLUk,RiPeID,0323000187920
i-LCciWZcLX7JDVXPmTcHLUk,SwePaPeGUID,e7479c89-0534-4762-baa4-2517b636dde2
i-HSP9LioPctrDbuGfZ5P4G,WiDaID,Q1039038
i-HSP9LioPctrDbuGfZ5P4G,DiSweNaBiID,8988
i-HSP9LioPctrDbuGfZ5P4G,SwePoArID,sj9PGLAlnmUAAAAAABgeOA
i-HSP9LioPctrDbuGfZ5P4G,UpUnAlID,alvin-person:3402
i-42mC5GTVNHcPV5LNMmxmrj,WiDaID,Q1040479
i-42mC5GTVNHcPV5LNMmxmrj,RiPeID,0954072997110
i-42mC5GTVNHcPV5LNMmxmrj,SwePaPeGUID,46eb7b79-60e3-4bcc-9077-dbd9091aa54d
i-JPgedjW7JshtfAExS9H21b,WiDaID,Q104214592
i-JPgedjW7JshtfAExS9H21b,RiPeID,0360160202728
i-JPgedjW7JshtfAExS9H21b,SwePaPeGUID,e09d9076-28c7-4583-a17f-7a776de7f01f
i-9evG1wrCY8ugVuT6DJU4R7,WiDaID,Q104214611
i-9evG1wrCY8ugVuT6DJU4R7,RiPeID,0783865993627
i-9evG1wrCY8ugVuT6DJU4R7,SwePaPeGUID,7baf1b6b-1ec5-4aee-8d2a-3403fec1d080
i-QAFeHr9pWgDV5Bk4wr1CG6,WiDaID,Q104215541
i-QAFeHr9pWgDV5Bk4wr1CG6,RiPeID,0963587133807
i-QAFeHr9pWgDV5Bk4wr1CG6,SwePaPeGUID,2c564437-c084-41f3-9863-8ece650ecf96
i-GMwXxAt8H2Rdte7umxBjTY,WiDaID,Q104215551
i-GMwXxAt8H2Rdte7umxBjTY,RiPeID,0297840931300
i-GMwXxAt8H2Rdte7umxBjTY,SwePaPeGUID,c9fd830e-d388-48b1-b3cd-39899b569584
i-Aczr3QcauMaebRRbhWvMM3,WiDaID,Q104215586
i-Aczr3QcauMaebRRbhWvMM3,RiPeID,0232670694320
i-Aczr3QcauMaebRRbhWvMM3,SwePaPeGUID,e9a8876a-f564-4e5f-9b52-851fea7e5053
i-6dH9awekLaGn5XbWvz3Rer,WiDaID,Q104215635
i-6dH9awekLaGn5XbWvz3Rer,RiPeID,0795530089824
i-6dH9awekLaGn5XbWvz3Rer,SwePaPeGUID,ae360046-2892-4199-a1af-bd684ff70c8c
i-C36nTuziKMuU7CCNJm8Dgo,WiDaID,Q104215746
i-C36nTuziKMuU7CCNJm8Dgo,RiPeID,0279385965920
i-C36nTuziKMuU7CCNJm8Dgo,SwePaPeGUID,02315f0c-52e5-4507-8d5a-ea41af65cd77
i-JcnsMFG5uCAPz4rumqou59,WiDaID,Q104215786
i-JcnsMFG5uCAPz4rumqou59,RiPeID,0361964723211
i-JcnsMFG5uCAPz4rumqou59,SwePaPeGUID,d56e957c-aa80-420a-99d6-e9bd53cb80c4
i-MBPUkSx8FomETAbir25zcv,WiDaID,Q104215826
i-MBPUkSx8FomETAbir25zcv,RiPeID,0468904415516
i-MBPUkSx8FomETAbir25zcv,SwePaPeGUID,6a0f8739-f15c-11d6-ae8b-0004755038ce
i-95TdQsXQmFnoNLDdcUhjVR,WiDaID,Q104215835
i-95TdQsXQmFnoNLDdcUhjVR,RiPeID,048433771316
i-95TdQsXQmFnoNLDdcUhjVR,SwePaPeGUID,155f32c6-f0e5-4f43-b7d3-d69ecd3f5464
i-CfZDtfi5fxYpMgG45nMNHF,WiDaID,Q104215861
i-CfZDtfi5fxYpMgG45nMNHF,RiPeID,0355822136816
i-CfZDtfi5fxYpMgG45nMNHF,SwePaPeGUID,8e7a6a41-551e-4c3e-b05b-da3a7dc3b2c0
i-KVGHAw26wq8T7KZvhmL468,WiDaID,Q104215872
i-KVGHAw26wq8T7KZvhmL468,RiPeID,019331401512
i-KVGHAw26wq8T7KZvhmL468,SwePaPeGUID,3115d07c-e9f5-4527-89d3-36dddbdf496a
i-9oPPjVzrULrHNYKFEafWno,WiDaID,Q104215884
i-9oPPjVzrULrHNYKFEafWno,RiPeID,0129061253610
i-9oPPjVzrULrHNYKFEafWno,SwePaPeGUID,7027d7a8-51d8-4b10-94d9-3151efb0816f
i-DRqpu2aaHKSgAVbkTGg4rs,WiDaID,Q104215904
i-DRqpu2aaHKSgAVbkTGg4rs,RiPeID,0986091320811
i-DRqpu2aaHKSgAVbkTGg4rs,SwePaPeGUID,0f4ba90a-2db5-4fa8-b583-3f96edca5028
i-K82QDXsktky7Ev3GGdtx22,WiDaID,Q104215963
i-K82QDXsktky7Ev3GGdtx22,RiPeID,0534870997412
i-K82QDXsktky7Ev3GGdtx22,SwePaPeGUID,f965c024-1cd1-4a10-bff1-7615c8b1bde4
i-BjjxWBPyNaW4sPkC9AvZPw,WiDaID,Q104215982
i-BjjxWBPyNaW4sPkC9AvZPw,RiPeID,0294883731700
i-BjjxWBPyNaW4sPkC9AvZPw,SwePaPeGUID,5f648d05-9afa-4a78-aa2b-92adc21c6175
i-4p8JokQcmoPFNWL1uSASiw,WiDaID,Q104836509
i-4p8JokQcmoPFNWL1uSASiw,SwePoArID,NhqpvvI9tpAAAAAAAAAJJw
i-4p8JokQcmoPFNWL1uSASiw,SwePoArID,sj9PGLAlnmUAAAAAABfPNg
i-PFAPNmRqeUAaxDzNRTG1x1,WiDaID,Q104839950
i-PFAPNmRqeUAaxDzNRTG1x1,SwePoArID,sj9PGLAlnmUAAAAAABfPlw
i-9hG74ML7xpYycy9PPPCLrq,WiDaID,Q104840074
i-9hG74ML7xpYycy9PPPCLrq,SwePoArID,sj9PGLAlnmUAAAAAABgayQ
i-KUavj3naU1jTnq3RDnaNqe,WiDaID,Q104841633
i-KUavj3naU1jTnq3RDnaNqe,SwePoArID,sj9PGLAlnmUAAAAAABgaDQ
i-PzJU3iRvonQtL82VS2dFzm,WiDaID,Q104842277
i-PzJU3iRvonQtL82VS2dFzm,SwePoArID,sj9PGLAlnmUAAAAAABgbKQ
i-PzJU3iRvonQtL82VS2dFzm,SwePoArID,vfWYdYT6EoAAAAAAAAArhA
i-MaRHnNmw2sqAFYBugWDAH2,WiDaID,Q104842860
i-MaRHnNmw2sqAFYBugWDAH2,SwePoArID,sj9PGLAlnmUAAAAAABfQDw
i-BEmKPkc4pYM6CbmnRs8wL1,WiDaID,Q104843639
i-BEmKPkc4pYM6CbmnRs8wL1,SwePoArID,sj9PGLAlnmUAAAAAABgRvw
i-BEmKPkc4pYM6CbmnRs8wL1,UpUnAlID,alvin-person:34123
i-BEmKPkc4pYM6CbmnRs8wL1,SwePoArID,vfWYdYT6EoAAAAAAAAATSQ
i-GFvhnYSfU7uMwMyEbzcgSz,WiDaID,Q104845055
i-GFvhnYSfU7uMwMyEbzcgSz,SwePoArID,sj9PGLAlnmUAAAAAABfSEA
i-TuUeRRRStfRtd42Mi2VQ3H,WiDaID,Q104845813
i-Wmqf7ntDge1sjwuTqYDRCN,WiDaID,Q104850932
i-Wmqf7ntDge1sjwuTqYDRCN,SwePoArID,sj9PGLAlnmUAAAAAABgdTQ
i-GqLJiLj3ZWmFCVw4KJoTtW,WiDaID,Q104851791
i-GqLJiLj3ZWmFCVw4KJoTtW,SwePoArID,sj9PGLAlnmUAAAAAABgcCg
i-ArBoKHFxXfA2rh9Sm2XzUy,WiDaID,Q104864916
i-ArBoKHFxXfA2rh9Sm2XzUy,SwePoArID,sj9PGLAlnmUAAAAAABgcJg
i-6zVoHsaDRNsEf9UCY21bb5,WiDaID,Q104868044
i-6zVoHsaDRNsEf9UCY21bb5,SwePoArID,sj9PGLAlnmUAAAAAABfbsg
i-AwanSeTqakekXXjJp2MFbe,WiDaID,Q104868355
i-AwanSeTqakekXXjJp2MFbe,SwePoArID,sj9PGLAlnmUAAAAAABgfkA
i-MeSYWWPmxrvbS4Cz76xahd,WiDaID,Q104868905
i-MeSYWWPmxrvbS4Cz76xahd,SwePoArID,seuNpYu6DKAAAAAAAABPUw
i-MeSYWWPmxrvbS4Cz76xahd,SwePoArID,sj9PGLAlnmUAAAAAABgffg
