wiki_id,location,person_id
Q330757,Västerås,Q330757
Q330757,Lund,Q330757
Q5744409,Stockholm,Q5744409
Q5748259,Stockholm,Q5748259
Q5822171,Värestorp,Q5822171
Q5388930,Arhammar,Q5388930
Q5359581,Almnäs,Q5359581
Q5359581,Mariedal,Q5359581
Q5359581,Stockholm,Q5359581
Q5975041,Värnanäs,Q5975041
Q5616733,Dyestad,Q5616733
Q5603515,Helgagård,Q5603515
Q6255057,Örebro,Q6255057
Q5774246,Gränebo,Q5774246
Q3424655,Gränna,Q3424655
Q4830361,Stockholm,Q4830361
Q5886385,Mysinge,Q5886385
Q2944347,Stockholm,Q2944347
Q6010330,Karlstad,Q6010330
Q6010330,Kristinehamn,Q6010330
Q18246296,Alingsås,Q18246296
Q5972050,Skövde,Q5972050
Q6011346,Malmö,Q6011346
Q6011346,Kabbarp,Q6011346
Q5547641,Stockholm,Q5547641
Q5628179,Grönsö,Q5628179
Q1291317,Stockholm,Q1291317
Q6206899,Finspång,Q6206899
Q6195774,Fellingsbro,Q6195774
Q6257544,Brantshammar,Q6257544
Q6257544,Stockholm,Q6257544
Q6257544,Tureberg,Q6257544
Q5561113,Gävle,Q5561113
Q5573639,Stockholm,Q5573639
Q5604447,Brunna,Q5604447
Q3054681,Hedenlunda,Q3054681
Q6199757,Norrköping,Q6199757
Q6201372,Bollnäs,Q6201372
Q5803390,Malmö,Q5803390
Q5962251,Hammarby,Q5962251
Q5932922,Stockholm,Q5932922
Q5570408,Norup,Q5570408
Q525663,Karlstad,Q525663
Q525663,Uppsala,Q525663
Q5891385,Mora,Q5891385
Q4936057,Bromma,Q4936057
Q6192487,Bergnäset,Q6192487
Q6044981,Linköping,Q6044981
Q6066319,Lund,Q6066319
Q6172424,Örnsköldsvik,Q6172424
Q321521,Stockholm,Q321521
Q4355601,Stockholm,Q4355601
Q5892646,Halmstad,Q5892646
Q5901520,Bengtsfors,Q5901520
Q5937997,Lotorp,Q5937997
Q5570215,Landskrona,Q5570215
Q5609574,Helsingborg,Q5609574
Q5543002,Västerås,Q5543002
Q98937434,Falun,Q98937434
Q4982739,Ramsjö,Q4982739
Q21544238,Gamleby,Q21544238
Q15713809,Boden,Q15713809
Q5573006,Västra Frölunda,Q5573006
Q5584928,Aspabruk,Q5584928
Q5553993,Ljung,Q5553993
Q5556026,Malmö,Q5556026
Q3374499,Hisings Backa,Q3374499
Q59387749,Skellefteå,Q59387749
Q5579584,Lidköping,Q5579584
Q5972180,Borås,Q5972180
