wiki_id,start,end,party,party_id
Q105414501,2022-11-11,2022-12-14,Miljöpartiet,Q213451
Q105604453,2019-05-28,2019-06-27,Sverigedemokraterna,Q504069
Q105675478,2022-09-26,,Sverigedemokraterna,Q504069
Q105679831,2022-10-18,2022-11-07,Kristdemokraterna,Q213654
Q10575345,2013-02-22,2014-09-29,Kristdemokraterna,Q213654
Q10578332,2012-05-01,2012-12-31,Liberalerna,Q110857
Q10578332,2014-09-29,2018-09-24,Liberalerna,Q110857
Q105928301,2022-09-26,,Socialdemokraterna,Q105112
Q106349346,1981-01-01,1982-10-08,Centerpartiet,Q110832
Q106350110,1983-01-10,1983-02-11,Centerpartiet,Q110832
Q106350428,1984-01-11,1984-02-06,Moderaterna,Q110843
Q106559819,1984-10-16,1984-11-18,Moderaterna,Q110843
Q106560063,1988-11-07,1989-01-07,Moderaterna,Q110843
Q106582866,1983-01-31,1983-03-21,Moderaterna,Q110843
Q106602523,1982-11-17,1982-12-24,Moderaterna,Q110843
Q106602523,1984-04-30,1984-06-02,Moderaterna,Q110843
Q106602523,1985-01-16,1985-09-30,Moderaterna,Q110843
Q106625850,1990-02-12,1990-03-23,Moderaterna,Q110843
Q10667542,1985-09-30,1988-10-03,Liberalerna,Q110857
Q10667542,1988-10-03,1991-09-30,Liberalerna,Q110857
Q10667542,1991-09-30,1994-10-03,Liberalerna,Q110857
Q10667542,1994-10-03,1998-10-05,Liberalerna,Q110857
Q10678024,2012-10-01,2014-09-29,Liberalerna,Q110857
Q106783058,2022-09-26,,Socialdemokraterna,Q105112
Q106785041,2021-05-10,2021-05-31,Socialdemokraterna,Q105112
Q106862214,2022-10-18,,Moderaterna,Q110843
Q106862781,2022-09-26,,Socialdemokraterna,Q105112
Q10720409,1976-10-04,1979-10-01,Socialdemokraterna,Q105112
Q10720409,1979-10-01,1982-10-04,Socialdemokraterna,Q105112
Q10720409,1982-10-04,1985-09-30,Socialdemokraterna,Q105112
Q10720409,1985-09-30,1988-10-03,Socialdemokraterna,Q105112
Q107364088,2012-11-19,2013-03-31,Moderaterna,Q110843
Q107364088,2013-04-01,2013-04-28,Moderaterna,Q110843
Q107364890,2012-04-18,2012-05-20,Vänsterpartiet,Q110837
Q107364915,2010-01-11,2010-04-05,Moderaterna,Q110843
Q107378685,2003-02-14,2003-03-15,Socialdemokraterna,Q105112
Q107389974,2006-05-31,2006-07-15,Socialdemokraterna,Q105112
Q107395700,2000-04-19,2000-05-12,Socialdemokraterna,Q105112
Q107395700,2001-01-30,2001-03-12,Socialdemokraterna,Q105112
Q107413452,1995-05-15,1995-06-18,Miljöpartiet,Q213451
Q107419934,1991-11-08,1991-12-09,Centerpartiet,Q110832
Q107419934,1993-11-18,1993-12-17,Centerpartiet,Q110832
Q107420069,1993-10-25,1993-11-26,Socialdemokraterna,Q105112
Q107485113,1988-10-03,1988-10-04,Socialdemokraterna,Q105112
Q108059200,2021-08-01,2022-09-26,Liberalerna,Q110857
Q108059200,2022-09-26,,Liberalerna,Q110857
Q108420017,2021-09-02,2022-09-26,Centerpartiet,Q110832
Q108420017,2022-09-26,,Centerpartiet,Q110832
Q108525852,2021-09-08,2022-09-26,Socialdemokraterna,Q105112
Q108525852,2022-09-26,,Socialdemokraterna,Q105112
Q108525972,2021-09-01,2021-11-15,Socialdemokraterna,Q105112
Q108525972,2021-11-16,2022-09-26,Socialdemokraterna,Q105112
Q108525972,2022-09-26,,Socialdemokraterna,Q105112
Q108598507,2021-09-19,2022-05-15,Miljöpartiet,Q213451
Q108713160,2021-09-27,2022-09-26,Sverigedemokraterna,Q504069
Q108765984,2021-10-01,2022-09-26,Centerpartiet,Q110832
Q108986522,2021-10-20,2021-11-24,Sverigedemokraterna,Q504069
Q109352589,2021-11-01,2021-12-19,Socialdemokraterna,Q105112
Q109352589,2022-09-26,,Socialdemokraterna,Q105112
Q109500713,1988-10-03,1988-10-04,Moderaterna,Q110843
Q109500985,1988-11-11,1988-12-12,Centerpartiet,Q110832
Q109501708,1989-01-26,1989-02-26,Vänsterpartiet,Q110837
Q109747746,2021-11-15,2022-01-28,Kristdemokraterna,Q213654
Q109830262,2021-12-02,2022-02-13,Moderaterna,Q110843
Q109882267,1985-10-15,1985-11-15,Socialdemokraterna,Q105112
Q109928721,2021-11-30,2022-09-26,Socialdemokraterna,Q105112
