parliament_year,specifier,chamber,start,end
1867,,fk,1867-01-15,1867-05-16
1867,,ak,1867-01-15,1867-05-16
1868,,fk,1868-01-15,1868-05-16
1868,,ak,1868-01-15,1868-05-16
1869,,fk,1869-01-15,1869-05-15
1869,,ak,1869-01-15,1869-05-15
1870,,fk,1870-01-15,1870-05-14
1870,,ak,1870-01-15,1870-05-14
1871,urtima,ak,1871-09-11,1871-10-07
1871,lagtima,ak,1871-01-16,1871-05-20
1871,urtima,fk,1871-09-11,1871-10-07
1871,lagtima,fk,1871-01-16,1871-05-20
1872,,fk,1872-01-15,1872-05-16
1872,,ak,1872-01-15,1872-05-16
1873,,ak,1873-01-15,1873-05-26
1873,,fk,1873-01-15,1873-05-26
1874,,fk,1874-01-15,1874-05-22
1874,,ak,1874-01-15,1874-05-22
1875,,ak,1875-01-15,1875-05-26
1875,,fk,1875-01-15,1875-05-26
1876,,fk,1876-01-15,1876-05-17
1876,,ak,1876-01-15,1876-05-17
1877,,ak,1877-01-15,1877-05-25
1877,,fk,1877-01-15,1877-05-25
1878,,ak,1878-01-15,1878-05-25
1878,,fk,1878-01-15,1878-05-25
1879,,ak,1879-01-15,1879-05-21
1879,,fk,1879-01-15,1879-05-21
1880,,ak,1880-01-15,1880-05-15
1880,,fk,1880-01-15,1880-05-15
1881,,ak,1881-01-15,1881-04-29
1881,,fk,1881-01-15,1881-04-29
1882,,fk,1882-01-16,1882-05-22
1882,,ak,1882-01-16,1882-05-22
1883,,fk,1883-01-15,1883-06-14
1883,,ak,1883-01-15,1883-06-14
1884,,ak,1884-01-15,1884-05-15
1884,,fk,1884-01-15,1884-05-15
1885,,fk,1885-01-15,1885-05-22
1885,,ak,1885-01-15,1885-05-22
1886,,ak,1886-01-15,1886-05-18
1886,,fk,1886-01-15,1886-05-18
1887,a,ak,1887-01-15,1887-03-05
1887,b,ak,1887-05-02,1887-07-09
1887,b,fk,1887-05-02,1887-07-09
1887,a,fk,1887-01-15,1887-03-05
1888,,ak,1888-01-16,1888-05-16
1888,,fk,1888-01-16,1888-05-16
1889,,ak,1889-01-15,1889-05-18
1889,,fk,1889-01-15,1889-05-18
1890,,fk,1890-01-15,1890-05-22
1890,,ak,1890-01-15,1890-05-22
1891,,ak,1891-01-15,1891-05-15
1891,,fk,1891-01-15,1891-05-15
1892,lagtima,ak,1892-01-15,1892-05-23
1892,urtima,ak,1892-10-17,1892-11-28
