party,abbreviation,ocr_correction
Bondeförbundet,C,False
Centerpartiet,C,False
(cp),C,False
(Cp),C,False
(bf),C,False
(c),C,False
(C),C,False
(ec),C,True
(öp),C,True
(o),C,True
(ce),C,True
(t),KD,True
(KD),KD,False
(KDS),KD,False
(kd),KD,False
(KDs),KD,False
Kristdemokraterna,KD,False
(kds),KD,False
(ip),L,True
(fP),L,False
(FP),L,False
(fp),L,False
(f),L,False
Folkpartiet,L,False
Liberalerna,L,False
(L),L,False
(hb),M,True
(HD),M,True
(n),M,True
(in),M,True
(bh),M,True
(hh),M,True
(I),M,True
(hi),M,True
Moderaterna,M,False
(M),M,False
(m),M,False
(h),M,False
(Gm),M,True
Miljöpartiet,MP,False
(MP),MP,False
(mp),MP,False
(nyd),NYD,False
Ny demokrati,NYD,False
(sj),S,True
(SS),S,True
(ts),S,True
(ss),S,True
(s),S,False
Socialdemokraterna,S,False
(S),S,False
Sverigedemokraterna,SD,False
(SD),SD,False
(apk),SKP,False
(k),V,False
(vpk),V,False
(V),V,False
(v),V,False
Vänsterpartiet,V,False
frisinnad vilde,independent,False
partilös,independent,False
