wiki_id,alias
Q1037569,Ekman i Finspång
Q1037831,Lundström i Stockholm
Q1039038,Malmsten i Mariestad
Q104836509,Tham i Stäholm
Q104841633,Blidberg i Söderköping
Q104842860,Brunberg i Tving
Q104845055,Busck i Trätteland
Q104851791,Janson i Hennickehammar
Q104868044,Åman i Risingsbo
Q104868355,Lithner i Torp
Q104868905,Ahlgren i Sundsvall
Q104869831,Ocklind i Skellefteå
Q104873799,Johansson i Forneby
Q104874870,Carlson i Jönköping
Q104889010,Englander i Tingsryd
Q104889131,Gunnarson i Björkmossa
Q104889673,Thorell i Hökerum
Q104889739,Larsson i Blekan
Q104904307,Ekman i Ekshärad
Q104905221,Berglind i Fläckebo
Q104918428,Andreasson i Tollered
Q104919050,Sandberg i Mörlanda
Q104919428,Magnusson i Granbäckstorp
Q104922412,Carlsson i Kröcklinge
Q104923362,Westman i Rossvik
Q105025768,Berlin i Härnösand
Q105026351,Andreason i Nygård
Q105044672,Dahl i Göteborg
Q105044852,Boman i Flatenberg
Q105046298,Olson i Stensdalen
Q105046520,Anderson i Lydde
Q105046846,Hallqvist i Ryda
Q105046913,Gummesson i Eringsboda
Q105046955,Pehrsson i Önnerud
Q105062126,Åkerlund i Druvefors
Q105063875,Ljunggren i Uddevalla
Q105065199,Berglund i Klovsta
Q105067206,Persson i Gärstad
Q105072405,Olsson i Vallby
Q105162147,Celsing i Fräkentorp
Q105163872,Carlsson i Nysäter
Q105200990,Fagerholm i Vallnäs
Q10540434,Wallin i Midsommarkransen
Q105714624,Carlsson i Ystad
Q108219916,Florén-Winther i Älvsjö
Q109943335,Eurén i Jönköping
Q110278693,Billqvist i Skövde
Q110278976,Block i Stockholm
Q110279970,Kant i Uppsala
Q110321926,Andersson i Malmö
Q110401403,Gansmoe i Hägersten
Q110426890,Henningson i Visby
Q110436560,Hedström i Västra Skymnäs
Q110436946,Månsson i Backa
Q110439181,Lantto i Stocksund
Q110440831,Permansson i Erikslund
Q110440981,Holm i Jonsgård
Q110442451,Andersson i Kolstad
Q110467944,Julin i Åmberg
Q110528102,Nilsson i Kungsberget
Q110530109,Hulting i Herrljunga
Q110541107,Ekelund i Lund
Q110544246,Rosvall i Dösjebro
Q110607272,Sjöberg i Sävsjö
Q110611538,Isaksson i Västervik
Q110617192,Lundquist i Baggarbo
Q110617328,Andersson i Katrineholm
Q110620158,Knutsson i Linköping
Q110621758,Holmström i Södra Vram
Q110623938,Lindberg i Limhamn
Q110623938,Lindberg i Sofielund
Q110651954,Broman i Stockholm
Q110654970,Johansson i Rönna
Q110765107,Anderson i Storegården
Q110811413,Stener i Falkenberg
Q110872788,Svanberg i Norra Solberga
Q110877099,Andersson i Värtan
Q110877303,Andersson i Bjertorp
Q110877467,Jungnell i Katrineholm
Q110909540,Andersson i Knäppinge
Q110964594,Wennberg i Jönköping
Q110986185,Johansson i Bro
Q110987813,Öhman i Åkarp
Q110987813,Öhman i Örebro
Q110994286,Olsson i Edane
Q111043917,Pettersson i Vråtsered
Q111133690,Törnblom i Finspång
Q111135069,Jonsson i Risinge
Q111142109,Eriksson i Lundby
Q111311453,Erikson i Uppsala
Q111341522,Carlsson i Ystad
Q111353500,Steinholtz i Västervik
Q111353557,Johansson i Sölvedal
Q111356417,Weibull i Weibullsholm
Q111369618,Rosenqwist i Sandsjö
Q111371044,Westin i Tunabäck
Q111371219,Schmidt i Björna
Q111372255,Larsson i Edsten
Q111378200,Johanson i Vetlanda
Q111380003,Norman i Yttersfors
Q111438695,Anderson i Linköping
Q111440067,Almryd i Hemmestavik
Q111448420,Wittberg i Filipstad
Q111462343,Månsson i Fusagården
Q111488695,Frost i Bodum
Q111493015,Linderoth-Andersson i Hjo
Q111493181,Rönnebäck i Östersund
Q111543297,Schött i Kalmar
Q111551656,Adolfsson i Bynsberg
Q111592730,Jansson i Örebro
Q111602939,Ekwall i Viskafors
Q111610510,Alvin i Älvdalen
Q111631886,Edsbäcker i Bohus
Q111633012,Beck i Bengtstorp
Q111633477,Andersson i Skrädene
Q111645980,Åkerlindh i Storhult
Q111647422,Lundberg i Eksjö
Q111648829,Gullstrand i Öckerö
Q111649364,Grevesmühl i Lycksta
Q111655821,Bergström i Karlstad
Q111658849,Flognfält i Flogned
Q111659395,Brandt i Sätila
Q111660706,Söderbom i Gröndal
Q111664215,Andersson i Saxtorp
Q111665128,Andersson i Härrklättan
Q111665305,Andersson i Mejstad
Q111665806,Andersson i Skurup
Q111665825,Andersson i Fredriksberg
Q111665991,Berg i Munkfors
Q111667664,Berglund i Kramfors
Q111667664,Berglund i Sollefteå
Q111668422,Birath i Stockholm
Q111672359,Janson i Frändesta
Q111672483,Bergstrand i Avesta
Q111678652,Björkman i Länghem
Q111692389,Jonsson i Mörbylånga
Q111692454,Björling i Enskede
Q111696386,Canell i Koppoms bruk
Q111701888,Carlsson i Läperud
Q111709613,Gädda i Svarteborg
Q111721267,Svensson i Torlarp
Q111722133,Jönsson i Mårdslycke
Q111722285,Persson i Västervik
Q111722319,Gabrielsson i Norrby
Q111722516,Ohlsson i Säljeröd
Q111745575,Lindstam i Uddevalla
Q111745711,Rydén i Klosterbergane
Q111748866,Linnér i Nottebäck
Q111792528,Åslund i Hämra
Q111793135,Ohlsson i Klagstorp
Q111795764,Svensson i Landskrona
Q111795971,Svensson i Västerås
Q111796971,Dahlberg i Mölndal
Q111797206,Dahlgren i Göteborg
Q111802611,Frankenberg i Göteborg
Q111802667,Nordström i Karlstad
Q111804160,"Johnsson i Kalmar, Gustaf L"
Q111805044,Hellberg i Ljungskile
Q111817832,Nordqvist i Karlskoga
Q1145662,Wigforss i Göteborg
Q1253889,Ström i Stockholm
Q1253889,Ström i Ulvsunda
Q1253889,Ström i Äppelviken
Q1291317,Carleson i Stockholm
Q1346478,Andersson i Stockholm
Q1347731,Ahlmark i Enskede
Q1347810,Kilbom i Stockholm
Q1353856,Brandt i Söderby
Q1358123,Meyer i Karlshamn
Q1383695,Persson i Helsingborg
Q1388588,Wennerberg i Växjö
Q1388885,Fahlbeck i Djursholm
Q1388885,Fahlbeck i Lund
Q1511698,von Koch i Djursholm
Q1511698,von Koch i Stockholm
Q152437,Myrdal i Stockholm
Q152452,Myrdal i Ålsten
Q1528357,Olsson i Helsingborg
Q1554742,Heckscher i Stockholm
Q1555406,Andersson i Falun
Q1555406,Andersson i Rasjön
Q1555429,Lagerbjelke i Älvsjö
Q156749,Nordenskiöld i Stockholm
Q156797,Wallenberg i Stockholm
Q15997528,Öhman i Sundsvall
Q16008322,Andersson i Brämhult
Q1606431,Allard i Örebro
Q16084072,Thunborg i Skärholmen
Q16649068,Carlsson i Norra Smedstorp
Q16649189,Ericsson i Åtvidaberg
Q16649394,Hochschild i Bellinga
Q16649624,Larsson i Stockholm
Q16649624,Larsson i Västerås
Q1675523,Bratt i Stockholm
Q16945247,Gustafsson i Borås
Q16945523,Svensson i Pershult
Q1712821,Mankell i Stockholm
Q179493,Ohlin i Stockholm
Q1797996,Herlitz i Djursholm
Q1807154,Palmstierna i Stockholm
Q18237084,Adler i Elleholm
Q18237084,Adler i Nykvarn
Q18237396,Arvedson i Storbrohyttan
Q18237937,Brånstad i Karlskrona
Q18238049,Carlson i Stockholm
Q18238280,Dalberg i Borlänge
Q18243057,Johanson i Västervik
Q18243078,Johansson i Stora Mellby
Q18245538,Rydberg i Barkaby
Q18246296,Svensson i Alingsås
Q18246424,Söderhielm i Stockholm
Q192618,Arnoldson i Liljeholmen
Q19380449,Kjellberg i Göteborg
Q1959642,Hjärne i Uppsala
Q196860,Höglund i Stockholm
Q196860,Höglund i Äppelviken
Q1992475,Wohlin i Stockholm
Q1992475,Wohlin i Uppsala
Q19975949,Ekman i Jönköping
Q19975949,Ekman i Stockholm
Q19976568,Hagman i Domnarvet
Q19976882,Olsson i Leråkra
Q19976882,Olsson i Listerby
Q19977230,Weibull i Landskrona
Q19977241,Westrin i Kalmar
Q2039857,Höglund i Stockholm
Q20727,Dahl i Uddevalla
Q20760558,Svensson i Eskilstuna
Q20760558,Svensson i Nyköping
Q20760558,Svensson i Stockholm
Q20760558,Svensson i Stocksund
Q20786765,Uddenberg i Varberg
Q2254365,Månsson i Furuvik
Q2254365,Månsson i Gävle
Q2254365,Månsson i Hagaström
Q2345137,Holmqvist i Kallhäll
Q2345137,Holmqvist i Malmö
Q23988424,Reutercrona i Finspång
Q241035,Nilsson i Stockholm
Q2485795,Alin i Uppsala
Q2575378,Tham i Huskvarna
Q263366,Bohman i Stockholm
Q27996966,Welin i Herrljunga
Q2940262,Afzelius i Stockholm
Q2944347,Lagerstråle i Stockholm
Q30064227,Fornander i Växjö
Q30230024,Carlsson i Fridhem
Q3054681,Hamilton i Hedenlunda
Q3087232,Afzelius i Uppsala
Q3162739,Hjalmarson i Lidingö
Q3162739,Hjalmarson i Stora Essinge
Q321521,Carlson i Stockholm
Q330545,Edlund i Stockholm
Q330757,Billing i Lund
Q330757,Billing i Västerås
Q3374305,Holmberg i Stockholm
Q3424655,Boheman i Gränna
Q3489146,Boberg i Bistingsmåla
Q3489146,Boberg i Kalmar
Q3489146,Boberg i Stockholm
Q349359,Lundstedt i Uppsala
Q3510888,Berg i Stockholm
Q354112,Sträng i Spånga
Q364270,de Laval i Stockholm
Q369044,Lindhagen i Stockholm
Q3742570,Antonsson i Dahla
Q3784536,Almquist i Göteborg
Q3784536,Almquist i Stockholm
Q38152100,Rosén i Göteborg
