swerik_id,link,place
i-12Uee2egshc6uyv5Q4pcUM,http://www.wikidata.org/entity/Q10715204,Vika församling
i-13PgYkuYe6x5jwCDMxQFhz,http://www.wikidata.org/entity/Q10710237,Uppsala domkyrkoförsamling
i-13QQP8owbbh9DWwyjxnTSS,http://www.wikidata.org/entity/Q1001905,Eksjö
i-14itFAMq9exF2LvnaCtHAn,http://www.wikidata.org/entity/Q10727452,Örebro Nikolai församling
i-15XKZT3hRjksEvtHa8x3vk,http://www.wikidata.org/entity/Q11055815,Järfälla församling
i-16Me1SDJCZ61jNn9EpVkzN,http://www.wikidata.org/entity/Q26509,Falun
i-16Witbg68Ektoj84BnCehX,http://www.wikidata.org/entity/Q10700086,Toresunds församling
i-16dpFQGNcr7HGwnHCoAdKk,http://www.wikidata.org/entity/Q10543880,Karlskrona stadsförsamling
i-17q5suLEPiC6SEzqci5C4s,http://www.wikidata.org/entity/Q10532585,Hörby församling
i-17rLcHuXL7eT8W1nwmMH4h,http://www.wikidata.org/entity/Q41,Grekland
i-17wP8w7go36vS3sLZVkrL5,http://www.wikidata.org/entity/Q10713508,Veberöds församling
i-184mh7uhT7D8tGsavsHbSJ,http://www.wikidata.org/entity/Q65,Los Angeles
i-1WP7QkRyMb2CD9Uv6e3wC,http://www.wikidata.org/entity/Q10479943,Eds församling
i-1XsEfF3SYqxVzdDjxQSya,http://www.wikidata.org/entity/Q3486197,Skatelövs församling
i-1gnfNeDH6dj6iVaqD8XRH,http://www.wikidata.org/entity/Q10700457,Torsås församling
i-1vkisNNG3HdqJbKySSxUp,http://www.wikidata.org/entity/Q58455502,Halmstads församling
i-1xpn4vGAnPTUV3FuyR27z,http://www.wikidata.org/entity/Q10666790,Sevalla församling
i-21sS3832F96xjNFhsY9x2i,http://www.wikidata.org/entity/Q10602544,Norra Råda socken
i-22EGSH6WucdXDkn19Wz7Mu,http://www.wikidata.org/entity/Q4568259,Gottröra församling
i-23K7oBZqgsShoLKvyFSg9W,http://www.wikidata.org/entity/Q10726780,Ås församling
i-243rknWDEdgBEAge7sukzd,http://www.wikidata.org/entity/Q10714734,Vetlanda församling
i-24GU6a9CVTa4mzxPwJujea,http://www.wikidata.org/entity/Q10512911,Göteborgs stad
i-25CfCVSbvBbZNT4MaSfQuo,http://www.wikidata.org/entity/Q10715567,Villie församling
i-25EEgWidbVVQMzbXZMgAXZ,http://www.wikidata.org/entity/Q10690712,Tanums församling
i-25WANiY9YMaqEdj4ufyeqi,http://www.wikidata.org/entity/Q10667449,Siene församling
i-266bJc5RtSGNFxNkBXfTw6,http://www.wikidata.org/entity/Q10428333,Berga församling
i-26JwMpJPh7ufEnA9hhtP9j,http://www.wikidata.org/entity/Q10542836,Kalmar domkyrkoförsamling
i-26oFBmKgnHnJoK4Ecs2YVP,http://www.wikidata.org/entity/Q10495152,Filipstads församling
i-27GnXLYmnvWWQ74zqN8XG1,http://www.wikidata.org/entity/Q10526862,Hudiksvalls församling
i-28QtNdtNvYW5KVgFHRDL4R,http://www.wikidata.org/entity/Q10437982,Burträsks församling
i-29DwTeTswrc6CZ69NFKoDy,http://www.wikidata.org/entity/Q10698282,Tingsås församling
i-2ASB6DoU1XW9sV8ZGbcxey,http://www.wikidata.org/entity/Q10602975,Norrvidinge församling
i-2B9CQsorTkxsV4aDV5kmNj,http://www.wikidata.org/entity/Q10526832,Huddinge församling
i-2BqYDfJGsEe55GwNK7mUNB,http://www.wikidata.org/entity/Q488611,Hurum
i-2CptAnTqxXA4LBXL7vK9gC,http://www.wikidata.org/entity/Q2211,Malmö
i-2D6mwMLvYjVnxu8WpPCAeL,http://www.wikidata.org/entity/Q10519255,Hedvig Eleonora församling
i-2DoVBtekXdY2ysRmE7Ujm9,http://www.wikidata.org/entity/Q180756,Skåne
i-2DwRqPaUX1EqrTDhVYFKdv,http://www.wikidata.org/entity/Q10718416,Västra Vingåkers församling
i-2E2N5MpZ8PjBpuMWc4jqhz,http://www.wikidata.org/entity/Q26152,Växjö
i-2EZPhWWR7yHztg3zN2aNvh,http://www.wikidata.org/entity/Q10512441,Gävle församling
i-2EsjZToCZr14goS1NGyN4G,http://www.wikidata.org/entity/Q10700439,Torsåkers församling
i-2FMdJQN5sEzW3N7zpocbuh,http://www.wikidata.org/entity/Q10708131,Tåsjö församling
i-2FNaYK7iohKDXNcVkZh5pS,http://www.wikidata.org/entity/Q10499629,Fränninge församling
i-2FVUSVT1SC2fewMNdrmgeb,http://www.wikidata.org/entity/Q10671041,Skärvs församling
i-2G8XQvkqyYrG9q5CFVbCTE,http://www.wikidata.org/entity/Q10717362,Vänersnäs församling
i-2GE534P2Foy3WpqKPVNeW8,http://www.wikidata.org/entity/Q10430709,Björnekulla församling
i-2H8FgkqFXcNpmFeBm6LxiU,http://www.wikidata.org/entity/Q10543924,Karlstads domkyrkoförsamling
i-2HFQhchqUWZTJKFYz4PjBu,http://www.wikidata.org/entity/Q10707226,Tynnereds församling
i-2HyRdnwNjJfPPeCiQ2cg17,http://www.wikidata.org/entity/Q10726866,Åsbo församling
i-2JVaywB5mzNwVBk8D4UMn2,http://www.wikidata.org/entity/Q10727452,Örebro Nikolai församling
i-2JdXPhk44YiYbhvGr8jwcF,http://www.wikidata.org/entity/Q10437982,Burträsks församling
i-2Jx7WEDYHWuMCtxq8yapD7,http://www.wikidata.org/entity/Q10437113,Brönnestads församling
i-2KQokBVhondPT8e9ZQdmem,http://www.wikidata.org/entity/Q10516446,Halltorps församling
i-2KdtfKFSqL1vq17VFAo5fa,http://www.wikidata.org/entity/Q1754,Stockholm
i-2LoJA2RMbCfHmNjNagYNhW,http://www.wikidata.org/entity/Q10531290,Häggesleds församling
i-2LyiizD6VQaXk9cXFoZXaj,http://www.wikidata.org/entity/Q10718362,Västra Stenby församling
i-2M1688NA1hxdZmbJwUTnhY,http://www.wikidata.org/entity/Q10516394,Hallingebergs församling
i-2M2tbSjScCzwN2eeHLnCLG,http://www.wikidata.org/entity/Q10728311,Östra Hoby församling
i-2Mf7WKdcHrqFKbwM3gXcPT,http://www.wikidata.org/entity/Q10509154,Grundsunda församling
i-2Mga29XFzf3fN7ZpqSSPDr,http://www.wikidata.org/entity/Q10541412,Jungs församling
i-2Nvz3MaNEG9Cs55xRuCwqF,http://www.wikidata.org/entity/Q10726460,Ålems församling
i-2P8oL3AnBaUaam6G5cEkGw,http://www.wikidata.org/entity/Q10524016,Hille församling
i-2Q6Ao9UE6LSjxfzcJcXMob,http://www.wikidata.org/entity/Q10602808,Norrköpings S:t Olofs församling
i-2Q6ifMRXgcSC8YnnwWXxS7,http://www.wikidata.org/entity/Q54344,Skellefteå
i-2QMwPRu9aRvrGSP6ufskE5,http://www.wikidata.org/entity/Q10495353,Finja socken
i-2QUfvPky9KMrG7dAcNtDxu,http://www.wikidata.org/entity/Q1754,Stockholm
i-2QcpwTvuvuHLaCWaSG33nF,http://www.wikidata.org/entity/Q10499767,Frösthults församling
i-2QkCpqzzWZjou1ViWLScYu,http://www.wikidata.org/entity/Q10727309,Ölseruds församling
i-2R36DMEY5uNMYenbPZFmEF,http://www.wikidata.org/entity/Q10595631,Nederkalix församling
i-2RK26QMWgXmGhHao3peKAf,http://www.wikidata.org/entity/Q3433770,Adolf Fredriks församling
i-2S2fPHZMJYmFcnSzsAVSv8,http://www.wikidata.org/entity/Q10524923,Hjärsås församling
i-2SmrPgp2WQ2mrQPZdFdGHd,http://www.wikidata.org/entity/Q10656780,Ronneby församling
i-2SnUjYd3qzUQVBobN3u1Yc,http://www.wikidata.org/entity/Q22988682,Alingsås landsförsamling
i-2TWbQYA8ZvveMrG4prL575,http://www.wikidata.org/entity/Q10669768,Skara stadsförsamling
i-2TbJKggFihcEZWLdGpj6Qa,http://www.wikidata.org/entity/Q10700368,Torshälla församling
i-2TsHqq7PsF14bp7YkTxgw6,http://www.wikidata.org/entity/Q10602185,Nordmalings församling
i-2U4y4kpuQrcdDAWFBSNkPp,http://www.wikidata.org/entity/Q10699138,Toarps församling
i-2V14kMbwoqRCDnaJBAPWxH,http://www.wikidata.org/entity/Q2268842,Selångers församling
i-2V2EbVqnAgYRK1wwG246WS,http://www.wikidata.org/entity/Q10602799,Norrköpings Hedvigs församling
i-2VJazsFcETvv2ViUi5KBHJ,http://www.wikidata.org/entity/Q10712922,Varbergs församling
i-2VPEciYTYX5tZ66y4boe6F,http://www.wikidata.org/entity/Q10712350,Vallerstads församling
i-2VZTfC47GBddiryCh2CpHE,http://www.wikidata.org/entity/Q10605503,Nås församling
i-2VaWfDfYCxUNRSZbTF7vcy,http://www.wikidata.org/entity/Q10602462,Norra Härene församling
i-2WaJfXkP37vWkSWdCpY8f5,http://www.wikidata.org/entity/Q18334582,Vaxholms församling
i-2WwDvMvR68nyZfNDEjUGUE,http://www.wikidata.org/entity/Q10604970,Nysunds församling
i-2WwYPDGc9GytdbLU7PEMF8,http://www.wikidata.org/entity/Q10573005,Lövångers församling
i-2XCxJ3RXLvU5PqEuE5kuyp,http://www.wikidata.org/entity/Q2099355,Fröslunda
i-2XreRSaEpTa5DhpG61Xopj,http://www.wikidata.org/entity/Q10711099,Urshults församling
i-2YMXTmw5qRAptNNy3BUrrF,http://www.wikidata.org/entity/Q10725615,Älghults församling
