pattern,txt,replacement,elem_id,protocol_id
7090e83bd0c0a3da,   , ,i-44792234bc0fe54c,prot-200102--19
7090e83bd0c0a3da,   , ,i-8c03a8e13dbe94c9,prot-200102--19
7090e83bd0c0a3da,    , ,i-8c03a8e13dbe94c9,prot-200102--19
7090e83bd0c0a3da,     , ,i-8c03a8e13dbe94c9,prot-200102--19
7090e83bd0c0a3da,    , ,i-c2765bd605dc92bb,prot-200102--19
7090e83bd0c0a3da,    , ,i-edf2a9dfe28bead5,prot-200102--19
7090e83bd0c0a3da,   , ,i-edf2a9dfe28bead5,prot-200102--19
7090e83bd0c0a3da,   , ,i-7333cc6a2fff8520,prot-200102--19
7090e83bd0c0a3da,   , ,i-9f3a64eb778443b2,prot-200102--19
7090e83bd0c0a3da,    , ,i-cd61e142c75788bc,prot-200102--19
fcfff492e00727b6,Stockholm,Helsingfors,i-1b837d9c5f5ead69,prot-200102--19
7090e83bd0c0a3da,   , ,i-a6af049ad8d029b1,prot-200102--19
7090e83bd0c0a3da,      , ,i-381a93633397e346,prot-200102--19
7090e83bd0c0a3da,     , ,i-381a93633397e346,prot-200102--19
7090e83bd0c0a3da,        , ,i-381a93633397e346,prot-200102--19
7090e83bd0c0a3da,         , ,i-381a93633397e346,prot-200102--19
7090e83bd0c0a3da,   , ,i-2945b13bb586da36,prot-200102--19
7090e83bd0c0a3da,       , ,i-2945b13bb586da36,prot-200102--19
7090e83bd0c0a3da,        , ,i-2945b13bb586da36,prot-200102--19
7090e83bd0c0a3da,   , ,i-e983b742cca398a4,prot-200102--19
7090e83bd0c0a3da,   , ,i-3938f975fcab47f3,prot-200102--19
7090e83bd0c0a3da,    , ,i-3938f975fcab47f3,prot-200102--19
7090e83bd0c0a3da,     , ,i-3938f975fcab47f3,prot-200102--19
7090e83bd0c0a3da,   , ,i-b38f96b319e0234d,prot-200102--19
7090e83bd0c0a3da,    , ,i-b38f96b319e0234d,prot-200102--19
7090e83bd0c0a3da,      , ,i-86622daaf15299c9,prot-200102--19
7090e83bd0c0a3da,   , ,i-86622daaf15299c9,prot-200102--19
7090e83bd0c0a3da,     , ,i-86622daaf15299c9,prot-200102--19
7090e83bd0c0a3da,    , ,i-c75072cdb8fa5ab1,prot-200102--19
7090e83bd0c0a3da,   , ,i-c75072cdb8fa5ab1,prot-200102--19
7090e83bd0c0a3da,     , ,i-c75072cdb8fa5ab1,prot-200102--19
7090e83bd0c0a3da,      , ,i-c75072cdb8fa5ab1,prot-200102--19
7090e83bd0c0a3da,   , ,i-daad514eb739d841,prot-200102--19
7090e83bd0c0a3da,       , ,i-daad514eb739d841,prot-200102--19
7090e83bd0c0a3da,      , ,i-daad514eb739d841,prot-200102--19
7090e83bd0c0a3da,    , ,i-daad514eb739d841,prot-200102--19
7090e83bd0c0a3da,    , ,i-7ccca386933f1c56,prot-200102--19
7090e83bd0c0a3da,   , ,i-7ccca386933f1c56,prot-200102--19
7090e83bd0c0a3da,   , ,i-37a7b4fe4b68663c,prot-200102--19
7090e83bd0c0a3da,   , ,i-3a261275cea04952,prot-200102--19
7090e83bd0c0a3da,     , ,i-3a261275cea04952,prot-200102--19
7090e83bd0c0a3da,    , ,i-3a261275cea04952,prot-200102--19
7090e83bd0c0a3da,   , ,i-838c4883247cb34e,prot-200102--19
7090e83bd0c0a3da,    , ,i-838c4883247cb34e,prot-200102--19
7090e83bd0c0a3da,     , ,i-7f920079658e2737,prot-200102--19
7090e83bd0c0a3da,    , ,i-7f920079658e2737,prot-200102--19
7090e83bd0c0a3da,      , ,i-248ed4ec700f7214,prot-200102--19
7090e83bd0c0a3da,     , ,i-248ed4ec700f7214,prot-200102--19
7090e83bd0c0a3da,   , ,i-248ed4ec700f7214,prot-200102--19
7090e83bd0c0a3da,    , ,i-aaa0df457faa0375,prot-200102--19
7090e83bd0c0a3da,   , ,i-aaa0df457faa0375,prot-200102--19
7090e83bd0c0a3da,   , ,i-4ca13d3a56b1edd1,prot-200102--19
7090e83bd0c0a3da,    , ,i-4ca13d3a56b1edd1,prot-200102--19
7090e83bd0c0a3da,    , ,i-5e15629e490d6dae,prot-200102--19
