wiki_id,start,end,district,role,party,source,chamber,government,born,dead,gender,riksdagen_id,location,name,primary_name,party_abbrev,person_id
Q4894168,1928-01-01,1932-12-31,,talman,Socialdemokraterna,speaker,2,,1878-04-19,1952-04-18,man,,Grängesberg,eriksson,False,S,Q4894168
Q4894168,1928-01-01,1932-12-31,,talman,Socialdemokraterna,speaker,2,,1878-04-19,1952-04-18,man,,Grängesberg,johan bernhard eriksson,False,S,Q4894168
Q4895712,1965-01-01,1970-12-31,,förste vice talman,Folkpartiet,speaker,2,,1901-06-04,1990-02-13,man,,Göteborg,bertil von friesen,True,L,Q4895712
Q4895712,1965-01-01,1970-12-31,,förste vice talman,Folkpartiet,speaker,2,,1901-06-04,1990-02-13,man,,Göteborg,otto b von friessen,False,L,Q4895712
Q4895712,1965-01-01,1970-12-31,,förste vice talman,Folkpartiet,speaker,2,,1901-06-04,1990-02-13,man,,Göteborg,otto bertil von friesen,False,L,Q4895712
Q4895712,1965-01-01,1970-12-31,,förste vice talman,Folkpartiet,speaker,2,,1901-06-04,1990-02-13,man,,Göteborg,von friesen,False,L,Q4895712
Q517762,1991-09-30,1994-10-03,,talman,Moderaterna,speaker,0,,1929-06-05,2012-11-03,woman,0925516323103,Grillby,ingegerd troedsson,True,M,Q517762
Q517762,1991-09-30,1994-10-03,,talman,Moderaterna,speaker,0,,1929-06-05,2012-11-03,woman,0925516323103,Grillby,troedsson,False,M,Q517762
Q525663,1867-01-01,1872-12-31,,talman,,speaker,2,,1818-05-27,1900-02-01,man,,Karlstad,anton niklas sundberg,True,,Q525663
Q525663,1867-01-01,1872-12-31,,talman,,speaker,2,,1818-05-27,1900-02-01,man,,Karlstad,sundberg,False,,Q525663
Q525663,1867-01-01,1872-12-31,,talman,,speaker,2,,1818-05-27,1900-02-01,man,,Uppsala,anton niklas sundberg,True,,Q525663
Q525663,1867-01-01,1872-12-31,,talman,,speaker,2,,1818-05-27,1900-02-01,man,,Uppsala,sundberg,False,,Q525663
Q525663,1878-01-01,1880-12-31,,talman,,speaker,1,,1818-05-27,1900-02-01,man,,Karlstad,anton niklas sundberg,True,,Q525663
Q525663,1878-01-01,1880-12-31,,talman,,speaker,1,,1818-05-27,1900-02-01,man,,Karlstad,sundberg,False,,Q525663
Q525663,1878-01-01,1880-12-31,,talman,,speaker,1,,1818-05-27,1900-02-01,man,,Uppsala,anton niklas sundberg,True,,Q525663
Q525663,1878-01-01,1880-12-31,,talman,,speaker,1,,1818-05-27,1900-02-01,man,,Uppsala,sundberg,False,,Q525663
Q52951,1876-01-01,1880-12-31,,talman,Lantmannapartiet,speaker,2,,1820-02-15,1901-04-24,man,,Charlottenlund,arvid posse,True,,Q52951
Q52951,1876-01-01,1880-12-31,,talman,Lantmannapartiet,speaker,2,,1820-02-15,1901-04-24,man,,Charlottenlund,arvid rutger fredriksson posse,False,,Q52951
Q52951,1876-01-01,1880-12-31,,talman,Lantmannapartiet,speaker,2,,1820-02-15,1901-04-24,man,,Charlottenlund,posse,False,,Q52951
Q52964,1873-01-01,1874-12-31,,vice talman,Första kammarens protektionistiska parti,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,gustaf åkerhielm,True,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,Första kammarens protektionistiska parti,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,johan gustaf nils samuel åkerhielm af margaretelund,False,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,Första kammarens protektionistiska parti,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,åkerhielm af margretelund,False,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,Lantmannapartiet,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,gustaf åkerhielm,True,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,Lantmannapartiet,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,johan gustaf nils samuel åkerhielm af margaretelund,False,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,Lantmannapartiet,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,åkerhielm af margretelund,False,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,gustaf åkerhielm,True,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,johan gustaf nils samuel åkerhielm af margaretelund,False,,Q52964
Q52964,1873-01-01,1874-12-31,,vice talman,,speaker,2,,1833-06-24,1900-04-02,man,,Margretelund,åkerhielm af margretelund,False,,Q52964
Q53286,1899-01-01,1905-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,christian lundeberg,True,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Forsbacka,lundeberg,False,,Q53286
Q53286,1899-01-01,1905-12-31,,vice talman,högervilde,speaker,1,,1842-07-14,1911-11-10,man,,Stockholm,christian lundeberg,True,,Q53286
