person_id,end,start,government,role,born,dead,gender,riksdagen_guid,riksdagen_id,location,name
Q1347731,1977-12-31,1976-10-08,Regeringen Fälldin I,invandrarminister,1939-01-15,2018-06-08,man,,,Enskede,per ahlmark
Q1347731,1977-12-31,1976-10-08,Regeringen Fälldin I,invandrarminister,1939-01-15,2018-06-08,man,,,Enskede,per axel ahlmark
Q1347731,1977-01-11,1976-10-08,Regeringen Fälldin I,invandrarminister,1939-01-15,2018-06-08,man,,,Enskede,ahlmark
Q1347731,1977-01-11,1976-10-08,Regeringen Fälldin I,invandrarminister,1939-01-15,2018-06-08,man,,,Enskede,per ahlmark
Q1347731,1977-01-11,1976-10-08,Regeringen Fälldin I,invandrarminister,1939-01-15,2018-06-08,man,,,Enskede,per axel ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,Statsministerns ställföretädare,1939-01-15,2018-06-08,man,,,Enskede,ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,Statsministerns ställföretädare,1939-01-15,2018-06-08,man,,,Enskede,per ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,Statsministerns ställföretädare,1939-01-15,2018-06-08,man,,,Enskede,per axel ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,arbetsmarknadsminister,1939-01-15,2018-06-08,man,,,Enskede,ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,arbetsmarknadsminister,1939-01-15,2018-06-08,man,,,Enskede,per ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,arbetsmarknadsminister,1939-01-15,2018-06-08,man,,,Enskede,per axel ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,jämställdhetsminister,1939-01-15,2018-06-08,man,,,Enskede,ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,jämställdhetsminister,1939-01-15,2018-06-08,man,,,Enskede,per ahlmark
Q1347731,1978-03-07,1976-10-08,Regeringen Fälldin I,jämställdhetsminister,1939-01-15,2018-06-08,man,,,Enskede,per axel ahlmark
Q1348997,1855-03-09,1852-04-03,Regeringen Sparre,ecklesiastikminister,1795-09-10,1870-06-28,man,,,,henric reuterdahl
Q1348997,1855-03-09,1852-04-03,Regeringen Sparre,ecklesiastikminister,1795-09-10,1870-06-28,man,,,,henrik reuterdahl
Q1358123,1905-08-02,1902-07-05,Regeringen Boström II,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst fredrik vilhelm meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Boström II,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst fredrik wilhelm meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Boström II,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Boström II,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Ramstedt,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst fredrik vilhelm meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Ramstedt,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst fredrik wilhelm meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Ramstedt,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,ernst meyer
Q1358123,1905-08-02,1902-07-05,Regeringen Ramstedt,finansminister,1847-12-05,1925-01-19,man,,,Karlshamn,meyer
Q1375199,1994-10-07,1991-10-04,Regeringen Carl Bildt,energiminister,1951-08-02,,man,d7c31a4b-83e4-11d4-ae60-0050040c9b55,31005479013.0,,per erik gunnar westerberg
Q1375199,1994-10-07,1991-10-04,Regeringen Carl Bildt,energiminister,1951-08-02,,man,d7c31a4b-83e4-11d4-ae60-0050040c9b55,31005479013.0,,per westerberg
Q1375199,1994-10-07,1991-10-04,Regeringen Carl Bildt,näringsminister,1951-08-02,,man,d7c31a4b-83e4-11d4-ae60-0050040c9b55,31005479013.0,,per erik gunnar westerberg
Q1375199,1994-10-07,1991-10-04,Regeringen Carl Bildt,näringsminister,1951-08-02,,man,d7c31a4b-83e4-11d4-ae60-0050040c9b55,31005479013.0,,per westerberg
Q1388588,1875-05-11,1870-06-03,Regeringen Adlercreutz,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg
Q1388588,1875-05-11,1870-06-03,Regeringen Adlercreutz,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg dy
Q1388588,1875-05-11,1870-06-03,Regeringen Adlercreutz,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg den yngre
Q1388588,1875-05-11,1870-06-03,Regeringen Adlercreutz,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,wennerberg
Q1388588,1875-05-11,1870-06-03,Regeringen Carleson,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg
Q1388588,1875-05-11,1870-06-03,Regeringen Carleson,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg dy
Q1388588,1875-05-11,1870-06-03,Regeringen Carleson,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg den yngre
Q1388588,1875-05-11,1870-06-03,Regeringen Carleson,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Boström I,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Boström I,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg dy
Q1388588,1891-11-06,1888-02-06,Regeringen Boström I,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg den yngre
Q1388588,1891-11-06,1888-02-06,Regeringen Boström I,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Gillis Bildt,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Gillis Bildt,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg dy
Q1388588,1891-11-06,1888-02-06,Regeringen Gillis Bildt,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg den yngre
Q1388588,1891-11-06,1888-02-06,Regeringen Gillis Bildt,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Åkerhielm,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg
Q1388588,1891-11-06,1888-02-06,Regeringen Åkerhielm,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg dy
Q1388588,1891-11-06,1888-02-06,Regeringen Åkerhielm,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,gunnar wennerberg den yngre
Q1388588,1891-11-06,1888-02-06,Regeringen Åkerhielm,ecklesiastikminister,1817-10-02,1901-08-24,man,,,Växjö,wennerberg
Q152437,1973-11-03,1969-10-14,Regeringen Palme I,samfundsminister,1902-01-31,1986-02-01,woman,,,Stockholm,alva myrdahl
Q152437,1973-11-03,1969-10-14,Regeringen Palme I,samfundsminister,1902-01-31,1986-02-01,woman,,,Stockholm,alva myrdal
Q152437,1973-11-03,1969-10-14,Regeringen Palme I,samfundsminister,1902-01-31,1986-02-01,woman,,,Stockholm,alva reimer
Q152437,1973-11-03,1969-10-14,Regeringen Palme I,samfundsminister,1902-01-31,1986-02-01,woman,,,Stockholm,myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,karl gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,karl gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,karl gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,karl gunnar myrdal
Q152452,1947-04-11,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,gunnar myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,karl gunnar myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,gunnar myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,karl gunnar myrdal
Q152452,1947-04-11,1946-10-11,Regeringen Erlander I,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,gunnar myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,karl gunnar myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Äppelviken,myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,gunnar myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,karl gunnar myrdal
Q152452,1946-10-06,1945-07-31,Regeringen Hansson IV,handelsminister,1898-12-06,1987-05-17,man,,,Ålsten,myrdal
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Falun,andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Falun,gustaf andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Falun,gustaf henning andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Rasjön,andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Rasjön,gustaf andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,kommunikationsminister,1884-12-18,1961-11-12,man,,,Rasjön,gustaf henning andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Falun,andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Falun,gustaf andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Falun,gustaf henning andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Rasjön,andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Rasjön,gustaf andersson
Q1555406,1944-09-30,1939-12-13,Regeringen Hansson III,infrastrukturminister,1884-12-18,1961-11-12,man,,,Rasjön,gustaf henning andersson
Q156797,1917-03-30,1914-02-17,Regeringen Hammarskjöld,utrikesminister,1853-05-19,1938-06-01,man,,,Stockholm,k a wallenberg
Q156797,1917-03-30,1914-02-17,Regeringen Hammarskjöld,utrikesminister,1853-05-19,1938-06-01,man,,,Stockholm,ka wallenberg
Q156797,1917-03-30,1914-02-17,Regeringen Hammarskjöld,utrikesminister,1853-05-19,1938-06-01,man,,,Stockholm,knut agathon wallenberg
Q156797,1917-03-30,1914-02-17,Regeringen Hammarskjöld,utrikesminister,1853-05-19,1938-06-01,man,,,Stockholm,knut wallenberg
Q156797,1917-03-30,1914-02-17,Regeringen Hammarskjöld,utrikesminister,1853-05-19,1938-06-01,man,,,Stockholm,wallenberg
Q16649394,1885-09-25,1880-04-27,Regeringen Posse,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl fredrik hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Posse,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl fredrik lotharius hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Posse,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Posse,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Thyselius,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl fredrik hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Thyselius,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl fredrik lotharius hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Thyselius,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,carl hochschild
Q16649394,1885-09-25,1880-04-27,Regeringen Thyselius,utrikesminister,1831-09-13,1898-12-12,man,,,Bellinga,hochschild
Q16649624,1926-06-07,1924-10-18,Regeringen Branting III,kommunikationsminister,1869-06-18,1950-09-27,man,,,Västerås,larsson
Q16649624,1926-06-07,1924-10-18,Regeringen Branting III,kommunikationsminister,1869-06-18,1950-09-27,man,,,Västerås,viktor larsson
Q16649624,1926-06-07,1924-10-18,Regeringen Sandler,kommunikationsminister,1869-06-18,1950-09-27,man,,,Västerås,larsson
Q16649624,1926-06-07,1924-10-18,Regeringen Sandler,kommunikationsminister,1869-06-18,1950-09-27,man,,,Västerås,viktor larsson
Q16649624,1925-01-24,1924-10-14,Regeringen Branting III,infrastrukturminister,1869-06-18,1950-09-27,man,,,Västerås,larsson
Q16649624,1925-01-24,1924-10-14,Regeringen Branting III,infrastrukturminister,1869-06-18,1950-09-27,man,,,Västerås,viktor larsson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin II,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin II,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin II,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin II,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin III,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin III,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin III,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1982-10-08,1979-10-12,Regeringen Fälldin III,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1981-05-22,1979-10-12,Regeringen Fälldin II,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1981-05-22,1979-10-12,Regeringen Fälldin II,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1981-05-22,1979-10-12,Regeringen Fälldin II,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1981-05-22,1979-10-12,Regeringen Fälldin II,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1982-10-08,1981-05-22,Regeringen Fälldin III,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin andersson
Q1727737,1982-10-08,1981-05-22,Regeringen Fälldin III,invandrarminister,1918-10-08,2012-07-20,woman,,,,karin elisabet andersson
Q1727737,1982-10-08,1981-05-22,Regeringen Fälldin III,jämställdhetsminister,1918-10-08,2012-07-20,woman,,,,karin andersson
