Stockholms stad

    Bengt Fagerlund, kontorsföreståndare, s

Kalmar län

    Erik Krönmark, lantbrukare, h
    Fritz Börjesson, lantbrukare, c
    Anders Dahlgren, lantbrukare, c
    Stig Alemyr, rektor, s
    Eric Johanson, typograf, s
    Bernt Nilsson, ombudsman, s
    Birger Rosqvist, lots, s

Gotlands län

    Nils Franzén, lantbrukare, c
    Torsten Gustafsson, lantbrukare, c
    Bengt Arweson, fiskare, s

Blekinge län

    Hans Wachtmeister, godsägare, h
    Claes Elmstedt, lantbrukare, h
    Eric Karlsson, rörmontör, s
    Thyra Löfqvist, fru, s
    Nils Fridolfsson, ombudsman, s

Kristianstads län

    Jöns Nilsson, fruktodlare, h
    Einar Larsson, lantbrukare, c
    Anna-Lisa Nilsson, handelsträdgårdsmästare, c
    Arvid Nilsson, sågverksarbetare, fp
    Gunnar Engkvist, målarmästare, s
    Erik Johansson, arbetsförmedlingsföreståndare, s
    Gusti Gustavsson, elinstallatör, s
    Börje Nilsson, socionom, s

Malmö, Helsingborg, Landskrona och Lund

    Carl Göran Regnéll, bankdirektör, h
    Mårten Werner, komminister, h
    Rolf Clarkson, direktör, h
    Sigfrid Löfgren, disponent, fp
    Sten Sjöholm, stadsfogde, fp
    Erik Adamsson, expeditör, s
    Einar Henningsson, ombudsman, s
    Eric Svenning, redaktör, s
    Hugo Bengtsson, plåtslagare, s
    Anna-Greta Skantz, ombudsman, s
    Lennart Pettersson, universitetslärare, s
    Eric Jönsson, ombudsman, s

Malmöhus län

    Ingrid Sundberg, fru, h
    Nils G. Hansson i Skegrie, lantbrukare, c
    Stig Josefson, lantbrukare, c
    Eric Nelander, expeditionsföreståndare, fp
    Mary Holmqvist, fru, s
    Hans Jönsson, ombudsman, s
    William Björk, trädgårdsmästare, s
    John Johnsson, s

Hallands län

    Gunnar Oscarsson, kapten, h
    Johannes Antonsson, hemmansägare, c
    Alvar Andersson (politiker), lantbrukare, c
    Ingemund Bengtsson, arbetsförmedlingsföreståndare, s
    Gösta Josefsson, inspektör, s

Göteborg

    Ove Nordstrandh, lektor, h
    Bengt-Olof Thylén, disponent, h
    Bertil von Friesen, läkare, fp
    Sven Gustafson, bankkamrer, fp
    Ingegärd Frænkel, studierektor, fp
    Thorvald Källstad, rektor, fp
    Per Bergman, direktör, s
    Valter Kristensson, metallarbetare, s
    Kurt Hugosson, byråchef, s
    Doris Håvik, assistent, s
    Jan Bergqvist, universitetslärare, s
    Lars-Ingvar Sörenson, lokförare, s
    Gunvor Ryding, industritjänsteman, vpk

Göteborgs och Bohus län

    Nils Carlshamre, lektor, h
    Lennart Mattsson, distrikts-studieledare, c
    Georg Åberg, fiskeriombudsman, fp
    Henry Berndtsson, lantbrukare, fp
    Gunnar Gustafsson, ombudsman, s
    Evert Svensson, socionom, s
    Sven Olsson, ombudsman, s

Älvsborgs läns norra

    Arvid Enarsson, skogsbruksägare, h
    Robert Dockered, lantbrukare, c
    Sven Antby, lantbrukare, fp
    Hilding Johansson, fil. dr, s
    Sven Andersson, pappersbruksarbetare, s
    Ruth Andersson, kurator, s

Älvsborgs läns södra

    Tage Magnusson, disponent, h
    Arne Persson, lantbrukare, c
    Rune Carlstein, stadskassör, s
    Gördis Hörnlund, fru, s
    Bernt Ekvall, ombudsman, s

Skaraborgs län

    Rolf Eliasson, lantmästare, h
    Gunnar Larsson, lantbrukare, c
    Bengt Börjesson, kamrer, c
    Gunnar Hyltander, köpman, fp
    Nils Odhe, lantarbetare, s
    Arne Blomkvist, porslinsarbetare, s
    Eva Åsbrink, rektor, s

Värmlands län

    Leif Cassel, lantbrukare, h
    Bertil Jonasson, småbrukare, c
    Karl Erik Eriksson, lantbrukare, fp
    Arvid Eskel, länsarbetsdirektör, s
    Karl-Gustav Andersson, rörverksarbetare, s
    Holger Mossberg, järnbruksarbetare, s
    Viola Sandell, fröken, s
    Gunnar Eskilsson, kommunalarbetare, s

Örebro län

    Per-Eric Ringaby, godsägare, h
    Erik Larsson, lantbrukare, c
    Sven Andersson i Örebro, frisörmästare, fp
    Erik Brandt, pappersbruksarbetare, s
    Henry Allard, f.d. försäljningschef, s
    Marta Lindberg, fru, s
    Sture Ericson, chefredaktör, s
    Olle Aldén, förman, s

Västmanlands län

    Sven Vigelsbo, lantbrukare, c
    Carl-Gustav Enskog, linjeingenjör, fp
    Sven Hammarberg, järnbruksarbetare, s
    Olle Göransson, verkmästare, s
    Lena Hjelm-Wallén, adjunkt, s
    Eric Marcusson, ombudsman, s
    Thure Jadestig, föreståndare, s

Kopparbergs län

    Lars Eliasson, lantbrukare, c
    Karl Boo, kontrollasistent, c
    Anders Jonsson, möbelhandlare, fp
    Torsten Fredriksson, gruvarbetare, s
    Sven Mellqvist, expeditör, s
    Gudrun Sundström, fru, s
    Åke Green, studieombudsman, s
    Ingrid Bergman, fru, s

Gävleborgs län

    John Eriksson i Bäckmora, f.d. ombudsman, c
    Gunnel Jonäng, fru, c
    Olof Westberg, rektor, fp
    Sigurd Lindholm, ombudsman SAP, s
    Sven Ekström, kommunalkamrer, s
    Anders Haglund, ombudsman, s
    Gunbjörg Thunvall, fru, s
    Olle Westberg, svarvare, s
    Olle Östrand, s

Västernorrlands län

    Gunnar Hedlund, f.d. statsråd, c
    Thorbjörn Fälldin, lantbrukare, c
    Rolf Sellgren, fp
    Bernhard Sundelin, åkeriägare, s
    Bengt Wiklund, journalist, s
    Elvira Holmberg, fru, s
    Bo Martinsson, advokat, s
    Stig Olsson, ombudsman, s

Jämtlands län

    Erik Larsson i Norderön, lantbrukare, c
    Elias Jönsson, lantbrukare, fp
    Birger Nilsson, ombudsman, s
    Valfrid Wikner, länsskogvaktmästare, s
    Sven Lindberg, ombudsman, s

Västerbottens län

    Tore Nilsson, predikant, h
    Jan-Ivan Nilsson, lantbrukare, c
    Sigvard Larsson, direktör, fp
    Gösta Skoglund, f.d. statsråd, s
    Roland Brännström, verkmästare, s
    Gunnar Lundmark, jordbruksinstruktör, s
    Arne Nygren, redaktör, s

Norrbottens län

    Per Petersson i Gäddvik, hemmansägare, h
    Torsten Stridsman, ombudsman, c
    Ingvar Svanberg, rektor, s
    Erik Hammarsten, bageriarbetare, s
    Tage Hansson, socialchef, s
    Frida Berglund, s
    Karl-Erik Häll, ombudsman, s
    Eivor Marklund, fru, vpk
