year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1867,1591238.0,1591238.0,1591238.0,1591238.0,1591238.0
1868,1592931.0,1592931.0,1592931.0,1592931.0,1592931.0
1869,1580857.0,1580857.0,1580857.0,1580857.0,1580857.0
1870,1435350.0,1435350.0,1435350.0,1435350.0,1435350.0
1871,1895649.0,1895649.0,1895649.0,1895649.0,1895649.0
1872,1532646.0,1532646.0,1532646.0,1532646.0,1532646.0
1873,1824376.0,1824376.0,1824376.0,1824376.0,1824376.0
1874,1455329.0,1455329.0,1455329.0,1455329.0,1455329.0
1875,1564345.0,1564345.0,1564345.0,1564345.0,1564345.0
1876,1480530.0,1480530.0,1480530.0,1480530.0,1480530.0
1877,1514412.0,1514412.0,1514412.0,1514412.0,1514412.0
1878,1602362.0,1602362.0,1602362.0,1602362.0,1602362.0
1879,1302538.0,1302538.0,1302538.0,1302538.0,1302538.0
1880,1316188.0,1316188.0,1316188.0,1316188.0,1316188.0
1881,1003666.0,1003666.0,1003666.0,1003666.0,1003666.0
1882,1443849.0,1443849.0,1443849.0,1443849.0,1443849.0
1883,1328002.0,1328002.0,1328002.0,1328002.0,1328002.0
1884,937789.0,937789.0,937789.0,937789.0,937789.0
1885,1335744.0,1335744.0,1335744.0,1335744.0,1335744.0
1886,1333906.0,1333906.0,1333906.0,1333906.0,1333906.0
1887,1021747.0,1021747.0,1021747.0,1021747.0,1021747.0
1888,1304866.0,1304866.0,1304866.0,1304866.0,1304866.0
1889,1461603.0,1461603.0,1461603.0,1461603.0,1461603.0
1890,1185833.0,1185833.0,1185833.0,1185833.0,1185833.0
1891,1156740.0,1156740.0,1156740.0,1156740.0,1156740.0
1892,1378249.0,1378249.0,1378249.0,1378249.0,1378249.0
1893,1054098.0,1054098.0,1054098.0,1054098.0,1054098.0
1894,1282653.0,1282653.0,1282653.0,1282653.0,1282653.0
1895,1184232.0,1184232.0,1184232.0,1184232.0,1184232.0
1896,1262177.0,1262177.0,1262177.0,1262177.0,1262177.0
1897,1253249.0,1253249.0,1253249.0,1253249.0,1253249.0
1898,1292059.0,1292059.0,1292059.0,1292059.0,1292059.0
1899,992187.0,992187.0,992187.0,992187.0,992187.0
1900,1155933.0,1155933.0,1155933.0,1155933.0,1155933.0
1901,1130132.0,1130132.0,1130132.0,1130132.0,1130132.0
1902,1269410.0,1269410.0,1269410.0,1269410.0,1269410.0
1903,1362308.0,1362308.0,1362308.0,1362308.0,1362308.0
1904,1495605.0,1495605.0,1495605.0,1495605.0,1495605.0
1905,1420572.0,1420572.0,1420572.0,1420572.0,1420572.0
1906,1484967.0,1484967.0,1484967.0,1484967.0,1484967.0
1907,1588914.0,1588914.0,1588914.0,1588914.0,1588914.0
1908,1791118.0,1791118.0,1791118.0,1791118.0,1791118.0
1909,1752418.0,1752418.0,1752418.0,1752418.0,1752418.0
1910,2086481.0,2086481.0,2086481.0,2086481.0,2086481.0
1911,2128578.0,2128578.0,2128578.0,2128578.0,2128578.0
1912,2204961.0,2204961.0,2204961.0,2204961.0,2204961.0
1913,2391449.0,2391449.0,2391449.0,2391449.0,2391449.0
1914,1955109.0,1955109.0,1955109.0,1955109.0,1955109.0
1915,1834711.0,1834711.0,1834711.0,1834711.0,1834711.0
1916,1791033.0,1791033.0,1791033.0,1791033.0,1791033.0
1917,2561289.0,2561289.0,2561289.0,2561289.0,2561289.0
1918,2999756.0,2999756.0,2999756.0,2999756.0,2999756.0
1919,2832141.0,2832141.0,2832141.0,2832141.0,2832141.0
1920,3092845.0,3092845.0,3092845.0,3092845.0,3092845.0
1921,3436475.0,3436475.0,3436475.0,3436475.0,3436475.0
1922,2727106.0,2727106.0,2727106.0,2727106.0,2727106.0
1923,2282936.0,2282936.0,2282936.0,2282936.0,2282936.0
1924,2453334.0,2453334.0,2453334.0,2453334.0,2453334.0
1925,2239336.0,2239336.0,2239336.0,2239336.0,2239336.0
1926,2707307.0,2707307.0,2707307.0,2707307.0,2707307.0
1927,2648870.0,2648870.0,2648870.0,2648870.0,2648870.0
1928,2810465.0,2810465.0,2810465.0,2810465.0,2810465.0
1929,2908736.0,2908736.0,2908736.0,2908736.0,2908736.0
1930,3094375.0,3094375.0,3094375.0,3094375.0,3094375.0
1931,2699010.0,2699010.0,2699010.0,2699010.0,2699010.0
1932,3660696.0,3660696.0,3660696.0,3660696.0,3660696.0
1933,2692625.0,2692625.0,2692625.0,2692625.0,2692625.0
1934,2667217.0,2667217.0,2667217.0,2667217.0,2667217.0
1935,2115118.0,2115118.0,2115118.0,2115118.0,2115118.0
1936,2643704.0,2643704.0,2643704.0,2643704.0,2643704.0
1937,2185436.0,2185436.0,2185436.0,2185436.0,2185436.0
1938,2047723.0,2047723.0,2047723.0,2047723.0,2047723.0
1939,2477679.0,2477679.0,2477679.0,2477679.0,2477679.0
1940,2052009.0,2052009.0,2052009.0,2052009.0,2052009.0
1941,1998795.0,1998795.0,1998795.0,1998795.0,1998795.0
1942,2353748.0,2353748.0,2353748.0,2353748.0,2353748.0
1943,2384781.0,2384781.0,2384781.0,2384781.0,2384781.0
1944,2275671.0,2275671.0,2275671.0,2275671.0,2275671.0
1945,3191777.0,3191777.0,3191777.0,3191777.0,3191777.0
1946,3070821.0,3070821.0,3070821.0,3070821.0,3070821.0
1947,2336597.0,2336597.0,2336597.0,2336597.0,2336597.0
1948,3209625.0,3209625.0,3209625.0,3209625.0,3209625.0
1949,2574526.0,2574526.0,2574526.0,2574526.0,2574526.0
1950,2741600.0,2741600.0,2741600.0,2741600.0,2741600.0
1951,2988766.0,2988766.0,2988766.0,2988766.0,2988766.0
1952,2715558.0,2715558.0,2715558.0,2715558.0,2715558.0
