,protocol_id,year,pages
69,prot-197677--16,197677,122
70,prot-197677--17,197677,70
71,prot-197677--18,197677,131
72,prot-197677--19,197677,63
73,prot-197677--2,197677,2
77,prot-197677--24,197677,44
78,prot-197677--4,197677,2
79,prot-197677--3,197677,1
83,prot-197677--23,197677,117
87,prot-197677--10,197677,16
89,prot-197677--13,197677,31
90,prot-197677--20,197677,64
91,prot-197677--21,197677,45
92,prot-197677--22,197677,10
103,prot-197677--1,197677,22
104,prot-197677--12,197677,9
108,prot-197677--5,197677,1
112,prot-197677--6,197677,3
113,prot-197677--14,197677,4
114,prot-197677--15,197677,3
118,prot-197677--8,197677,23
119,prot-197677--7,197677,9
127,prot-197677--9,197677,8
