pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-78fc5014b905bd50,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-df8b257e97041e54,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-274e719536fe6168,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-69a069d104b165ef,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-866927e24f3f392e,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-159e8df9e8ba3678,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-a5ee8b891c947e86,prot-201011--93
fcfff492e00727b6,Stockholm,Helsingfors,i-43690833dd57a434,prot-201011--93
