Location, Year
Stockholm, 1980
Södertälje, 1980
Värmdö, 1980
Åmotfors, 1980
Örkelljunga, 1980
Luttra, 1964
Moholm, 1964
Varberg, 1964
Borås, 1959
Skellefteå, 1959
Antnäs, 1938
Björnlunda, 1938
Bogla, 1938
Boxholm, 1938
Dahl, 1938
Djursnäs, 1938
Dunker, 1938
Dädesjö, 1938
Eskilstuna, 1938
Falkenberg, 1938
Falla, 1938
Falun, 1938
Frägsta, 1938
Frändesta, 1938
Grängesberg, 1938
Gävle, 1938
Göteborg, 1938
Hanaskog, 1938
Hede, 1938
Huskvarna, 1938
Hällbacken, 1938
Häste, 1938
Höjen, 1938
Hönö, 1938
Igelboda, 1938
Kinna, 1938
Kramfors, 1938
Kristinehamn, 1938
Lekåsa, 1938
Lesjöfors, 1938
Luleå, 1938
Löbbo, 1938
Malmö, 1938
Mellerud, 1938
Munkedal, 1938
Norregård, 1938
Norrfors, 1938
Norrköping, 1938
Ovanmyra, 1938
Prästbol, 1938
Rasjön, 1938
Rosta, 1938
Rubbestad, 1938
Sandby, 1938
Skedsbygd, 1938
Skövde, 1938
Staxäng, 1938
Steneberg, 1938
Stockholm, 1938
Södergård, 1938
Sörsjön, 1938
Tidaholm, 1938
Toftered, 1938
Tumhult, 1938
Tungelsta, 1938
Tväråselet, 1938
Umeå, 1938
Undersvik, 1938
Vigelsbo, 1938
Vikmanshyttan, 1938
Vimmerby, 1938
Vinberg, 1938
Vännesby, 1938
Vännäsby, 1938
Västerås, 1938
Öckerö, 1938
Östersund, 1938
Luleå, 1950
Löbbo, 1950
Malmö, 1950
Svalöv, 1950
Huskvarna, 1973
Linköping, 1973
Nässjö, 1973
Trobro, 1973
Tvärålund, 1973
Örebro, 1973
Antnäs, 1936
Boxholm, 1936
Bramstorp, 1936
Bro, 1936
Burträsk, 1936
Dahl, 1936
Digernäs, 1936
Djursnäs, 1936
Dunker, 1936
Dädesjö, 1936
Eskilstuna, 1936
Falkenberg, 1936
Falla, 1936
Falun, 1936
Gahns, 1936
Grimbo, 1936
Grytterud, 1936
Grängesberg, 1936
Grönvik, 1936
Gävle, 1936
Göteborg, 1936
Hallagården, 1936
Hultsfred, 1936
Huskvarna, 1936
Hällbacken, 1936
Häste, 1936
Höjen, 1936
Hönö, 1936
Hörby, 1936
Höör, 1936
Igelboda, 1936
Kalmar, 1936
Karlskrona, 1936
Karlstad, 1936
Kasenberg, 1936
Kristianstad, 1936
Kullen, 1936
Kullenbergstorp, 1936
Lekåsa, 1936
Lindome, 1936
Luleå, 1936
Löbbo, 1936
Malmö, 1936
Mellerud, 1936
Mora, 1936
Munkedal, 1936
Mörbylånga, 1936
Norrköping, 1936
Norup, 1936
Närlinge, 1936
Ovanmyra, 1936
Rasjön, 1936
Rimforsa, 1936
Rosta, 1936
Rubbestad, 1936
Råstock, 1936
Sandby, 1936
Skedsbygd, 1936
Skellefteå, 1936
Skövde, 1936
Staxäng, 1936
Steneberg, 1936
Stenstu, 1936
Stockholm, 1936
Storgården, 1936
Surahammar, 1936
Södergård, 1936
Sörsjön, 1936
Tidaholm, 1936
Toftered, 1936
Torsby, 1936
Trollhättan, 1936
Trången, 1936
Tungelsta, 1936
Tväråselet, 1936
Umeå, 1936
Uppmälby, 1936
Vimmerby, 1936
Välsnäs, 1936
Vännäsby, 1936
Västerås, 1936
Örebro, 1936
Östersund, 1936
Antnäs, 1929
Berg, 1929
Bjälbo, 1929
Blädinge, 1929
Boa, 1929
Bonarp, 1929
Boxholm, 1929
Bramstorp, 1929
Bro, 1929
Broaryd, 1929
Broberg, 1929
Byske, 1929
Bäckland, 1929
Digernäs, 1929
Dunker, 1929
Edsbyn, 1929
Erlandsro, 1929
Eskilstuna, 1929
Falkenberg, 1929
Falla, 1929
Falun, 1929
Fritorp, 1929
Furuvik, 1929
Fårekulla, 1929
Gans, 1929
Golvvasta, 1929
Grimbo, 1929
Grängesberg, 1929
Grönvik, 1929
Gävle, 1929
Göteborg, 1929
Hallagården, 1929
Halmstad, 1929
Huskvarna, 1929
Hällbacken, 1929
Hälsingborg, 1929
Häste, 1929
Hörby, 1929
Höör, 1929
Igelboda, 1929
Kalmar, 1929
Karlskrona, 1929
Kasenberg, 1929
Katrineholm, 1929
Kristianstad, 1929
Kullen, 1929
Kullenbergstorp, 1929
Lerbäcksbyn, 1929
Linköping, 1929
Löbbo, 1929
Malmö, 1929
Mellerud, 1929
Mora, 1929
Norup, 1929
Ovanmyra, 1929
Ramsta, 1929
Rasjön, 1929
Revinge, 1929
Rimforsa, 1929
Risinge, 1929
Rotebro, 1929
Råstock, 1929
Skövde, 1929
Sollefteå, 1929
Stockholm, 1929
Storegården, 1929
Sörsjön, 1929
Trollhättan, 1929
Trången, 1929
Tumhult, 1929
Tungelsta, 1929
Uppmälby, 1929
Vadstena, 1929
Vimmerby, 1929
Väby, 1929
Västerås, 1929
Örebro, 1929
Östersund, 1929
Gävle, 1986
Göteborg, 1986
Ljung, 1986
Malmö, 1986
Osby, 1986
Pajala, 1986
Stockholm, 1986
Värmdö, 1986
Västerbottens, 1986
Malmö, 1990
Falun, 1979
Gamleby, 1979
Gävle, 1979
Hofors, 1979
Karlsborg, 1979
Klarälven, 1979
Ljung, 1979
Lycksele, 1979
Osby, 1979
Paris, 1979
Röstånga, 1979
Skellefteå, 1979
Stockholm, 1979
Storumans, 1979
Vännäs, 1979
Värmdö, 1979
Antnäs, 1933
Blädinge, 1933
Boa, 1933
Bonarp, 1933
Boxholm, 1933
Bramstorp, 1933
Bro, 1933
Broaryd, 1933
Dahl, 1933
Digernäs, 1933
Djursnäs, 1933
Dunker, 1933
Eskilstuna, 1933
Falkenberg, 1933
Falla, 1933
Falun, 1933
Fritorp, 1933
Gans, 1933
Golvvasta, 1933
Grimbo, 1933
Grängesberg, 1933
Grönvik, 1933
Gävle, 1933
Göteborg, 1933
Hallagården, 1933
Halmstad, 1933
Haverö, 1933
Hultsfred, 1933
Huskvarna, 1933
Hällbacken, 1933
Häste, 1933
Höjen, 1933
Hönö, 1933
Hörby, 1933
Höör, 1933
Igelboda, 1933
Kalmar, 1933
Karlskrona, 1933
Karlstad, 1933
Kasenberg, 1933
Kullen, 1933
Kullenbergstorp, 1933
Landeryd, 1933
Leabo, 1933
Lerbäcksbyn, 1933
Lindome, 1933
Litauen, 1933
Luleå, 1933
Lulå, 1933
Löbbo, 1933
Malmö, 1933
Mellerud, 1933
Mora, 1933
Munkedal, 1933
Mörbylånga, 1933
Norrköping, 1933
Norup, 1933
Ovanmyra, 1933
Ramsta, 1933
Rasjön, 1933
Rimforsa, 1933
Rosta, 1933
Rotebro, 1933
Rubbestad, 1933
Råstock, 1933
Sala, 1933
Skövde, 1933
Staxäng, 1933
Stockholm, 1933
Sörsjön, 1933
Tidaholm, 1933
Toftered, 1933
Trollhättan, 1933
Trången, 1933
Tungelsta, 1933
Tväråselet, 1933
Umeå, 1933
Umå, 1933
Uppmälby, 1933
Vimmerby, 1933
Välsnäs, 1933
Vännäsby, 1933
Västerås, 1933
Ängtorp, 1933
Örebro, 1933
Östersund, 1933
Antnäs, 1940
Atvidaberg, 1940
Björnlunda, 1940
Bogla, 1940
Boxholm, 1940
Dahl, 1940
Dunker, 1940
Eskilstuna, 1940
Falkenberg, 1940
Falla, 1940
Falun, 1940
Frägsta, 1940
Frändesta, 1940
Gävle, 1940
Göteborg, 1940
Hede, 1940
Hultsfred, 1940
Hällbacken, 1940
Höjen, 1940
Hönö, 1940
Igelboda, 1940
Karlskrona, 1940
Kinna, 1940
Kramfors, 1940
Kristinehamn, 1940
Lekåsa, 1940
Lindome, 1940
Luleå, 1940
Löbbo, 1940
Malmö, 1940
Mellerud, 1940
Munkedal, 1940
Mysinge, 1940
Mölndal, 1940
Norrby, 1940
Norregård, 1940
Norrköping, 1940
Norrlångträsk, 1940
Ovanmyra, 1940
Prästbol, 1940
Rosta, 1940
Rubbestad, 1940
Sandby, 1940
Skedsbygd, 1940
Skövde, 1940
Stockholm, 1940
Södergård, 1940
Sörsjön, 1940
Tidaholm, 1940
Toftered, 1940
Tumhult, 1940
Tungelsta, 1940
Umeå, 1940
Vimmerby, 1940
Vännäsby, 1940
Västerås, 1940
Åtvidaberg, 1940
Öckerö, 1940
Örebro, 1940
Östersund, 1940
Antnäs, 1937
Bogla, 1937
Boxholm, 1937
Dahl, 1937
Djursnäs, 1937
Dunker, 1937
Dädesjö, 1937
Eskilstuna, 1937
Falkenberg, 1937
Falla, 1937
Falun, 1937
Frägsta, 1937
Frändesta, 1937
Grimbo, 1937
Grängesberg, 1937
Grönvik, 1937
Gävle, 1937
Göteborg, 1937
Hallagården, 1937
Hanaskog, 1937
Haverö, 1937
Hede, 1937
Hultsfred, 1937
Huskvarna, 1937
Hällbacken, 1937
Häste, 1937
Höör, 1937
Igelboda, 1937
Julita, 1937
Kalmar, 1937
Kasenberg, 1937
Kramfors, 1937
Kristinehamn, 1937
Krogstorp, 1937
Lekåsa, 1937
Lesjöfors, 1937
Lindome, 1937
Luleå, 1937
Löbbo, 1937
Malmö, 1937
Mellerud, 1937
Munkedal, 1937
Norregård, 1937
Norrfors, 1937
Norrköping, 1937
Ovanmyra, 1937
Prästbol, 1937
Rasjön, 1937
Rimforsa, 1937
Rosta, 1937
Rubbestad, 1937
Råstock, 1937
Sandby, 1937
Skedsbygd, 1937
Skövde, 1937
Staxäng, 1937
Steneberg, 1937
Stockholm, 1937
Södergård, 1937
Sörsjön, 1937
Tidaholm, 1937
Toftered, 1937
Torngård, 1937
Tungelsta, 1937
Tväråselet, 1937
Umeå, 1937
Undersvik, 1937
Uppmälby, 1937
Vigelsbo, 1937
Vikmanshyttan, 1937
Vimmerby, 1937
Vännäsby, 1937
Västerås, 1937
Öckerö, 1937
Östersund, 1937
Gamleby, 1982
Gävle, 1982
Hjälmaren, 1982
Ljung, 1982
Röstånga, 1982
Stockvik, 1982
Visby, 1982
Värmdö, 1982
Herr, 1971
Huskvarna, 1971
Kalmar, 1971
Trollhättan, 1971
Åtvidaberg, 1971
Antnäs, 1939
Björnlunda, 1939
Boxholm, 1939
Dahl, 1939
Djursnäs, 1939
Dunker, 1939
Dädesjö, 1939
Eskilstuna, 1939
Falkenberg, 1939
Falla, 1939
Falun, 1939
Frägsta, 1939
Frändesta, 1939
Granebo, 1939
Grängesberg, 1939
Gävle, 1939
Göteborg, 1939
Hanaskog, 1939
Haverö, 1939
Hede, 1939
Hultsfred, 1939
Huskvarna, 1939
Hällbacken, 1939
Häste, 1939
Höganäs, 1939
Höjen, 1939
Hönö, 1939
Igelboda, 1939
Kastlösa, 1939
Kinna, 1939
Kramfors, 1939
Kristinehamn, 1939
Landskrona, 1939
Lekåsa, 1939
Lesjöfors, 1939
Luleå, 1939
Löbbo, 1939
Malmö, 1939
Mellerud, 1939
Munkedal, 1939
Mysinge, 1939
Mölndal, 1939
Norregård, 1939
Norrköping, 1939
Norrlångträsk, 1939
Ovanmyra, 1939
Prästbol, 1939
Rasjön, 1939
Rimforsa, 1939
Rosta, 1939
Rubbestad, 1939
Sandby, 1939
Skedsbygd, 1939
Skövde, 1939
Staxäng, 1939
Stockholm, 1939
Södergård, 1939
Sörsjön, 1939
Tidaholm, 1939
Tumhult, 1939
Tungelsta, 1939
Tväråselet, 1939
Umeå, 1939
Undersvik, 1939
Vigelsbo, 1939
Vimmerby, 1939
Vinberg, 1939
Vännäsby, 1939
Västerås, 1939
Öckerö, 1939
Örebro, 1939
Östersund, 1939
Göteborg, 1969
Ljusdal, 1969
Stockholm, 1969
Sundborn, 1969
Tvärålund, 1969
Antnäs, 1932
Baggarbo, 1932
Berg, 1932
Bjälbo, 1932
Blädinge, 1932
Boa, 1932
Boxholm, 1932
Bramstorp, 1932
Bro, 1932
Broaryd, 1932
Broberg, 1932
Brånalt, 1932
Byske, 1932
Bäckland, 1932
Digernäs, 1932
Dunker, 1932
Edsbyn, 1932
Erlandsro, 1932
Eskilstuna, 1932
Falkenberg, 1932
Falla, 1932
Falun, 1932
Fridhill, 1932
Fritorp, 1932
Furuvik, 1932
Fårekulla, 1932
Gans, 1932
Golvvasta, 1932
Grimbo, 1932
Grytterud, 1932
Grängesberg, 1932
Grönvik, 1932
Gävle, 1932
Göteborg, 1932
Hallagården, 1932
Halmstad, 1932
Huskvarna, 1932
Hällbacken, 1932
Häste, 1932
Hörby, 1932
Höör, 1932
Igelboda, 1932
Kalmar, 1932
Karlskrona, 1932
Karlstad, 1932
Kasenberg, 1932
Katrineholm, 1932
Kristianstad, 1932
Kullen, 1932
Kullenbergstorp, 1932
Lerbäcksbyn, 1932
Löbbo, 1932
Malmö, 1932
Mellerud, 1932
Mora, 1932
Munkedal, 1932
Norrköping, 1932
Ovanmyra, 1932
Prästbol, 1932
Ramsta, 1932
Rasjön, 1932
Revinge, 1932
Rimforsa, 1932
Risinge, 1932
Rotebro, 1932
Råstock, 1932
Skövde, 1932
Stenstu, 1932
Stockholm, 1932
Storegården, 1932
Storgården, 1932
Sörsjön, 1932
Tidaholm, 1932
Toftered, 1932
Trollhättan, 1932
Trången, 1932
Tungelsta, 1932
Tönnersa, 1932
Uppmälby, 1932
Vadstena, 1932
Vimmerby, 1932
Västerås, 1932
Örebro, 1932
Östersund, 1932
Antnäs, 1924
Backa, 1924
Berg, 1924
Bjuv, 1924
Blädinge, 1924
Boa, 1924
Bonarp, 1924
Boxholm, 1924
Bro, 1924
Broaryd, 1924
Broberg, 1924
Brånalt, 1924
Digernäs, 1924
Edsbäcken, 1924
Eskilstuna, 1924
Falun, 1924
Fridhill, 1924
Fritorp, 1924
Gasabäck, 1924
Golvvasta, 1924
Grimbo, 1924
Grängesberg, 1924
Grönvik, 1924
Gävle, 1924
Göteborg, 1924
Hagaström, 1924
Hallagården, 1924
Halmstad, 1924
Helgagård, 1924
Huskvarna, 1924
Hällbacken, 1924
Häste, 1924
Hörby, 1924
Hörninge, 1924
Igelboda, 1924
Kalmar, 1924
Karlskoga, 1924
Karlskrona, 1924
Kasenberg, 1924
Katrineholm, 1924
Kroken, 1924
Kullen, 1924
Kullenbergstorp, 1924
Kullersta, 1924
Kälkebo, 1924
Köping, 1924
Lummelunda, 1924
Långelanda, 1924
Malmö, 1924
Mellerud, 1924
Mora, 1924
Mölndal, 1924
Mörkhult, 1924
Norup, 1924
Ramsta, 1924
Rasjön, 1924
Revinge, 1924
Råstock, 1924
Skövde, 1924
Stockholm, 1924
Storegården, 1924
Stäringe, 1924
Södertälje, 1924
Trången, 1924
Tumbhult, 1924
Tumhult, 1924
Tungelsta, 1924
Tånga, 1924
Uppmälby, 1924
Varberg, 1924
Västerås, 1924
Vätö, 1924
Älvsered, 1924
Örebro, 1924
Östersund, 1924
Jämtland, 1989
Kiruna, 1989
Malmö, 1989
Stockholm, 1989
Värmlands, 1989
Västerbottens, 1989
Gamleby, 1978
Hofors, 1978
Husum, 1978
Hållsta, 1978
Kallhäll, 1978
Karlsborg, 1978
Karlstad, 1978
Ljung, 1978
Lund, 1978
Lönsboda, 1978
Mölndal, 1978
Stockholm, 1978
Tidaholm, 1978
Torsby, 1978
Uppsala, 1978
Värmdö, 1978
Västerbotten, 1978
Västtyskland, 1978
Åmotfors, 1978
Örebro, 1978
Östergötland, 1978
Antnäs, 1928
Arkösund, 1928
Baggarbo, 1928
Berg, 1928
Bjuv, 1928
Bjälbo, 1928
Blädinge, 1928
Boa, 1928
Bonarp, 1928
Boxholm, 1928
Broaryd, 1928
Broberg, 1928
Broddbo, 1928
Brånalt, 1928
Bäckland, 1928
Digernäs, 1928
Edsbyn, 1928
Edsbäcken, 1928
Erlandsro, 1928
Eskilstuna, 1928
Falkenberg, 1928
Falla, 1928
Falun, 1928
Fritorp, 1928
Furuvik, 1928
Gans, 1928
Golvvasta, 1928
Grimbo, 1928
Grönvik, 1928
Gävle, 1928
Göteborg, 1928
Hallagården, 1928
Halmstad, 1928
Hov, 1928
Huskvarna, 1928
Hällbacken, 1928
Hälsingborg, 1928
Häste, 1928
Högby, 1928
Hörby, 1928
Igelboda, 1928
Kalmar, 1928
Karlskrona, 1928
Kasenberg, 1928
Katrineholm, 1928
Kristianstad, 1928
Kullen, 1928
Kullenbergstorp, 1928
Kälkebo, 1928
Köping, 1928
Linköping, 1928
Löbbo, 1928
Mora, 1928
Mölndal, 1928
Norup, 1928
Nyborg, 1928
Ovanmyra, 1928
Prästbol, 1928
Ramsta, 1928
Rasjön, 1928
Revinge, 1928
Rimforsa, 1928
Risinge, 1928
Råstock, 1928
Skövde, 1928
Sollefteå, 1928
Stockholm, 1928
Storegården, 1928
Södertälje, 1928
Trollhättan, 1928
Trången, 1928
Tumhult, 1928
Tungelsta, 1928
Tönnersa, 1928
Uppmälby, 1928
Väby, 1928
Västerås, 1928
Vätö, 1928
Ystad, 1928
Östersund, 1928
Agnäs, 1975
Alingsås, 1975
Alvesta, 1975
Arvika, 1975
Borlänge, 1975
Borås, 1975
Botkyrka, 1975
Edane, 1975
Falun, 1975
Gäddvik, 1975
Gävle, 1975
Göteborg, 1975
Hamburgsund, 1975
Heden, 1975
Hjärtum, 1975
Hållsta, 1975
Hölö, 1975
Järvsö, 1975
Kalmar, 1975
Karlskoga, 1975
Kristinehamn, 1975
Kumla, 1975
Kungälv, 1975
Lidingö, 1975
Ljusdal, 1975
Lund, 1975
Lycksele, 1975
Malmö, 1975
Malung, 1975
Mora, 1975
Norrbotten, 1975
Norrköping, 1975
Nyköping, 1975
Nässjö, 1975
Ronneby, 1975
Röstånga, 1975
Skee, 1975
Skärstad, 1975
Storfors, 1975
Sunne, 1975
Säffle, 1975
Tvärålund, 1975
Tyresö, 1975
Uddevalla, 1975
Ulfsbyn, 1975
Växjö, 1975
Åmål, 1975
Örebro, 1975
Antnäs, 1921
Arboga, 1921
Backa, 1921
Berg, 1921
Bjälbo, 1921
Blädinge, 1921
Boa, 1921
Bramstorp, 1921
Broberg, 1921
Brånalt, 1921
Bäck, 1921
Bäckland, 1921
Edsbyn, 1921
Edsbäcken, 1921
Falun, 1921
Fiskeby, 1921
Fridhill, 1921
Fritorp, 1921
Funäsdalen, 1921
Gasabäck, 1921
Golvvasta, 1921
Grimbo, 1921
Grängesberg, 1921
Grönvik, 1921
Gäre, 1921
Gävle, 1921
Gårda, 1921
Göteborg, 1921
Hagaström, 1921
Hallagården, 1921
Helgagård, 1921
Herr, 1921
Hov, 1921
Huskvarna, 1921
Höör, 1921
Igelboda, 1921
Jonsjö, 1921
Kalmar, 1921
Kasenberg, 1921
Knäppinge, 1921
Kroken, 1921
Kullen, 1921
Kullenbergstorp, 1921
Kullersta, 1921
Kungsör, 1921
Kälkebo, 1921
Landeryd, 1921
Malmö, 1921
Milsmaden, 1921
Mora, 1921
Mörby, 1921
Mörkhult, 1921
Norrköping, 1921
Norup, 1921
Nyborg, 1921
Ovanmyra, 1921
Ramsta, 1921
Rasjön, 1921
Revinge, 1921
Risinge, 1921
Råstock, 1921
Rösta, 1921
Saxtorp, 1921
Skövde, 1921
Stockbolm, 1921
Stockholm, 1921
Storegården, 1921
Södertälje, 1921
Sörbo, 1921
Tofta, 1921
Trollhättan, 1921
Trången, 1921
Tumhult, 1921
Tånga, 1921
Uppmälby, 1921
Uppmälty, 1921
Vadstena, 1921
Vibberbo, 1921
Västerås, 1921
Vätö, 1921
Örebhro, 1921
Örebro, 1921
Östersund, 1921
Antnäs, 1922
Backa, 1922
Berg, 1922
Bilaga, 1922
Bjuv, 1922
Bjälbo, 1922
Blädinge, 1922
Boa, 1922
Broaryd, 1922
Broberg, 1922
Brånalt, 1922
Bäck, 1922
Digernäs, 1922
Edsbyn, 1922
Edsbäcken, 1922
Eskilstuna, 1922
Falun, 1922
Fnridhill, 1922
Fridhill, 1922
Fritorp, 1922
Gasabäck, 1922
Grimbo, 1922
Grängesberg, 1922
Grönvik, 1922
Gävle, 1922
Göteborg, 1922
Hagaström, 1922
Hallagården, 1922
Halmstad, 1922
Helgagård, 1922
Huskvarna, 1922
Hällbacken, 1922
Hökhult, 1922
Hörninge, 1922
Igelboda, 1922
Kalmar, 1922
Karlskrona, 1922
Kasenberg, 1922
Katrineholm, 1922
Kroken, 1922
Kullen, 1922
Kullenbergstorp, 1922
Kullersta, 1922
Kungsör, 1922
Kälkebo, 1922
Köping, 1922
Landeryd, 1922
Lummelunda, 1922
Långelanda, 1922
Mellerud, 1922
Mora, 1922
Mölndal, 1922
Norrköping, 1922
Norup, 1922
Nyborg, 1922
Ramsta, 1922
Rasjön, 1922
Revinge, 1922
Råstock, 1922
Skövde, 1922
Stockholm, 1922
Storegården, 1922
Stäringe, 1922
Södertälje, 1922
Trollhättan, 1922
Tumhult, 1922
Tungelsta, 1922
Tånga, 1922
Uppmälby, 1922
Vadstena, 1922
Varberg, 1922
Vibberbo, 1922
Vimmerby, 1922
Västerås, 1922
Örebro, 1922
