Location, Year
Hörninge, 1923
Igelboda, 1923
Kalmar, 1923
Karlskrona, 1923
Kasenberg, 1923
Katrineholm, 1923
Kroken, 1923
Kullen, 1923
Kullenbergstorp, 1923
Kungsör, 1923
Kälkebo, 1923
Köping, 1923
Labbemåla, 1923
Lummelunda, 1923
Långelanda, 1923
Malmö, 1923
Mora, 1923
Mölndal, 1923
Norup, 1923
Ramsta, 1923
Rasjön, 1923
Revinge, 1923
Råstock, 1923
Skara, 1923
Skövde, 1923
Stockholm, 1923
Storegården, 1923
Stäringe, 1923
Södertälje, 1923
Söderälje, 1923
Trången, 1923
Tumbhult, 1923
Tumhult, 1923
Tånga, 1923
Uppmälby, 1923
Varberg, 1923
Vibberbo, 1923
Vimmerby, 1923
Västerås, 1923
Vätö, 1923
Älvsered, 1923
Örebro, 1923
Ljung, 1977
Ljusnarsbergs, 1977
Röstånga, 1977
Stenungsund, 1977
Stockholm, 1977
Uddevalla, 1977
Åmål, 1977
Heden, 1967
Tvärålund, 1967
Uppsala, 1967
Kolmården, 1992
Malmö, 1992
Örebro, 1992
Gällivare, 1983
Gävle, 1983
Ljung, 1983
Malmö, 1983
Norge, 1983
Röstånga, 1983
Sundsvall, 1983
Visby, 1983
Värmdö, 1983
Åmål, 1983
Övertorneå, 1983
Ljung, 1987
Malmö, 1987
Stockholm, 1987
Stockvik, 1987
Sundbyberg, 1987
Osby, 1956
Dahl, 1953
Malmö, 1953
Mysinge, 1953
Alfhöjd, 1920
Antnäs, 1920
Arboga, 1920
Aspa, 1920
Backa, 1920
Berg, 1920
Bjälbo, 1920
Boa, 1920
Bonarp, 1920
Bramstorp, 1920
Brattfors, 1920
Broberg, 1920
Brånalt, 1920
Bäckland, 1920
Dombäcksmark, 1920
Edsbäcken, 1920
Eliantorp, 1920
Erlandsro, 1920
Falun, 1920
Fridhill, 1920
Fritorp, 1920
Frosterud, 1920
Funäsdalen, 1920
Gasabäck, 1920
Golvvasta, 1920
Grimbo, 1920
Grängesberg, 1920
Gäre, 1920
Gävle, 1920
Gårda, 1920
Hagaström, 1920
Huskvarna, 1920
Hässlås, 1920
Hökhult, 1920
Igelboda, 1920
Jönköping, 1920
Kalmar, 1920
Knapasjö, 1920
Kniäppinge, 1920
Knäppinge, 1920
Kollungeröd, 1920
Kosta, 1920
Kroken, 1920
Kuilenbergstorp, 1920
Kullen, 1920
Kullenbergstorp, 1920
Kullersta, 1920
Kungsör, 1920
Källeräng, 1920
Landeryd, 1920
Ljusterö, 1920
Långelanda, 1920
Malmö, 1920
Milsmaden, 1920
Mora, 1920
Norup, 1920
Nyborg, 1920
Olstorp, 1920
Oviken, 1920
Ramst, 1920
Ramsta, 1920
Revinge, 1920
Rättvik, 1920
Råstock, 1920
Rösta, 1920
Skottlandshus, 1920
Skövde, 1920
Sollefteå, 1920
Stockholm, 1920
Södertälie, 1920
Södertälje, 1920
Tofta, 1920
Tumbhult, 1920
Tumhult, 1920
Tånga, 1920
Uppmälby, 1920
Vibberbo, 1920
Vittinge, 1920
Västerås, 1920
Örebro, 1920
Alfredshem, 1942
Alsen, 1942
Bakeröd, 1942
Dahl, 1942
Doverstorp, 1942
Eskilstuna, 1942
Falkenberg, 1942
Falla, 1942
Fjäle, 1942
Frägsta, 1942
Frändesta, 1942
Gisselås, 1942
Granebo, 1942
Grängesberg, 1942
Grönvik, 1942
Gävle, 1942
Göingegården, 1942
Göteborg, 1942
Hede, 1942
Hedensbyn, 1942
Hällbacken, 1942
Hällefors, 1942
Hälsingborg, 1942
Igelboda, 1942
Kalix, 1942
Karlstad, 1942
Kastanjegården, 1942
Kinna, 1942
Kristinehamn, 1942
Kullenbergstorp, 1942
Landskrona, 1942
Lekåsa, 1942
Ljungskile, 1942
Luleå, 1942
Löbbo, 1942
Malmö, 1942
Mejstad, 1942
Mellerud, 1942
Mölndal, 1942
Norregård, 1942
Norrlångträsk, 1942
Ovanmyra, 1942
Prästbol, 1942
Rosta, 1942
Rubbestad, 1942
Rådom, 1942
Sandby, 1942
Skediga, 1942
Skedsbygd, 1942
Skutskär, 1942
Skövde, 1942
Spånstad, 1942
Steneberg, 1942
Stockholm, 1942
Södergård, 1942
Sörsjön, 1942
Tenhult, 1942
Tidaholm, 1942
Tungelsta, 1942
Umeå, 1942
Undersvik, 1942
Uppsala, 1942
Vigelsbo, 1942
Vikmanshyttan, 1942
Vimmerby, 1942
Vännäsby, 1942
Västerås, 1942
Åtvidaberg, 1942
Öckerö, 1942
Östersund, 1942
Alfredshem, 1945
Alingsås, 1945
Aspeboda, 1945
Bakeröd, 1945
Bogla, 1945
Dahl, 1945
Degerfors, 1945
Doverstorp, 1945
Dunker, 1945
Dädesjö, 1945
Ersbacken, 1945
Eskilstuna, 1945
Falla, 1945
Falun, 1945
Frändesta, 1945
Gisselås, 1945
Granebo, 1945
Grängesberg, 1945
Grönvik, 1945
Gävle, 1945
Göingegården, 1945
Göteborg, 1945
Haverö, 1945
Hedensbyn, 1945
Hällbacken, 1945
Höganäs, 1945
Järvsand, 1945
Kalix, 1945
Karlstad, 1945
Kastanjegården, 1945
Kieryd, 1945
Kinna, 1945
Kramfors, 1945
Kristinehamn, 1945
Landafors, 1945
Landators, 1945
Landskrona, 1945
Lekåsa, 1945
Ljungskile, 1945
Luleå, 1945
Lund, 1945
Luttra, 1945
Löbbo, 1945
Malmgrava, 1945
Malmö, 1945
Mellerud, 1945
Munkaljungby, 1945
Mysinge, 1945
Mölndal, 1945
Norrby, 1945
Norregård, 1945
Norrfors, 1945
Norrköping, 1945
Rossbol, 1945
Rosta, 1945
Rådom, 1945
Sandby, 1945
Skediga, 1945
Skedsbygd, 1945
Skegrie, 1945
Skoglösa, 1945
Skutskär, 1945
Skövde, 1945
Spånstad, 1945
Stavsund, 1945
Stenkyrka, 1945
Stockholm, 1945
Stuvsta, 1945
Sörsjön, 1945
Tidaholm, 1945
Tungelsta, 1945
Umeå, 1945
Varuträsk, 1945
Vikmanshyttan, 1945
Vilhelmina, 1945
Vimmerby, 1945
Vinberg, 1945
Västerås, 1945
Växjö, 1945
Öckerö, 1945
Örebro, 1945
Östersund, 1945
Alfredshem, 1946
Aspeboda, 1946
Bakeröd, 1946
Bogla, 1946
Dahl, 1946
Degerfors, 1946
Doverstorp, 1946
Dunker, 1946
Ersbacken, 1946
Eskilstuna, 1946
Falun, 1946
Frändesta, 1946
Gisselås, 1946
Granebo, 1946
