swerik_id;surname;first_name;iort
i-MeSYWWPmxrvbS4Cz76xahd;Ahlgren;Magnus;Sundsvall
i-EJPrKn1TJ5XUBRL6LjpF78;Ahlin;Zacharias;Kalmar
i-FbgXPMzNKnueZcDyW5q2Fi;Ahlfvengren;Fredrik Elias;Halmstad
i-FbgXPMzNKnueZcDyW5q2Fi;Ahlfvengren;Fredrik Elias;Stockholm
i-EwkQLpEWsYinedez1xYHNE;Ahlkvist;K Emil;Jordholmen
i-8aNTXCV4f9MdU7Dz15ZXyB;Ahlmark;Per A;Enskede
i-8aNTXCV4f9MdU7Dz15ZXyB;Ahlmark;Per A;Stockholm
i-AWmb2DrpURM4UqQM5TA3tU;Ahlsten;C Johan;Alva
i-AWmb2DrpURM4UqQM5TA3tU;Ahlsten;C Johan;Hemse
i-Snmo5qUtqba1J4NZAGdLtv;Ahlstrand;G Albin;Umeå
i-L9x9NkF1idfQrSZjXw8xc1;Ahlström;Olof C;Malmö
i-HzJTyfdEMJqqkuVZAqCbS7;Ahrenberg;Henrik E;Göteborg
i-7dXB2bX4gzQfxZssihjzGj;Albertsson;A Eskil A;Tenhult
i-Jf1UkwtCa6bibgVKynTwv5;Aldén;A Olle;Degerfors
i-CEfqbpA8oaZDiGioappJrM;Alemyr;Stig R;Vimmerby
i-BxQULY1dLx35woPC8vEGQ;Alexanderson;Carl A;Ekensholm
i-UtfnBCgkCG8PMs7QCCsMXj;Alexanderson;K Erik;Lidingö
i-K6NtRe4xJoLnCuhYhjQkmz;Alexanderson;Nils E;Stockholm
i-6PNMq69ixYg8GAMCPHrP4c;Alexandersson;Adolf E;Öckerö
i-Y9YbqDh3YmC3zyXjWiT1re;Alin;Oscar J;Uppsala
i-9tSgmQkmz5TxiEpuaWLf1v;Alkman;Edvard P;Göteborg
i-9tSgmQkmz5TxiEpuaWLf1v;Alkman;Edvard P;Stenkullen
i-Kv4hUGrgspgE3ZEpZrgHtZ;Allard;K Å Henry;Örebro
i-T2MQwweEV4czixyLDV86HQ;Alm;Ulla G;Stockholm
i-P2BT9dmwBh4BDNnNdWYpFm;Almén;August T;Stockholm
i-NYZezSxBgjPTPYNgjDJ97Z;Almén;Frans E;Göteborg
i-B8NxNnu1t7iC4QAwR3ccxG;Almer;Johan S;Varberg
i-ULRNtLXGX4tsvSm3vfuhaF;Almgren;Fredrik A;Stockholm
i-9vMXbtY8tuv8GJ8te4me1T;Almgren;N O Harald;Norrahammar
i-9PLN35eAW11kpHa4aVJ25k;Almgren;Oscar M;Stockholm
i-9XMd1rpWw6C27numwL2pi2;Almkvist;N John F;Skellefteå
i-9XMd1rpWw6C27numwL2pi2;Almkvist;N John F;Äppelviken
i-T2MQwweEV4czixyLDV86HQ;Alm-Lindström;Ulla G;Stockholm
i-Bk5ay6tFvBHcejdonHYHfa;Almquist;Helge K H;Göteborg
i-Bk5ay6tFvBHcejdonHYHfa;Almquist;Helge K H;Stockholm
i-3okN64m9y63KYdwdoN53t3;Almqvist;G Fridolf;Stockholm
i-8TzJUUwB2wuYC3KT53XoK5;Almqvist;J Gustaf;Jönköping
i-Dyi69yYxyRyYMchmmZjbQU;Almqvist;Knut F G;Janslunda
i-wVG4QF5ZkrTTo5uHxD7ED;Almqvist;Ludvig T;Stockholm
i-CyuvXZeUkrDukkDafko1Nk;Almqvist;E Victor;Umeå
i-N9nLJpQ9eHQNFu593JtF3;Almryd;Hans G B;Hemmestavik
i-87LPANBiBX7wLgJ4qtMBss;Almström;A F Robert;Stockholm
i-FCiENqoUbHX3BSFketWBxb;Alsterlund;Magnus;Luleå
i-BPGYb4sQuEg2EmBWT8DkA2;Alströmer;Jonas;Östad
i-A1rXJfgfS6b5QQQgwn3Jm8;Alströmer;C J Oscar;Halmstad
i-BPGYb4sQuEg2EmBWT8DkA2;Alströmer;C Thore J;Östad
i-HaF5q92oQDHP1ddwWQQoVv;Altin;Lars Magnus;Västerås
i-Dzc5xrZoX6PeTCJ7wgLJxy;Alvén;Hildur M;Borlänge
i-2iv2nn2jyQ2zuGPcP4w62p;Alvin;Lars A;Älvdalen
i-Rhdqesan8FWyp9RChACHAZ;Amilon;Johan;Everöd
i-KQ6FSWjk4pJuTAgNo4uUGd;Amnéus;Herman N E;Mariestad
i-CN5GcrTCAiACbxzR19qgkc;Amundson;Ruth K M;Ödsmål
i-T4wy2Pjh3LX6SoxPxVykXf;Ander;J August;Hårsbäck
i-QXLMYc7as75PMkwgVjSGm;Anderberg;H Rudolf;Vollsjö
i-XGcmQkRYP2reGmaum7rqxm;Anderson;F Albert;Stockholm
i-TxRCzzgetP7718TE7usGwh;Anderson;Anders;Råstock
i-TxRCzzgetP7718TE7usGwh;Anderson;Anders;Björkbrotorp
i-NrbxPf13DGzMk6GuWQTaKk;Anderson;Carl Albert;Bromma
i-NrbxPf13DGzMk6GuWQTaKk;Anderson;Carl Albert;Stockholm
i-K9n68dBnLCt3xWtXN75tzY;Anderson;Carl Arvid;Storegården
i-KNT8sbBUEiy9xtqXCbHDcY;Anderson;A August;Västanå
i-Au5MnYkbRDPQPetSRettaC;Anderson;C Edor;Knapasjö
i-JVA2nRuEp8my7er9qD7K3g;Anderson;S Erik;Hägelåkra
i-AJYMmToguz9cYJxmuCbrBw;Anderson;A Gustaf;Himmelsby
i-SfDZtdC5fgukcXJsiu8J9U;Anderson;A Ivar;Linköping
i-SfDZtdC5fgukcXJsiu8J9U;Anderson;A Ivar;Stockholm
i-8UUJ71h6gNwWtDkqJCDDTY;Anderson;G Iwar;Arboga
i-P7LkEj4bM3m8g8mZpPMrRi;Anderson;Jan;Hälla
i-LUnWpAjcsRaRqb78mxeJ15;Anderson;Johan;Tenhult
i-CTcLzM4zKUFTMMReYZVn2H;Anderson;Johan Eric;Säby
i-S5rKxnCffj3nRTzWbh5BSo;Anderson;John R;Sundsvall
i-PAHJzN9wsrWwnypt4CGE6R;Anderson;Lars;Landa
i-HbEYktmpx71DfmfVouRDm7;Anderson;Nils A;Lydde
i-JSD38mWT7YyULoZeavmfbP;Anderson;Olof;Hasselbol
i-GL3JTttgTxq2EV1j2intyf;Anderson;Otto;Linköping
i-ApMdb3k8RRd3uNyrUKrRGM;Anderson;Per;Arvika
i-6sbVRZAYRDNeiVS9WQSU1e;Anderson;Ruth M H;Lerum
i-Ww8VV8hxCYiEXY5qDTZs5Z;Andersson;K Abel M;Löbbo
i-V1bqzKG5tjzCnjgf3gxH5V;Andersson;J Albert;Valnäs
i-5pr5VQuvrGzM73C1j5AbEk;Andersson;J Albin;Myggenäs
i-KfgM2FZ3uNJVb6p46dZGxo;Andersson;Alf E;Essvik
i-KV7mioxB7qA6XayCejfVpP;Andersson;Alfred;Bussjö
i-4MvyyFcp9M1FhFmvshYivm;Andersson;Alfred;Munka-Ljungby
i-4hqWDFbAa193mP1bNHRgWx;Andersson;A Alfred;Fallsberg
i-3BzZTfoTmKWciTnZwiHZVs;Andersson;J Allan;Tungelsta
i-XTyDCnHnwEJ8LVRHwZJ9Eo;Andersson;M Alvar;Knäred
i-RRvw1Cauq7s774Lr5WANeu;Andersson;Anders;Backgården
i-6b6J34opG3URWRMtHCcLDK;Andersson;Anders;Greby
i-PgXfR2zKZgLLu8shzXwkKb;Andersson;Anders;Hakarp
i-CyRoxEq2KbDs42MtkNnNiv;Andersson;Anders;Intagan
i-DgHXCqSBg6qSwLFdwpyqAj;Andersson;Anders;Lund
i-MoZdsgTb7diW9mtbdDKVTm;Andersson;Anders;Markaryd
i-33FPZeFzgAhBMq7wzR6Vq9;Andersson;Anders;Nyckelby
i-C51LtkfFfJgLEsjX8iE6cg;Andersson;Anders;Olsbenning
i-KXh1eSeaS6sBLLWB9poKMm;Andersson;Anders;Smedbyn
i-KS58so6H4M5bMSPJdwHVFU;Andersson;Anders;Torp
i-QNtjoW5Vxzee49kvmSyDsT;Andersson;Anders B;Falkenberg
i-9ig2PDavZA2bYmLyk9DYjw;Andersson;Anders Peter;Helgesta
i-JBnym2qN2RLAd2Do5anQQh;Andersson;Andreas;Gisselås
i-8j82sF4GCnjMnUGPxpkSC1;Andersson;Andreas;Mosserudstorp
