wiki_id;surname_iort;first_name;born;references
Q5737042;Forsell i Vänersborg; Tullius W;1840-12-12; 4:224
Q5779149;Gylfe i Krylbo; Axel E;1883-07-19; 5:64
Q104850932;Gyllenhaal af Härlingstorp i Härlingstorp; L Herman;1821-03-24; 4:322
Q5779563;Gyllensvaan i Sund; J August;1821-03-08; 4:87
Q5781669;Haeggblom i Slakmöre; E Einar;1893-04-30; 2:276
Q113727391;Hagberth i Klinta gård; N Elof;1885-10-10; 3:215
Q5782446;Hagfält i Söder-Råda; Edvard J:son;1873-02-23; 1:310
Q5784939;Hallin i Stockholm; Olof F;1821-03-03; 5:65
Q4952454;Hamrin-Thorell i Uppsala; Ruth L;1903-06-20; 1:312
Q5788293;Hansén i Gammelstad senare Luleå; David;1880-10-06; 5:417
Q5788852;Hanson i Vällingby; Per-Olof;1918-05-25; 1:99
Q6082121;Hansson i Rubbestad senare Vrine; Axel L;1888-10-02; 4:230
Q5789075;Hansson i Vännäs; Eric;1880-10-28; 5:351
Q5789087;Hansson i Hönö; Frans E;1890-10-20; 4:90
Q5789103;Hansson i Göteborg; Gustaf Henry;1894-11-19; 4:90
Q5789472;Hansson i Önnerup; Måns;1834-01-23; 3:216
Q5789652;Hansson i Önnarp; Stig F;1913-02-06; 3:217
Q5789691;Hansson i Piteå; Tage T;1915-07-07; 5:418
Q5792794;Hasselquist i Kalmar; Carl J;1830-09-04; 2:278
Q5794206;Hay i Jönköping; A Bernhard;1835-01-07; 2:157
Q5794559;Hazelius i Stockholm; Janne A;1797-04-18; 5:351
Q5795345;Hedblom i Enskede; Staffan B A;1924-09-03; 1:102
Q5795357;Hedborg i Skellefteå; S Axel A;1861-06-09; 5:352
Q5795494;Hedenberg i Hultsfred; Oscar G;1819-05-01; 2:279
Q5795500;von Hedenberg i Stockholm senare Karlskrona o åter Stockholm; Robert G;1830-10-30; 5:352
Q5795653;Hedenstierna i Skövde senare Stockholm; Ernst R W;1847-09-28; 4:323
Q29611748;Hedin i i Mariestad; John E;1871-05-28; 4:323
Q5796046;Hedlund i Göteborg; Henrik;1851-04-18; 4:93
Q5796149;Hedlund i Sala; A Rune;1917-11-30; 1:436
Q5796416;Hedqvist i Nynäshamn; A Sven;1903-02-03; 1:238
Q5796542;Hedström i Gäddvik; A Helmer;1873-05-21; 5:418
Q5796603;Hedström i Västby; Per-Erik;1861-01-01; 5:225
Q5796893;Hegardt i Göteborg; Fredrik B;1856-05-24; 4:94
Q5796905;Hegardt i Latorp senare Thorsätra; J Henrik B;1869-11-01; 4:490
Q5798582;Helger i Gåsborn senare Lidingö Villastad; Nils;1873-11-02; 4:406
Q5798617;Helgesson i Stockholm; H I Ragnar;1892-12-16; 1:103
Q5798796;Hellberg i Göteborg; Arvid;1890-12-31; 4:94
Q5798813;Hellberg i Lycksele; Erik F;1856-01-02; 5:353
Q5801319;Henrikson i Göteborg; C Torsten;1906-08-03; 4:95
Q5801482;Henriksson i Stockholm; N Torsten;1903-09-09; 1:105
Q5802093;Herdin i Falun; Oskar B;1857-10-13; 5:67
Q4353611;Hierta i Stockholm; Lars J;1801-01-23; 1:108
Q5805514;Hilding i Gävle; Per;1923-09-18; 5:140
Q5806065;Hillgård i Halmstad; Karl;1893-08-27; 2:383
Q5809276;von Hofsten i Sund; S Erland;1816-12-13; 4:490
Q5810003;Hollander i Borås; Anders Gustaf;1818; 4:234
Q5811536;Holmgren i Hillebola; Karl E;1845-12-14; 1:315
Q5811722;Holmner i Gunnarn; F Emanuel;1872-03-27; 5:354
Q4954629;Holmström i Linköping; Britta;1911-04-08; 2:77
Q5813810;von Horn i Hjälmarsnäs; L Robert;1879-05-23; 4:491
Q5813816;Horn af Rantzien i Visby; N H Rudolph B;1825-11-20; 2:339
Q5371288;Hultman i Stenshammar; A Emil;1880-12-25; 5:141
Q5816998;Hummel i Torsjö; Axel F;1860-03-15; 2:215
Q2744062;Höjer i Stockholm; Gerda;1893-07-23; 1:113
Q5821422;Hörstadius i Borås; Nils W;1894-11-25; 4:236
Q5823461;Ingmansson i Stensnäs senare Stockholm; John;1845-02-17; 3:56
Q5824288;Isacson i Horndal; E Birger J;1917-03-09; 5:68
Q5824448;Isaksson i Jungskola; J Torsten;1898-02-20; 4:326
Q5826490;Jacobsson i Tobo; E Edvin;1893-11-10; 1:316
Q5826522;Jacobsson i Malmö; Gösta;1904-04-30; 3:222
Q5884801;Johannesson i Stockholm senare Johanneshov; Ewald G V;1909-01-16; 1:114
Q5885884;Johansson i Kalmar; C Einar K;1889-04-14; 2:283
Q5886601;Johansson i Stockholm; Johan;1826-02-28; 1:116
Q5889499;Johnsson i Stockholm senare Bromma; Johan W;1894-09-19; 1:117
Q5901374;Karlsson i Vadstena; O Gottfrid;1882-02-06; 2:83
Q5912121;Kjellén i Älgabäck; Johan F;1881; 2:166
Q5924646;Kruse i Göholm; Ludvig M;1857-07-21; 3:61
Q5924912;Krugel i Sköllersta; Robert F;1886-12-06; 4:496
Q5927249;Kuylenstjerna i Kålltorp; Jan C;1813-06-06; 4:333
Q5927887;Kyling i Lyrestad senare Johanheshov; K Folke F;1901-12-20; 1:124,  4:334
Q5928335;Källenius i Stockholm; Sten I R;1912-01-20; 1:125
