wiki_id;surname_iort;first_name;born;references
Q19975949;Ekman i Jönköping senare Stocksund; Karl J;1863-04-11; 2:147
Q117035450;Gustavson i Sala senare Västerås; David E;1898-02-27; 1:434
Q117221213;Hansson i Ormastorp; Nils;1823-04-30; 3:123
Q117221276;Hansson i Vallberga; Peter;1856-04-26; 2:380
Q117221366;Huss i Ekhult; Magnus;1807-10-22; 2:78
Q5824384;Isaksson i Nygården; Daniel;1816-03-14; 4:236
Q5824491;Isberg i Norrtälje; Fredrik G;1813-07-10; 1:241
Q5885281;Johansson i Fägerhult; Anders;1826-06-25; 2:161
Q117221619;Johansson i Rimforsa; G Edvin N;1889-09-02; 2:80
Q117222379;Johansson i Onsjö senare Larv; Johannes;1895-05-22; 4:329
Q116687298;Johansson i Bronäs; Nils S;1902-10-19; 4:330
Q6140081;Johnsson i Norr-Kärra; Johan Petter;1838-10-08; 4:101
Q5889587;Johnsson i Remmarlöv; Pehr;1818-01-05; 3:224
Q117222503;Jonasson i Gullaboås; Jonas;1817-05-12; 2:285
Q5891393;Jonsson i Sundsbyn; Anders;1807-08-06; 4:412
Q5926472;Kunze i Göteborg; Herman G E;1863-09-27; 4:107
Q29034014;Lamberg i Ystad; Peter C;1926-07-14; 3:228
Q40759724;von der Lancken i Kristianstad; C Ehrenfried;1770-08-20; 3:131
Q5937483;Larsson i Rönnsbol; Gustaf;1813-11-24; 1:246
Q5956515;Lindh i Säffle; Oscar W;1847-05-18; 4:419
Q111916168;Lindskog i Billinge; C J Fritiof;1879-07-16; 3:235
Q5966083;Lundblad i Eskilstuna; E Albert;1836-05-13; 1:382
Q5966794;Lundgren i Göteborg; Wilhelm R B;1856-05-24; 4:121
Q5967728;Lundström i Piteå; Axel;1815-11-02; 5:426
Q5969231;Låftman i Billingsfors; J J August;1841-02-13; 4:255
Q5969775;Lönnberg i Linköping; Lars Johan;1816-03-11; 2:92
Q5985428;Metzén i Skänninge; F Wilhelm;1832-05-12; 2:92
Q108333808;Montgomery-Cederhielm i Segersjö; Robert N G;1851-05-08; 4:502
Q6010969;Nilsson i Viby; Lars;1818-12-12; 1:446
Q98393527;Nordenskjöld i Sjögelö; O Gustaf;1831-06-09; 2:172
Q112036699;Norrby i Åkersberga; J Sören;1937-04-12; 1:258
Q111728193;Ohlsson i Järrestad senare Gladsax o Simrishamn; A William;1895-06-02; 3:144
Q6042591;Persson i Tofta; Anders;1829; 2:397
Q6160772;Persson i Vä; Anders;1816-11-07; 3:145
Q6043249;Persson i Häljebol; Lars;1833-11-28; 4:432
Q117039047;Petersson i Gärestad; H Alfred;1870-12-09; 3:72
Q6161303;Petersson i Möllstorp; O Fredrik;1828-06-17; 2:302
Q2086269;von Platen i Vettinge; Philip B;1732-03-14; 3:148
Q6056573;Printzensköld i Jönköping; Axel;1828-08-03; 2:178
Q114729447;Risberg i Kållered; Bo H;1912-08-26; 4:140
Q6078545;Rooth i Helsingborg; C J Fritz;1816-07-15; 3:266
Q6082517;Rudberg i Halltorp; Erik J;1821-06-05; 2:306
Q6084488;Ruthberg i Grisbacka; Johan Olof;1824-02-11; 5:372
Q6085142;Rydberg i Korsgården; N August;1824-03-12; 4:347
Q6166587;Rönblad i Härnösand; Georg Peter;1812-08-29; 5:253
Q6086793;Rönnberg i Stocked; Olof;1837-01-26; 5:253
Q6166851;Sahlström i Utterbyn; Per;1834-10-05; 4:437
Q6171696;Segerlind i Uddersrud; Carl Fedrik;1829-02-02; 4:440
Q6177454;Sjöcrona i Helsingborg; H Aron;1825-10-28; 3:269
Q6168498;Schmidt i Partille; Herrman;1811; 4:147
Q6169091;von Schoultz i Göteborg; H O Edvard;1815-05-06; 4:147
Q6178395;Sjögreen i Mariannelund; Christian W;1830; 2:183
Q6178565;Sjögren i Lund; Johan M;1826-09-24; 3:270
Q6178560;Sjögren i Asarum; Johan P;1820; 3:76
Q6179348;Skagerberg i Annefors; Gustaf;1889-01-21; 5:91
Q117018060;Smedh i Bergkarlås; Herman D;1891-09-05; 5:92
Q6188899;Stenbäck i Kullinge; C Bleckert;1836-08-06; 1:454
Q6188945;Stendahl i Eldsberga; Lars O;1811-10-05; 2:401
Q6190734;Stjernstedt i Tisslinge; Johan L W;1865-07-25; 1:268
Q6190864;Stockenberg i Halmstad; P Thure G;1826-07-30; 2:401,  3:151
Q6194030;Styffe i Stockholm; Knut;1824-01-13; 1:175
Q6194477;Stånggren i Linköping; M Fredrik;1829-08-19; 2:108
Q6331198;Sundberg i Haparanda; Gustaf;1845-02-17; 5:441
Q6199804;Swartz i Norrköping; J Erik;1817-05-17; 2:110
Q6201341;Säve i Karlstad; Teofron A;1842-07-24; 4:443
Q6205904;Tenger i Västervik; Carl F R;1827-10-20; 2:312
Q6208993;Thorburn i Uddevalla; Robert M;1828-04-27; 4:160
Q116146163;Thörnberg i Ronneby; R Wiktor;1879-08-29; 3:80
Q48704901;af Trolle i Karlskrona; Georg;1834-12-17; 3:80
Q6216096;Trägårdh i Ystad; Sven;1814-08-13; 3:284
Q6216492;Tufwesson i Lur; Tufwe;1827-09-15; 3:153
Q6218905;Uhlén i Malmö; Axel;1885-04-08; 3:285
Q6228885;Wahlgren i Stora Dicka; Johan;1854-10-06; 5:98
Q6229360;Walberg i Alingsås; S Peter;1826-09-24; 4:279
Q6230443;Wallén i Nyebro; A M Gullick;1805-08-08; 2:405
