Unnamed: 0;wiki_id;surname_iort;first_name;page_ref;page_ref2;iort;born
524;Q5581563;Bonde i Fållnäs; Knut P; 1:226;;i Fållnäs;1815-03-09
843;Q19975949;Ekman i Jönköping senare Stocksund; Karl J; 2:147;;i Jönköping senare Stocksund;1863-04-11
1142;Q116199773;Gilljam i Stockholm; Gustaf F; 1:91; 5:135;i Stockholm;1791-08-04
1166;Q5771035;Grenholm i Stockholm; Erik Magnus; 5:298;;i Stockholm;1818-11-05
1170;Q5867622;Gripenstedt i Nynäs senare Revlinge; Carl G; 1:369;;i Nynäs senare Revlinge;1853-06-23
1222;Q117035450;Gustavson i Sala senare Västerås; David E; 1:434;;i Sala senare Västerås;1898-02-27
1232;Q5779431;Gyllenstierna af Lundholm i Bjärsgård; Eric; 3:121;;i Bjärsgård;1882-03-27
1252;Q5782356;Hagerman i Stockholm; Henrik L:son; 1:96;;i Stockholm;1822-09-30
1255;Q99006280;Hagman i Linköping; Josef; 2:71;;i Linköping;1885-09-26
1321;Q117085828;Hansson i Örebro; Gustav A.; 4:488;;i Örebro;1896
1323;Q116690088;Hansson i Rättvik; Hans; 5:67;;i Rättvik;1889-01-05
1326;Q5789203;Hansson i Klovsta; Henrik; 5:223;;i Klovsta;1823-05-13
1330;Q117221213;Hansson i Ormastorp; Nils; 3:123;;i Ormastorp;1823-04-30
1334;Q117221276;Hansson i Vallberga; Peter; 2:380;;i Vallberga;1856-04-26
1337;Q5789670;Hansson i Torp; Sven; 2:73;;i Torp;1827-12-17
1383;Q5797392;Heidenberg i Visby; C G Hjalmar; 2:338;;i Visby;1910-08-12
1386;Q5797565;von Heijne-Lillienberg i Edeby; L Georg; 1:371;;i Edeby;1837-06-19
1417;Q5801387;Henriksson i Laholm; Henrik; 2:382;;i Laholm;1845-11-17
1418;Q5801406;Henriksson i Kolbuxeröd; Johan; 4:95;;i Kolbuxeröd;1833-01-20
1442;Q5805033;Hierta i Näsby; Carl Gösta; 1:240;;i Näsby;1719-01-02
1511;Q117221366;Huss i Ekhult; Magnus; 2:78;;i Ekhult;1807-10-22
1517;Q5818643;Hygrell i Lycksele; August W; 5:355;;i Lycksele;1848-02-27
1551;Q5823030;Indebetou i Forssa; Carl G; 1:373;;i Forssa;1801-01-16
1559;Q5824384;Isaksson i Nygården; Daniel; 4:236;;i Nygården;1816-03-14
1561;Q5824491;Isberg i Norrtälje; Fredrik G; 1:241;;i Norrtälje;1813-07-10
1620;Q5885281;Johansson i Fägerhult; Anders; 2:161;;i Fägerhult;1826-06-25
1643;Q117221619;Johansson i Rimforsa; G Edvin N; 2:80;;i Rimforsa;1889-09-02
1667;Q117222379;Johansson i Onsjö senare Larv; Johannes; 4:329;;i Onsjö senare Larv;1895-05-22
1682;Q116687298;Johansson i Bronäs; Nils S; 4:330;;i Bronäs;1902-10-19
