Unnamed: 0;wiki_id;surname_iort;first_name;page_ref;page_ref2;iort;born
524;Q5581563;Bonde i Fållnäs; Knut P; 1:226;;i Fållnäs;
843;Q19975949;Ekman i Jönköping senare Stocksund; Karl J; 2:147;;i Jönköping senare Stocksund;
1142;Q116199773;Gilljam i Stockholm; Gustaf F; 1:91; 5:135;i Stockholm;
1166;Q5771035;Grenholm i Stockholm; Erik Magnus; 5:298;;i Stockholm;
1170;Q5867622;Gripenstedt i Nynäs senare Revlinge; Carl G; 1:369;;i Nynäs senare Revlinge;
1222;Q117035450;Gustavson i Sala senare Västerås; David E; 1:434;;i Sala senare Västerås;
1232;Q5779431;Gyllenstierna af Lundholm i Bjärsgård; Eric; 3:121;;i Bjärsgård;
1252;Q5782356;Hagerman i Stockholm; Henrik L:son; 1:96;;i Stockholm;
1255;Q99006280;Hagman i Linköping; Josef; 2:71;;i Linköping;
1321;Q117085828;Hansson i Örebro; Gustav A.; 4:488;;i Örebro;
1323;Q116690088;Hansson i Rättvik; Hans; 5:67;;i Rättvik;
1326;Q5789203;Hansson i Klovsta; Henrik; 5:223;;i Klovsta;
1330;Q117221213;Hansson i Ormastorp; Nils; 3:123;;i Ormastorp;
1334;Q117221276;Hansson i Vallberga; Peter; 2:380;;i Vallberga;
1337;Q5789670;Hansson i Torp; Sven; 2:73;;i Torp;
1383;Q5797392;Heidenberg i Visby; C G Hjalmar; 2:338;;i Visby;
1386;Q5797565;von Heijne-Lillienberg i Edeby; L Georg; 1:371;;i Edeby;
1417;Q5801387;Henriksson i Laholm; Henrik; 2:382;;i Laholm;
1418;Q5801406;Henriksson i Kolbuxeröd; Johan; 4:95;;i Kolbuxeröd;
1442;Q5805033;Hierta i Näsby; Carl Gösta; 1:240;;i Näsby;
1511;Q117221366;Huss i Ekhult; Magnus; 2:78;;i Ekhult;
1517;Q5818643;Hygrell i Lycksele; August W; 5:355;;i Lycksele;
1551;Q5823030;Indebetou i Forssa; Carl G; 1:373;;i Forssa;
1559;Q5824384;Isaksson i Nygården; Daniel; 4:236;;i Nygården;
1561;Q5824491;Isberg i Norrtälje; Fredrik G; 1:241;;i Norrtälje;
1620;Q5885281;Johansson i Fägerhult; Anders; 2:161;;i Fägerhult;
1643;Q117221619;Johansson i Rimforsa; G Edvin N; 2:80;;i Rimforsa;
1667;Q117222379;Johansson i Onsjö senare Larv; Johannes; 4:329;;i Onsjö senare Larv;
1682;Q116687298;Johansson i Bronäs; Nils S; 4:330;;i Bronäs;
1703;Q6140081;Johnsson i Norr-Kärra; Johan Petter; 4:101;;i Norr-Kärra;
1707;Q5889587;Johnsson i Remmarlöv; Pehr; 3:224;;i Remmarlöv;
1710;Q117222503;Jonasson i Gullaboås; Jonas; 2:285;;i Gullaboås;
1716;Q5891393;Jonsson i Sundsbyn; Anders; 4:412;;i Sundsbyn;
1747;Q5892646);Josefsson i Halmstad; H Gösta A; 2:387;;i Halmstad;
1889;Q5926472;Kunze i Göteborg; Herman G E; 4:107;;i Göteborg;
1916;Q29034014;Lamberg i Ystad; Peter C; 3:228;;i Ystad;
1918;Q40759724;von der Lancken i Kristianstad; C Ehrenfried; 3:131;;i Kristianstad;
1953;Q5937483;Larsson i Rönnsbol; Gustaf; 1:246;;i Rönnsbol;
2102;Q5956515;Lindh i Säffle; Oscar W; 4:419;;i Säffle;
2120;Q111916168;Lindskog i Billinge; C J Fritiof; 3:235;;i Billinge;
2188;Q5966083;Lundblad i Eskilstuna; E Albert; 1:382;;i Eskilstuna;
2209;Q5966794;Lundgren i Göteborg; Wilhelm R B; 4:121;;i Göteborg;
2225;Q5967728;Lundström i Piteå; Axel; 5:426;;i Piteå;
2243;Q5969231;Låftman i Billingsfors; J J August; 4:255;;i Billingsfors;
2253;Q5969775;Lönnberg i Linköping; Lars Johan; 2:92;;i Linköping;
2325;Q5985428;Metzén i Skänninge; F Wilhelm; 2:92;;i Skänninge;
2345;Q108333808;Montgomery-Cederhielm i Segersjö; Robert N G; 4:502;;i Segersjö;
2443;Q6010969;Nilsson i Viby; Lars; 1:446;;i Viby;
2498;Q98393527;Nordenskjöld i Sjögelö; O Gustaf; 2:172;;i Sjögelö;
2534;Q112036699;Norrby i Åkersberga; J Sören; 1:258;;i Åkersberga;
2591;Q111728193;Ohlsson i Järrestad senare Gladsax o Simrishamn; A William; 3:144;;i Järrestad senare Gladsax o Simrishamn;
2731;Q6042591;Persson i Tofta; Anders; 2:397;;i Tofta;
2732;Q6160772;Persson i Vä; Anders; 3:145;;i Vä;
2752;Q6043249;Persson i Häljebol; Lars; 4:432;;i Häljebol;
2769;Q117039333;Persson i Vinberg; Ragnar V; 2:398;;i Vinberg;
2781;Q117039047;Petersson i Gärestad; H Alfred; 3:72;;i Gärestad;
2795;Q6161303;Petersson i Möllstorp; O Fredrik; 2:302;;i Möllstorp;
2857;Q2086269;von Platen i Vettinge; Philip B; 3:148;;i Vettinge;
2869;Q6056573;Printzensköld i Jönköping; Axel; 2:178;;i Jönköping;
2917;Q114729447;Risberg i Kållered; Bo H; 4:140;;i Kållered;
2935;Q6078545;Rooth i Helsingborg; C J Fritz; 3:266;;i Helsingborg;
2962;Q6082517;Rudberg i Halltorp; Erik J; 2:306;;i Halltorp;
2974;Q6084488;Ruthberg i Grisbacka; Johan Olof; 5:372;;i Grisbacka;
2977;Q6085142;Rydberg i Korsgården; N August; 4:347;;i Korsgården;
3002;Q6166587;Rönblad i Härnösand; Georg Peter; 5:253;;i Härnösand;
3005;Q6086793;Rönnberg i Stocked; Olof; 5:253;;i Stocked;
3009;Q6166851;Sahlström i Utterbyn; Per; 4:437;;i Utterbyn;
3039;Q6171696;Segerlind i Uddersrud; Carl Fedrik; 4:440;;i Uddersrud;
3075;Q6177454;Sjöcrona i Helsingborg; H Aron; 3:269;;i Helsingborg;
