Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen
Statsminister,,Carl Bildt*,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet
Justitieminister,,Gun Hellsvik*,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Biträdande justitieminister,,Reidunn Laurén,4 oktober 1991[2],7 oktober 1994[2],Partilös
Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet
Utrikesminister,,Margaretha af Ugglas*,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Biståndsminister,,Alf Svensson,4 oktober 1991[2],7 oktober 1994[2],Kristdemokraterna
Europa- och utrikeshandelsminister,,Ulf Dinkelspiel,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet
Försvarsminister,,Anders Björck*,4 oktober 1991[2],2 oktober 1994[3],Moderaterna
Försvarsminister,,Per Unckel*,3 oktober 1994,7 oktober 1994[2],Moderaterna
Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet
Socialminister och vice statsminister,,Bengt Westerberg*,4 oktober 1991[2],7 oktober 1994[2],Folkpartiet
Jämställdhetsminister,,Bengt Westerberg*,1993,7 oktober 1994[2],Folkpartiet
Sjukvårds- och socialförsäkringsminister,,Bo Könberg,4 oktober 1991[2],7 oktober 1994[2],Folkpartiet
Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet,Kommunikationsdepartementet
Kommunikationsminister,,Mats Odell*,4 oktober 1991[2],7 oktober 1994[2],Kristdemokraterna
Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet
Finansminister,,Anne Wibble*,4 oktober 1991[2],7 oktober 1994[2],Folkpartiet
Skatte- och idrottsminister,,Bo Lundgren,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet
Utbildningsminister,,Per Unckel*,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Skolminister,,Beatrice Ask,4 oktober 1991[2],7 oktober 1994[2],Moderaterna
Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet,Jordbruksdepartementet
Jordbruksminister,,Karl Erik Olsson*,4 oktober 1991[2],7 oktober 1994[2],Centerpartiet
Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet
Arbetsmarknadsminister,,Börje Hörnlund*,4 oktober 1991[2],7 oktober 1994[2],Centerpartiet
Minister för nordiskt samarbete,,Börje Hörnlund,16 juni 1994,7 oktober 1994[2],Centerpartiet
Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1],Industridepartementet/Näringsdepartementet[n 1]
Industri- och energiminister,,Per Westerberg*,4 oktober 1991[2],21 oktober 1991,Moderaterna
Närings- och energiminister,,Per Westerberg*,21 oktober 1991,7 oktober 1994[2],Moderaterna
Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet,Civildepartementet
"Civil-, konsument-, kyrko-, och ungdomsminister",,Inger Davidson*,4 oktober 1991[2],7 oktober 1994[2],Kristdemokraterna
Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2],Miljö- och naturresursdepartementet[n 2]
Miljöminister,,Olof Johansson,4 oktober 1991[2],16 juni 1994,Centerpartiet
