Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Hjalmar Branting,13 oktober 1921,19 april 1923,Socialdemokraterna
Justitieminister,,Assar Åkerman,13 oktober 1921,19 april 1923,Socialdemokraterna
Utrikesminister,,Hjalmar Branting,13 oktober 1921,19 april 1923,Socialdemokraterna
Försvarsminister,,Per Albin Hansson,13 oktober 1921,19 april 1923,Socialdemokraterna
Socialminister,,Herman Lindqvist,13 oktober 1921,19 april 1923,Socialdemokraterna
Kommunikationsminister,,Anders Örne,13 oktober 1921,19 april 1923,Socialdemokraterna
Finansminister,,Fredrik Vilhelm Thorsson,13 oktober 1921,19 april 1923,Socialdemokraterna
Ecklesiastikminister,,Olof Olsson,13 oktober 1921,19 april 1923,Socialdemokraterna
Jordbruksminister,,Sven Linders,13 oktober 1921,19 april 1923,Socialdemokraterna
Handelsminister,,Carl Svensson,13 oktober 1921,19 april 1923,Socialdemokraterna
Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd
Konsultativt statsråd,,Rickard Sandler,13 oktober 1921,19 april 1923,Socialdemokraterna
Konsultativt statsråd,,Torsten Nothin,13 oktober 1921,19 april 1923,Socialdemokraterna
Konsultativt statsråd,,Karl Schlyter,13 oktober 1921,19 april 1923,Socialdemokraterna
