Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Ernst Trygger,19 april 1923,18 oktober 1924,Allmänna valmansförbundet
Justitieminister,,Birger Ekeberg,19 april 1923,18 oktober 1924,Partilös
Utrikesminister,,Carl Hederstierna,19 april 1923,11 november 1923,Allmänna valmansförbundet
Utrikesminister,,Erik Marks von Würtemberg,11 november 1923,18 oktober 1924,Allmänna valmansförbundet
Försvarsminister,,Carl Malmroth,19 april 1923,18 oktober 1924,Partilös
Socialminister,,Gösta Malm,19 april 1923,18 oktober 1924,Partilös
Kommunikationsminister,,Sven Lübeck,19 april 1923,18 oktober 1924,Allmänna valmansförbundet
Finansminister,,Jacob Beskow,19 april 1923,18 oktober 1924,Allmänna valmansförbundet
Ecklesiastikminister,,Sam Clason,19 april 1923,18 oktober 1924,Allmänna valmansförbundet
Jordbruksminister,,David Pettersson,19 april 1923,18 oktober 1924,Allmänna valmansförbundet
Handelsminister,,Nils Wohlin,19 april 1923,18 oktober 1924,Partilös
Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd
Konsultativt statsråd,,Bror Hasselrot,19 april 1923,18 oktober 1924,Partilös
Konsultativt statsråd,,Erik Stridsberg,19 april 1923,18 oktober 1924,Partilös
