Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Thorbjörn Fälldin*,8 oktober 1976,18 oktober 1978,Centerpartiet
Justitieminister,,Sven Romanus*,8 oktober 1976,18 oktober 1978,Partilös
Utrikesminister,,Karin Söder*,8 oktober 1976,18 oktober 1978,Centerpartiet
Biståndsminister,,Ola Ullsten,8 oktober 1976,18 oktober 1978,Folkpartiet
Invandrarminister,,Ola Ullsten,11 januari 1977,7 mars 1978,Folkpartiet
Vice statsminister,,Ola Ullsten,7 mars 1978,18 oktober 1978,Folkpartiet
Försvarsminister,,Eric Krönmark*,8 oktober 1976,18 oktober 1978,Moderaterna
Socialminister,,Rune Gustavsson*,8 oktober 1976,18 oktober 1978,Centerpartiet
Sjukvårdsminister,,Ingegerd Troedsson,8 oktober 1976,18 oktober 1978,Moderaterna
Kommunikationsminister,,Bo Turesson*,8 oktober 1976,18 oktober 1978,Moderaterna
Finansminister,,Gösta Bohman*,8 oktober 1976,25 november 1976,Moderaterna
Biträdande finansminister,,Ingemar Mundebo,8 oktober 1976,25 november 1976,Folkpartiet
Ekonomiminister,,Gösta Bohman*,25 november 1976,18 oktober 1978,Moderaterna
Budgetminister,,Ingemar Mundebo*,25 november 1976,18 oktober 1978,Folkpartiet
Utbildningsminister,,Jan-Erik Wikström*,8 oktober 1976,18 oktober 1978,Folkpartiet
Skolminister,,Britt Mogård,8 oktober 1976,18 oktober 1978,Moderaterna
Jordbruksminister,,Anders Dahlgren*,8 oktober 1976,18 oktober 1978,Centerpartiet
Handelsminister,,Staffan Burenstam Linder*,8 oktober 1976,18 oktober 1978,Moderaterna
Arbetsmarknads- och jämställdhetsminister  samt vice statsminister,,Per Ahlmark*,8 oktober 1976,7 mars 1978,Folkpartiet
"Arbetsmarknads-, jämställdhets- och invandrarminister",,Rolf Wirtén*,7 mars 1978,18 oktober 1978,Folkpartiet
Invandrarminister,,Per Ahlmark*,8 oktober 1976,1977,Folkpartiet
Bostadsminister,,Elvy Olsson*,8 oktober 1976,18 oktober 1978,Centerpartiet
Biträdande bostadsminister,,Birgit Friggebo,8 oktober 1976,18 oktober 1978,Folkpartiet
Industriminister,,Nils G. Åsling*,8 oktober 1976,18 oktober 1978,Centerpartiet
Energiminister,,Olof Johansson,8 oktober 1976,18 oktober 1978,Centerpartiet
Kommun- och kyrkominister samt minister för nordiskt samarbete,,Johannes Antonsson*,8 oktober 1976,18 oktober 1978,Centerpartiet
